time,open,high,low,close
1717421400,191.34250086,192.07614568,190.85670902,191.64983856
1717422000,191.67958091,192.72056343,191.44164205,192.6511646
1717422600,192.66107872,192.88910346,192.05631744,192.44296809
1717423200,192.48262457,192.88910346,192.35374102,192.5768087
1717423800,192.57185164,193.25592587,192.33391278,193.22618351
1717424400,193.21626939,193.31541059,193.02790113,193.16174174
1717425000,193.15678468,193.23609763,192.46279633,192.68090696
1717425600,192.69082107,193.22618351,192.56193752,192.77013403
1717426200,192.75030579,192.9089317,192.24567712,192.28434219
1717426800,192.27938513,192.35374102,191.91751978,192.05631744
1717427400,192.07614568,192.29425631,192.05631744,192.25459983
1717428000,192.25459983,192.76021991,192.25459983,192.46279633
1717428600,192.45288221,192.61150812,192.20502923,192.35374102
1717429200,192.3438269,192.72056343,192.24468571,192.24468571
1717429800,192.23477159,192.35374102,191.99683273,192.26451395
1717430400,192.25459983,192.42313986,192.04640333,192.26947101
1717431000,192.27442807,192.32399866,191.63992444,191.76880799
1717431600,191.76880799,191.85803506,191.58043972,191.63001032
1717432200,191.61018208,191.69940915,191.26318791,191.46147029
1717432800,191.45155617,191.68949503,191.37224322,191.56061148
1717433400,191.56556854,191.67958091,191.35241498,191.60026796
1717434000,191.59035384,191.63001032,191.43172793,191.5705256
1717434600,191.5705256,191.94726213,191.19378907,191.94726213
1717435200,191.93734801,192.15545864,191.79359329,192.10588804
1717435800,192.09597392,192.3933975,192.0860598,192.26451395
1717436400,192.26451395,192.37356926,192.14554452,192.19511511
1717437000,192.18520099,192.20502923,191.84812094,191.94726213
1717437600,191.95717625,191.99683273,191.67958091,191.8778633
1717438200,191.86794918,191.90760566,191.45155617,191.63992444
1717438800,191.63001032,191.74897975,191.43172793,191.45155617
1717439400,191.44164205,191.67958091,191.43172793,191.63001032
1717440000,191.6200962,191.85803506,191.38215734,191.42181381
1717440600,191.41685676,191.55069736,191.25327379,191.39207146
1717441200,191.39207146,191.49121265,191.29293027,191.35241498
1717441800,191.35241498,191.66470974,191.30284438,191.65975268
1717442400,191.65975268,191.79855035,191.60026796,191.69940915
1717443000,191.69940915,191.90760566,191.6200962,191.76880799
1717443600,191.76880799,191.99683273,191.75393681,191.97700449
1717444200,191.98691861,192.44296809,191.68949503,192.42313986
1717507800,192.94363111,193.3253247,192.02657509,192.05631744
1717508400,192.04640333,192.06623156,191.50112677,191.79855035
1717509000,191.79855035,191.97700449,191.38215734,191.52095501
1717509600,191.54078325,192.14554452,191.42181381,191.52095501
1717510200,191.51104089,192.25459983,191.43172793,192.20502923
1717510800,192.18520099,192.41322574,191.92743389,192.36365514
1717511400,192.35374102,192.73047755,191.99683273,192.24468571
1717512000,192.25459983,192.56689458,192.14554452,192.25459983
1717512600,192.26451395,192.57185164,192.26451395,192.51236693
1717513200,192.53219517,192.601594,192.29425631,192.37852632
1717513800,192.38348338,192.49253869,192.18520099,192.3438269
1717514400,192.35374102,192.61150812,192.33391278,192.38348338
1717515000,192.37356926,192.38348338,192.04640333,192.20502923
1717515600,192.21494335,192.49253869,192.19511511,192.42313986
