time,open,high,low,close
1717421400,515.12517031,515.26149318,514.7356764,514.92068601
1717422000,514.94989805,515.25175583,514.67725231,514.83304988
1717422600,514.83304988,514.88173661,513.50390191,514.04432471
1717423200,514.05406206,515.30044257,513.70351754,513.70351754
1717423800,513.71325489,514.59935353,513.58666936,514.50198005
1717424400,514.4922427,514.61882823,514.0832741,514.3072331
1717425000,514.33644514,514.38513188,513.32376098,513.50877058
1717425600,513.49903323,513.89826449,512.53503581,512.62267194
1717426200,512.63240929,512.83689359,511.9021082,512.20396598
1717426800,512.21370333,512.45713703,511.60025042,512.3500262
1717427400,512.3500262,512.60319724,512.19422864,512.52529846
1717428000,512.54477316,512.76873215,512.3695009,512.5739852
1717428600,512.54477316,512.85636828,512.01895638,512.29160211
1717429200,512.27212742,512.46687437,511.91184555,512.11632986
1717429800,512.1260672,512.51556111,511.99948168,512.27212742
1717430400,512.27212742,512.59345989,511.60998777,511.79499738
1717431000,511.83394677,512.03843107,510.4317687,510.4317687
1717431600,510.4317687,510.60704095,509.89621457,510.19807235
1717432200,510.188335,510.49019278,509.59922546,510.45124339
1717432800,510.47071809,510.52914217,510.05201213,510.27597113
1717433400,510.23702174,510.29544583,509.46777127,510.03253744
1717434000,510.00332539,510.13964826,509.59435679,509.64304353
1717434600,509.62356883,510.19807235,508.87379306,510.12017357
1717435200,510.12017357,510.90889873,510.10069887,510.85047465
1717435800,510.860212,511.60025042,510.80178791,511.45419021
1717436400,511.43471551,511.77552268,511.34707938,511.59051308
1717437000,511.59051308,511.62946247,511.0646963,511.39576612
1717437600,511.40550347,511.89237086,511.30812999,511.61972512
1717438200,511.62946247,511.82420942,510.89916139,511.37629143
1717438800,511.37629143,511.97026964,511.30812999,511.31786734
1717439400,511.30812999,511.91184555,511.30812999,511.91184555
1717440000,511.93132025,512.32081416,511.75604799,512.09685516
1717440600,512.10659251,512.1260672,511.4931396,511.9410576
1717441200,511.9410576,512.30133946,511.75604799,511.99948168
1717441800,511.97026964,512.35976355,511.88263351,512.30133946
1717442400,512.29160211,512.67135868,512.20396598,512.42792498
1717443000,512.46687437,512.65188398,511.9215829,512.03843107
1717443600,512.04816842,512.64214663,511.97026964,512.60319724
1717444200,512.61293459,513.96642593,512.3500262,513.88852714
1717507800,512.63240929,512.93426707,511.96053229,512.49608642
1717508400,512.48634907,512.95374176,512.22344068,512.70543939
1717509000,512.72004542,512.88558033,512.16501659,512.66162133
1717509600,512.66162133,513.88852714,512.30133946,512.31107681
1717510200,512.32081416,513.0024285,511.93132025,512.7979442
1717510800,512.73952011,513.14848872,512.24291538,513.14848872
1717511400,513.11927667,513.52824528,512.46687437,513.01216585
1717512000,513.0219032,513.48929589,512.65188398,512.78820685
1717512600,512.7979442,513.07058993,512.01895638,512.10659251
1717513200,512.1260672,512.40845029,511.82420942,512.16501659
1717513800,512.20396598,512.5739852,511.89723953,512.44739968
1717514400,512.45713703,512.76873215,512.04816842,512.06277444
1717515000,512.04816842,512.07738046,511.34707938,511.75604799
1717515600,511.76578534,511.99948168,511.57103838,511.72683595
1717516200,511.75604799,511.96053229,511.43471551,511.46392756
1717516800,511.46879623,511.67814921,511.16206978,511.35681673
1717517400,511.34707938,511.60025042,511.23996856,511.48340225
1717518000,511.4736649,512.27212742,511.32760469,512.19422864
1717518600,512.20396598,512.24291538,511.84368412,512.18449129
1717519200,512.17475394,513.09980198,512.10659251,512.92452972
1717519800,512.89531767,512.91479237,512.1260672,512.63240929
1717520400,512.65188398,512.70057072,511.89237086,512.10659251
1717521000,512.11632986,512.83689359,512.10659251,512.78820685
1717521600,512.80768154,513.16796341,512.35976355,513.12901402
1717522200,513.15822606,513.25559954,512.52529846,512.75899481
1717522800,512.76873215,513.11927667,512.71030807,512.91479237
1717523400,512.94400441,513.23612485,512.72978276,513.0219032
1717524000,512.9829538,513.31402363,512.88558033,513.23612485
1717524600,513.2263875,514.35591984,513.11927667,514.20985962
1717525200,514.21959697,515.07648357,514.19038492,515.03753418
1717525800,515.04727153,515.10569561,514.54092944,514.79410048
1717526400,514.79410048,515.25175583,514.63830292,515.08622092
1717527000,515.08622092,515.23228113,514.35591984,514.4922427
1717527600,514.50198005,514.50198005,512.7784695,513.35297302
1717528200,513.35297302,513.86905245,513.31402363,513.57693202
1717528800,513.57693202,513.94695123,513.44060915,513.79115367
1717529400,513.80089101,513.91773919,513.16796341,513.50877058
1717530000,513.49903323,514.44355597,513.48929589,514.07353675
1717530600,514.0637994,514.7162017,514.0637994,514.44355597
1717594200,516.82920616,516.8778929,515.96258221,516.03074365
1717594800,516.0210063,516.56629777,515.96258221,516.01126895
1717595400,516.0210063,516.17680386,515.61203769,516.16706652
1717596000,516.15732917,516.16706652,514.86226192,515.13490766
1717596600,515.10569561,515.68019913,515.08622092,515.5730883
1717597200,515.5730883,516.47866164,515.52440157,516.33260143
1717597800,516.34233878,517.16027599,516.34233878,516.94605434
1717598400,516.99474107,517.11158925,516.54682308,516.92657964
1717599000,516.92657964,517.07263986,516.78051942,517.01421577
1717599600,517.01421577,517.58871929,517.00447842,517.17975068
1717600200,517.16027599,518.19243485,517.16027599,517.96847585
1717600800,517.98308187,518.12427341,517.67635542,517.93926381
1717601400,517.93926381,518.24112159,517.89057707,518.12427341
1717602000,518.13401076,518.45534324,518.05611198,518.17296015
1717602600,518.17296015,518.27033363,517.93926381,518.05611198
1717603200,518.04637463,518.10966739,517.89057707,517.96847585
1717603800,517.9782132,518.11453606,517.76399155,517.94900115
1717604400,517.93926381,518.25085893,517.87110237,518.1632228
1717605000,518.14374811,518.71825162,518.10479872,518.54297937
1717605600,518.54297937,518.68903958,518.46508058,518.66956489
1717606200,518.65982754,518.82536245,518.6306155,518.66469621
1717606800,518.65982754,518.98116001,518.53324202,518.85457449
1717607400,518.87404919,518.97142267,518.53324202,518.58192876
1717608000,518.58192876,518.74746367,518.17296015,518.73772632
1717608600,518.74746367,518.98116001,518.73772632,518.95194797
1717609200,518.95194797,519.12722023,518.64035284,519.02010941
1717609800,519.02010941,519.28301779,518.90326123,519.2440684
1717610400,519.2440684,519.40960331,519.02010941,519.2635431
1717611000,519.27328045,519.39012862,519.07853349,519.25380575
1717611600,519.25380575,519.47776475,519.08827084,519.4680274
1717612200,519.47776475,519.94515744,519.41934066,519.76014783
1717612800,519.76988518,519.97436948,519.76014783,519.76988518
1717613400,519.76988518,519.97436948,519.76988518,519.83804662
1717614000,519.83804662,520.09121766,519.71146109,519.8964707
1717614600,519.8964707,520.13503572,519.81857192,520.09121766
1717615200,520.08148031,520.13016705,519.62869364,519.68224905
1717615800,519.63356231,520.08148031,519.50697679,520.03279357
1717616400,520.05226827,520.05226827,519.38039127,519.4875021
1717617000,519.4875021,520.64624648,519.23433106,520.61703443
1717680600,520.91889221,521.09416447,520.65598383,521.08442713
1717681200,521.08442713,521.34733552,520.88968017,520.996791
1717681800,521.02600304,521.17206326,520.30543931,520.30543931
1717682400,520.324914,520.88968017,520.31517665,520.67545852
1717683000,520.69493322,520.92862956,520.47097422,520.772832
1717683600,520.76309465,521.14285121,520.50992361,521.00652834
1717684200,520.98705365,520.98705365,520.59755974,520.772832
1717684800,520.772832,520.89941752,520.57808504,520.80204404
1717685400,520.79230669,520.79230669,520.31517665,520.41255013
1717686000,520.41255013,520.73388261,520.17885379,520.65598383
1717686600,520.64624648,520.70467056,520.46123687,520.57808504
1717687200,520.57808504,520.63650913,520.27622726,520.45149952
1717687800,520.44176218,520.50018626,520.15937909,520.22754053
1717688400,520.22754053,520.324914,520.05226827,520.11069235
1717689000,520.13016705,520.38333809,520.04253092,520.11069235
1717689600,520.09121766,520.24701522,519.97436948,520.1399044
1717690200,520.13016705,520.15937909,519.54592618,519.85265264
1717690800,519.84778396,519.95489479,519.54592618,519.6919864
