run_order,layer,case_package,case_id,case_type,status,depends_on,symbol,timeframe,bars,data_source,pine_preset_name,enable_long,enable_short,allow_flip,regime_lock,max_entries,cooldown_bars,signal_mode,st_atr_len,st_factor,st_use_wicks,st_use_ha,equity_source,use_notional_assert,use_ma_filter,ma_type,ma_length,use_ma_slope_filter,ma_slope_len,ma_slope_min_pct,use_mcginley_filter,mcginley_length,risk_per_long_pct,risk_per_short_pct,fallback_size_pct,max_leverage_cap,sl_mode,sl_atr_len,sl_atr_mult,sl_pct,tp_mode,tp_atr_len,tp_atr_mult,primary_change,expected_trade_behavior,llm_auto_status,llm_last_run_utc,llm_agent,pine_trades,pine_win_rate_pct,pine_net_pnl_pct,pine_max_dd_pct,python_trades,python_win_rate_pct,python_net_pnl_pct,python_max_dd_pct,parity_verdict,artifacts,manual_tw_status,manual_tw_date,manual_tw_xlsx,manual_tw_trade_count,manual_tw_win_rate_pct,manual_tw_net_pnl_pct,manual_tw_max_dd_pct,manual_tw_verdict,notes,use_volume_filter,vol_sma_length,vol_sma_mult,use_adx_filter,adx_length,adx_threshold,use_chop_filter,chop_length,chop_threshold,use_atr_vol_floor,atr_vol_floor_fast_len,atr_vol_floor_baseline_len,atr_vol_floor_mult,use_macd_regime_filter,use_macd_cross_filter,use_macd_hist_filter,macd_hist_mode,use_macd_zero_dist_filter,macd_zero_dist_min,macd_fast_len,macd_slow_len,macd_sig_len,macd_source,macd_htf_timeframe,use_macd_htf_bias,use_sl,exit_on_ma_block,exit_on_ma_slope_block,exit_on_mcginley_block,exit_on_htf_trend_block,exit_on_vol_block,exit_on_atr_vol_block,exit_on_range_block,use_time_stop,time_stop_bars,time_stop_condition,time_stop_eod,time_stop_eow,use_daily_loss_limit,max_daily_loss_pct,use_max_trades_per_day,max_trades_per_day,use_max_drawdown_guard,max_drawdown_pct,use_consecutive_loss_halt,max_consecutive_losses,use_equity_curve_filter,equity_ma_length,use_mae_guard,max_mae_pct,use_guard_recovery,guard_recovery_mode,guard_recovery_bars,guard_recovery_signals,use_confirm_transform,confirm_bars,confirm_close_crosses,exit_on_filter_block,use_eod_exit,use_eow_exit,daily_loss_limit_pct,use_max_trades_day,use_consec_loss_guard,max_consec_losses,use_equity_curve_guard,equity_curve_ma_len,use_candle_pattern_gate,candle_pattern_lookback,use_level_proximity_gate,level_proximity_threshold_pct,exit_on_candle_pattern_block,exit_on_level_prox_block,require_raw_still_true,refresh_on_new_raw,use_level_retest,retest_timeout_bars,retest_buffer_pct,use_break_even,be_trigger_r,be_buffer_r,use_trailing,trail_start_r,trail_distance_atr_mult,tp1_r_multiple,tp1_close_pct,tp2_r_multiple,tp_percent,exit_on_opposite_signal,level_proximity_lookback,use_htf_trend_filter,htf_trend_timeframe,htf_trend_ma_type,htf_trend_ma_len,htf_trend_buffer_pct,use_ma_mtf,ma_htf_timeframe,use_momentum_filter,momentum_mode,momentum_atr_len,momentum_atr_mult,momentum_roc_min_pct,use_session_filter,session_name,session_custom_string,mcginley_use_higher_timeframe,mcginley_htf_timeframe,adx_use_higher_timeframe,adx_htf_timeframe,chop_use_higher_timeframe,chop_htf_timeframe,category,case_status,expected_result,tracker_agent,row,description
1,L6,CURRENT_SCOPE,AUTO_001,AUTO_ACTIVE,DONE,,BTCUSDT,1h,8760,Binance via mtc_bridge.mjs / PineTS exact bars,current_defaults,True,True,True,False,1,0,Supertrend,21,4.0,False,False,Realized,False,False,EMA,200,False,200,0.005,False,200,1.0,1.0,10.0,1.0,ATR,14,2.0,,,,,Current Pine defaults,Current baseline parity must stay green,PASS,2026-03-24T08:47:26.194427+00:00,Codex,133,21.05,-20.7057,27.08,133,21.05,-20.7057,27.08,PASS,reports\parity_compare.json; reports\parity_trade_report.csv; reports\python_trades_v2.csv; reports\parity_effective_config.json,,,,,,,,,Current live baseline. Refresh with python parity_compare.py --fetch-fresh before new layer work. | auto_run:case=AUTO_001 | verdict=PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,10,Always,False,False,False,2.0,False,3,False,10.0,False,3,False,20,False,2.0,False,Bars,20,2,False,1,True,False,False,False,2.0,False,False,3,False,20,False,,False,0.5,False,False,False,False,False,50,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,L3,ENTRY_POLICY,AUTO_002,AUTO_ACTIVE,DONE,AUTO_001,BTCUSDT,1h,1000,Binance via mtc_bridge.mjs / PineTS exact bars,auto_002_override,True,False,True,False,1,0,Supertrend,21,4.0,False,False,Realized,False,False,EMA,200,False,200,0.005,False,200,1.0,1.0,10.0,1.0,ATR,14,2.0,,None,,,Long only,Only long trades should appear,PASS,2026-05-31T14:56:04.324520+00:00,Claude,7,14.29,-3.9117,4.58,7,14.29,-3.9117,4.58,PASS,MTC_COMMAND_CENTER\02_MTC_BACKTEST\reports\tracker_cases\AUTO_002\parity_compare.json; MTC_COMMAND_CENTER\02_MTC_BACKTEST\reports\tracker_cases\AUTO_002\parity_trade_report.csv; MTC_COMMAND_CENTER\02_MTC_BACKTEST\reports\tracker_cases\AUTO_002\python_trades_v2.csv; MTC_COMMAND_CENTER\02_MTC_BACKTEST\reports\tracker_cases\AUTO_002\parity_effective_config.json,,,,,,,,,LLM owns auto run. Human optional manual TW audit only. | auto_run:case=AUTO_002 | verdict=PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,10,Always,False,False,False,2.0,False,3,False,10.0,False,3,False,20,False,2.0,False,Bars,20,2,False,1,True,False,False,False,2.0,False,False,3,False,20,False,,False,0.5,False,False,False,False,False,50,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,L3,ENTRY_POLICY,AUTO_003,AUTO_ACTIVE,DONE,AUTO_001,BTCUSDT,1h,1000,Binance via mtc_bridge.mjs / PineTS exact bars,current_defaults,False,True,True,False,1,0,Supertrend,21,4.0,False,False,Realized,False,False,EMA,200,False,200,0.005,False,200,1.0,1.0,10.0,1.0,ATR,14,2.0,,,,,Short only,Only short trades should appear,PASS,2026-03-22T14:02:31.647429+00:00,Codex,8,37.5,0.5374,3.46,8,37.5,0.5374,3.46,PASS,reports\tracker_cases\AUTO_003\parity_compare.json; reports\tracker_cases\AUTO_003\parity_trade_report.csv; reports\tracker_cases\AUTO_003\python_trades_v2.csv; reports\tracker_cases\AUTO_003\parity_effective_config.json,,,,,,,,,LLM owns auto run. Human optional manual TW audit only. | auto_run:case=AUTO_003 | verdict=PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,10,Always,False,False,False,2.0,False,3,False,10.0,False,3,False,20,False,2.0,False,Bars,20,2,False,1,True,False,False,False,2.0,False,False,3,False,20,False,,False,0.5,False,False,False,False,False,50,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,L3,ENTRY_POLICY,AUTO_004,AUTO_ACTIVE,DONE,AUTO_001,BTCUSDT,1h,1000,Binance via mtc_bridge.mjs / PineTS exact bars,current_defaults,True,True,False,False,1,0,Supertrend,21,4.0,False,False,Realized,False,False,EMA,200,False,200,0.005,False,200,1.0,1.0,10.0,1.0,ATR,14,2.0,,,,,Flip off,Opposite direction should not re-open on same bar,PASS,2026-03-22T14:02:34.592073+00:00,Codex,9,44.44,0.5288,3.49,9,44.44,0.5288,3.49,PASS,reports\tracker_cases\AUTO_004\parity_compare.json; reports\tracker_cases\AUTO_004\parity_trade_report.csv; reports\tracker_cases\AUTO_004\python_trades_v2.csv; reports\tracker_cases\AUTO_004\parity_effective_config.json,,,,,,,,,LLM owns auto run. Human optional manual TW audit only. | auto_run:case=AUTO_004 | verdict=PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,10,Always,False,False,False,2.0,False,3,False,10.0,False,3,False,20,False,2.0,False,Bars,20,2,False,1,True,False,False,False,2.0,False,False,3,False,20,False,,False,0.5,False,False,False,False,False,50,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,L17,ENTRY_POLICY,AUTO_005,PLANNED_LAYER_GATE,DONE,AUTO_001,BTCUSDT,1h,8760,Binance via mtc_bridge.mjs / PineTS exact bars,current_defaults,True,True,True,True,1,0,Supertrend,21,4.0,False,False,Realized,False,False,EMA,200,False,200,0.005,False,200,1.0,1.0,10.0,1.0,ATR,14,2.0,,,,,Regime lock on,Use after L17 unlock,PASS,2026-03-24T08:28:01.595727+00:00,Claude,133,21.05,-20.7057,27.08,133,21.05,-20.7057,27.08,PASS,reports\tracker_cases\AUTO_005\parity_compare.json; reports\tracker_cases\AUTO_005\parity_trade_report.csv; reports\tracker_cases\AUTO_005\python_trades_v2.csv; reports\tracker_cases\AUTO_005\parity_effective_config.json,,,,,,,,,LLM owns auto run. Human optional manual TW audit only. | auto_run:case=AUTO_005 | verdict=PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,10,Always,False,False,False,2.0,False,3,False,10.0,False,3,False,20,False,2.0,False,Bars,20,2,False,1,True,False,False,False,2.0,False,False,3,False,20,False,,False,0.5,False,False,False,False,False,50,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,L1,SIGNAL_VARIANT,AUTO_006,AUTO_ACTIVE,DONE,AUTO_001,BTCUSDT,1h,1000,Binance via mtc_bridge.mjs / PineTS exact bars,current_defaults,True,True,True,False,1,0,Supertrend,21,4.0,True,False,Realized,False,False,EMA,200,False,200,0.005,False,200,1.0,1.0,10.0,1.0,ATR,14,2.0,,,,,ST use wicks on,Signal path should change but parity should hold,PASS,2026-03-22T14:02:37.777468+00:00,Codex,14,42.86,2.3114,6.12,14,42.86,2.3114,6.12,PASS,reports\tracker_cases\AUTO_006\parity_compare.json; reports\tracker_cases\AUTO_006\parity_trade_report.csv; reports\tracker_cases\AUTO_006\python_trades_v2.csv; reports\tracker_cases\AUTO_006\parity_effective_config.json,,,,,,,,,LLM owns auto run. Human optional manual TW audit only. | auto_run:case=AUTO_006 | verdict=PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,10,Always,False,False,False,2.0,False,3,False,10.0,False,3,False,20,False,2.0,False,Bars,20,2,False,1,True,False,False,False,2.0,False,False,3,False,20,False,,False,0.5,False,False,False,False,False,50,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,L1,SIGNAL_VARIANT,AUTO_007,AUTO_ACTIVE,DONE,AUTO_001,BTCUSDT,1h,1000,Binance via mtc_bridge.mjs / PineTS exact bars,current_defaults,True,True,True,False,1,0,Supertrend,21,4.0,False,True,Realized,False,False,EMA,200,False,200,0.005,False,200,1.0,1.0,10.0,1.0,ATR,14,2.0,,None,,,ST use HA on,Signal path should change but parity should hold,PASS,2026-04-10T16:25:39.727778+00:00,Codex,0,0.0,0.0,0.0,0,0.0,0.0,0.0,PASS,reports\tracker_cases\AUTO_007\parity_compare.json; reports\tracker_cases\AUTO_007\parity_trade_report.csv; reports\tracker_cases\AUTO_007\python_trades_v2.csv; reports\tracker_cases\AUTO_007\parity_effective_config.json,,,,,,,,,LLM owns auto run. Human optional manual TW audit only. | auto_run:case=AUTO_007 | verdict=PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,10,Always,False,False,False,2.0,False,3,False,10.0,False,3,False,20,False,2.0,False,Bars,20,2,False,1,True,False,False,False,2.0,False,False,3,False,20,False,,False,0.5,False,False,False,False,False,50,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,L1,SIGNAL_VARIANT,AUTO_008,AUTO_ACTIVE,DONE,AUTO_001,BTCUSDT,1h,1000,Binance via mtc_bridge.mjs / PineTS exact bars,current_defaults,True,True,True,False,1,0,Supertrend,21,4.0,True,True,Realized,False,False,EMA,200,False,200,0.005,False,200,1.0,1.0,10.0,1.0,ATR,14,2.0,,,,,ST wicks + HA,Combined ST variant should keep parity,PASS,2026-03-22T14:02:41.173424+00:00,Codex,0,0.0,0.0,0.0,0,0.0,0.0,0.0,PASS,reports\tracker_cases\AUTO_008\parity_compare.json; reports\tracker_cases\AUTO_008\parity_trade_report.csv; reports\tracker_cases\AUTO_008\python_trades_v2.csv; reports\tracker_cases\AUTO_008\parity_effective_config.json,,,,,,,,,LLM owns auto run. Human optional manual TW audit only. | auto_run:case=AUTO_008 | verdict=PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,10,Always,False,False,False,2.0,False,3,False,10.0,False,3,False,20,False,2.0,False,Bars,20,2,False,1,True,False,False,False,2.0,False,False,3,False,20,False,,False,0.5,False,False,False,False,False,50,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,L4,SL_VARIANT,AUTO_009,AUTO_ACTIVE,DONE,AUTO_001,BTCUSDT,1h,1000,Binance via mtc_bridge.mjs / PineTS exact bars,current_defaults,True,True,True,False,1,0,Supertrend,21,4.0,False,False,Realized,False,False,EMA,200,False,200,0.005,False,200,1.0,1.0,10.0,1.0,,,,,,,,SL disabled,No ATR stop exits should remain,PASS,2026-03-22T14:02:44.256286+00:00,Codex,15,60.0,0.6086,0.85,15,60.0,0.6086,0.85,PASS,reports\tracker_cases\AUTO_009\parity_compare.json; reports\tracker_cases\AUTO_009\parity_trade_report.csv; reports\tracker_cases\AUTO_009\python_trades_v2.csv; reports\tracker_cases\AUTO_009\parity_effective_config.json,,,,,,,,,LLM owns auto run. Human optional manual TW audit only. | auto_run:case=AUTO_009 | verdict=PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,10,Always,False,False,False,2.0,False,3,False,10.0,False,3,False,20,False,2.0,False,Bars,20,2,False,1,True,False,False,False,2.0,False,False,3,False,20,False,,False,0.5,False,False,False,False,False,50,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,L4,SL_VARIANT,AUTO_010,AUTO_ACTIVE,DONE,AUTO_001,BTCUSDT,1h,1000,Binance via mtc_bridge.mjs / PineTS exact bars,current_defaults,True,True,True,False,1,0,Supertrend,21,4.0,False,False,Realized,False,False,EMA,200,False,200,0.005,False,200,1.0,1.0,10.0,1.0,ATR,14,1.0,,,,,Tight SL,"Trade count should rise, parity still must hold",PASS,2026-03-22T16:25:49.239774+00:00,Claude,14,21.43,-0.6041,6.06,14,21.43,-0.6041,6.06,PASS,reports\tracker_cases\AUTO_010\parity_compare.json; reports\tracker_cases\AUTO_010\parity_trade_report.csv; reports\tracker_cases\AUTO_010\python_trades_v2.csv; reports\tracker_cases\AUTO_010\parity_effective_config.json,,,,,,,,,LLM owns auto run. Human optional manual TW audit only. | auto_run:case=AUTO_010 | verdict=PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,10,Always,False,False,False,2.0,False,3,False,10.0,False,3,False,20,False,2.0,False,Bars,20,2,False,1,True,False,False,False,2.0,False,False,3,False,20,False,,False,0.5,False,False,False,False,False,50,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
