filename,symbol,timeframe,format,size_bytes,bar_count,start_date,end_date,path
BTCUSDT_15m_20180213_20260213.parquet,BTCUSDT,15m,parquet,8670470,225603,2019-09-08 17:45:00+00:00,2026-02-13 18:15:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\data\BTCUSDT_15m_20180213_20260213.parquet
BTCUSDT_15m_20180701_20260305.parquet,BTCUSDT,15m,parquet,10895333,268929,2018-07-01 00:00:00+00:00,2026-03-05 21:30:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\data\BTCUSDT_15m_20180701_20260305.parquet
BTCUSDT_15m_20180701_20260307.parquet,BTCUSDT,15m,parquet,10902206,269119,2018-07-01 00:00:00+00:00,2026-03-07 21:00:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\data\BTCUSDT_15m_20180701_20260307.parquet
BTCUSDT_15m_20180701_20260308.parquet,BTCUSDT,15m,parquet,10905068,269199,2018-07-01 00:00:00+00:00,2026-03-08 17:00:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\data\BTCUSDT_15m_20180701_20260308.parquet
BTCUSDT_15m_20240101_20241231.parquet,BTCUSDT,15m,parquet,1467693,35136,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\data\BTCUSDT_15m_20240101_20241231.parquet
BTCUSDT_15m_20240101_20260213.parquet,BTCUSDT,15m,parquet,3403353,74400,2024-01-01 00:00:00+00:00,2026-02-13 23:45:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\data\BTCUSDT_15m_20240101_20260213.parquet
BTCUSDT_15m_20240629_20241231.parquet,BTCUSDT,15m,parquet,753632,17856,2024-06-29 00:00:00+00:00,2024-12-31 23:45:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\data\BTCUSDT_15m_20240629_20241231.parquet
BTCUSDT_15m_20240701_20241231.parquet,BTCUSDT,15m,parquet,754762,17664,2024-07-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\data\BTCUSDT_15m_20240701_20241231.parquet
BTCUSDT_15m_20250701_20260131.parquet,BTCUSDT,15m,parquet,874573,20640,2025-07-01 00:00:00+00:00,2026-01-31 23:45:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\data\BTCUSDT_15m_20250701_20260131.parquet
BTCUSDT_1d_20180701_20260305.parquet,BTCUSDT,1d,parquet,132193,2805,2018-07-01 00:00:00+00:00,2026-03-05 00:00:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\data\BTCUSDT_1d_20180701_20260305.parquet
BTCUSDT_1d_20180701_20260307.parquet,BTCUSDT,1d,parquet,132270,2807,2018-07-01 00:00:00+00:00,2026-03-07 00:00:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\data\BTCUSDT_1d_20180701_20260307.parquet
BTCUSDT_1d_20180701_20260308.parquet,BTCUSDT,1d,parquet,132303,2808,2018-07-01 00:00:00+00:00,2026-03-08 00:00:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\data\BTCUSDT_1d_20180701_20260308.parquet
BTCUSDT_1h_20180701_20260305.parquet,BTCUSDT,1h,parquet,3117074,67241,2018-07-01 00:00:00+00:00,2026-03-05 21:00:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\data\BTCUSDT_1h_20180701_20260305.parquet
BTCUSDT_1h_20180701_20260307.parquet,BTCUSDT,1h,parquet,3119380,67289,2018-07-01 00:00:00+00:00,2026-03-07 21:00:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\data\BTCUSDT_1h_20180701_20260307.parquet
BTCUSDT_1h_20180701_20260308.parquet,BTCUSDT,1h,parquet,3120265,67309,2018-07-01 00:00:00+00:00,2026-03-08 17:00:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\data\BTCUSDT_1h_20180701_20260308.parquet
BTCUSDT_2h_20180701_20260305.parquet,BTCUSDT,2h,parquet,1565052,33629,2018-07-01 00:00:00+00:00,2026-03-05 20:00:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\data\BTCUSDT_2h_20180701_20260305.parquet
BTCUSDT_2h_20180701_20260307.parquet,BTCUSDT,2h,parquet,1566197,33653,2018-07-01 00:00:00+00:00,2026-03-07 20:00:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\data\BTCUSDT_2h_20180701_20260307.parquet
BTCUSDT_2h_20180701_20260308.parquet,BTCUSDT,2h,parquet,1566635,33663,2018-07-01 00:00:00+00:00,2026-03-08 16:00:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\data\BTCUSDT_2h_20180701_20260308.parquet
BTCUSDT_4h_20180701_20260305.parquet,BTCUSDT,4h,parquet,783570,16823,2018-07-01 00:00:00+00:00,2026-03-05 20:00:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\data\BTCUSDT_4h_20180701_20260305.parquet
BTCUSDT_4h_20180701_20260307.parquet,BTCUSDT,4h,parquet,784182,16835,2018-07-01 00:00:00+00:00,2026-03-07 20:00:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\data\BTCUSDT_4h_20180701_20260307.parquet
BTCUSDT_4h_20180701_20260308.parquet,BTCUSDT,4h,parquet,784360,16840,2018-07-01 00:00:00+00:00,2026-03-08 16:00:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\data\BTCUSDT_4h_20180701_20260308.parquet
BTCUSDT_5m_20180701_20260305.parquet,BTCUSDT,5m,parquet,28859736,806778,2018-07-01 00:00:00+00:00,2026-03-05 21:40:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\data\BTCUSDT_5m_20180701_20260305.parquet
BTCUSDT_5m_20180701_20260307.parquet,BTCUSDT,5m,parquet,28879402,807346,2018-07-01 00:00:00+00:00,2026-03-07 21:00:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\data\BTCUSDT_5m_20180701_20260307.parquet
BTCUSDT_5m_20180701_20260308.parquet,BTCUSDT,5m,parquet,28887645,807586,2018-07-01 00:00:00+00:00,2026-03-08 17:00:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\data\BTCUSDT_5m_20180701_20260308.parquet
BTCUSDT_PERP_15m_20240101_20251201_long.parquet,BTCUSDT,PERP,parquet,2830365,67200,2024-01-01 00:00:00+00:00,2025-11-30 23:45:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\data\BTCUSDT_PERP_15m_20240101_20251201_long.parquet
BTCUSDT_PERP_15m_20240101_20260101_long.parquet,BTCUSDT,PERP,parquet,2956696,70272,2024-01-01 00:00:00+00:00,2026-01-01 23:45:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\data\BTCUSDT_PERP_15m_20240101_20260101_long.parquet
BTCUSDT_PERP_15m_20250701_20251201_temp.parquet,BTCUSDT,PERP,parquet,615979,14688,2025-07-01 00:00:00+00:00,2025-11-30 23:45:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\data\BTCUSDT_PERP_15m_20250701_20251201_temp.parquet
BTCUSDT_PERP_15m_20250702_0630_20260101_e3002.parquet,BTCUSDT,PERP,parquet,740451,17638,2025-07-02 06:30:00+00:00,2026-01-01 23:45:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\data\BTCUSDT_PERP_15m_20250702_0630_20260101_e3002.parquet
BTCUSDT_PERP_15m_20250730_20251201_histtest.parquet,BTCUSDT,PERP,parquet,504144,11904,2025-07-30 00:00:00+00:00,2025-11-30 23:45:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\data\BTCUSDT_PERP_15m_20250730_20251201_histtest.parquet
BTCUSDT_PERP_15m_20250731_0015_20251201_histwindow.parquet,BTCUSDT,PERP,parquet,493873,11807,2025-07-31 00:15:00+00:00,2025-11-30 23:45:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\data\BTCUSDT_PERP_15m_20250731_0015_20251201_histwindow.parquet
BTCUSDT_PERP_15m_20250731_20251201_histtest.parquet,BTCUSDT,PERP,parquet,493956,11808,2025-07-31 00:00:00+00:00,2025-11-30 23:45:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\data\BTCUSDT_PERP_15m_20250731_20251201_histtest.parquet
ETHUSDT_15m_20190101_20260305.parquet,ETHUSDT,15m,parquet,8974560,251329,2019-01-01 00:00:00+00:00,2026-03-05 19:30:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\data\ETHUSDT_15m_20190101_20260305.parquet
ETHUSDT_15m_20190101_20260308.parquet,ETHUSDT,15m,parquet,8983545,251607,2019-01-01 00:00:00+00:00,2026-03-08 17:00:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\data\ETHUSDT_15m_20190101_20260308.parquet
ETHUSDT_1d_20190101_20260305.parquet,ETHUSDT,1d,parquet,118171,2621,2019-01-01 00:00:00+00:00,2026-03-05 00:00:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\data\ETHUSDT_1d_20190101_20260305.parquet
