run_order,case_id,status,primary_detail,notes
1,parity_core_005_enable_long_trades_v01,PASS,PASS,
2,parity_bnd_005_enable_long_trades_v02,PASS,PASS,
3,parity_core_006_enable_short_trades_v01,NO_FILE,,No XLSX file found in 003_parity_core_006_enable_short_trades_v01/
4,parity_bnd_006_enable_short_trades_v02,PASS,PASS,
5,parity_core_007_allow_position_flips_longshort_same_bar_v01,NO_FILE,,No XLSX file found in 005_parity_core_007_allow_position_flips_longshort_same_bar_v01/
6,parity_bnd_007_allow_position_flips_longshort_same_bar_v02,PASS,PASS,
7,parity_core_008_exit_on_opposite_signal_v01,NO_FILE,,No XLSX file found in 007_parity_core_008_exit_on_opposite_signal_v01/
8,parity_bnd_008_exit_on_opposite_signal_v02,PASS,PASS,
9,parity_core_009_exit_if_selected_filters_block_while_in_po_v01,NO_FILE,,No XLSX file found in 009_parity_core_009_exit_if_selected_filters_block_while_in_po_v01/
10,parity_bnd_009_exit_if_selected_filters_block_while_in_po_v02,PASS,PASS,
11,parity_core_010_regime_lock_prevent_re_entry_same_directio_v01,NO_FILE,,No XLSX file found in 011_parity_core_010_regime_lock_prevent_re_entry_same_directio_v01/
12,parity_bnd_010_regime_lock_prevent_re_entry_same_directio_v02,PASS,PASS,
13,parity_core_011_entry_mode_v01,NO_FILE,,No XLSX file found in 013_parity_core_011_entry_mode_v01/
14,parity_bnd_011_entry_mode_v02,PASS,PASS,
15,parity_core_012_exit_on_ma_filter_block_v01,PASS,PASS,
16,parity_bnd_012_exit_on_ma_filter_block_v02,PASS,PASS,
17,parity_core_013_exit_on_ma_slope_filter_block_v01,PASS,PASS,
18,parity_bnd_013_exit_on_ma_slope_filter_block_v02,PASS,PASS,
19,parity_core_014_exit_on_mcginley_filter_block_v01,PASS,PASS,
20,parity_bnd_014_exit_on_mcginley_filter_block_v02,PASS,PASS,
21,parity_core_015_exit_on_htf_trend_filter_block_v01,PASS,PASS,
22,parity_bnd_015_exit_on_htf_trend_filter_block_v02,PASS,PASS,
23,parity_core_016_exit_on_volume_filter_block_v01,PASS,PASS,
24,parity_bnd_016_exit_on_volume_filter_block_v02,PASS,PASS,
25,parity_core_017_exit_on_atr_vol_filter_block_v01,PASS,PASS,
26,parity_bnd_017_exit_on_atr_vol_filter_block_v02,PASS,PASS,
27,parity_core_018_exit_on_range_filter_block_v01,PASS,PASS,
28,parity_bnd_018_exit_on_range_filter_block_v02,PASS,PASS,
29,parity_core_019_use_time_stop_position_duration_exit_v01,NO_FILE,,No XLSX file found in 029_parity_core_019_use_time_stop_position_duration_exit_v01/
30,parity_bnd_019_use_time_stop_position_duration_exit_v02,PASS,PASS,
31,parity_core_020_time_stop_bars_v01,PASS,PASS,
32,parity_bnd_020_time_stop_bars_v02,PASS,PASS,
33,parity_bnd_020_time_stop_bars_v03,PASS,PASS,
34,parity_core_021_exit_at_end_of_day_v01,PASS,PASS,
35,parity_bnd_021_exit_at_end_of_day_v02,PASS,PASS,
36,parity_core_022_exit_at_end_of_week_v01,PASS,PASS,
37,parity_bnd_022_exit_at_end_of_week_v02,PASS,PASS,
38,parity_core_023_time_stop_condition_v01,PASS,PASS,
39,parity_bnd_023_time_stop_condition_v02,PASS,PASS,
40,parity_bnd_023_time_stop_condition_v03,PASS,PASS,
41,parity_core_024_signal_mode_max_entries_v01,NO_FILE,,No XLSX file found in 041_parity_core_024_signal_mode_max_entries_v01/
42,parity_bnd_024_signal_mode_max_entries_v02,PASS,PASS,
43,parity_bnd_024_signal_mode_max_entries_v03,PASS,PASS,
44,parity_core_025_signal_mode_cooldown_bars_v01,PASS,PASS,
45,parity_bnd_025_signal_mode_cooldown_bars_v02,PASS,PASS,
46,parity_bnd_025_signal_mode_cooldown_bars_v03,PASS,PASS,
47,parity_core_026_max_pyramid_positions_v01,NO_FILE,,No XLSX file found in 047_parity_core_026_max_pyramid_positions_v01/
48,parity_bnd_026_max_pyramid_positions_v02,PASS,PASS,
49,parity_bnd_026_max_pyramid_positions_v03,PASS,PASS,
50,parity_core_027_signal_mode_v01,PASS,PASS,
51,parity_bnd_027_signal_mode_v02,NO_FILE,,No XLSX file found in 051_parity_bnd_027_signal_mode_v02/
52,parity_bnd_027_signal_mode_v03,FAIL,PASS,Range: Trading range parse failed: '—'
53,parity_core_028_global_heikin_ashi_v01,NO_FILE,,No XLSX file found in 053_parity_core_028_global_heikin_ashi_v01/
54,parity_bnd_028_global_heikin_ashi_v02,PASS,PASS,
55,parity_bnd_028_global_heikin_ashi_v03,PASS,PASS,
56,parity_core_029_use_ha_for_supertrend_v01,NO_FILE,,No XLSX file found in 056_parity_core_029_use_ha_for_supertrend_v01/
57,parity_bnd_029_use_ha_for_supertrend_v02,PASS,PASS,
58,parity_core_030_st_use_wicks_v01,NO_FILE,,No XLSX file found in 058_parity_core_030_st_use_wicks_v01/
59,parity_bnd_030_st_use_wicks_v02,PASS,PASS,
60,parity_core_031_st_atr_len_v01,NO_FILE,,No XLSX file found in 060_parity_core_031_st_atr_len_v01/
61,parity_bnd_031_st_atr_len_v02,PASS,PASS,
62,parity_bnd_031_st_atr_len_v03,PASS,PASS,
63,parity_core_032_st_factor_v01,NO_FILE,,No XLSX file found in 063_parity_core_032_st_factor_v01/
64,parity_bnd_032_st_factor_v02,PASS,PASS,
65,parity_bnd_032_st_factor_v03,PASS,PASS,
66,parity_core_033_rf_rsi_length_v01,PASS,PASS,
67,parity_bnd_033_rf_rsi_length_v02,PASS,PASS,
68,parity_bnd_033_rf_rsi_length_v03,PASS,PASS,
69,parity_core_034_rf_use_bb_filter_range_mode_v01,PASS,PASS,
70,parity_bnd_034_rf_use_bb_filter_range_mode_v02,PASS,PASS,
71,parity_core_036_rf_use_strategy_tf_source_v01,PASS,PASS,
72,parity_bnd_036_rf_use_strategy_tf_source_v02,PASS,PASS,
73,parity_core_037_rf_adx_trend_threshold_v01,PASS,PASS,
74,parity_bnd_037_rf_adx_trend_threshold_v02,PASS,PASS,
75,parity_bnd_037_rf_adx_trend_threshold_v03,PASS,PASS,
76,parity_core_038_rf_adx_range_threshold_v01,PASS,PASS,
77,parity_bnd_038_rf_adx_range_threshold_v02,PASS,PASS,
78,parity_bnd_038_rf_adx_range_threshold_v03,PASS,PASS,
79,parity_core_039_rf_chop_trend_threshold_v01,PASS,PASS,
80,parity_bnd_039_rf_chop_trend_threshold_v02,PASS,PASS,
81,parity_bnd_039_rf_chop_trend_threshold_v03,PASS,PASS,
82,parity_core_040_rf_chop_range_threshold_v01,PASS,PASS,
83,parity_bnd_040_rf_chop_range_threshold_v02,PASS,PASS,
84,parity_bnd_040_rf_chop_range_threshold_v03,PASS,PASS,
85,parity_core_041_rf_rsi_oversold_v01,PASS,PASS,
86,parity_bnd_041_rf_rsi_oversold_v02,PASS,PASS,
87,parity_bnd_041_rf_rsi_oversold_v03,PASS,PASS,
88,parity_core_042_rf_rsi_overbought_v01,PASS,PASS,
89,parity_bnd_042_rf_rsi_overbought_v02,PASS,PASS,
90,parity_bnd_042_rf_rsi_overbought_v03,PASS,PASS,
91,parity_core_043_rf_bb_length_v01,PASS,PASS,
92,parity_bnd_043_rf_bb_length_v02,PASS,PASS,
93,parity_bnd_043_rf_bb_length_v03,PASS,PASS,
94,parity_core_044_rf_bb_multiplier_v01,PASS,PASS,
95,parity_bnd_044_rf_bb_multiplier_v02,PASS,PASS,
96,parity_bnd_044_rf_bb_multiplier_v03,PASS,PASS,
97,parity_core_045_risk_per_long_of_equity_v01,NO_FILE,,No XLSX file found in 097_parity_core_045_risk_per_long_of_equity_v01/
98,parity_bnd_045_risk_per_long_of_equity_v02,PASS,PASS,
99,parity_bnd_045_risk_per_long_of_equity_v03,PASS,PASS,
100,parity_core_046_risk_per_short_of_equity_v01,NO_FILE,,No XLSX file found in 100_parity_core_046_risk_per_short_of_equity_v01/
101,parity_bnd_046_risk_per_short_of_equity_v02,PASS,PASS,
102,parity_bnd_046_risk_per_short_of_equity_v03,PASS,PASS,
103,parity_core_047_fallback_position_size_when_sl_off_of_equi_v01,NO_FILE,,No XLSX file found in 103_parity_core_047_fallback_position_size_when_sl_off_of_equi_v01/
104,parity_bnd_047_fallback_position_size_when_sl_off_of_equi_v02,PASS,PASS,
105,parity_bnd_047_fallback_position_size_when_sl_off_of_equi_v03,PASS,PASS,
106,parity_core_048_use_daily_loss_limit_v01,NO_FILE,,No XLSX file found in 106_parity_core_048_use_daily_loss_limit_v01/
107,parity_bnd_048_use_daily_loss_limit_v02,PASS,PASS,
108,parity_core_049_max_daily_loss_of_equity_v01,PASS,PASS,
109,parity_bnd_049_max_daily_loss_of_equity_v02,PASS,PASS,
110,parity_bnd_049_max_daily_loss_of_equity_v03,PASS,PASS,
111,parity_core_050_use_max_trades_per_day_v01,NO_FILE,,No XLSX file found in 111_parity_core_050_use_max_trades_per_day_v01/
112,parity_bnd_050_use_max_trades_per_day_v02,PASS,PASS,
113,parity_core_051_max_trades_per_day_v01,NO_FILE,,No XLSX file found in 113_parity_core_051_max_trades_per_day_v01/
114,parity_bnd_051_max_trades_per_day_v02,PASS,PASS,
115,parity_bnd_051_max_trades_per_day_v03,PASS,PASS,
116,parity_core_052_max_leverage_cap_limit_v01,NO_FILE,,No XLSX file found in 116_parity_core_052_max_leverage_cap_limit_v01/
117,parity_bnd_052_max_leverage_cap_limit_v02,PASS,PASS,
118,parity_bnd_052_max_leverage_cap_limit_v03,PASS,PASS,
119,parity_core_053_risk_equity_source_v01,NO_FILE,,No XLSX file found in 119_parity_core_053_risk_equity_source_v01/
120,parity_bnd_053_risk_equity_source_v02,PASS,PASS,
121,parity_core_054_use_notional_hard_assert_v01,NO_FILE,,No XLSX file found in 121_parity_core_054_use_notional_hard_assert_v01/
122,parity_bnd_054_use_notional_hard_assert_v02,PASS,PASS,
123,parity_core_055_sl_mode_v01,NO_FILE,,No XLSX file found in 123_parity_core_055_sl_mode_v01/
124,parity_bnd_055_sl_mode_v02,PASS,PASS,
125,parity_bnd_055_sl_mode_v03,PASS,PASS,
126,parity_bnd_055_sl_mode_v04,PASS,PASS,
127,parity_core_056_swing_sl_basis_v01,PASS,PASS,
128,parity_bnd_056_swing_sl_basis_v02,PASS,PASS,
129,parity_core_057_swing_sl_lookback_v01,NO_FILE,,No XLSX file found in 129_parity_core_057_swing_sl_lookback_v01/
130,parity_bnd_057_swing_sl_lookback_v02,PASS,PASS,
131,parity_bnd_057_swing_sl_lookback_v03,PASS,PASS,
132,parity_core_058_sl_distance_v01,PASS,PASS,
133,parity_bnd_058_sl_distance_v02,PASS,PASS,
134,parity_bnd_058_sl_distance_v03,PASS,PASS,
135,parity_core_059_tp_mode_single_tp_v01,PASS,PASS,
136,parity_bnd_059_tp_mode_single_tp_v02,PASS,PASS,
137,parity_bnd_059_tp_mode_single_tp_v03,PASS,PASS,
138,parity_core_060_tp_distance_v01,PASS,PASS,
139,parity_bnd_060_tp_distance_v02,PASS,PASS,
140,parity_bnd_060_tp_distance_v03,PASS,PASS,
141,parity_core_061_tp_r_multiple_single_tp_v01,PASS,PASS,
