tv_seq,tv_side,tv_entry_time,tv_exit_time,tv_entry_price,tv_exit_price,tv_qty,tv_reason,py_seq,py_side,py_entry_time,py_exit_time,py_entry_price,py_exit_price,py_qty,py_reason,side_match,reason_match,entry_time_diff_min,exit_time_diff_min,entry_price_diff,exit_price_diff,qty_diff,entry_price_match,exit_price_match,qty_match,all_price_qty_match,all_core_match
1,LONG,2025-07-05 04:30:00+00:00,2025-07-06 18:45:00+00:00,108174.9,108239.2,0.231108,BE,1,LONG,2025-07-05 04:30:00+00:00,2025-07-06 18:45:00+00:00,108174.9,108239.26836922314,0.2311079999999999,BE,True,True,0.0,0.0,0.0,0.06836922313959803,-1.1102230246251565e-16,True,True,True,True,True
2,LONG,2025-07-05 04:30:00+00:00,2025-07-06 18:45:00+00:00,108174.9,108239.2,0.231108,BE,2,LONG,2025-07-05 04:30:00+00:00,2025-07-06 18:45:00+00:00,108174.9,108239.26836922314,0.2311079999999999,BE,True,True,0.0,0.0,0.0,0.06836922313959803,-1.1102230246251565e-16,True,True,True,True,True
3,LONG,2025-07-06 18:45:00+00:00,2025-07-07 12:00:00+00:00,108424.5,108494.6,0.230576,BE,3,LONG,2025-07-06 18:45:00+00:00,2025-07-07 12:00:00+00:00,108424.5,108494.66746266762,0.230576,BE,True,True,0.0,0.0,0.0,0.06746266761911102,0.0,True,True,True,True,True
4,LONG,2025-07-06 18:45:00+00:00,2025-07-07 12:00:00+00:00,108424.5,108494.6,0.230576,BE,4,LONG,2025-07-06 18:45:00+00:00,2025-07-07 12:00:00+00:00,108424.5,108494.66746266762,0.230576,BE,True,True,0.0,0.0,0.0,0.06746266761911102,0.0,True,True,True,True,True
5,LONG,2025-07-08 10:30:00+00:00,2025-07-08 14:45:00+00:00,108830.6,108231.6,0.229715,SL,5,LONG,2025-07-08 10:30:00+00:00,2025-07-08 14:45:00+00:00,108830.6,108231.64260857875,0.229715,SL,True,True,0.0,0.0,0.0,0.04260857874760404,0.0,True,True,True,True,True
6,LONG,2025-07-08 10:30:00+00:00,2025-07-08 14:45:00+00:00,108830.6,108231.6,0.229716,SL,6,LONG,2025-07-08 10:30:00+00:00,2025-07-08 14:45:00+00:00,108830.6,108231.64260857875,0.229715,SL,True,True,0.0,0.0,0.0,0.04260857874760404,-1.000000000001e-06,True,True,False,False,True
7,LONG,2025-07-09 11:15:00+00:00,2025-07-09 14:15:00+00:00,108987.2,109030.6,0.229385,BE,7,LONG,2025-07-09 11:15:00+00:00,2025-07-09 14:15:00+00:00,108987.2,109030.65779679212,0.2293849999999999,BE,True,True,0.0,0.0,0.0,0.057796792112640105,-1.1102230246251565e-16,True,True,True,True,True
8,LONG,2025-07-09 11:15:00+00:00,2025-07-09 14:15:00+00:00,108987.2,109030.6,0.229386,BE,8,LONG,2025-07-09 11:15:00+00:00,2025-07-09 14:15:00+00:00,108987.2,109030.65779679212,0.2293849999999999,BE,True,True,0.0,0.0,0.0,0.057796792112640105,-1.0000000001120224e-06,True,True,False,False,True
9,LONG,2025-07-09 14:15:00+00:00,2025-07-09 19:45:00+00:00,108864.6,111583.3,0.220658,TP1,9,LONG,2025-07-09 14:15:00+00:00,2025-07-09 19:45:00+00:00,108864.6,111582.73748703342,0.220658,TP1,True,True,0.0,0.0,0.0,-0.5625129665859276,0.0,True,False,True,False,True
10,LONG,2025-07-09 14:15:00+00:00,2025-07-10 21:15:00+00:00,108864.6,113849.2,0.220658,TP2,10,LONG,2025-07-09 14:15:00+00:00,2025-07-10 21:15:00+00:00,108864.6,113848.6853928946,0.220658,TP2,True,True,0.0,0.0,0.0,-0.5146071054041386,0.0,True,False,True,False,True
