tv_seq,tv_side,tv_entry_time,tv_exit_time,tv_entry_price,tv_exit_price,tv_qty,tv_reason,py_seq,py_side,py_entry_time,py_exit_time,py_entry_price,py_exit_price,py_qty,py_reason,side_match,reason_match,entry_time_diff_min,exit_time_diff_min,entry_price_diff,exit_price_diff,qty_diff,entry_price_match,exit_price_match,qty_match,all_price_qty_match,all_core_match
1,SHORT,2025-06-30 07:00:00+00:00,2025-06-30 15:45:00+00:00,107509.2,107443.5,0.226698,BE,1,SHORT,2025-06-30 07:00:00+00:00,2025-06-30 15:45:00+00:00,107509.2,107444.5559440026,0.230435,BE,True,True,0.0,0.0,0.0,1.0559440025972435,0.0037369999999999903,True,False,False,False,True
2,SHORT,2025-06-30 07:00:00+00:00,2025-06-30 15:45:00+00:00,107509.2,107443.5,0.226698,BE,2,SHORT,2025-06-30 07:00:00+00:00,2025-06-30 15:45:00+00:00,107509.2,107444.5559440026,0.230435,BE,True,True,0.0,0.0,0.0,1.0559440025972435,0.0037369999999999903,True,False,False,False,True
3,SHORT,2025-07-01 15:00:00+00:00,2025-07-02 06:30:00+00:00,105619.1,106868.2,0.120186,SL,3,SHORT,2025-07-01 15:00:00+00:00,2025-07-02 06:30:00+00:00,105619.1,106868.16296960675,0.120186,SL,True,True,0.0,0.0,0.0,-0.037030393243185245,0.0,True,True,True,True,True
4,SHORT,2025-07-01 15:00:00+00:00,2025-07-02 06:30:00+00:00,105619.1,106868.2,0.120186,SL,4,SHORT,2025-07-01 15:00:00+00:00,2025-07-02 06:30:00+00:00,105619.1,106868.16296960675,0.120186,SL,True,True,0.0,0.0,0.0,-0.037030393243185245,0.0,True,True,True,True,True
5,SHORT,2025-07-03 12:45:00+00:00,2025-07-03 13:45:00+00:00,109119.4,110233.2,0.134804,SL,5,SHORT,2025-07-03 12:45:00+00:00,2025-07-03 13:45:00+00:00,109119.4,110233.12161588788,0.134804,SL,True,True,0.0,0.0,0.0,-0.07838411211560015,0.0,True,True,True,True,True
6,SHORT,2025-07-03 12:45:00+00:00,2025-07-03 13:45:00+00:00,109119.4,110233.2,0.134805,SL,6,SHORT,2025-07-03 12:45:00+00:00,2025-07-03 13:45:00+00:00,109119.4,110233.12161588788,0.134804,SL,True,True,0.0,0.0,0.0,-0.07838411211560015,-1.000000000001e-06,True,True,False,False,True
7,SHORT,2025-07-04 07:45:00+00:00,2025-07-06 13:30:00+00:00,108660.5,108593.0,0.220501,BE,7,SHORT,2025-07-04 07:45:00+00:00,2025-07-06 13:30:00+00:00,108660.5,108592.9233337958,0.220501,BE,True,True,0.0,0.0,0.0,-0.07666620420059189,0.0,True,True,True,True,True
8,SHORT,2025-07-04 07:45:00+00:00,2025-07-06 13:30:00+00:00,108660.5,108593.0,0.220502,BE,8,SHORT,2025-07-04 07:45:00+00:00,2025-07-06 13:30:00+00:00,108660.5,108592.9233337958,0.220501,BE,True,True,0.0,0.0,0.0,-0.07666620420059189,-1.000000000001e-06,True,True,False,False,True
9,SHORT,2025-07-07 12:15:00+00:00,2025-07-08 00:15:00+00:00,108386.0,108327.2,0.230656,BE,9,SHORT,2025-07-07 12:15:00+00:00,2025-07-08 00:15:00+00:00,108386.0,108327.1345774124,0.230656,BE,True,True,0.0,0.0,0.0,-0.06542258759145625,0.0,True,True,True,True,True
10,SHORT,2025-07-07 12:15:00+00:00,2025-07-08 00:15:00+00:00,108386.0,108327.2,0.230656,BE,10,SHORT,2025-07-07 12:15:00+00:00,2025-07-08 00:15:00+00:00,108386.0,108327.1345774124,0.230656,BE,True,True,0.0,0.0,0.0,-0.06542258759145625,0.0,True,True,True,True,True
11,LONG,2025-07-08 10:45:00+00:00,2025-07-08 14:45:00+00:00,108780.4,108198.4,0.229821,SL,11,LONG,2025-07-08 10:45:00+00:00,2025-07-08 14:45:00+00:00,108780.4,108198.46813653744,0.229821,SL,True,True,0.0,0.0,0.0,0.06813653744757175,0.0,True,True,True,True,True
12,LONG,2025-07-08 10:45:00+00:00,2025-07-08 14:45:00+00:00,108780.4,108198.4,0.229822,SL,12,LONG,2025-07-08 10:45:00+00:00,2025-07-08 14:45:00+00:00,108780.4,108198.46813653744,0.229821,SL,True,True,0.0,0.0,0.0,0.06813653744757175,-1.000000000001e-06,True,True,False,False,True
13,SHORT,2025-07-08 15:15:00+00:00,2025-07-09 12:00:00+00:00,108222.1,109184.9,0.155967,SL,13,SHORT,2025-07-08 15:15:00+00:00,2025-07-09 12:00:00+00:00,108222.1,109184.83992364006,0.155967,SL,True,True,0.0,0.0,0.0,-0.060076359935919754,0.0,True,True,True,True,True
14,SHORT,2025-07-08 15:15:00+00:00,2025-07-09 12:00:00+00:00,108222.1,109184.9,0.155967,SL,14,SHORT,2025-07-08 15:15:00+00:00,2025-07-09 12:00:00+00:00,108222.1,109184.83992364006,0.155967,SL,True,True,0.0,0.0,0.0,-0.060076359935919754,0.0,True,True,True,True,True
15,LONG,2025-07-09 19:30:00+00:00,2025-07-10 21:15:00+00:00,111355.2,115278.3,0.152922,TP1,15,LONG,2025-07-09 19:30:00+00:00,2025-07-10 21:15:00+00:00,111355.2,115277.7524407515,0.152922,TP1,True,True,0.0,0.0,0.0,-0.5475592485017842,0.0,True,False,True,False,True
16,LONG,2025-07-09 19:30:00+00:00,2025-07-10 21:15:00+00:00,111355.2,115689.6,0.152923,TRAIL,16,LONG,2025-07-09 19:30:00+00:00,2025-07-10 21:15:00+00:00,111355.2,115689.6,0.152922,TRAIL,True,True,0.0,0.0,0.0,0.0,-1.000000000001e-06,True,True,False,False,True
