run_order,case_id,seq,primary_name,primary_value,tv_trade_count,reason
048,parity_bnd_026_max_pyramid_positions_v02,026,Max Pyramid Positions,2,192,ALL 2 cases in seq 026 produce 192 TV trades
049,parity_bnd_026_max_pyramid_positions_v03,026,Max Pyramid Positions,3,192,ALL 2 cases in seq 026 produce ? TV trades
066,parity_core_033_rf_rsi_length_v01,033,[RF] RSI Length,14,144,Same TV trades as [067] [RF] RSI Length=21
067,parity_bnd_033_rf_rsi_length_v02,033,[RF] RSI Length,21,144,Same TV trades as [066] [RF] RSI Length=14
069,parity_core_034_rf_use_bb_filter_range_mode_v01,034,[RF] Use BB Filter (range mode),On,144,ALL 2 cases in seq 034 produce 144 TV trades
070,parity_bnd_034_rf_use_bb_filter_range_mode_v02,034,[RF] Use BB Filter (range mode),Off,144,ALL 2 cases in seq 034 produce ? TV trades
071,parity_core_036_rf_use_strategy_tf_source_v01,036,[RF] Use Strategy TF Source,Off,144,ALL 2 cases in seq 036 produce 144 TV trades
072,parity_bnd_036_rf_use_strategy_tf_source_v02,036,[RF] Use Strategy TF Source,On,144,ALL 2 cases in seq 036 produce ? TV trades
076,parity_core_038_rf_adx_range_threshold_v01,038,[RF] ADX Range Threshold,20,144,ALL 3 cases in seq 038 produce 144 TV trades
077,parity_bnd_038_rf_adx_range_threshold_v02,038,[RF] ADX Range Threshold,25,144,ALL 3 cases in seq 038 produce ? TV trades
078,parity_bnd_038_rf_adx_range_threshold_v03,038,[RF] ADX Range Threshold,15,144,ALL 3 cases in seq 038 produce ? TV trades
082,parity_core_040_rf_chop_range_threshold_v01,040,[RF] Chop Range Threshold,62,144,ALL 3 cases in seq 040 produce 144 TV trades
083,parity_bnd_040_rf_chop_range_threshold_v02,040,[RF] Chop Range Threshold,55,144,ALL 3 cases in seq 040 produce ? TV trades
084,parity_bnd_040_rf_chop_range_threshold_v03,040,[RF] Chop Range Threshold,70,144,ALL 3 cases in seq 040 produce ? TV trades
085,parity_core_041_rf_rsi_oversold_v01,041,[RF] RSI Oversold,30,144,ALL 3 cases in seq 041 produce 144 TV trades
086,parity_bnd_041_rf_rsi_oversold_v02,041,[RF] RSI Oversold,35,144,ALL 3 cases in seq 041 produce ? TV trades
087,parity_bnd_041_rf_rsi_oversold_v03,041,[RF] RSI Oversold,20,144,ALL 3 cases in seq 041 produce ? TV trades
088,parity_core_042_rf_rsi_overbought_v01,042,[RF] RSI Overbought,70,144,ALL 3 cases in seq 042 produce 144 TV trades
089,parity_bnd_042_rf_rsi_overbought_v02,042,[RF] RSI Overbought,80,144,ALL 3 cases in seq 042 produce ? TV trades
090,parity_bnd_042_rf_rsi_overbought_v03,042,[RF] RSI Overbought,60,144,ALL 3 cases in seq 042 produce ? TV trades
091,parity_core_043_rf_bb_length_v01,043,[RF] BB Length,20,144,ALL 3 cases in seq 043 produce 144 TV trades
092,parity_bnd_043_rf_bb_length_v02,043,[RF] BB Length,25,144,ALL 3 cases in seq 043 produce ? TV trades
093,parity_bnd_043_rf_bb_length_v03,043,[RF] BB Length,10,144,ALL 3 cases in seq 043 produce ? TV trades
094,parity_core_044_rf_bb_multiplier_v01,044,[RF] BB Multiplier,2,144,ALL 3 cases in seq 044 produce 144 TV trades
095,parity_bnd_044_rf_bb_multiplier_v02,044,[RF] BB Multiplier,3,144,ALL 3 cases in seq 044 produce ? TV trades
096,parity_bnd_044_rf_bb_multiplier_v03,044,[RF] BB Multiplier,1,144,ALL 3 cases in seq 044 produce ? TV trades
098,parity_bnd_045_risk_per_long_of_equity_v02,045,Risk per Long (% of equity),5,241,ALL 2 cases in seq 045 produce 241 TV trades
099,parity_bnd_045_risk_per_long_of_equity_v03,045,Risk per Long (% of equity),2,241,ALL 2 cases in seq 045 produce ? TV trades
101,parity_bnd_046_risk_per_short_of_equity_v02,046,Risk per Short (% of equity),5,241,ALL 2 cases in seq 046 produce 241 TV trades
102,parity_bnd_046_risk_per_short_of_equity_v03,046,Risk per Short (% of equity),2,241,ALL 2 cases in seq 046 produce ? TV trades
104,parity_bnd_047_fallback_position_size_when_sl_off_of_equi_v02,047,Fallback Position Size When SL OFF (% of equity),100,7,ALL 2 cases in seq 047 produce 7 TV trades
105,parity_bnd_047_fallback_position_size_when_sl_off_of_equi_v03,047,Fallback Position Size When SL OFF (% of equity),20,7,ALL 2 cases in seq 047 produce ? TV trades
117,parity_bnd_052_max_leverage_cap_limit_v02,052,Max Leverage Cap (Limit),100,241,ALL 2 cases in seq 052 produce 241 TV trades
118,parity_bnd_052_max_leverage_cap_limit_v03,052,Max Leverage Cap (Limit),20,241,ALL 2 cases in seq 052 produce ? TV trades
125,parity_bnd_055_sl_mode_v03,055,SL Mode,Swing+ATR,2,Same TV trades as [126] SL Mode=SWING_ATR
