run_order,case_id,gap_days,flagged,tv_unique_trades,end_date_utc,last_tv_exit_utc,tv_trades_csv,note
10,parity_bnd_010_regime_lock_prevent_re_entry_same_directio_v02,79.43,yes,192,2026-02-01T00:00:00+00:00,2025-11-13T13:45:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\parity_suite_350\tv_manual_inputs\012_parity_bnd_010_regime_lock_prevent_re_entry_same_directio_v02\MT_CORE2_BINANCE_BTCUSDT.P_2026-02-27_10b86_trades.csv,TV_EARLY_TRADE_END_CANDIDATE
100,parity_bnd_100_vol_min_sma_v02,0.04,no,239,2026-02-01T00:00:00+00:00,2026-01-31T23:00:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\parity_suite_350\tv_manual_inputs\249_parity_bnd_100_vol_min_sma_v02\MT_CORE2_BINANCE_BTCUSDT.P_2026-03-01_df04d_trades.csv,
100,parity_bnd_100_vol_min_sma_v03,0.04,no,229,2026-02-01T00:00:00+00:00,2026-01-31T23:00:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\parity_suite_350\tv_manual_inputs\250_parity_bnd_100_vol_min_sma_v03\MT_CORE2_BINANCE_BTCUSDT.P_2026-03-01_edce9_trades.csv,
101,parity_bnd_101_use_range_filters_entry_pause_v02,0.04,no,241,2026-02-01T00:00:00+00:00,2026-01-31T23:00:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\parity_suite_350\tv_manual_inputs\252_parity_bnd_101_use_range_filters_entry_pause_v02\MT_CORE2_BINANCE_BTCUSDT.P_2026-03-01_2f267_trades.csv,
102,parity_bnd_102_range_aggregation_v02,0.07,no,198,2026-02-01T00:00:00+00:00,2026-01-31T22:15:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\parity_suite_350\tv_manual_inputs\254_parity_bnd_102_range_aggregation_v02\MT_CORE2_BINANCE_BTCUSDT.P_2026-03-01_02378_trades.csv,
102,parity_core_102_range_aggregation_v01,0.07,no,198,2026-02-01T00:00:00+00:00,2026-01-31T22:15:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\parity_suite_350\tv_manual_inputs\253_parity_core_102_range_aggregation_v01\MT_CORE2_BINANCE_BTCUSDT.P_2026-03-01_c497d_trades.csv,
103,parity_bnd_103_range_hold_bars_v02,0.04,no,234,2026-02-01T00:00:00+00:00,2026-01-31T23:00:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\parity_suite_350\tv_manual_inputs\256_parity_bnd_103_range_hold_bars_v02\MT_CORE2_BINANCE_BTCUSDT.P_2026-03-01_c40f3_trades.csv,
103,parity_bnd_103_range_hold_bars_v03,0.04,no,166,2026-02-01T00:00:00+00:00,2026-01-31T23:00:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\parity_suite_350\tv_manual_inputs\257_parity_bnd_103_range_hold_bars_v03\MT_CORE2_BINANCE_BTCUSDT.P_2026-03-01_a1895_trades.csv,
105,parity_core_105_use_adx_range_filter_v01,0.04,no,209,2026-02-01T00:00:00+00:00,2026-01-31T23:00:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\parity_suite_350\tv_manual_inputs\258_parity_core_105_use_adx_range_filter_v01\MT_CORE2_BINANCE_BTCUSDT.P_2026-03-01_1a414_trades.csv,
106,parity_bnd_106_adx_length_v02,135.88,yes,169,2026-02-01T00:00:00+00:00,2025-09-18T03:00:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\parity_suite_350\tv_manual_inputs\261_parity_bnd_106_adx_length_v02\MT_CORE2_BINANCE_BTCUSDT.P_2026-03-01_14f9e_trades.csv,TV_EARLY_TRADE_END_CANDIDATE
106,parity_bnd_106_adx_length_v03,0.04,no,135,2026-02-01T00:00:00+00:00,2026-01-31T23:00:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\parity_suite_350\tv_manual_inputs\262_parity_bnd_106_adx_length_v03\MT_CORE2_BINANCE_BTCUSDT.P_2026-03-01_a280e_trades.csv,
106,parity_core_106_adx_length_v01,0.04,no,209,2026-02-01T00:00:00+00:00,2026-01-31T23:00:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\parity_suite_350\tv_manual_inputs\260_parity_core_106_adx_length_v01\MT_CORE2_BINANCE_BTCUSDT.P_2026-03-01_f2776_trades.csv,
107,parity_bnd_107_adx_on_threshold_v02,179.48,yes,66,2026-02-01T00:00:00+00:00,2025-08-05T12:30:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\parity_suite_350\tv_manual_inputs\264_parity_bnd_107_adx_on_threshold_v02\MT_CORE2_BINANCE_BTCUSDT.P_2026-03-01_1ce2b_trades.csv,TV_EARLY_TRADE_END_CANDIDATE
107,parity_bnd_107_adx_on_threshold_v03,0.04,no,182,2026-02-01T00:00:00+00:00,2026-01-31T23:00:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\parity_suite_350\tv_manual_inputs\265_parity_bnd_107_adx_on_threshold_v03\MT_CORE2_BINANCE_BTCUSDT.P_2026-03-01_911b2_trades.csv,
107,parity_core_107_adx_on_threshold_v01,0.04,no,209,2026-02-01T00:00:00+00:00,2026-01-31T23:00:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\parity_suite_350\tv_manual_inputs\263_parity_core_107_adx_on_threshold_v01\MT_CORE2_BINANCE_BTCUSDT.P_2026-03-01_9d646_trades.csv,
108,parity_bnd_108_adx_off_threshold_v02,0.04,no,106,2026-02-01T00:00:00+00:00,2026-01-31T23:00:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\parity_suite_350\tv_manual_inputs\267_parity_bnd_108_adx_off_threshold_v02\MT_CORE2_BINANCE_BTCUSDT.P_2026-03-01_e5216_trades.csv,
108,parity_bnd_108_adx_off_threshold_v03,0.04,no,74,2026-02-01T00:00:00+00:00,2026-01-31T23:00:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\parity_suite_350\tv_manual_inputs\268_parity_bnd_108_adx_off_threshold_v03\MT_CORE2_BINANCE_BTCUSDT.P_2026-03-01_5289b_trades.csv,
108,parity_core_108_adx_off_threshold_v01,0.04,no,90,2026-02-01T00:00:00+00:00,2026-01-31T23:00:00+00:00,C:\LAB\tradingview-lab\mtc_backtest\parity_suite_350\tv_manual_inputs\266_parity_core_108_adx_off_threshold_v01\MT_CORE2_BINANCE_BTCUSDT.P_2026-03-01_73343_trades.csv,
