Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
1,Exit short,2025-07-02 07:30:00,SL,106868.2,0.120186,12693.937152600001,-160.34,-1.26,68.13,0.54,-155.2,-1.22,-165.42,-1.65
1,Entry short,2025-07-01 16:00:00,Short,105619.1,0.120186,12693.937152600001,-160.34,-1.26,68.13,0.54,-155.2,-1.22,-165.42,-1.65
2,Exit short,2025-07-02 07:30:00,SL,106868.2,0.120186,12693.937152600001,-160.34,-1.26,68.13,0.54,-155.2,-1.22,-320.68,-3.21
2,Entry short,2025-07-01 16:00:00,Short,105619.1,0.120186,12693.937152600001,-160.34,-1.26,68.13,0.54,-155.2,-1.22,-320.68,-3.21
3,Exit short,2025-07-06 14:45:00,BE,108746.8,0.220515,23995.1853645,-4.31,-0.02,346.38,1.44,-66.23,-0.28,-334.58,-3.35
3,Entry short,2025-07-04 08:30:00,Short,108814.3,0.220515,23995.1853645,-4.31,-0.02,346.38,1.44,-66.23,-0.28,-334.58,-3.35
4,Exit short,2025-07-06 14:45:00,BE,108746.8,0.220515,23995.1853645,-4.31,-0.02,346.38,1.44,-66.23,-0.28,-329.29,-3.29
4,Entry short,2025-07-04 08:30:00,Short,108814.3,0.220515,23995.1853645,-4.31,-0.02,346.38,1.44,-66.23,-0.28,-329.29,-3.29
5,Exit short,2025-07-08 01:15:00,BE,108327.2,0.230656,24999.881216,-6.43,-0.03,204.51,0.82,-62.17,-0.25,-345.72,-3.46
5,Entry short,2025-07-07 13:15:00,Short,108386,0.230656,24999.881216,-6.43,-0.03,204.51,0.82,-62.17,-0.25,-345.72,-3.46
6,Exit short,2025-07-08 01:15:00,BE,108327.2,0.230656,24999.881216,-6.43,-0.03,204.51,0.82,-62.17,-0.25,-342.15,-3.42
6,Entry short,2025-07-07 13:15:00,Short,108386,0.230656,24999.881216,-6.43,-0.03,204.51,0.82,-62.17,-0.25,-342.15,-3.42
7,Exit long,2025-07-08 15:45:00,SL,108198.4,0.229821,25000.0203084,-153.7,-0.61,81.84,0.33,-143.76,-0.57,-505.86,-5.06
7,Entry long,2025-07-08 11:45:00,Long,108780.4,0.229821,25000.0203084,-153.7,-0.61,81.84,0.33,-143.76,-0.57,-505.86,-5.06
8,Exit long,2025-07-08 15:45:00,SL,108198.4,0.229822,25000.1290888,-153.7,-0.61,81.84,0.33,-143.76,-0.57,-649.56,-6.5
8,Entry long,2025-07-08 11:45:00,Long,108780.4,0.229822,25000.1290888,-153.7,-0.61,81.84,0.33,-143.76,-0.57,-649.56,-6.5
9,Exit long,2025-07-09 15:15:00,BE,109053.8,0.229341,25000.095464399998,-9.59,-0.04,157.44,0.63,-28.19,-0.11,-669.15,-6.69
9,Entry long,2025-07-09 12:30:00,Long,109008.4,0.229341,25000.095464399998,-9.59,-0.04,157.44,0.63,-28.19,-0.11,-669.15,-6.69
10,Exit long,2025-07-09 15:15:00,BE,109053.8,0.229341,25000.095464399998,-9.59,-0.04,157.44,0.63,-28.19,-0.11,-668.74,-6.69
10,Entry long,2025-07-09 12:30:00,Long,109008.4,0.229341,25000.095464399998,-9.59,-0.04,157.44,0.63,-28.19,-0.11,-668.74,-6.69
11,Exit long,2025-07-10 22:15:00,TP1,115278.3,0.152922,17028.6598944,586.07,3.44,593.12,3.48,-147.96,-0.87,-89.49,-0.89
11,Entry long,2025-07-09 20:30:00,Long,111355.2,0.152922,17028.6598944,586.07,3.44,593.12,3.48,-147.96,-0.87,-89.49,-0.89
12,Exit long,2025-07-10 22:15:00,TRAIL,115689.6,0.152923,17028.7712496,648.94,3.81,932.87,5.48,-147.96,-0.87,566.26,5.66
12,Entry long,2025-07-09 20:30:00,Long,111355.2,0.152923,17028.7712496,648.94,3.81,932.87,5.48,-147.96,-0.87,566.26,5.66
13,Exit long,2025-07-13 15:15:00,TP1,119330.7,0.212027,25000.082367299998,281.13,1.12,291.25,1.16,-66.95,-0.27,837.39,8.37
13,Entry long,2025-07-13 08:30:00,Long,117909.9,0.212027,25000.082367299998,281.13,1.12,291.25,1.16,-66.95,-0.27,837.39,8.37
14,Exit long,2025-07-13 15:15:00,TRAIL,119119.6,0.212027,25000.082367299998,236.39,0.95,360.01,1.44,-66.95,-0.27,1083.78,10.84
14,Entry long,2025-07-13 08:30:00,Long,117909.9,0.212027,25000.082367299998,236.39,0.95,360.01,1.44,-66.95,-0.27,1083.78,10.84
15,Exit short,2025-07-15 23:30:00,BE,117759,0.086428,10192.635538800001,6.81,0.07,190.73,1.87,-53.14,-0.52,1086.51,10.87
15,Entry short,2025-07-15 03:15:00,Short,117932.1,0.086428,10192.635538800001,6.81,0.07,190.73,1.87,-53.14,-0.52,1086.51,10.87
16,Exit short,2025-07-15 23:30:00,BE,117759,0.086429,10192.753470900001,6.81,0.07,190.73,1.87,-53.14,-0.52,1097.4,10.97
16,Entry short,2025-07-15 03:15:00,Short,117932.1,0.086429,10192.753470900001,6.81,0.07,190.73,1.87,-53.14,-0.52,1097.4,10.97
17,Exit long,2025-07-16 16:15:00,BE,118794.1,0.207446,24623.4667972,0.19,0,215.96,0.88,-122.33,-0.5,1087.74,10.88
17,Entry long,2025-07-16 09:45:00,Long,118698.2,0.207446,24623.4667972,0.19,0,215.96,0.88,-122.33,-0.5,1087.74,10.88
18,Exit long,2025-07-16 16:15:00,BE,118794.1,0.207446,24623.4667972,0.19,0,215.96,0.88,-122.33,-0.5,1097.78,10.98
18,Entry long,2025-07-16 09:45:00,Long,118698.2,0.207446,24623.4667972,0.19,0,215.96,0.88,-122.33,-0.5,1097.78,10.98
19,Exit short,2025-07-17 19:15:00,SL,119426,0.103683,12232.3337106,-159.96,-1.31,53.73,0.44,-155.01,-1.27,932.93,9.33
19,Entry short,2025-07-17 04:00:00,Short,117978.2,0.103683,12232.3337106,-159.96,-1.31,53.73,0.44,-155.01,-1.27,932.93,9.33
20,Exit short,2025-07-17 19:15:00,SL,119426,0.103684,12232.4516888,-159.96,-1.31,53.73,0.44,-155.01,-1.27,777.86,7.78
20,Entry short,2025-07-17 04:00:00,Short,117978.2,0.103684,12232.4516888,-159.96,-1.31,53.73,0.44,-155.01,-1.27,777.86,7.78
21,Exit long,2025-07-18 15:15:00,SL,118142.4,0.129494,15498.8649226,-212.45,-1.37,157.43,1.02,-206.33,-1.33,559.21,5.59
21,Entry long,2025-07-17 19:15:00,Long,119687.9,0.129494,15498.8649226,-212.45,-1.37,157.43,1.02,-206.33,-1.33,559.21,5.59
