reuse_case_id,reuse_from_case_id,run_order
parity_core_006_enable_short_trades_v01,parity_core_005_enable_long_trades_v01,3
parity_core_007_allow_position_flips_longshort_same_bar_v01,parity_core_005_enable_long_trades_v01,5
parity_core_008_exit_on_opposite_signal_v01,parity_core_005_enable_long_trades_v01,7
parity_core_009_exit_if_selected_filters_block_while_in_po_v01,parity_core_005_enable_long_trades_v01,9
parity_core_010_regime_lock_prevent_re_entry_same_directio_v01,parity_core_005_enable_long_trades_v01,11
parity_core_011_entry_mode_v01,parity_core_005_enable_long_trades_v01,13
parity_core_019_use_time_stop_position_duration_exit_v01,parity_core_005_enable_long_trades_v01,29
parity_core_024_signal_mode_max_entries_v01,parity_core_005_enable_long_trades_v01,41
parity_core_026_max_pyramid_positions_v01,parity_core_005_enable_long_trades_v01,47
parity_bnd_027_signal_mode_v02,parity_core_005_enable_long_trades_v01,51
parity_core_028_global_heikin_ashi_v01,parity_core_005_enable_long_trades_v01,53
parity_core_029_use_ha_for_supertrend_v01,parity_core_005_enable_long_trades_v01,56
parity_core_030_st_use_wicks_v01,parity_core_005_enable_long_trades_v01,58
parity_core_031_st_atr_len_v01,parity_core_005_enable_long_trades_v01,60
parity_core_032_st_factor_v01,parity_core_005_enable_long_trades_v01,63
parity_core_045_risk_per_long_of_equity_v01,parity_core_005_enable_long_trades_v01,97
parity_core_046_risk_per_short_of_equity_v01,parity_core_005_enable_long_trades_v01,100
parity_core_047_fallback_position_size_when_sl_off_of_equi_v01,parity_core_005_enable_long_trades_v01,103
parity_core_048_use_daily_loss_limit_v01,parity_core_005_enable_long_trades_v01,106
parity_core_050_use_max_trades_per_day_v01,parity_core_005_enable_long_trades_v01,111
parity_core_052_max_leverage_cap_limit_v01,parity_core_005_enable_long_trades_v01,116
parity_core_053_risk_equity_source_v01,parity_core_005_enable_long_trades_v01,119
parity_core_054_use_notional_hard_assert_v01,parity_core_005_enable_long_trades_v01,121
parity_core_055_sl_mode_v01,parity_core_005_enable_long_trades_v01,123
parity_core_062_use_stop_loss_v01,parity_core_005_enable_long_trades_v01,144
parity_core_063_use_take_profit_v01,parity_core_005_enable_long_trades_v01,146
parity_core_064_use_break_even_v01,parity_core_005_enable_long_trades_v01,148
parity_core_065_use_multi_tp_2_tps_requires_take_profit_on_v01,parity_core_005_enable_long_trades_v01,150
parity_core_066_tp2_at_r_multiple_v01,parity_core_005_enable_long_trades_v01,152
parity_core_069_sl_atr_length_v01,parity_core_005_enable_long_trades_v01,161
parity_core_070_sl_atr_multiplier_v01,parity_core_005_enable_long_trades_v01,164
parity_core_073_be_trigger_r_multiple_v01,parity_core_005_enable_long_trades_v01,173
parity_core_074_be_buffer_r_multiple_v01,parity_core_005_enable_long_trades_v01,176
parity_bnd_074_be_buffer_r_multiple_v03,parity_core_005_enable_long_trades_v01,178
parity_core_075_tp1_at_r_multiple_v01,parity_core_005_enable_long_trades_v01,179
parity_core_076_tp1_close_of_position_v01,parity_core_005_enable_long_trades_v01,182
parity_core_077_use_trailing_stop_v01,parity_core_005_enable_long_trades_v01,185
parity_core_078_trailing_atr_length_v01,parity_core_005_enable_long_trades_v01,187
parity_core_079_start_after_r_multiple_v01,parity_core_005_enable_long_trades_v01,190
parity_core_080_trail_distance_r_multiple_v01,parity_core_005_enable_long_trades_v01,193
parity_core_081_use_ma_filter_v01,parity_core_005_enable_long_trades_v01,196
parity_core_082_use_ma_slope_filter_v01,parity_core_005_enable_long_trades_v01,198
parity_core_083_use_mcginley_filter_v01,parity_core_005_enable_long_trades_v01,200
parity_core_084_use_htf_trend_filter_v01,parity_core_005_enable_long_trades_v01,202
parity_bnd_087_use_volume_participation_filter_v02,parity_core_005_enable_long_trades_v01,211
parity_core_101_use_range_filters_entry_pause_v01,parity_core_005_enable_long_trades_v01,251
parity_bnd_114_use_atr_volatility_floor_v02,parity_core_005_enable_long_trades_v01,284
parity_core_122_use_max_drawdown_guard_v01,parity_core_005_enable_long_trades_v01,304
parity_core_124_use_consecutive_loss_halt_v01,parity_core_005_enable_long_trades_v01,309
parity_core_126_use_trade_cooldown_v01,parity_core_005_enable_long_trades_v01,314
parity_bnd_128_use_equity_curve_filter_v02,parity_core_005_enable_long_trades_v01,320
parity_core_130_use_mae_guard_in_trade_v01,parity_core_005_enable_long_trades_v01,324
parity_core_133_use_guard_recovery_auto_resume_after_block_v01,parity_core_005_enable_long_trades_v01,331
parity_core_193_enable_macd_filter_hub_v01,parity_core_005_enable_long_trades_v01,360
parity_bnd_209_use_confirmation_swing_break_momentum_v02,parity_core_005_enable_long_trades_v01,396
parity_core_248_commission_v01,parity_core_005_enable_long_trades_v01,456
parity_core_249_slippage_v01,parity_core_005_enable_long_trades_v01,457
