Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
1,Exit long,2025-06-30 07:45:00,SL,107658.6,0.230943,25000.064730300004,-157.01,-0.63,0.0,0.0,-147.06,-0.59,-167.01,-1.67
1,Entry long,2025-06-30 06:15:00,Long,108252.1,0.230943,25000.064730300004,-157.01,-0.63,0.0,0.0,-147.06,-0.59,-167.01,-1.67
2,Exit long,2025-06-30 07:45:00,SL,107658.6,0.230943,25000.064730300004,-157.01,-0.63,0.0,0.0,-147.06,-0.59,-314.02,-3.14
2,Entry long,2025-06-30 06:15:00,Long,108252.1,0.230943,25000.064730300004,-157.01,-0.63,0.0,0.0,-147.06,-0.59,-314.02,-3.14
3,Exit short,2025-06-30 16:45:00,BE,107437.2,0.223004,23973.822016000002,-4.28,-0.02,172.74,0.72,-101.6,-0.42,-327.89,-3.28
3,Entry short,2025-06-30 07:45:00,Short,107504.0,0.223004,23973.822016000002,-4.28,-0.02,172.74,0.72,-101.6,-0.42,-327.89,-3.28
4,Exit short,2025-06-30 16:45:00,BE,107437.2,0.223005,23973.92952,-4.28,-0.02,172.74,0.72,-101.6,-0.42,-322.57,-3.23
4,Entry short,2025-06-30 07:45:00,Short,107504.0,0.223005,23973.92952,-4.28,-0.02,172.74,0.72,-101.6,-0.42,-322.57,-3.23
5,Exit short,2025-07-02 09:15:00,BE,107417.4,0.138623,14905.4519373,3.01,0.02,342.69,2.3,-40.6,-0.27,-325.52,-3.26
5,Entry short,2025-06-30 16:45:00,Short,107525.1,0.138623,14905.4519373,3.01,0.02,342.69,2.3,-40.6,-0.27,-325.52,-3.26
6,Exit short,2025-07-02 09:15:00,BE,107417.4,0.138624,14905.5594624,3.01,0.02,342.69,2.3,-40.6,-0.27,-316.55,-3.17
6,Entry short,2025-06-30 16:45:00,Short,107525.1,0.138624,14905.5594624,3.01,0.02,342.69,2.3,-40.6,-0.27,-316.55,-3.17
7,Exit long,2025-07-03 10:15:00,TP1,109938.2,0.232349,25000.0321181,523.78,2.09,534.0,2.14,-117.95,-0.47,197.23,1.97
7,Entry long,2025-07-02 09:15:00,Long,107596.9,0.232349,25000.0321181,523.78,2.09,534.0,2.14,-117.95,-0.47,197.23,1.97
