run_order,pack,case_id,case_json,tv_preset_name,enabled,expected_trade_behavior,primary_change,ui_actions,depends_on,parent_required,canonical_config_hash,semantic_fingerprint,symbol,timeframe,start_date,end_date,notes
2,boundary,parity_bnd_005_enable_long_trades_v02,cases/parity_bnd_005_enable_long_trades_v02.json,parity_bnd_005_enable_long_trades_v02,1,NORMAL,Enable Long Trades=Off,Set in TV UI: Enable Long Trades=Off,,,3332546633d7ec15d28c98dc5e812f881ba1b5bddacce3cc2c15dcbc78f07508,boundary:5:2:3332546633d7ec15,BINANCE:BTCUSDT.P,15,2025-06-30T05:15:00,2026-02-01T00:00:00,source_seq=5; source_value_idx=2; mapped_target=yes
4,boundary,parity_bnd_006_enable_short_trades_v02,cases/parity_bnd_006_enable_short_trades_v02.json,parity_bnd_006_enable_short_trades_v02,1,NORMAL,Enable Short Trades=Off,Set in TV UI: Enable Short Trades=Off,,,df48e4c0758646d6d36b84771626c483baf81ae184dbcd51994e219f1c0a7dfa,boundary:6:2:df48e4c0758646d6,BINANCE:BTCUSDT.P,15,2025-06-30T05:15:00,2026-02-01T00:00:00,source_seq=6; source_value_idx=2; mapped_target=yes
6,boundary,parity_bnd_007_allow_position_flips_longshort_same_bar_v02,cases/parity_bnd_007_allow_position_flips_longshort_same_bar_v02.json,parity_bnd_007_allow_position_flips_longshort_same_bar_v02,1,NORMAL,Allow Position Flips (LongShort same bar)=Off,Set in TV UI: Allow Position Flips (LongShort same bar)=Off,,,1f18534057a0c02b27d29eb1281c01bbe705a4313853ca20a96b34fc3a470b0a,boundary:7:2:1f18534057a0c02b,BINANCE:BTCUSDT.P,15,2025-06-30T05:15:00,2026-02-01T00:00:00,source_seq=7; source_value_idx=2; mapped_target=yes
8,boundary,parity_bnd_008_exit_on_opposite_signal_v02,cases/parity_bnd_008_exit_on_opposite_signal_v02.json,parity_bnd_008_exit_on_opposite_signal_v02,1,NORMAL,Exit on Opposite Signal=On,Set in TV UI: Exit on Opposite Signal=On,,,67c3ed3f23cfc55e99ca88469f7d6cfbcb54d72a577a2d9f6bfc8a6b6705c58f,boundary:8:2:67c3ed3f23cfc55e,BINANCE:BTCUSDT.P,15,2025-06-30T05:15:00,2026-02-01T00:00:00,source_seq=8; source_value_idx=2; mapped_target=yes
10,boundary,parity_bnd_009_exit_if_selected_filters_block_while_in_po_v02,cases/parity_bnd_009_exit_if_selected_filters_block_while_in_po_v02.json,parity_bnd_009_exit_if_selected_filters_block_while_in_po_v02,1,NORMAL,Exit if Selected Filters Block While In Position=On,Set in TV UI: Exit if Selected Filters Block While In Position=On,,,2dcece6ca5c8909ca90700f756517774168a275bbd1f0cdcd80b697c992c54a3,boundary:9:2:2dcece6ca5c8909c,BINANCE:BTCUSDT.P,15,2025-06-30T05:15:00,2026-02-01T00:00:00,source_seq=9; source_value_idx=2; mapped_target=yes
12,boundary,parity_bnd_010_regime_lock_prevent_re_entry_same_directio_v02,cases/parity_bnd_010_regime_lock_prevent_re_entry_same_directio_v02.json,parity_bnd_010_regime_lock_prevent_re_entry_same_directio_v02,1,NORMAL,Regime Lock (Prevent Re-entry Same Direction)=On,Set in TV UI: Regime Lock (Prevent Re-entry Same Direction)=On,,,017815b204ec66b3581af069dfc59be10249f938ba00df54c4ce1983907951e0,boundary:10:2:017815b204ec66b3,BINANCE:BTCUSDT.P,15,2025-06-30T05:15:00,2026-02-01T00:00:00,source_seq=10; source_value_idx=2; mapped_target=yes
14,boundary,parity_bnd_011_entry_mode_v02,cases/parity_bnd_011_entry_mode_v02.json,parity_bnd_011_entry_mode_v02,1,NORMAL,Entry Mode=Edge,Set in TV UI: Entry Mode=Edge,,,c8bcb997bf2a2b7f26a5f40c0985fff5bdc2277cbd1e3a94bf66c3e5b8c35604,boundary:11:2:c8bcb997bf2a2b7f,BINANCE:BTCUSDT.P,15,2025-06-30T05:15:00,2026-02-01T00:00:00,source_seq=11; source_value_idx=2; mapped_target=yes
16,boundary,parity_bnd_012_exit_on_ma_filter_block_v02,cases/parity_bnd_012_exit_on_ma_filter_block_v02.json,parity_bnd_012_exit_on_ma_filter_block_v02,1,NORMAL,Exit on MA Filter Block=On,Set in TV UI: Exit if Selected Filters Block While In Position=On; Use MA Filter=On; Exit on MA Filter Block=On,"9,81",9=On; 81=On,4f12d66af9ce07f05df4cab63f4f5109cf092b9a08cbc49cfbdad750cd3eb9fa,boundary:12:2:4f12d66af9ce07f0,BINANCE:BTCUSDT.P,15,2025-06-30T05:15:00,2026-02-01T00:00:00,source_seq=12; source_value_idx=2; mapped_target=yes
18,boundary,parity_bnd_013_exit_on_ma_slope_filter_block_v02,cases/parity_bnd_013_exit_on_ma_slope_filter_block_v02.json,parity_bnd_013_exit_on_ma_slope_filter_block_v02,1,NORMAL,Exit on MA Slope Filter Block=On,Set in TV UI: Exit if Selected Filters Block While In Position=On; Use MA Slope Filter=On; Exit on MA Slope Filter Block=On,"9,82",9=On; 82=On,69e8f8b9a07433c8b7c017d401d35e7a4fcf2de8755fd350eeefe6f5b98a3537,boundary:13:2:69e8f8b9a07433c8,BINANCE:BTCUSDT.P,15,2025-06-30T05:15:00,2026-02-01T00:00:00,source_seq=13; source_value_idx=2; mapped_target=yes
20,boundary,parity_bnd_014_exit_on_mcginley_filter_block_v02,cases/parity_bnd_014_exit_on_mcginley_filter_block_v02.json,parity_bnd_014_exit_on_mcginley_filter_block_v02,1,NORMAL,Exit on McGinley Filter Block=On,Set in TV UI: Exit if Selected Filters Block While In Position=On; Use McGinley Filter=On; Exit on McGinley Filter Block=On,"9,83",9=On; 83=On,397c4d052c83f947755d20a8f051847055675fe98258c960d2fb94e2eaab7c62,boundary:14:2:397c4d052c83f947,BINANCE:BTCUSDT.P,15,2025-06-30T05:15:00,2026-02-01T00:00:00,source_seq=14; source_value_idx=2; mapped_target=yes
