run_order,pack,case_id,case_json,tv_preset_name,enabled,expected_trade_behavior,primary_change,ui_actions,depends_on,parent_required,canonical_config_hash,semantic_fingerprint,symbol,timeframe,start_date,end_date,notes
24,boundary,parity_bnd_013_supertrend_01,cases_fixed/parity_bnd_013_supertrend_01.json,parity_bnd_013_supertrend_01,1,NORMAL,supertrend 01,Apply only this case change in TV UI: supertrend 01,,,ad4a1b441ca43db69a495caba2de3d6e037b354c8747ef0d9fcb6b987b53cab3,boundary:supertrend 01:44c4b18c9f78102b,,,2025-06-30T05:15:00,2026-02-01,bootstrapped_from_parity_suite_340 | optimized_ui_coverage | dependency_fixes_applied
25,boundary,parity_bnd_025_sl_atr_01,cases_fixed/parity_bnd_025_sl_atr_01.json,parity_bnd_025_sl_atr_01,1,NORMAL,sl atr 01,Apply only this case change in TV UI: sl atr 01,,,911292d05dd2b7fca8d70d87349f86e37f41b90245d473fb1dedfd73b815f364,boundary:sl atr 01:ad8fdcbb60bdd952,,,2025-06-30T05:15:00,2026-02-01,bootstrapped_from_parity_suite_340 | optimized_ui_coverage | dependency_fixes_applied
26,boundary,parity_bnd_057_multi_tp_01,cases_fixed/parity_bnd_057_multi_tp_01.json,parity_bnd_057_multi_tp_01,1,NORMAL,multi tp 01,Apply only this case change in TV UI: multi tp 01,,,c169000871289bf3bcb5554ae4bc98c58238e04d9997fd7760b06f911627a161,boundary:multi tp 01:4dca43ce1478001d,,,2025-06-30T05:15:00,2026-02-01,bootstrapped_from_parity_suite_340 | optimized_ui_coverage | dependency_fixes_applied
27,boundary,parity_bnd_073_be_trail_01,cases_fixed/parity_bnd_073_be_trail_01.json,parity_bnd_073_be_trail_01,1,NORMAL,be trail 01,Apply only this case change in TV UI: be trail 01,,,c08904092407f804004d3d238b73b3252d68d0233be0ee415a43357eb94fa750,boundary:be trail 01:a8124b125ddcc85b,,,2025-06-30T05:15:00,2026-02-01,bootstrapped_from_parity_suite_340 | optimized_ui_coverage | dependency_fixes_applied
28,boundary,parity_bnd_074_be_trail_02,cases_fixed/parity_bnd_074_be_trail_02.json,parity_bnd_074_be_trail_02,1,NORMAL,be trail 02,Apply only this case change in TV UI: be trail 02,,,1da93ec2e3b68f645f017b31c25b255c12e87b0efd6967ac778c4e6cecd61a02,boundary:be trail 02:4e05a119b73b6e5d,,,2025-06-30T05:15:00,2026-02-01,bootstrapped_from_parity_suite_340 | optimized_ui_coverage | dependency_fixes_applied
29,boundary,parity_bnd_075_be_trail_03,cases_fixed/parity_bnd_075_be_trail_03.json,parity_bnd_075_be_trail_03,1,NORMAL,be trail 03,Apply only this case change in TV UI: be trail 03,,,46764b1279637082420e01c7eda81e9bd68919d85e6c01ec02954e919ea1d7dd,boundary:be trail 03:196d5022789b8f90,,,2025-06-30T05:15:00,2026-02-01,bootstrapped_from_parity_suite_340 | optimized_ui_coverage | dependency_fixes_applied
30,boundary,parity_bnd_076_be_trail_04,cases_fixed/parity_bnd_076_be_trail_04.json,parity_bnd_076_be_trail_04,1,NORMAL,be trail 04,Apply only this case change in TV UI: be trail 04,,,333734f74a244455b85dadfc9980d37d6f3db38d45dd2f0d351aa606c7d31195,boundary:be trail 04:2bc0fef6fd656c50,,,2025-06-30T05:15:00,2026-02-01,bootstrapped_from_parity_suite_340 | optimized_ui_coverage | dependency_fixes_applied
31,boundary,parity_bnd_085_htf_macd_01,cases_fixed/parity_bnd_085_htf_macd_01.json,parity_bnd_085_htf_macd_01,1,NORMAL,htf macd 01,Apply only this case change in TV UI: htf macd 01,,,ac33207afd106c4b3a704b4981b21aa033056b6f8b662ddd202c3ff724279665,boundary:htf macd 01:c79a3f9cebdc4eb5,,,2025-06-30T05:15:00,2026-02-01,bootstrapped_from_parity_suite_340 | optimized_ui_coverage | dependency_fixes_applied
32,boundary,parity_bnd_093_risk_guards_01,cases_fixed/parity_bnd_093_risk_guards_01.json,parity_bnd_093_risk_guards_01,1,NORMAL,risk guards 01,Apply only this case change in TV UI: risk guards 01,,,72532595abdfbc67209a1f7b8261ec0fa82ea1a0558e4ee95149b8756e70ec87,boundary:risk guards 01:9e71f6bb99e60d1f,,,2025-06-30T05:15:00,2026-02-01,bootstrapped_from_parity_suite_340 | optimized_ui_coverage | dependency_fixes_applied
33,boundary,parity_bnd_095_risk_guards_03,cases_fixed/parity_bnd_095_risk_guards_03.json,parity_bnd_095_risk_guards_03,1,NORMAL,risk guards 03,Apply only this case change in TV UI: risk guards 03,,,8aac0f4a79065b2fe2b40030aebb7c97243bc8215038f229b3a0747246fd9ed8,boundary:risk guards 03:5df497f62a97e8e0,,,2025-06-30T05:15:00,2026-02-01,bootstrapped_from_parity_suite_340 | optimized_ui_coverage | dependency_fixes_applied
34,boundary,parity_bnd_096_risk_guards_04,cases_fixed/parity_bnd_096_risk_guards_04.json,parity_bnd_096_risk_guards_04,1,NORMAL,risk guards 04,Apply only this case change in TV UI: risk guards 04,,,a37eb259bbbc34c4eaaf7c6d6a1489250216d1415b1e8755363ae09812d47e8e,boundary:risk guards 04:91f0397e8f46efc7,,,2025-06-30T05:15:00,2026-02-01,bootstrapped_from_parity_suite_340 | optimized_ui_coverage | dependency_fixes_applied
