run_order,pack,case_id,case_json,tv_preset_name,enabled,expected_trade_behavior,primary_change,ui_actions,depends_on,parent_required,canonical_config_hash,semantic_fingerprint,symbol,timeframe,start_date,end_date,notes
1,core,parity_core_005_enable_long_trades_v01,cases/parity_core_005_enable_long_trades_v01.json,parity_core_005_enable_long_trades_v01,1,NORMAL,Enable Long Trades=On,Set in TV UI: Enable Long Trades=On,,,ac59501ac3a75a1daed01408e6881dd4a13b1ed555350545d2d7145f9fe9bb5f,core:5:1:ac59501ac3a75a1d,BINANCE:BTCUSDT.P,15,2025-06-30T05:15:00,2026-02-01T00:00:00,source_seq=5; source_value_idx=1; mapped_target=yes
3,core,parity_core_006_enable_short_trades_v01,cases/parity_core_006_enable_short_trades_v01.json,parity_core_006_enable_short_trades_v01,1,NORMAL,Enable Short Trades=On,Set in TV UI: Enable Short Trades=On,,,623faad5e0157d28e149e4a0d5a65b08ee294a4a20575d70c964072bf310199a,core:6:1:623faad5e0157d28,BINANCE:BTCUSDT.P,15,2025-06-30T05:15:00,2026-02-01T00:00:00,source_seq=6; source_value_idx=1; mapped_target=yes
5,core,parity_core_007_allow_position_flips_longshort_same_bar_v01,cases/parity_core_007_allow_position_flips_longshort_same_bar_v01.json,parity_core_007_allow_position_flips_longshort_same_bar_v01,1,NORMAL,Allow Position Flips (LongShort same bar)=On,Set in TV UI: Allow Position Flips (LongShort same bar)=On,,,6f820d13d3f19f7a0a744da7dd309742a20fe3e5476c542aa99356ec7eb08895,core:7:1:6f820d13d3f19f7a,BINANCE:BTCUSDT.P,15,2025-06-30T05:15:00,2026-02-01T00:00:00,source_seq=7; source_value_idx=1; mapped_target=yes
7,core,parity_core_008_exit_on_opposite_signal_v01,cases/parity_core_008_exit_on_opposite_signal_v01.json,parity_core_008_exit_on_opposite_signal_v01,1,NORMAL,Exit on Opposite Signal=Off,Set in TV UI: Exit on Opposite Signal=Off,,,74d621f32826c9da12d04ce87653cccf677b8f4c7b028317e46c86b684d003c6,core:8:1:74d621f32826c9da,BINANCE:BTCUSDT.P,15,2025-06-30T05:15:00,2026-02-01T00:00:00,source_seq=8; source_value_idx=1; mapped_target=yes
9,core,parity_core_009_exit_if_selected_filters_block_while_in_po_v01,cases/parity_core_009_exit_if_selected_filters_block_while_in_po_v01.json,parity_core_009_exit_if_selected_filters_block_while_in_po_v01,1,NORMAL,Exit if Selected Filters Block While In Position=Off,Set in TV UI: Exit if Selected Filters Block While In Position=Off,,,ead55c45a29286d18d1e1c1f7fe52897e00fb0449cc3f268138b46a563af65ed,core:9:1:ead55c45a29286d1,BINANCE:BTCUSDT.P,15,2025-06-30T05:15:00,2026-02-01T00:00:00,source_seq=9; source_value_idx=1; mapped_target=yes
11,core,parity_core_010_regime_lock_prevent_re_entry_same_directio_v01,cases/parity_core_010_regime_lock_prevent_re_entry_same_directio_v01.json,parity_core_010_regime_lock_prevent_re_entry_same_directio_v01,1,NORMAL,Regime Lock (Prevent Re-entry Same Direction)=Off,Set in TV UI: Regime Lock (Prevent Re-entry Same Direction)=Off,,,4372e71705c2bf00771d4ca3b2d42a68d700e1bf35af4a19def8de703c07e38b,core:10:1:4372e71705c2bf00,BINANCE:BTCUSDT.P,15,2025-06-30T05:15:00,2026-02-01T00:00:00,source_seq=10; source_value_idx=1; mapped_target=yes
13,core,parity_core_011_entry_mode_v01,cases/parity_core_011_entry_mode_v01.json,parity_core_011_entry_mode_v01,1,NORMAL,Entry Mode=Signal,Set in TV UI: Entry Mode=Signal,,,dcb169b2f2ab2240523870aac6e6da3a77d9c376506c3a57331055f14bfd2f35,core:11:1:dcb169b2f2ab2240,BINANCE:BTCUSDT.P,15,2025-06-30T05:15:00,2026-02-01T00:00:00,source_seq=11; source_value_idx=1; mapped_target=yes
15,core,parity_core_012_exit_on_ma_filter_block_v01,cases/parity_core_012_exit_on_ma_filter_block_v01.json,parity_core_012_exit_on_ma_filter_block_v01,1,NORMAL,Exit on MA Filter Block=Off,Set in TV UI: Exit if Selected Filters Block While In Position=On; Use MA Filter=On; Exit on MA Filter Block=Off,"9,81",9=On; 81=On,6e03c229a798b05c0ed52847190238e8fe12dcf5f0798b5e52c0f4317f4e3447,core:12:1:6e03c229a798b05c,BINANCE:BTCUSDT.P,15,2025-06-30T05:15:00,2026-02-01T00:00:00,source_seq=12; source_value_idx=1; mapped_target=yes
17,core,parity_core_013_exit_on_ma_slope_filter_block_v01,cases/parity_core_013_exit_on_ma_slope_filter_block_v01.json,parity_core_013_exit_on_ma_slope_filter_block_v01,1,NORMAL,Exit on MA Slope Filter Block=Off,Set in TV UI: Exit if Selected Filters Block While In Position=On; Use MA Slope Filter=On; Exit on MA Slope Filter Block=Off,"9,82",9=On; 82=On,922674f8800a2ef16f1b3a97a11fbaa66321e104d78f3b28b3ab84711958a2d2,core:13:1:922674f8800a2ef1,BINANCE:BTCUSDT.P,15,2025-06-30T05:15:00,2026-02-01T00:00:00,source_seq=13; source_value_idx=1; mapped_target=yes
19,core,parity_core_014_exit_on_mcginley_filter_block_v01,cases/parity_core_014_exit_on_mcginley_filter_block_v01.json,parity_core_014_exit_on_mcginley_filter_block_v01,1,NORMAL,Exit on McGinley Filter Block=Off,Set in TV UI: Exit if Selected Filters Block While In Position=On; Use McGinley Filter=On; Exit on McGinley Filter Block=Off,"9,83",9=On; 83=On,dfc14195a8338f75cfa1115904c1d08ef5fe0642566ef937157673a293e02c68,core:14:1:dfc14195a8338f75,BINANCE:BTCUSDT.P,15,2025-06-30T05:15:00,2026-02-01T00:00:00,source_seq=14; source_value_idx=1; mapped_target=yes
