case_id,reason,duplicate_of
parity_core_002_baseline_close,duplicate_canonical_config_hash,parity_core_001_baseline_touch
parity_core_003_signal_supertrend,duplicate_canonical_config_hash,parity_core_001_baseline_touch
parity_core_010_supertrend_wicks_on_ha_on,duplicate_canonical_config_hash,parity_core_001_baseline_touch
parity_core_012_entry_signal,duplicate_canonical_config_hash,parity_core_001_baseline_touch
parity_core_014_allow_flip_on,duplicate_canonical_config_hash,parity_core_001_baseline_touch
parity_core_015_same_bar_reentry_off,duplicate_canonical_config_hash,parity_core_001_baseline_touch
parity_core_016_same_bar_reentry_on,duplicate_canonical_config_hash,parity_core_001_baseline_touch
parity_core_017_reentry_requires_exit_off,disabled_in_source_manifest,
parity_core_018_reentry_requires_exit_on,disabled_in_source_manifest,
parity_core_035_first_bar_requires_edge_on,duplicate_canonical_config_hash,parity_core_001_baseline_touch
parity_core_036_sl_mode_atr,duplicate_canonical_config_hash,parity_core_001_baseline_touch
parity_core_039_tp_mode_atr,duplicate_canonical_config_hash,parity_core_001_baseline_touch
parity_core_040_tp_mode_percent,duplicate_canonical_config_hash,parity_core_001_baseline_touch
parity_core_041_tp_mode_r,duplicate_canonical_config_hash,parity_core_001_baseline_touch
parity_core_043_multi_tp_on,duplicate_canonical_config_hash,parity_core_001_baseline_touch
parity_core_045_break_even_on,duplicate_canonical_config_hash,parity_core_001_baseline_touch
parity_core_047_trailing_on,duplicate_canonical_config_hash,parity_core_001_baseline_touch
parity_bnd_001_time_stop_01,duplicate_canonical_config_hash,parity_core_029_time_stop_enabled_bars_2
parity_bnd_006_time_stop_06,duplicate_canonical_config_hash,parity_core_028_time_stop_enabled_bars_1
parity_bnd_007_time_stop_07,duplicate_canonical_config_hash,parity_core_029_time_stop_enabled_bars_2
parity_bnd_008_time_stop_08,duplicate_canonical_config_hash,parity_bnd_002_time_stop_02
parity_bnd_009_time_stop_09,duplicate_canonical_config_hash,parity_bnd_003_time_stop_03
parity_bnd_010_time_stop_10,duplicate_canonical_config_hash,parity_bnd_004_time_stop_04
parity_bnd_011_time_stop_11,duplicate_canonical_config_hash,parity_bnd_005_time_stop_05
