token,kind,path,target_value,covered,covered_by_count,covered_by_cases
break_even.rr==0.5,value,break_even.rr,0.5,1,1,parity_bnd_076_be_trail_04
break_even.rr==1.5,value,break_even.rr,1.5,1,1,parity_bnd_074_be_trail_02
break_even.rr==2,value,break_even.rr,2,1,1,parity_bnd_075_be_trail_03
break_even.use_break_even==false,value,break_even.use_break_even,false,1,3,parity_pw_002;parity_pw_049;parity_pw_050
exit_filter_block.exit_on_atr_vol_block==true,value,exit_filter_block.exit_on_atr_vol_block,true,1,1,parity_core_026_exit_filter_atr_vol_block_on
exit_filter_block.exit_on_htf_trend_block==true,value,exit_filter_block.exit_on_htf_trend_block,true,1,1,parity_core_024_exit_filter_htf_block_on
exit_filter_block.exit_on_ma_block==true,value,exit_filter_block.exit_on_ma_block,true,1,1,parity_core_021_exit_filter_ma_block_on
exit_filter_block.exit_on_ma_slope_block==true,value,exit_filter_block.exit_on_ma_slope_block,true,1,1,parity_core_022_exit_filter_ma_slope_block_on
exit_filter_block.exit_on_mcginley_block==true,value,exit_filter_block.exit_on_mcginley_block,true,1,1,parity_core_023_exit_filter_mcginley_block_on
exit_filter_block.exit_on_range_block==true,value,exit_filter_block.exit_on_range_block,true,1,1,parity_core_027_exit_filter_range_block_on
exit_filter_block.exit_on_vol_block==true,value,exit_filter_block.exit_on_vol_block,true,1,1,parity_core_025_exit_filter_volume_block_on
filters.htf_trend_timeframe::changed,changed,filters.htf_trend_timeframe,,1,1,parity_bnd_085_htf_macd_01
filters.macd_gate_mode::changed,changed,filters.macd_gate_mode,,1,4,parity_bnd_085_htf_macd_01;parity_pw_002;parity_pw_049;parity_pw_050
filters.use_atr_vol_filter==true,value,filters.use_atr_vol_filter,true,1,1,parity_core_026_exit_filter_atr_vol_block_on
filters.use_htf_trend_filter==true,value,filters.use_htf_trend_filter,true,1,2,parity_bnd_085_htf_macd_01;parity_core_024_exit_filter_htf_block_on
filters.use_ma_filter==true,value,filters.use_ma_filter,true,1,1,parity_core_021_exit_filter_ma_block_on
