"video_id","normalized_url","original_url","title","channel_name","channel_id","transcript_hash","candidate_id","status","first_seen_at","last_seen_at","process_count","notes"
"Gr2VDAOPRoc","https://www.youtube.com/watch?v=Gr2VDAOPRoc","https://youtu.be/Gr2VDAOPRoc?si=cqu6XcRmWZlekz0M","UNKNOWN_TITLE - 8 EMA purple line Amazon trade","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","0b06440a2fd70675b291564b9bb6e2e0c99a52fe159fe675aecc8612bf4d5554","QL_2026-05-01_US_EQUITIES_10M_8EMA_PULLBACK","CANDIDATE","2026-05-01","2026-05-01","1","READY_FOR_PYTHON_PROTOTYPE; channel info not provided; transcript supplied by user"
"mMwl4xAh_NI","https://www.youtube.com/watch?v=mMwl4xAh_NI","https://youtu.be/mMwl4xAh_NI?si=uv_JmPnE2HjpDVS-","The ONLY Pattern I've Used for 7 Years - Nothing Else (Full Strategy)","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","2d0a84db1fb32218ab6f59383a4597de92592b4b32c860d724cd93f6d4505b2b","QL_2026-05-01_US_EQUITIES_INTRADAY_LE_MODEL_BULL_FLAG","CANDIDATE","2026-05-01","2026-05-01","1","READY_FOR_PYTHON_PROTOTYPE; channel info not provided; transcript file supplied by user"
"wwbjYNV3vCY","https://www.youtube.com/watch?v=wwbjYNV3vCY","https://www.youtube.com/watch?v=wwbjYNV3vCY","Purple Profits strategy summary","EllyDTrades","UNKNOWN_CHANNEL_ID","abe899137e17764d892684c77bbe6ca35fe47465022fa36a9a1d2eec12a0b5f2","QL_2026-05-01_US_EQUITIES_INTRADAY_PURPLE_PROFITS","CANDIDATE","2026-05-01","2026-05-01","1","READY_FOR_PYTHON_PROTOTYPE; user-provided non-verbatim summary; overlaps prior 8 EMA candidates"
"rprQ4uo-mzE","https://www.youtube.com/watch?v=rprQ4uo-mzE","https://youtu.be/rprQ4uo-mzE","The Only Exit Strategy You'll Ever Need... (Even When You're Scared)","EllyDTrades","UNKNOWN_CHANNEL_ID","93e523c6635ab3647478648d92b9bb952ffa1d214177b49846c021df804042b6","QL_2026-05-01_US_EQUITIES_INTRADAY_8EMA_EXIT_TRAIL","CANDIDATE","2026-05-01","2026-05-01","1","READY_FOR_PYTHON_PROTOTYPE; user-provided non-verbatim summary; exit module for prior 8 EMA candidates"
"UNKNOWN_VIDEO_2026-05-01_TV_BUYSELL_INDICATOR_PACK","UNKNOWN_URL","UNKNOWN_URL","Five TradingView buy/sell signal indicators","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","2a89bbebef51e52915b54218770a5a474a074fca69befdd34019ca1716da43ae","QL_2026-05-01_TV_BUYSELL_INDICATOR_PACK","SALVAGE","2026-05-01","2026-05-01","1","SALVAGE_ONLY; URL/channel missing; external TradingView indicator list without complete strategy rules"
"UNKNOWN_VIDEO_2026-05-01_MULTI_EMA_CHANNEL_PULLBACK","UNKNOWN_URL","UNKNOWN_URL","Best EMA settings multi-EMA channel strategy","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","5d9153e18dcba3ca94ec719f9f1be8fba1ba5ee3744f479198df6beae6bf3fa3","QL_2026-05-01_UNKNOWN_MULTI_EMA_CHANNEL_PULLBACK","CANDIDATE","2026-05-01","2026-05-01","1","READY_FOR_PYTHON_PROTOTYPE; URL/channel missing; codable multi-EMA channel pullback strategy"
"UNKNOWN_VIDEO_2026-05-01_EQUILIBRIUM_MOMENTUM_SHIFT_DIVERGENCE","UNKNOWN_URL","UNKNOWN_URL","Equilibrium Momentum Shift divergence strategy","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","a8d8a34767386c74006dd71d3bbcc0265f95a301b706930f549bf5d1c4d36857","QL_2026-05-01_EQUILIBRIUM_MOMENTUM_SHIFT_DIVERGENCE","SALVAGE","2026-05-01","2026-05-01","1","SALVAGE_ONLY; URL/channel missing; external indicator formula incomplete"
"UNKNOWN_VIDEO_2026-05-01_RANKED_FVG_IMBALANCE_ZONES","UNKNOWN_URL","UNKNOWN_URL","Ranked FVG Imbalance Zones indicator","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","5f880290d977b6c7fed67e3c2c02b112434ba7701b7f3a7df2dc3ef28148db6a","QL_2026-05-01_RANKED_FVG_IMBALANCE_ZONES","SALVAGE","2026-05-01","2026-05-01","1","SALVAGE_ONLY; URL/channel missing; external FVG ranking formula incomplete"
"UNKNOWN_VIDEO_2026-05-01_DATA_DRIVEN_EDGE_RISK_SYSTEM","UNKNOWN_URL","UNKNOWN_URL","Data-driven edge, low-variance risk, and execution clarity","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","edafcb1fa706258c24d4893b5e1a93002c2bc3587cc14603db528da2ef9de38f","","WIKI_ONLY","2026-05-01","2026-05-01","1","WIKI_ONLY; system development risk management and psychology; no codable entry signal"
"UNKNOWN_VIDEO_2026-05-01_INDICATOR_TIER_LIST_VOLUME_FIRST","UNKNOWN_URL","UNKNOWN_URL","Indicator tier list and volume-first technical analysis","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","c1d159addfdaa9308d7b58009ed598f44f993af2d7e803e72b678d0e43fa64ea","","WIKI_ONLY","2026-05-01","2026-05-01","1","WIKI_ONLY; indicator evaluation note; no complete strategy"
