symbol,segment,timeframe,expansion_mult,exit_variant,same_bar_both_mode,fee_scenario,filter_mode,direction_mode,bars_tested,start_date,end_date,final_equity,net_return_pct,max_drawdown_pct,buy_and_hold_return_pct,beats_buy_and_hold,total_trades,long_trades,short_trades,win_rate,profit_factor,avg_trade_pct,avg_win_pct,avg_loss_pct,expectancy_pct,return_dd_ratio,fee_label,symbols,positive_symbols,aggregate_net_return_pct,aggregate_max_drawdown_pct,aggregate_trade_count,avg_win_rate,avg_return_dd_ratio,aggregate_profit_factor
BNBUSDT,full,1D,0.9,close_exit,skip,commission=0.0004;slippage=0.0002,none,both,2269,2020-02-10,2026-04-27,103753.55270217337,937.5355270217337,-35.06548519602307,2374.77073325658,False,806,377,429,49.13151364764268,1.4248105702440244,0.3700092266112371,2.52588877930981,-1.7122549267268967,0.3700092266112371,26.736704819018556,base,5,5,1192.539270210256,-37.750162271634544,4178,48.108393042059,33.03917349067698,1.3537322896123418
BNBUSDT,full,1D,0.9,next_bar_close_exit,skip,commission=0.0004;slippage=0.0002,none,both,2269,2020-02-10,2026-04-27,42159.570944083025,321.5957094408303,-62.92394738740954,2374.77073325658,False,652,313,339,46.012269938650306,1.2440818373592581,0.3821540516003022,4.2332926764512075,-2.9000663673067195,0.3821540516003022,5.110863555028311,base,5,5,619.7681126914761,-68.37241631463355,3322,47.67621956193565,9.419067371042305,1.2782249875982599
BNBUSDT,full,1D,0.9,previous_extreme_target_stop,skip,commission=0.0004;slippage=0.0002,none,both,2269,2020-02-10,2026-04-27,0.0014733044254232445,-99.99998526695575,-99.99998526695575,2374.77073325658,False,806,377,429,3.101736972704715,0.0023774559441349227,-1.9146962357865878,0.14710964242457267,-1.9806951435398263,-1.9146962357865878,-1.0,base,5,0,-99.99998361546145,-99.99998361546145,4178,2.3612301193196843,-1.0,0.002121286810295809
BNBUSDT,full,1D,0.9,atr_stop_time_exit,skip,commission=0.0004;slippage=0.0002,none,both,2269,2020-02-10,2026-04-27,37249.67430466197,272.49674304661966,-56.32252641020331,2374.77073325658,False,506,242,264,48.22134387351779,1.2546292994739179,0.4973616549013993,5.082062948840194,-3.7723601608278607,0.4973616549013993,4.838148435707502,base,5,5,339.36761913844106,-67.34690821243966,2611,48.14292881771213,5.634794739441767,1.237436295929077
BTCUSDT,full,1D,0.9,close_exit,skip,commission=0.0004;slippage=0.0002,none,both,2410,2019-09-08,2026-04-13,68440.18696088667,584.4018696088667,-33.75369434845182,593.4552134746908,False,953,474,479,48.163693599160545,1.3332053490551061,0.24556756304977365,2.04002879868063,-1.4217557307853737,0.24556756304977365,17.313715754366644,base,5,5,1192.539270210256,-37.750162271634544,4178,48.108393042059,33.03917349067698,1.3537322896123418
BTCUSDT,full,1D,0.9,next_bar_close_exit,skip,commission=0.0004;slippage=0.0002,none,both,2410,2019-09-08,2026-04-13,57287.60657560355,472.8760657560355,-50.64278106421042,593.4552134746908,False,727,365,362,47.73039889958734,1.2548133273817619,0.32983590412436475,3.4029835411803964,-2.476433122345222,0.32983590412436475,9.337482180460663,base,5,5,619.7681126914761,-68.37241631463355,3322,47.67621956193565,9.419067371042305,1.2782249875982599
BTCUSDT,full,1D,0.9,previous_extreme_target_stop,skip,commission=0.0004;slippage=0.0002,none,both,2410,2019-09-08,2026-04-13,0.006291280408006077,-99.99993708719592,-99.99993708719592,593.4552134746908,False,953,474,479,1.5739769150052465,0.0016857018726977036,-1.477936016095983,0.15855164501075014,-1.5041058614228495,-1.477936016095983,-1.0,base,5,0,-99.99998361546145,-99.99998361546145,4178,2.3612301193196843,-1.0,0.002121286810295809
BTCUSDT,full,1D,0.9,atr_stop_time_exit,skip,commission=0.0004;slippage=0.0002,none,both,2410,2019-09-08,2026-04-13,91644.5891007468,816.445891007468,-56.2162127453691,593.4552134746908,True,569,295,274,48.68189806678383,1.3291926127243967,0.5275331905438756,4.375423797429994,-3.1226918029748045,0.5275331905438756,14.523317227105878,base,5,5,339.36761913844106,-67.34690821243966,2611,48.14292881771213,5.634794739441767,1.237436295929077
ETHUSDT,full,1D,0.9,close_exit,skip,commission=0.0004;slippage=0.0002,none,both,2344,2019-11-27,2026-04-27,285738.321766302,2757.38321766302,-32.172262051441535,1405.9205350118016,True,862,417,445,49.303944315545245,1.514428487077896,0.467827501303149,2.7933660094931403,-1.7938518258839136,0.467827501303149,85.70684937397712,base,5,5,1192.539270210256,-37.750162271634544,4178,48.108393042059,33.03917349067698,1.3537322896123418
ETHUSDT,full,1D,0.9,next_bar_close_exit,skip,commission=0.0004;slippage=0.0002,none,both,2344,2019-11-27,2026-04-27,99826.91234052215,898.2691234052215,-57.518053637315106,1405.9205350118016,False,689,341,348,49.92743105950653,1.3060071962169257,0.5185230635510494,4.432439208161426,-3.384048396582196,0.5185230635510494,15.617168290661095,base,5,5,619.7681126914761,-68.37241631463355,3322,47.67621956193565,9.419067371042305,1.2782249875982599
ETHUSDT,full,1D,0.9,previous_extreme_target_stop,skip,commission=0.0004;slippage=0.0002,none,both,2344,2019-11-27,2026-04-27,0.00039801901124830795,-99.99999601980988,-99.99999601980988,1405.9205350118016,False,862,417,445,2.668213457076566,0.002784942269516746,-1.943057557861587,0.20337261114400745,-2.0018989093361146,-1.943057557861587,-1.0,base,5,0,-99.99998361546145,-99.99998361546145,4178,2.3612301193196843,-1.0,0.002121286810295809
