asset,trade_count,assets_tested,aggregate_pf,aggregate_net_return_pct,aggregate_max_dd_pct,return_dd_ratio,win_rate,average_trade_pct,median_trade_pct,average_win_pct,average_loss_pct,expectancy_pct,exposure_pct,fee_2x_pf,fee_3x_pf,fee_monotonic,classification
ADAUSDT,111,1,1.7206,235.5918,-31.1176,7.571,42.3423,1.5299,-0.7841,8.6271,-3.6822,1.5299,3.0931,1.643,1.5696,True,DATA_BLOCKED
AVAXUSDT,121,1,1.9735,522.571,-39.0007,13.399,44.6281,2.0937,-0.4868,9.5108,-3.8842,2.0937,2.8375,1.8901,1.8112,True,DATA_BLOCKED
BNBUSDT,181,1,2.1844,796.2517,-25.1992,31.5983,41.4365,1.5928,-0.4337,7.0896,-2.2964,1.5928,3.2781,2.0407,1.9097,True,DATA_BLOCKED
BTCUSDT,166,1,1.4019,97.9767,-25.4222,3.854,37.3494,0.5306,-0.8319,4.9553,-2.1072,0.5306,3.1124,1.294,1.1969,True,DATA_BLOCKED
DOGEUSDT,93,1,1.7869,303.9363,-62.0135,4.9011,36.5591,2.4926,-1.5885,15.482,-4.9928,2.4926,1.8996,1.7313,1.6779,True,DATA_BLOCKED
DOTUSDT,115,1,0.8969,-40.7299,-65.964,-0.6175,29.5652,-0.2419,-1.5944,7.116,-3.3304,-0.2419,2.5797,0.8511,0.8085,True,DATA_BLOCKED
ETHUSDT,180,1,1.4009,146.4831,-32.6565,4.4856,40.0,0.6834,-0.83,5.9701,-2.8411,0.6834,3.3333,1.3169,1.2395,True,DATA_BLOCKED
LINKUSDT,162,1,0.9444,-48.7405,-73.2585,-0.6653,33.9506,-0.1377,-1.4062,6.8829,-3.7463,-0.1377,2.6749,0.8992,0.8568,True,DATA_BLOCKED
SOLUSDT,136,1,1.5127,191.3671,-48.561,3.9408,41.1765,1.3528,-0.8078,9.6939,-4.486,1.3528,3.1127,1.455,1.4003,True,DATA_BLOCKED
XRPUSDT,123,1,1.1433,-10.3951,-74.9636,-0.1387,32.5203,0.3772,-1.0251,9.2524,-3.9,0.3772,1.9512,1.0948,1.049,True,DATA_BLOCKED
