candidate_id,strategy,timeframe,trade_count,assets_tested,aggregate_pf,aggregate_net_return_pct,aggregate_max_dd_pct,return_dd_ratio,win_rate,average_trade_pct,median_trade_pct,average_win_pct,average_loss_pct,expectancy_pct,exposure_pct,fee_2x_pf,fee_3x_pf,fee_monotonic,classification
CANDIDATE_003,"Slingshot EMA(high,4) Pullback",1D,1388,10,1.4581,292669.9798,-86.417,3386.7181,38.1124,0.9615,-0.9292,8.0297,-3.3913,0.9615,2.8578,1.3872,1.3207,True,WEAK_CANDIDATE
CANDIDATE_007,Linda 5SMA Pullback,1D,687,10,1.3096,1206.3069,-85.9357,14.0373,63.0277,0.8382,1.7501,5.626,-7.3236,0.8382,13.9059,1.2609,1.2138,True,WEAK_CANDIDATE
CANDIDATE_004,Crabel Range Expansion,1D,8105,10,1.251,7179649232.748,-98.442,72932791.7121,47.4522,0.5144,-0.2882,5.4034,-3.9004,0.5144,3.3333,1.1866,1.126,True,WEAK_CANDIDATE
CANDIDATE_011,Daily Extension Anti-Chase Standalone Proxy,1D,111,10,0.5201,-96.8928,-98.614,-0.9825,43.2432,-2.4328,-1.7524,6.0962,-8.9311,-2.4328,10.0,0.5031,0.4865,True,REJECT
CANDIDATE_001,Kell Wedge Pop / EMA Crossback,1D,111,10,1.7481,331.7517,-46.3269,7.1611,31.5315,1.8977,-1.6369,14.0635,-3.705,1.8977,24.8348,1.6786,1.6132,True,WEAK_CANDIDATE
CANDIDATE_005,BigBeluga RSI/CHoCH/ATR Proxy,1D,465,10,1.4516,3955.225,-79.8493,49.5336,46.6667,2.3674,-1.412,16.3052,-9.8282,2.3674,32.7527,1.4236,1.3962,True,WEAK_CANDIDATE
CANDIDATE_012,EMA20/50 Two Retests Baseline,1D,135,10,1.8741,738.7124,-82.1442,8.9929,23.7037,4.7083,-4.331,42.5872,-7.0599,4.7083,43.1605,1.8376,1.8023,True,BASELINE_ONLY
CANDIDATE_008,8AM ET ORB Crypto Proxy,5m,4259,5,0.5383,-99.4805,-99.4799,-1.0,34.1395,-0.1215,-0.1332,0.4149,-0.3995,-0.1215,19.91,0.3067,0.1848,True,REJECT_CRYPTO_PROXY
CANDIDATE_002,Martin Luke Pullback AVWAP Proxy,1D,584,10,1.4435,17034.8144,-91.7686,185.6279,31.8493,1.9054,-3.5077,19.4704,-6.3034,1.9054,23.1678,1.4078,1.3733,True,WEAK_CANDIDATE
CANDIDATE_009,HighBeta Opening Bar Crypto Proxy,5m,151,5,1.0861,3.0885,-7.1457,0.4322,49.0066,0.0235,-0.025,0.6058,-0.5361,0.0235,39.426,0.716,0.4825,True,WEAK_CANDIDATE_CRYPTO_PROXY
CANDIDATE_006,CANSLIM Shakeout +3,1D,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,True,DATA_BLOCKED
CANDIDATE_010,Ty Rajnus Microcap Liquidity Reversion Short,1m/premarket,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,True,DATA_BLOCKED
