audited_rank,candidate_id,source_url,source_quality,strategy_family,horizon,native_timeframe,tested_timeframe,data_type,assets_tested,trades,net_return,PF_base,PF_fee_2x,PF_fee_3x,max_DD,win_rate,expectancy,concentration_warning,drawdown_warning,cost_warning,proxy_warning,final_classification,next_action
1,CANDIDATE_003,https://youtu.be/c7ZSb2wNcOc?si=qdou6ffSbBNhJw63,MEDIUM_QUALITY_EDUCATIONAL,trend_pullback,SWING,1D,1D,CRYPTO_PROXY,10,1388,292669.9798,1.4581,1.3872,1.3207,-86.417,38.1124,0.9615,,YES,,YES,WEAK_CANDIDATE,Stage 2 robustness only; no Pine
2,CANDIDATE_001,https://youtu.be/62OaP91Jz9k?si=PHn5ULWDuxyqjQ24,MEDIUM_QUALITY_EDUCATIONAL,trend_pullback,SWING,1D/4h/1h,1D,CRYPTO_PROXY,10,111,331.7517,1.7481,1.6786,1.6132,-46.3269,31.5315,1.8977,,YES,,YES,WEAK_CANDIDATE,Stage 2 robustness only; no Pine
3,CANDIDATE_004,https://youtu.be/Ne3X-l6W4CQ?si=s2DVjxj3f45iUfgx,HIGH_QUALITY_TRADER_INTERVIEW,breakout,SWING,1D,1D,CRYPTO_PROXY,10,8105,7179649232.748,1.251,1.1866,1.126,-98.442,47.4522,0.5144,,YES,,YES,WEAK_CANDIDATE,Stage 2 robustness only; no Pine
4,CANDIDATE_012,https://youtu.be/fYxSQvuwOQc?si=mZyENAdFJu8x7LKZ,LOW_QUALITY_GENERIC_YOUTUBE,baseline_trend,SWING,1D/4h/1h,1D,CRYPTO_PROXY,10,135,738.7124,1.8741,1.8376,1.8023,-82.1442,23.7037,4.7083,,YES,,YES,BASELINE_ONLY,Keep for benchmark comparisons
5,CANDIDATE_009,https://youtu.be/-JyH5PAJ4-Y?si=BqaSaOarsfJIutKk,MEDIUM_QUALITY_EDUCATIONAL,intraday_momentum,DAY_TRADE,5m,5m,5M_PROXY,5,151,3.0885,1.0861,0.716,0.4825,-7.1457,49.0066,0.0235,,,YES,YES,NEEDS_INTRADAY_SESSION_DATA,Acquire US high-beta 5m gap/session data
6,CANDIDATE_007,https://youtu.be/kTqKRi-j9kM?si=99GgO3p0M-b25wBA,HIGH_QUALITY_TRADER_INTERVIEW,mean_reversion_pullback,SWING,1D,1D,CRYPTO_PROXY,10,687,1206.3069,1.3096,1.2609,1.2138,-85.9357,63.0277,0.8382,,YES,,YES,WEAK_CANDIDATE,Stage 2 robustness only; no Pine
7,CANDIDATE_005,"https://youtu.be/NGyE4YIgGpU?si=gj_6ZcIyjUFAEGhk""",MEDIUM_QUALITY_EDUCATIONAL,reversal_structure,SWING,1D/4h,1D,CRYPTO_PROXY,10,465,3955.225,1.4516,1.4236,1.3962,-79.8493,46.6667,2.3674,,YES,,YES,WEAK_CANDIDATE,Stage 2 robustness only; no Pine
8,CANDIDATE_002,https://youtu.be/lS9zbnLi1Gg?si=vmGqb0X_iM3tCvw9`,HIGH_QUALITY_TRADER_INTERVIEW,support_reclaim,SWING,1D/4h/1h,1D,CRYPTO_PROXY,10,584,17034.8144,1.4435,1.4078,1.3733,-91.7686,31.8493,1.9054,,YES,,YES,WEAK_CANDIDATE,Stage 2 robustness only; no Pine
9,CANDIDATE_008,https://youtu.be/-JyH5PAJ4-Y?si=BqaSaOarsfJIutKk,MEDIUM_QUALITY_EDUCATIONAL,intraday_breakout,DAY_TRADE,5m,5m,5M_PROXY,5,4259,-99.4805,0.5383,0.3067,0.1848,-99.4799,34.1395,-0.1215,,YES,YES,YES,REJECT_NO_EDGE,Do not pursue
10,CANDIDATE_006,https://youtu.be/-JyH5PAJ4-Y?si=BqaSaOarsfJIutKk,HIGH_QUALITY_TRADER_INTERVIEW,position_breakout,POSITION,1D,,DATA_BLOCKED,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,NEEDS_REAL_EQUITY_DATA,Acquire US equity daily/RS data
11,CANDIDATE_010,https://www.youtube.com/watch?v=6tnREqUJ1WY,HIGH_QUALITY_TRADER_INTERVIEW,microcap_short,SWING,1m/premarket,,DATA_BLOCKED,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,NEEDS_REAL_MICROCAP_DATA,Acquire microcap 1m/borrow/locate/halt/dilution data
12,CANDIDATE_013,https://youtu.be/kTqKRi-j9kM?si=99GgO3p0M-b25wBA,HIGH_QUALITY_TRADER_INTERVIEW,position_trend,POSITION,1D/1W,,DATA_BLOCKED,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,NEEDS_REAL_EQUITY_DATA,Acquire US equity daily/RS data
13,CANDIDATE_014,https://youtu.be/ElocJ-b_NTs?si=5HoHV7QnhLAqXNM1,MEDIUM_QUALITY_EDUCATIONAL,process,PROCESS,multi,,REAL_NATIVE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,PROCESS_ONLY,Do not pursue
14,CANDIDATE_011,https://youtu.be/Yb5lMegA5Hs?si=_zP9cjzTaZN8vh4w,MEDIUM_QUALITY_EDUCATIONAL,filter,FILTER,1D,1D,CRYPTO_PROXY,10,111,-96.8928,0.5201,0.5031,0.4865,-98.614,43.2432,-2.4328,,YES,YES,YES,FILTER_ONLY,Test as gate on existing producer trade sets
