candidate_id,audited_candidate_id,trades_path,first_trade_count,audited_trade_count,first_pf,audited_pf,first_net_return,audited_net_return,first_max_dd,audited_max_dd,mismatch_status
CANDIDATE_001,AUD_CAND_001,06_QUANTLENS_LAB\research\overnight_intake_batch_2026_05_03_CLEAN\strategies\CANDIDATE_001\trades.csv,111,111,1.7481,1.7481,331.7517,331.7517,-46.3269,-46.3269,MATCH
CANDIDATE_002,AUD_CAND_002,06_QUANTLENS_LAB\research\overnight_intake_batch_2026_05_03_CLEAN\strategies\CANDIDATE_002\trades.csv,584,584,1.4435,1.4435,17034.8144,17034.8144,-91.7686,-91.7686,MATCH
CANDIDATE_003,AUD_CAND_003,06_QUANTLENS_LAB\research\overnight_intake_batch_2026_05_03_CLEAN\strategies\CANDIDATE_003\trades.csv,1388,1388,1.4581,1.4581,292669.9798,292669.9798,-86.417,-86.417,MATCH
CANDIDATE_004,AUD_CAND_004,06_QUANTLENS_LAB\research\overnight_intake_batch_2026_05_03_CLEAN\strategies\CANDIDATE_004\trades.csv,8105,8105,1.251,1.251,7179649232.748,7179649232.748,-98.442,-98.442,MATCH
CANDIDATE_005,AUD_CAND_005,06_QUANTLENS_LAB\research\overnight_intake_batch_2026_05_03_CLEAN\strategies\CANDIDATE_005\trades.csv,465,465,1.4516,1.4516,3955.225,3955.225,-79.8493,-79.8493,MATCH
CANDIDATE_006,AUD_CAND_006,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,MATCH
CANDIDATE_007,AUD_CAND_007,06_QUANTLENS_LAB\research\overnight_intake_batch_2026_05_03_CLEAN\strategies\CANDIDATE_007\trades.csv,687,687,1.3096,1.3096,1206.3069,1206.3069,-85.9357,-85.9357,MATCH
CANDIDATE_008,AUD_CAND_008,06_QUANTLENS_LAB\research\overnight_intake_batch_2026_05_03_CLEAN\strategies\CANDIDATE_008\trades.csv,4259,4259,0.5383,0.5383,-99.4805,-99.4805,-99.4799,-99.4799,MATCH
CANDIDATE_009,AUD_CAND_009,06_QUANTLENS_LAB\research\overnight_intake_batch_2026_05_03_CLEAN\strategies\CANDIDATE_009\trades.csv,151,151,1.0861,1.0861,3.0885,3.0885,-7.1457,-7.1457,MATCH
CANDIDATE_010,AUD_CAND_010,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,MATCH
CANDIDATE_011,AUD_CAND_011,06_QUANTLENS_LAB\research\overnight_intake_batch_2026_05_03_CLEAN\strategies\CANDIDATE_011\trades.csv,111,111,0.5201,0.5201,-96.8928,-96.8928,-98.614,-98.614,MATCH
CANDIDATE_012,AUD_CAND_012,06_QUANTLENS_LAB\research\overnight_intake_batch_2026_05_03_CLEAN\strategies\CANDIDATE_012\trades.csv,135,135,1.8741,1.8741,738.7124,738.7124,-82.1442,-82.1442,MATCH
CANDIDATE_013,AUD_CAND_013,,0,0,0.0,0.0,,0.0,,0.0,MATCH
CANDIDATE_014,AUD_CAND_014,,0,0,0.0,0.0,,0.0,,0.0,MATCH
