file,type,url,video_id,title
2026-05-03_-JyH5PAJ4-Y_quantlens_nick_schmidt_weekly_character_change_intake.md,VALID_INTAKE_REPORT,** https://youtu.be/-JyH5PAJ4-Y?si=BqaSaOarsfJIutKk,,QUANTLENS TRANSCRIPT INTAKE REPORT — Nick Schmidt Weekly Character Change / Trade Less Model
2026-05-03_10pHBNVi4Jc_quantlens_gon_gajala_low_float_momentum_intake.md,VALID_INTAKE_REPORT,** https://youtu.be/10pHBNVi4Jc?si=ohzwBJxkVCTKPpcX,,QUANTLENS TRANSCRIPT INTAKE REPORT — Gon Gajala / Record Breaking Trading Champion Setups
2026-05-03_62OaP91Jz9k_quantlens_nick_schmidt_weekly_strategy_intake.md,VALID_INTAKE_REPORT,** https://youtu.be/62OaP91Jz9k?si=PHn5ULWDuxyqjQ24,,QUANTLENS TRANSCRIPT INTAKE REPORT — Nick Schmidt Weekly Strategy
2026-05-03_9ZJK8175drM_quantlens_canslim_detailed_intake.md,VALID_INTAKE_REPORT,** https://youtu.be/9ZJK8175drM?si=QcTE0mdW00UzcL_B,,QUANTLENS TRANSCRIPT INTAKE REPORT — 9ZJK8175drM
2026-05-03_c7ZSb2wNcOc_quantlens_detailed_intake.md,VALID_INTAKE_REPORT,** https://youtu.be/c7ZSb2wNcOc?si=qdou6ffSbBNhJw63,,QUANTLENS TRANSCRIPT INTAKE REPORT — c7ZSb2wNcOc
2026-05-03_fYxSQvuwOQc_quantlens_oliver_kell_cycle_intake.md,VALID_INTAKE_REPORT,** https://youtu.be/fYxSQvuwOQc?si=mZyENAdFJu8x7LKZ,,QUANTLENS TRANSCRIPT INTAKE REPORT — fYxSQvuwOQc
2026-05-03_ivL6E6Lc6gM_quantlens_charles_harris_pullback_intake.md,VALID_INTAKE_REPORT,** https://youtu.be/ivL6E6Lc6gM?si=GNNGCxRmyNZYqNrJ,,QUANTLENS TRANSCRIPT INTAKE REPORT — Charles Harris Perfect Pullback Trading Setup
2026-05-03_KQRuUWSZvLE_quantlens_ryan_pierpont_process_intake.md,VALID_INTAKE_REPORT,** https://youtu.be/KQRuUWSZvLE?si=50fVh__JlzLkqeb0,,QUANTLENS TRANSCRIPT INTAKE REPORT — KQRuUWSZvLE
2026-05-03_kTqKRi-j9kM_quantlens_linda_raschke_sell_rules_trade_management_intake.md,VALID_INTAKE_REPORT,** https://youtu.be/kTqKRi-j9kM?si=99GgO3p0M-b25wBA,,QUANTLENS TRANSCRIPT INTAKE REPORT — Linda Bradford Raschke / 5 Essential Sell Rules & Trade Management
2026-05-03_MnXQOt7_ZP0_quantlens_jim_roppel_ai_bull_market_intake_report.md,VALID_INTAKE_REPORT,** https://youtu.be/MnXQOt7_ZP0?si=OdvX4hI-qnjYMKZp,,QUANTLENS TRANSCRIPT INTAKE REPORT — Jim Roppel AI Bull Market / Position Trading Framework
2026-05-03_Ne3X-l6W4CQ_quantlens_process_strategy_intake.md,VALID_INTAKE_REPORT,** https://youtu.be/Ne3X-l6W4CQ?si=s2DVjxj3f45iUfgx,,QUANTLENS TRANSCRIPT INTAKE REPORT — Ne3X-l6W4CQ
2026-05-03_NGyE4YIgGpU_quantlens_tito_adhikary_options_momentum_intake_report.md,VALID_INTAKE_REPORT,,,QuantLens Intake Report — Tito Adhikary / Options Momentum Breakout
2026-05-03_O0GpSPtmCuM_quantlens_stan_weinstein_stage_analysis_intake.md,VALID_INTAKE_REPORT,** https://youtu.be/O0GpSPtmCuM?si=Ra7X5w149KdMksmj,,QUANTLENS TRANSCRIPT INTAKE REPORT — Stan Weinstein Stage Analysis / Current Market Warnings
2026-05-03_Tm0dkf8_giA_quantlens_vcp_breakout_intake_report.md,VALID_INTAKE_REPORT,** https://youtu.be/Tm0dkf8_giA?si=KeJv1-D-_CbJU-FK,,QUANTLENS TRANSCRIPT INTAKE REPORT — VCP Breakout / Volatility Contraction Pattern
2026-05-03_UmLa9FAlMgw_quantlens_brian_shannon_avwap_intake.md,VALID_INTAKE_REPORT,** https://youtu.be/UmLa9FAlMgw?si=bqyEc59JFMCVzcGH,,QUANTLENS TRANSCRIPT INTAKE REPORT — Brian Shannon / AVWAP Trading Indicator Secrets and Setups
2026-05-03_XNZ4f-b3ED8_quantlens_intake_indicator_audit.md,VALID_INTAKE_REPORT,** https://youtu.be/XNZ4f-b3ED8?si=SEFGjG-VyI49JxU-,,QUANTLENS TRANSCRIPT INTAKE REPORT — XNZ4f-b3ED8
2026-05-03__QewlGLBaeA_quantlens_anthony_shi_cycle_aware_momentum_intake.md,VALID_INTAKE_REPORT,** https://youtu.be/_QewlGLBaeA?si=ZoVcYdRIch1Lx_Df,,QUANTLENS TRANSCRIPT INTAKE REPORT — Anthony Shi / Profitable Momentum Swing Trader
INTAKE_001_Lot25-2fb-4_433_return_poker_player_full_time_trader.md,VALID_INTAKE_REPORT,** `https://youtu.be/Lot25-2fb-4?si=YHKVb3kJfybusO5o`,,QuantLens Transcript Intake Report — 001 / 068
INTAKE_002_oZH6_XRxtDc_pro_swing_trading_entry_tactics_ep3.md,VALID_INTAKE_REPORT,** `https://youtu.be/oZH6_XRxtDc?si=ar7mxK0F7O5fbnBZ`,,QuantLens Transcript Intake Report — 002 / 068
INTAKE_003_NwgJQyoUAaI_pro_swing_trading_setups_ep2.md,VALID_INTAKE_REPORT,** `https://youtu.be/NwgJQyoUAaI?si=IuOBlOwf_231Oftz`,,QuantLens Transcript Intake Report — 003 / 068
INTAKE_004_M_tD6X0CSOI_the_perfect_vcp_trading_setup_mark_minervini.md,VALID_INTAKE_REPORT,** `https://youtu.be/M_tD6X0CSOI?si=7w03YALv0bHJJJUE`,,QuantLens Transcript Intake Report — 004 / 068
INTAKE_005_jD4nynuWfEU_raschke_relative_strength_janus_factor.md,VALID_INTAKE_REPORT,** `https://www.youtube.com/watch?v=jD4nynuWfEU`,,QuantLens Transcript Intake Report — 005 / 068
INTAKE_006_HAN1kymVbTc_ted_zhang_momentum_portfolio_manager.md,VALID_INTAKE_REPORT,** `https://youtu.be/HAN1kymVbTc?si=phH70Py9VkhrRlBA`,,QuantLens Transcript Intake Report — 006 / 068
INTAKE_2026-05-03_2f5VfmlU90U_charles_harris_trading_psychology.md,VALID_INTAKE_REPORT,** `https://youtu.be/2f5VfmlU90U?si=pNdZdVgF6KhoXP-v`,,QuantLens Transcript Intake Report — The Mind of a Trader / Charles Harris
INTAKE_2026-05-03_4-IjRmw7SZI_tqqq_key_strategies.md,VALID_INTAKE_REPORT,https://www.youtube.com/watch?v=4-IjRmw7SZI,4-IjRmw7SZI,QuantLens Transcript Intake Report
INTAKE_2026-05-03_6aOnCK1gv2w_chris_flanders_edge.md,VALID_INTAKE_REPORT,** https://www.youtube.com/watch?v=6aOnCK1gv2w,,QuantLens Transcript Intake Report — 6aOnCK1gv2w
INTAKE_2026-05-03_6tnREqUJ1WY_trading_backtests_misleading.md,VALID_INTAKE_REPORT,https://www.youtube.com/watch?v=6tnREqUJ1WY,6tnREqUJ1WY,QuantLens Transcript Intake Report
INTAKE_2026-05-03_a4uJ3rHhbfA_anish_sikri_position_sizing.md,VALID_INTAKE_REPORT,** https://youtu.be/a4uJ3rHhbfA?si=hD9z9rji3O6XbMnj,,QuantLens Transcript Intake Report — Anish Sikri / The Art of Position Sizing
INTAKE_2026-05-03_aDRYV4mjlHA_vibha_jha_tqqq_swing_strategy.md,VALID_INTAKE_REPORT,** `https://youtu.be/aDRYV4mjlHA?si=3rtey_IW5W7-U_XR`,,QuantLens Transcript Intake Report — The Million Dollar TQQQ Swing Trading Strategy / Vibha Jha
INTAKE_2026-05-03_C9Pvd9UD0jM_mark_minervini_progressive_exposure.md,VALID_INTAKE_REPORT,** https://www.youtube.com/watch?v=C9Pvd9UD0jM,,QuantLens Transcript Intake Report
INTAKE_2026-05-03_CtioOmc1Eig_charles_harris_trade_like_professional.md,VALID_INTAKE_REPORT,** `https://youtu.be/CtioOmc1Eig?si=ISO4HKuamRbbh4ns`,,QuantLens Transcript Intake Report — Trade Like a Professional / Charles Harris
INTAKE_2026-05-03_DPA35Gug3Y4_brian_lee_smallcap_mean_reversion_progressive_exposure.md,VALID_INTAKE_REPORT,** `https://youtu.be/DPA35Gug3Y4?si=tgHSwpjijUJECVZU`,,QuantLens Transcript Intake Report
INTAKE_2026-05-03_ElocJ-b_NTs_oliver_kell_10_principles.md,VALID_INTAKE_REPORT,** https://youtu.be/ElocJ-b_NTs?si=5HoHV7QnhLAqXNM1,,QuantLens Transcript Intake Report — Oliver Kell / 10 Principles of Trading
INTAKE_2026-05-03_eWtY7uoJL_0_david_ryan_price_volume_discipline.md,VALID_INTAKE_REPORT,** https://youtu.be/eWtY7uoJL_0?si=9_3CvT5T5e5HyILo,,"QuantLens Transcript Intake Report — David Ryan / Price-Volume, CANSLIM Precedent & Trading Discipline"
INTAKE_2026-05-03_FiUGDA7eMyU_canslim_ross_haber.md,VALID_INTAKE_REPORT,** https://www.youtube.com/watch?v=FiUGDA7eMyU,,QuantLens Transcript Intake Report
INTAKE_2026-05-03_FtAshnE3MwM_stan_weinstein_stage_analysis.md,VALID_INTAKE_REPORT,https://www.youtube.com/watch?v=FtAshnE3MwM,FtAshnE3MwM,QuantLens Transcript Intake Report
INTAKE_2026-05-03_GHZBv1W4-II_larry_williams.md,VALID_INTAKE_REPORT,** https://youtu.be/GHZBv1W4-II?si=de5dq3ybVKbtFD-b,,QuantLens Transcript Intake Report — GHZBv1W4-II
INTAKE_2026-05-03_jLioqyVlRkE_jim_roppel_200m_hedge_fund.md,VALID_INTAKE_REPORT,** `https://youtu.be/jLioqyVlRkE?si=HMyJ3lenMmbzZ0Tz`,,QuantLens Transcript Intake Report — From Blowing Up 3 Times to Managing a $200 Million Hedge Fund
INTAKE_2026-05-03_kao-hhaQnig_andrew_connell_event_driven_value_area.md,VALID_INTAKE_REPORT,** `https://youtu.be/kao-hhaQnig?si=51-SAFaUAH9-AE6y`,,QuantLens Transcript Intake Report
INTAKE_2026-05-03_lpjTNygfnzM_deepak_swing_trading_triple_digit_returns.md,VALID_INTAKE_REPORT,** https://www.youtube.com/watch?v=lpjTNygfnzM,lpjTNygfnzM,QuantLens Transcript Intake Report
INTAKE_2026-05-03_lS9zbnLi1Gg_martin_luke_283_gain_swing_trader.md,VALID_INTAKE_REPORT,** `https://youtu.be/lS9zbnLi1Gg?si=vmGqb0X_iM3tCvw9`,,QuantLens Transcript Intake Report — 283% Gain in 1 Year: The Story of the 22-Year-Old Swing Trader
INTAKE_2026-05-03_lTiR1pc82EE_market_wizards_setups.md,VALID_INTAKE_REPORT,** https://youtu.be/lTiR1pc82EE?si=mvvql0aCc1yj_UO0,,QuantLens Transcript Intake Report
INTAKE_2026-05-03_QzzKqmPcB3A_ultimate_trading_guide_ep.md,VALID_INTAKE_REPORT,** `https://youtu.be/QzzKqmPcB3A?si=gJB9Tj18DU75ZM8Y`,,QuantLens Transcript Intake Report — 7 Steps to Beat the Market - Ultimate Trading Guide Ep
INTAKE_2026-05-03_R1sNTB2Vh7w_peter_brandt_48_years_trading_lessons.md,VALID_INTAKE_REPORT,** `https://youtu.be/R1sNTB2Vh7w?si=XnkewkLqMeGAOqVg`,,QuantLens Transcript Intake Report — 48 Years of Trading Lessons with Market Wizard Peter Brandt
INTAKE_2026-05-03_R215f4fj7V8_lance_breitstein_trend_trading.md,VALID_INTAKE_REPORT,** https://youtu.be/R215f4fj7V8?si=L3wGYRC2vMT5Bjb_,,"QuantLens Transcript Intake Report — Lance Breitstein / Trend Trading, Right-Side-of-V & Catalyst Momentum"
INTAKE_2026-05-03_rdmjsbDVuoU_high_tight_flag_leif_soreide.md,VALID_INTAKE_REPORT,,,QuantLens Transcript Intake Report — rdmjsbDVuoU
INTAKE_2026-05-03_RTHRh_GLwH8_mark_ritchie_low_risk_breakout_pyramid.md,VALID_INTAKE_REPORT,https://youtu.be/RTHRh_GLwH8?si=NyxT_vvKDrHwMv64,RTHRh_GLwH8,QuantLens Transcript Intake Report
INTAKE_2026-05-03_tynE-pwE-1o_pradeep_bonde_process_beats_setups_NEEDS_TRANSCRIPT.md,VALID_INTAKE_REPORT,** `https://youtu.be/tynE-pwE-1o?si=E0Q_en-H8CP_3QEG`,,QuantLens Transcript Intake Report — Why Process Beats Setups in Trading / Pradeep Bonde
INTAKE_2026-05-03_uh5bALsKkLg_mark_minervini_market_wizard.md,VALID_INTAKE_REPORT,https://www.youtube.com/watch?v=uh5bALsKkLg,uh5bALsKkLg,QuantLens Transcript Intake Report
INTAKE_2026-05-03_UMgJ0P8fe0s_swing_vs_position_matt_petrolia.md,VALID_INTAKE_REPORT,https://www.youtube.com/watch?v=UMgJ0P8fe0s,UMgJ0P8fe0s,QuantLens Transcript Intake Report
INTAKE_2026-05-03_zw96qkUn9_g_clement_ang_150pct_returns.md,VALID_INTAKE_REPORT,,,QuantLens Transcript Intake Report — How Clement Ang Achieved 150%+ Returns in the US Investing Championship
INTAKE_2026-05-03__AAX1ylNbIE_market_wizards_lessons.md,VALID_INTAKE_REPORT,`https://youtu.be/_AAX1ylNbIE?si=GS5jQ8yvhFsDIQd1`,_AAX1ylNbIE,QuantLens Transcript Intake Report
QL_INTAKE_001_JS4_6gv0PpI_mark_minervini_vcp.md,VALID_INTAKE_REPORT,,,QuantLens Transcript Intake Report — JS4_6gv0PpI
QL_INTAKE_002_XOul_ECgHyA_sean_ryan_swing_system.md,VALID_INTAKE_REPORT,** https://youtu.be/XOul-ECgHyA?si=lGRJSk2sTxtqli3v,,QuantLens Transcript Intake Report — 002
QL_INTAKE_003_KWxhLIOchvY_leos_aggressive_swing_tactics.md,VALID_INTAKE_REPORT,** https://youtu.be/KWxhLIOchvY?si=d0XTJw2jmEY699x-,,QuantLens Transcript Intake Report — 003
QL_INTAKE_004_Nq_p7Bu1YT0_ariel_rs_leadergroup_swing.md,VALID_INTAKE_REPORT,** https://youtu.be/Nq-p7Bu1YT0?si=jA26J6RGZtMXyY4v,,QuantLens Transcript Intake Report — 004
QL_INTAKE_005_7UfHg8PpDZk_marios_three_setup_superperformance.md,VALID_INTAKE_REPORT,** https://youtu.be/7UfHg8PpDZk?si=0mLL1k1aOKmlfSS4,,QuantLens Transcript Intake Report — 005
QL_INTAKE_006_hVCcVRxaxJY_ajay_jani_sell_rules.md,VALID_INTAKE_REPORT,,,QuantLens Transcript Intake Report — 006
QL_INTAKE_007_qz7avJJvnyI_lance_breitstein_deep_work_playbook.md,VALID_INTAKE_REPORT,** https://youtu.be/qz7avJJvnyI?si=2SrYXTRZGFXKyX3p,,QuantLens Transcript Intake Report — 007
QL_INTAKE_008_UD7gipBWnuY_market_wizards_sell_rules.md,VALID_INTAKE_REPORT,,,QuantLens Transcript Intake Report — 008
QUANTLENS_DAILY_EXTENSION_ANTI_CHASE_CRITICAL_REPORT.md,VALID_INTAKE_REPORT,** https://youtu.be/Yb5lMegA5Hs?si=_zP9cjzTaZN8vh4w,,QUANTLENS TRANSCRIPT INTAKE REPORT — Critical Review
QUANTLENS_EMA20_50_RETEST_CRITICAL_INTAKE_REPORT.md,VALID_INTAKE_REPORT,** https://youtu.be/RHlsVNSM8Aw?si=g54Kry_ryc8pYWPK,,QUANTLENS TRANSCRIPT INTAKE REPORT — Critical Review
QUANTLENS_MARTIN_LUKE_PULLBACK_INTAKE_REPORT.md,VALID_INTAKE_REPORT,** https://youtu.be/VKNEJA5r8zw?si=XIbuUbrJNtP5wjop,,QUANTLENS TRANSCRIPT INTAKE REPORT — Martin Luke Pullback / Anchored VWAP System
QUANTLENS_TY_RAJNUS_MICROCAP_SHORT_INTAKE_REPORT.md,VALID_INTAKE_REPORT,** https://youtu.be/bRXO6F_vGjM?si=N4P30T_3_i-IHPP4,,QUANTLENS TRANSCRIPT INTAKE REPORT — Ty Rajnus Short-Only System
YT_DLlNDuOTUfQ_Intake_Report_2026-05-03.md,VALID_INTAKE_REPORT,,DLlNDuOTUfQ,YouTube Strategy Transcript Intake Report
YT_Eb9FkLNJLzs_Intake_Report_2026-05-03.md,VALID_INTAKE_REPORT,https://www.youtube.com/watch?v=Eb9FkLNJLzs,,YouTube Strategy Intake Report — Eb9FkLNJLzs
YT_Jew-Algmi0k_Intake_Report_2026-05-03.md,VALID_INTAKE_REPORT,,Jew-Algmi0k,YouTube Strategy Transcript Intake Report
YT_m8F3KkBDtC0_Intake_Report_2026-05-03.md,VALID_INTAKE_REPORT,https://www.youtube.com/watch?v=m8F3KkBDtC0,m8F3KkBDtC0,QuantLens Transcript Intake Report
YT_oPeTkxTnooA_Intake_Report_2026-05-03.md,VALID_INTAKE_REPORT,,,YouTube Strategy Intake Report — oPeTkxTnooA
YT_q43pkYBo1hU_Intake_Report_2026-05-03.md,VALID_INTAKE_REPORT,`https://youtu.be/q43pkYBo1hU?si=JM_zb7YAWo5N2rls`,q43pkYBo1hU,YouTube Strategy Transcript Intake Report
YT_q4TuaY-ccqA_Intake_Report_2026-05-03.md,VALID_INTAKE_REPORT,** https://www.youtube.com/watch?v=q4TuaY-ccqA,,YouTube Strategy Intake Report — q4TuaY-ccqA
YT_UtNrp_Uz9Oc_Intake_Report_2026-05-03.md,VALID_INTAKE_REPORT,https://www.youtube.com/watch?v=UtNrp_Uz9Oc,UtNrp_Uz9Oc,QuantLens Transcript Intake Report
YT_VKNEJA5r8zw_Intake_Report_2026-05-03.md,VALID_INTAKE_REPORT,,,YouTube Strategy Intake Report — VKNEJA5r8zw
YT_ZK5cnVQ2V3Q_Intake_Report_2026-05-03.md,VALID_INTAKE_REPORT,https://www.youtube.com/watch?v=ZK5cnVQ2V3Q,ZK5cnVQ2V3Q,QuantLens Transcript Intake Report
