rel_path,classification,video_id,title,url,is_duplicate_of,size_bytes
3 Mayıs/2026-05-03_-JyH5PAJ4-Y_quantlens_nick_schmidt_weekly_character_change_intake.md,VALID_INTAKE_REPORT,-JyH5PAJ4-Y,QUANTLENS TRANSCRIPT INTAKE REPORT — Nick Schmidt Weekly Character Change / Trade Less Model,https://youtu.be/-JyH5PAJ4-Y?si=BqaSaOarsfJIutKk,,20416
3 Mayıs/2026-05-03_10pHBNVi4Jc_quantlens_gon_gajala_low_float_momentum_intake.md,VALID_INTAKE_REPORT,10pHBNVi4Jc,QUANTLENS TRANSCRIPT INTAKE REPORT — Gon Gajala / Record Breaking Trading Champion Setups,https://youtu.be/10pHBNVi4Jc?si=ohzwBJxkVCTKPpcX,,24615
3 Mayıs/2026-05-03_62OaP91Jz9k_quantlens_nick_schmidt_weekly_strategy_intake.md,VALID_INTAKE_REPORT,62OaP91Jz9k,QUANTLENS TRANSCRIPT INTAKE REPORT — Nick Schmidt Weekly Strategy,https://youtu.be/62OaP91Jz9k?si=PHn5ULWDuxyqjQ24,,20710
3 Mayıs/2026-05-03_9ZJK8175drM_quantlens_canslim_detailed_intake.md,VALID_INTAKE_REPORT,9ZJK8175drM,QUANTLENS TRANSCRIPT INTAKE REPORT — 9ZJK8175drM,https://youtu.be/9ZJK8175drM?si=QcTE0mdW00UzcL_B,,10719
3 Mayıs/2026-05-03__QewlGLBaeA_quantlens_anthony_shi_cycle_aware_momentum_intake.md,VALID_INTAKE_REPORT,_QewlGLBaeA,QUANTLENS TRANSCRIPT INTAKE REPORT — Anthony Shi / Profitable Momentum Swing Trader,https://youtu.be/_QewlGLBaeA?si=ZoVcYdRIch1Lx_Df,,28347
3 Mayıs/2026-05-03_c7ZSb2wNcOc_quantlens_detailed_intake.md,VALID_INTAKE_REPORT,c7ZSb2wNcOc,QUANTLENS TRANSCRIPT INTAKE REPORT — c7ZSb2wNcOc,https://youtu.be/c7ZSb2wNcOc?si=qdou6ffSbBNhJw63,,18954
3 Mayıs/2026-05-03_fYxSQvuwOQc_quantlens_oliver_kell_cycle_intake.md,VALID_INTAKE_REPORT,fYxSQvuwOQc,QUANTLENS TRANSCRIPT INTAKE REPORT — fYxSQvuwOQc,https://youtu.be/fYxSQvuwOQc?si=mZyENAdFJu8x7LKZ,,11017
3 Mayıs/2026-05-03_ivL6E6Lc6gM_quantlens_charles_harris_pullback_intake.md,VALID_INTAKE_REPORT,ivL6E6Lc6gM,QUANTLENS TRANSCRIPT INTAKE REPORT — Charles Harris Perfect Pullback Trading Setup,https://youtu.be/ivL6E6Lc6gM?si=GNNGCxRmyNZYqNrJ,,21243
3 Mayıs/2026-05-03_KQRuUWSZvLE_quantlens_ryan_pierpont_process_intake.md,VALID_INTAKE_REPORT,KQRuUWSZvLE,QUANTLENS TRANSCRIPT INTAKE REPORT — KQRuUWSZvLE,https://youtu.be/KQRuUWSZvLE?si=50fVh__JlzLkqeb0,,21313
3 Mayıs/2026-05-03_kTqKRi-j9kM_quantlens_linda_raschke_sell_rules_trade_management_intake.md,VALID_INTAKE_REPORT,kTqKRi-j9kM,QUANTLENS TRANSCRIPT INTAKE REPORT — Linda Bradford Raschke / 5 Essential Sell Rules & Trade Management,https://youtu.be/kTqKRi-j9kM?si=99GgO3p0M-b25wBA,,22611
