cand,first_class,audit_class,trades,n_assets,concentration_top_asset_share,pf_base,pf_2x,pf_3x,net_return_pct,max_dd_pct,win_rate_pct,expectancy_pct,monotonic_audit,notes
CANDIDATE_001,WEAK_CANDIDATE,PASS_STAGE2,111,10,0.324,1.7481,1.6786,1.6132,331.7517,-46.3269,31.53,1.8977,True,
CANDIDATE_002,WEAK_CANDIDATE,WEAK_CANDIDATE,584,10,0.137,1.4435,1.4078,1.3733,17034.8144,-91.7686,31.85,1.9054,True,max_dd=-91.8% extreme
CANDIDATE_003,WEAK_CANDIDATE,WEAK_CANDIDATE,1388,10,0.13,1.4581,1.3872,1.3207,292669.9798,-86.417,38.11,0.9615,True,"net=292670.0%, pf=1.46, dd=-86.4%"
CANDIDATE_004,WEAK_CANDIDATE,WEAK_CANDIDATE,8105,10,0.118,1.251,1.1866,1.126,7179649232.748,-98.442,47.45,0.5144,True,max_dd=-98.4% extreme
CANDIDATE_005,WEAK_CANDIDATE,WEAK_CANDIDATE,465,10,0.112,1.4516,1.4236,1.3962,3955.225,-79.8493,46.67,2.3674,True,"net=3955.2%, pf=1.45, dd=-79.8%"
CANDIDATE_007,WEAK_CANDIDATE,WEAK_CANDIDATE,687,10,0.138,1.3096,1.2609,1.2138,1206.3069,-85.9357,63.03,0.8382,True,"net=1206.3%, pf=1.31, dd=-85.9%"
CANDIDATE_008,REJECT_CRYPTO_PROXY,REJECT_NO_EDGE,4259,5,0.2,0.5383,0.3067,0.1848,-99.4805,-99.4799,34.14,-0.1215,True,pf=0.54 after audited recompute
CANDIDATE_009,WEAK_CANDIDATE_CRYPTO_PROXY,WEAK_CANDIDATE,151,5,0.232,1.0861,0.716,0.4825,3.0885,-7.1457,49.01,0.0235,True,edge disappears at 3x cost
CANDIDATE_011,REJECT,REJECT_NO_EDGE,111,10,0.144,0.5201,0.5031,0.4865,-96.8928,-98.614,43.24,-2.4328,True,pf=0.52 after audited recompute
CANDIDATE_012,BASELINE_ONLY,BASELINE_ONLY,135,10,0.17,1.8741,1.8376,1.8023,738.7124,-82.1442,23.7,4.7083,True,baseline rule by design
