cand,pf_base,pf_fee_2x,pf_fee_3x,monotonic,inferred_base_cost_pct
CANDIDATE_001,1.7481,1.6786,1.6132,True,0.12
CANDIDATE_002,1.4435,1.4078,1.3733,True,0.12
CANDIDATE_003,1.4581,1.3872,1.3207,True,0.12
CANDIDATE_004,1.251,1.1866,1.126,True,0.12
CANDIDATE_005,1.4516,1.4236,1.3962,True,0.12
CANDIDATE_007,1.3096,1.2609,1.2138,True,0.12
CANDIDATE_008,0.5383,0.3067,0.1848,True,0.12
CANDIDATE_009,1.0861,0.716,0.4825,True,0.12
CANDIDATE_011,0.5201,0.5031,0.4865,True,0.12
CANDIDATE_012,1.8741,1.8376,1.8023,True,0.12
