source,asset,timeframe,path,bar_count,first_ts,last_ts,quality_status
bundle,ADAUSDT,1D,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\ADAUSDT\1D\BINANCE_FUTURES_ADAUSDT_1D_20200131_20260427.csv,2279,2020-01-31T00:00:00+00:00,2026-04-27T00:00:00+00:00,AVAILABLE
bundle,APTUSDT,1D,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\APTUSDT\1D\BINANCE_FUTURES_APTUSDT_1D_20221019_20260427.csv,1287,2022-10-19T00:00:00+00:00,2026-04-27T00:00:00+00:00,AVAILABLE
bundle,ARBUSDT,1D,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\ARBUSDT\1D\BINANCE_FUTURES_ARBUSDT_1D_20230323_20260427.csv,1132,2023-03-23T00:00:00+00:00,2026-04-27T00:00:00+00:00,AVAILABLE
bundle,AVAXUSDT,1D,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\AVAXUSDT\1D\BINANCE_FUTURES_AVAXUSDT_1D_20200923_20260427.csv,2043,2020-09-23T00:00:00+00:00,2026-04-27T00:00:00+00:00,AVAILABLE
bundle,BNBUSDT,1D,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\BNBUSDT\1D\BINANCE_FUTURES_BNBUSDT_1D_20200210_20260427.csv,2269,2020-02-10T00:00:00+00:00,2026-04-27T00:00:00+00:00,AVAILABLE
bundle,BTCUSDT,1D,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\BTCUSDT\1D\BINANCE_FUTURES_BTCUSDT_1D_20190908_20260413.csv,2410,2019-09-08T00:00:00+00:00,2026-04-13T00:00:00+00:00,AVAILABLE
bundle,DOGEUSDT,1D,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\DOGEUSDT\1D\BINANCE_FUTURES_DOGEUSDT_1D_20200710_20260427.csv,2118,2020-07-10T00:00:00+00:00,2026-04-27T00:00:00+00:00,AVAILABLE
bundle,DOTUSDT,1D,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\DOTUSDT\1D\BINANCE_FUTURES_DOTUSDT_1D_20200822_20260427.csv,2075,2020-08-22T00:00:00+00:00,2026-04-27T00:00:00+00:00,AVAILABLE
bundle,ETHUSDT,1D,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\ETHUSDT\1D\BINANCE_FUTURES_ETHUSDT_1D_20191127_20260427.csv,2344,2019-11-27T00:00:00+00:00,2026-04-27T00:00:00+00:00,AVAILABLE
bundle,LINKUSDT,1D,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\LINKUSDT\1D\BINANCE_FUTURES_LINKUSDT_1D_20200117_20260427.csv,2293,2020-01-17T00:00:00+00:00,2026-04-27T00:00:00+00:00,AVAILABLE
bundle,LTCUSDT,1D,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\LTCUSDT\1D\BINANCE_FUTURES_LTCUSDT_1D_20200109_20260427.csv,2301,2020-01-09T00:00:00+00:00,2026-04-27T00:00:00+00:00,AVAILABLE
bundle,NEARUSDT,1D,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\NEARUSDT\1D\BINANCE_FUTURES_NEARUSDT_1D_20201015_20260427.csv,2021,2020-10-15T00:00:00+00:00,2026-04-27T00:00:00+00:00,AVAILABLE
bundle,OPUSDT,1D,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\OPUSDT\1D\BINANCE_FUTURES_OPUSDT_1D_20220601_20260427.csv,1427,2022-06-01T00:00:00+00:00,2026-04-27T00:00:00+00:00,AVAILABLE
bundle,POLUSDT,1D,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\POLUSDT\1D\BINANCE_FUTURES_POLUSDT_1D_20240913_20260427.csv,592,2024-09-13T00:00:00+00:00,2026-04-27T00:00:00+00:00,AVAILABLE
bundle,SOLUSDT,1D,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\SOLUSDT\1D\BINANCE_FUTURES_SOLUSDT_1D_20200914_20260427.csv,2052,2020-09-14T00:00:00+00:00,2026-04-27T00:00:00+00:00,AVAILABLE
