file_path,title,url,youtube_id,classification,reason,length_chars,indicators,contains_entry,contains_exit
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_-JyH5PAJ4-Y_quantlens_nick_schmidt_weekly_character_change_intake.md,QUANTLENS TRANSCRIPT INTAKE REPORT — Nick Schmidt Weekly Character Change / Trade Less Model,https://youtu.be/-JyH5PAJ4-Y?si=BqaSaOarsfJIutKk,-JyH5PAJ4-Y,VALID_INTAKE_REPORT,intake markers present,20080,"CANSLIM,EMA,SMA,sma",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_10pHBNVi4Jc_quantlens_gon_gajala_low_float_momentum_intake.md,QUANTLENS TRANSCRIPT INTAKE REPORT — Gon Gajala / Record Breaking Trading Champion Setups,https://youtu.be/10pHBNVi4Jc?si=ohzwBJxkVCTKPpcX,10pHBNVi4Jc,VALID_INTAKE_REPORT,intake markers present,24583,"EMA,VWAP",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_62OaP91Jz9k_quantlens_nick_schmidt_weekly_strategy_intake.md,QUANTLENS TRANSCRIPT INTAKE REPORT — Nick Schmidt Weekly Strategy,https://youtu.be/62OaP91Jz9k?si=PHn5ULWDuxyqjQ24,62OaP91Jz9k,VALID_INTAKE_REPORT,intake markers present,20399,CANSLIM,True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_9ZJK8175drM_quantlens_canslim_detailed_intake.md,QUANTLENS TRANSCRIPT INTAKE REPORT — 9ZJK8175drM,https://youtu.be/9ZJK8175drM?si=QcTE0mdW00UzcL_B,9ZJK8175drM,VALID_INTAKE_REPORT,intake markers present,10703,CANSLIM,True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03__QewlGLBaeA_quantlens_anthony_shi_cycle_aware_momentum_intake.md,QUANTLENS TRANSCRIPT INTAKE REPORT — Anthony Shi / Profitable Momentum Swing Trader,https://youtu.be/_QewlGLBaeA?si=ZoVcYdRIch1Lx_Df,_QewlGLBaeA,VALID_INTAKE_REPORT,intake markers present,28303,"CANSLIM,EMA,SMA",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_c7ZSb2wNcOc_quantlens_detailed_intake.md,QUANTLENS TRANSCRIPT INTAKE REPORT — c7ZSb2wNcOc,https://youtu.be/c7ZSb2wNcOc?si=qdou6ffSbBNhJw63,c7ZSb2wNcOc,VALID_INTAKE_REPORT,intake markers present,18932,"ATR,EMA,SMA",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_fYxSQvuwOQc_quantlens_oliver_kell_cycle_intake.md,QUANTLENS TRANSCRIPT INTAKE REPORT — fYxSQvuwOQc,https://youtu.be/fYxSQvuwOQc?si=mZyENAdFJu8x7LKZ,fYxSQvuwOQc,VALID_INTAKE_REPORT,intake markers present,10995,"CANSLIM,EMA",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_ivL6E6Lc6gM_quantlens_charles_harris_pullback_intake.md,QUANTLENS TRANSCRIPT INTAKE REPORT — Charles Harris Perfect Pullback Trading Setup,https://youtu.be/ivL6E6Lc6gM?si=GNNGCxRmyNZYqNrJ,ivL6E6Lc6gM,VALID_INTAKE_REPORT,intake markers present,20933,"CANSLIM,EMA",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_KQRuUWSZvLE_quantlens_ryan_pierpont_process_intake.md,QUANTLENS TRANSCRIPT INTAKE REPORT — KQRuUWSZvLE,https://youtu.be/KQRuUWSZvLE?si=50fVh__JlzLkqeb0,KQRuUWSZvLE,VALID_INTAKE_REPORT,intake markers present,21030,"ATR,CANSLIM,EMA,VWAP",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_kTqKRi-j9kM_quantlens_linda_raschke_sell_rules_trade_management_intake.md,QUANTLENS TRANSCRIPT INTAKE REPORT — Linda Bradford Raschke / 5 Essential Sell Rules & Trade Management,https://youtu.be/kTqKRi-j9kM?si=99GgO3p0M-b25wBA,kTqKRi-j9kM,VALID_INTAKE_REPORT,intake markers present,22537,ATR,True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_MnXQOt7_ZP0_quantlens_jim_roppel_ai_bull_market_intake_report.md,QUANTLENS TRANSCRIPT INTAKE REPORT — Jim Roppel AI Bull Market / Position Trading Framework,https://youtu.be/MnXQOt7_ZP0?si=OdvX4hI-qnjYMKZp,MnXQOt7_ZP0,VALID_INTAKE_REPORT,intake markers present,20787,CANSLIM,True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_Ne3X-l6W4CQ_quantlens_process_strategy_intake.md,QUANTLENS TRANSCRIPT INTAKE REPORT — Ne3X-l6W4CQ,https://youtu.be/Ne3X-l6W4CQ?si=s2DVjxj3f45iUfgx,Ne3X-l6W4CQ,VALID_INTAKE_REPORT,intake markers present,19059,"ATR,SMA,sma",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_NGyE4YIgGpU_quantlens_tito_adhikary_options_momentum_intake_report.md,QuantLens Intake Report — Tito Adhikary / Options Momentum Breakout,"https://youtu.be/NGyE4YIgGpU?si=gj_6ZcIyjUFAEGhk""",NGyE4YIgGpU,VALID_INTAKE_REPORT,intake markers present,20050,"ATR,CANSLIM,SMA",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_O0GpSPtmCuM_quantlens_stan_weinstein_stage_analysis_intake.md,QUANTLENS TRANSCRIPT INTAKE REPORT — Stan Weinstein Stage Analysis / Current Market Warnings,https://youtu.be/O0GpSPtmCuM?si=Ra7X5w149KdMksmj,O0GpSPtmCuM,VALID_INTAKE_REPORT,intake markers present,22110,,True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_Tm0dkf8_giA_quantlens_vcp_breakout_intake_report.md,QUANTLENS TRANSCRIPT INTAKE REPORT — VCP Breakout / Volatility Contraction Pattern,https://youtu.be/Tm0dkf8_giA?si=KeJv1-D-_CbJU-FK,Tm0dkf8_giA,VALID_INTAKE_REPORT,intake markers present,13882,"ATR,CANSLIM,EMA",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_UmLa9FAlMgw_quantlens_brian_shannon_avwap_intake.md,QUANTLENS TRANSCRIPT INTAKE REPORT — Brian Shannon / AVWAP Trading Indicator Secrets and Setups,https://youtu.be/UmLa9FAlMgw?si=bqyEc59JFMCVzcGH,UmLa9FAlMgw,VALID_INTAKE_REPORT,intake markers present,22731,"AVWAP,VWAP",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_XNZ4f-b3ED8_quantlens_intake_indicator_audit.md,QUANTLENS TRANSCRIPT INTAKE REPORT — XNZ4f-b3ED8,https://youtu.be/XNZ4f-b3ED8?si=SEFGjG-VyI49JxU-,XNZ4f-b3ED8,VALID_INTAKE_REPORT,intake markers present,19033,"ATR,CHoCH,ChoCh,RSI,atr",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_001_Lot25-2fb-4_433_return_poker_player_full_time_trader.md,QuantLens Transcript Intake Report — 001 / 068,https://youtu.be/Lot25-2fb-4?si=YHKVb3kJfybusO5o`,Lot25-2fb-4,VALID_INTAKE_REPORT,intake markers present,15827,"ATR,CANSLIM,EMA,ORB",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_002_oZH6_XRxtDc_pro_swing_trading_entry_tactics_ep3.md,QuantLens Transcript Intake Report — 002 / 068,https://youtu.be/oZH6_XRxtDc?si=ar7mxK0F7O5fbnBZ`,oZH6_XRxtDc,VALID_INTAKE_REPORT,intake markers present,24095,"ATR,CANSLIM,EMA,ORB,SMA,VWAP",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_003_NwgJQyoUAaI_pro_swing_trading_setups_ep2.md,QuantLens Transcript Intake Report — 003 / 068,https://youtu.be/NwgJQyoUAaI?si=IuOBlOwf_231Oftz`,NwgJQyoUAaI,VALID_INTAKE_REPORT,intake markers present,20405,"EMA,SMA,VWAP,ema,sma",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_004_M_tD6X0CSOI_the_perfect_vcp_trading_setup_mark_minervini.md,QuantLens Transcript Intake Report — 004 / 068,https://youtu.be/M_tD6X0CSOI?si=7w03YALv0bHJJJUE`,M_tD6X0CSOI,VALID_INTAKE_REPORT,intake markers present,24070,"atr,sma",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_005_jD4nynuWfEU_raschke_relative_strength_janus_factor.md,QuantLens Transcript Intake Report — 005 / 068,https://www.youtube.com/watch?v=jD4nynuWfEU`,jD4nynuWfEU,VALID_INTAKE_REPORT,intake markers present,28283,"EMA,SMA,ema,sma",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_006_HAN1kymVbTc_ted_zhang_momentum_portfolio_manager.md,QuantLens Transcript Intake Report — 006 / 068,https://youtu.be/HAN1kymVbTc?si=phH70Py9VkhrRlBA`,HAN1kymVbTc,VALID_INTAKE_REPORT,intake markers present,30513,"ATR,CANSLIM,EMA,atr,sma",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_2f5VfmlU90U_charles_harris_trading_psychology.md,QuantLens Transcript Intake Report — The Mind of a Trader / Charles Harris,https://youtu.be/2f5VfmlU90U?si=pNdZdVgF6KhoXP-v`,2f5VfmlU90U,VALID_INTAKE_REPORT,intake markers present,22181,"CANSLIM,SMA,canslim",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_4-IjRmw7SZI_tqqq_key_strategies.md,QuantLens Transcript Intake Report,https://www.youtube.com/watch?v=4-IjRmw7SZI,4-IjRmw7SZI,VALID_INTAKE_REPORT,intake markers present,18564,"EMA,MACD,RSI,VWAP",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_6aOnCK1gv2w_chris_flanders_edge.md,QuantLens Transcript Intake Report — 6aOnCK1gv2w,https://www.youtube.com/watch?v=6aOnCK1gv2w,6aOnCK1gv2w,VALID_INTAKE_REPORT,intake markers present,17320,"ATR,EMA,ORB",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_6tnREqUJ1WY_trading_backtests_misleading.md,QuantLens Transcript Intake Report,https://www.youtube.com/watch?v=6tnREqUJ1WY,6tnREqUJ1WY,VALID_INTAKE_REPORT,intake markers present,19820,,True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03__AAX1ylNbIE_market_wizards_lessons.md,QuantLens Transcript Intake Report,https://youtu.be/_AAX1ylNbIE?si=GS5jQ8yvhFsDIQd1`,_AAX1ylNbIE,VALID_INTAKE_REPORT,intake markers present,14638,"ATR,EMA,SMA",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_a4uJ3rHhbfA_anish_sikri_position_sizing.md,QuantLens Transcript Intake Report — Anish Sikri / The Art of Position Sizing,https://youtu.be/a4uJ3rHhbfA?si=hD9z9rji3O6XbMnj,a4uJ3rHhbfA,VALID_INTAKE_REPORT,intake markers present,20913,CANSLIM,True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_aDRYV4mjlHA_vibha_jha_tqqq_swing_strategy.md,QuantLens Transcript Intake Report — The Million Dollar TQQQ Swing Trading Strategy / Vibha Jha,https://youtu.be/aDRYV4mjlHA?si=3rtey_IW5W7-U_XR`,aDRYV4mjlHA,VALID_INTAKE_REPORT,intake markers present,23862,"CANSLIM,EMA,SMA",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_C9Pvd9UD0jM_mark_minervini_progressive_exposure.md,QuantLens Transcript Intake Report,https://www.youtube.com/watch?v=C9Pvd9UD0jM,C9Pvd9UD0jM,VALID_INTAKE_REPORT,intake markers present,16201,ORB,True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_CtioOmc1Eig_charles_harris_trade_like_professional.md,QuantLens Transcript Intake Report — Trade Like a Professional / Charles Harris,https://youtu.be/CtioOmc1Eig?si=ISO4HKuamRbbh4ns`,CtioOmc1Eig,VALID_INTAKE_REPORT,intake markers present,19449,"CANSLIM,SMA",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_DPA35Gug3Y4_brian_lee_smallcap_mean_reversion_progressive_exposure.md,QuantLens Transcript Intake Report,https://youtu.be/DPA35Gug3Y4?si=tgHSwpjijUJECVZU`,DPA35Gug3Y4,VALID_INTAKE_REPORT,intake markers present,22485,"EMA,VWAP",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_ElocJ-b_NTs_oliver_kell_10_principles.md,QuantLens Transcript Intake Report — Oliver Kell / 10 Principles of Trading,https://youtu.be/ElocJ-b_NTs?si=5HoHV7QnhLAqXNM1,ElocJ-b_NTs,VALID_INTAKE_REPORT,intake markers present,15797,"ATR,EMA,SMA",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_eWtY7uoJL_0_david_ryan_price_volume_discipline.md,"QuantLens Transcript Intake Report — David Ryan / Price-Volume, CANSLIM Precedent & Trading Discipline",https://youtu.be/eWtY7uoJL_0?si=9_3CvT5T5e5HyILo,eWtY7uoJL_0,VALID_INTAKE_REPORT,intake markers present,20629,"CANSLIM,EMA,SMA",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_FiUGDA7eMyU_canslim_ross_haber.md,QuantLens Transcript Intake Report,https://www.youtube.com/watch?v=FiUGDA7eMyU,FiUGDA7eMyU,VALID_INTAKE_REPORT,intake markers present,17719,CANSLIM,True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_FtAshnE3MwM_stan_weinstein_stage_analysis.md,QuantLens Transcript Intake Report,https://www.youtube.com/watch?v=FtAshnE3MwM,FtAshnE3MwM,VALID_INTAKE_REPORT,intake markers present,19458,ATR,True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_GHZBv1W4-II_larry_williams.md,QuantLens Transcript Intake Report — GHZBv1W4-II,https://youtu.be/GHZBv1W4-II?si=de5dq3ybVKbtFD-b,GHZBv1W4-II,VALID_INTAKE_REPORT,intake markers present,18867,"ATR,ORB",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_jLioqyVlRkE_jim_roppel_200m_hedge_fund.md,QuantLens Transcript Intake Report — From Blowing Up 3 Times to Managing a $200 Million Hedge Fund,https://youtu.be/jLioqyVlRkE?si=HMyJ3lenMmbzZ0Tz`,jLioqyVlRkE,VALID_INTAKE_REPORT,intake markers present,26727,"ATR,CANSLIM",True,True
