asset,trade_count,assets_tested,aggregate_pf,aggregate_net_return_pct,aggregate_max_dd_pct,return_dd_ratio,win_rate,average_trade_pct,median_trade_pct,average_win_pct,average_loss_pct,expectancy_pct,exposure_pct,fee_2x_pf,fee_3x_pf,fee_monotonic,classification
ADAUSDT,58,1,1.5591,104.8362,-31.9546,3.2808,63.7931,1.7487,2.5915,7.6436,-8.6377,1.7487,14.5977,1.5136,1.4692,True,DATA_BLOCKED
AVAXUSDT,50,1,1.3325,24.0132,-54.7381,0.4387,62.0,1.44,3.0684,9.3079,-11.3973,1.44,14.4667,1.3015,1.2711,True,DATA_BLOCKED
BNBUSDT,95,1,1.5039,76.4015,-48.5385,1.574,58.9474,0.9926,1.3418,5.0256,-4.7983,0.9926,13.4737,1.4322,1.3639,True,DATA_BLOCKED
BTCUSDT,93,1,1.6171,92.285,-12.9843,7.1074,66.6667,0.8009,1.2143,3.1483,-3.8939,0.8009,13.3333,1.5089,1.4071,True,DATA_BLOCKED
DOGEUSDT,51,1,0.8183,-43.1798,-68.0731,-0.6343,58.8235,-0.6761,2.0814,5.1748,-9.0345,-0.6761,14.3791,0.7888,0.7601,True,DATA_BLOCKED
DOTUSDT,39,1,0.6772,-63.4732,-63.6035,-0.998,53.8462,-1.7156,1.0435,6.6855,-11.5168,-1.7156,15.0427,0.6582,0.6396,True,DATA_BLOCKED
ETHUSDT,92,1,2.9529,772.2613,-14.6855,52.5865,73.913,2.607,2.5123,5.3331,-5.1171,2.607,12.1377,2.8188,2.6891,True,DATA_BLOCKED
LINKUSDT,71,1,1.0206,-28.0903,-66.3524,-0.4234,63.3803,0.0745,2.558,5.8119,-9.8558,0.0745,14.6948,0.9875,0.9552,True,DATA_BLOCKED
SOLUSDT,60,1,1.6076,88.0045,-46.4896,1.893,61.6667,1.3899,1.6389,5.9634,-5.9674,1.3899,13.8333,1.5441,1.4824,True,DATA_BLOCKED
XRPUSDT,78,1,1.0271,-38.0549,-61.3347,-0.6204,58.9744,0.0838,1.2444,5.3827,-7.5335,0.0838,14.7863,0.9885,0.9511,True,DATA_BLOCKED
