issue_type,video_id,filename,recommended_action
MISSING_INTAKE,esDKpwi1b2M,300% Return in the US Investing Championship Leos Mikulka's Winning Strategies.md,NEEDS_CODEX_REPAIR
MISSING_INTAKE,missing,The $1,000,000 Simple Trading System That Took 13 Years to Build.md,NEEDS_CODEX_REPAIR
MISSING_INTAKE,SMWMraeRDXs,The ULTIMATE Trading Risk Management Guide Market Wizard Tom Basso.md,NEEDS_CODEX_REPAIR
MISSING_TRANSCRIPT,9ZJK8175drM,2026-05-03_9ZJK8175drM_quantlens_canslim_detailed_intake.md,NEEDS_CODEX_REPAIR
MISSING_TRANSCRIPT,c7ZSb2wNcOc,2026-05-03_c7ZSb2wNcOc_quantlens_detailed_intake.md,NEEDS_CODEX_REPAIR
MISSING_TRANSCRIPT,fYxSQvuwOQc,2026-05-03_fYxSQvuwOQc_quantlens_oliver_kell_cycle_intake.md,NEEDS_CODEX_REPAIR
MISSING_TRANSCRIPT,Ne3X-l6W4CQ,2026-05-03_Ne3X-l6W4CQ_quantlens_process_strategy_intake.md,NEEDS_CODEX_REPAIR
MISSING_TRANSCRIPT,XNZ4f-b3ED8,2026-05-03_XNZ4f-b3ED8_quantlens_intake_indicator_audit.md,NEEDS_CODEX_REPAIR
MISSING_TRANSCRIPT,Yb5lMegA5Hs,QUANTLENS_DAILY_EXTENSION_ANTI_CHASE_CRITICAL_REPORT.md,NEEDS_CODEX_REPAIR
MISSING_TRANSCRIPT,RHlsVNSM8Aw,QUANTLENS_EMA20_50_RETEST_CRITICAL_INTAKE_REPORT.md,NEEDS_CODEX_REPAIR
MISSING_TRANSCRIPT,bRXO6F_vGjM,QUANTLENS_TY_RAJNUS_MICROCAP_SHORT_INTAKE_REPORT.md,NEEDS_CODEX_REPAIR
DUPLICATE_NEEDS_MERGE,VKNEJA5r8zw,+969% Return in 1 Year The Pullback Strategy of a Trading Champion,NEEDS_CODEX_REPAIR
