candidate_id,source_url,source_title,transcript_path,intake_path,corrected_intake_path,source_quality,rule_clarity_score,mechanical_testability_score,trader_credibility_context_score,data_availability_score,expected_edge_plausibility_score,MTC_compatibility_score,visual_review_priority,final_priority_score,classification,next_action,do_not_test_yet_reason
QLR_9ZJK8175drM,https://www.youtube.com/watch?v=9ZJK8175drM,2026-05-03_9ZJK8175drM_quantlens_canslim_detailed_intake,,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_9ZJK8175drM_quantlens_canslim_detailed_intake.md,06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX_20260504_175614\corrected_intakes\CORRECTED_9ZJK8175drM_2026-05-03_9ZJK8175drM_quantlens_canslim_detailed_intake.md,MEDIUM_QUALITY_EDUCATIONAL,5,5,3,2,5,2,2,25.5,DATA_BLOCKED,DO_NOT_TEST_UNTIL_SOURCE_FIXED,No strategy backtests in this phase; needs isolated sandbox and visual review.
QLR_c7ZSb2wNcOc,https://www.youtube.com/watch?v=c7ZSb2wNcOc,2026-05-03_c7ZSb2wNcOc_quantlens_detailed_intake,,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_c7ZSb2wNcOc_quantlens_detailed_intake.md,06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX_20260504_175614\corrected_intakes\CORRECTED_c7ZSb2wNcOc_2026-05-03_c7ZSb2wNcOc_quantlens_detailed_intake.md,MEDIUM_QUALITY_EDUCATIONAL,5,5,3,2,5,2,2,25.5,DATA_BLOCKED,DO_NOT_TEST_UNTIL_SOURCE_FIXED,No strategy backtests in this phase; needs isolated sandbox and visual review.
QLR_fYxSQvuwOQc,https://www.youtube.com/watch?v=fYxSQvuwOQc,2026-05-03_fYxSQvuwOQc_quantlens_oliver_kell_cycle_intake,,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_fYxSQvuwOQc_quantlens_oliver_kell_cycle_intake.md,06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX_20260504_175614\corrected_intakes\CORRECTED_fYxSQvuwOQc_2026-05-03_fYxSQvuwOQc_quantlens_oliver_kell_cycle_intake.md,MEDIUM_QUALITY_EDUCATIONAL,5,5,3,4,4,2,2,26.5,DATA_BLOCKED,DO_NOT_TEST_UNTIL_SOURCE_FIXED,No strategy backtests in this phase; needs isolated sandbox and visual review.
QLR_Ne3X-l6W4CQ,https://www.youtube.com/watch?v=Ne3X-l6W4CQ,"""Process adherence, overtrading and behavior analytics playbook""",,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_Ne3X-l6W4CQ_quantlens_process_strategy_intake.md,06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX_20260504_175614\corrected_intakes\CORRECTED_Ne3X-l6W4CQ_2026-05-03_Ne3X-l6W4CQ_quantlens_process_strategy_intake.md,MEDIUM_QUALITY_EDUCATIONAL,5,5,3,2,5,2,2,25.5,DATA_BLOCKED,DO_NOT_TEST_UNTIL_SOURCE_FIXED,No strategy backtests in this phase; needs isolated sandbox and visual review.
QLR_XNZ4f-b3ED8,https://www.youtube.com/watch?v=XNZ4f-b3ED8,2026-05-03_XNZ4f-b3ED8_quantlens_intake_indicator_audit,,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_XNZ4f-b3ED8_quantlens_intake_indicator_audit.md,06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX_20260504_175614\corrected_intakes\CORRECTED_XNZ4f-b3ED8_2026-05-03_XNZ4f-b3ED8_quantlens_intake_indicator_audit.md,MEDIUM_QUALITY_EDUCATIONAL,5,5,3,4,3,2,2,25.5,DATA_BLOCKED,DO_NOT_TEST_UNTIL_SOURCE_FIXED,No strategy backtests in this phase; needs isolated sandbox and visual review.
QLR_Yb5lMegA5Hs,https://www.youtube.com/watch?v=Yb5lMegA5Hs,QUANTLENS_DAILY_EXTENSION_ANTI_CHASE_CRITICAL_REPORT,,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QUANTLENS_DAILY_EXTENSION_ANTI_CHASE_CRITICAL_REPORT.md,06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX_20260504_175614\corrected_intakes\CORRECTED_Yb5lMegA5Hs_QUANTLENS_DAILY_EXTENSION_ANTI_CHASE_CRITICAL_REPORT.md,MEDIUM_QUALITY_EDUCATIONAL,4,4,3,2,5,2,2,23.2,DATA_BLOCKED,DO_NOT_TEST_UNTIL_SOURCE_FIXED,No strategy backtests in this phase; needs isolated sandbox and visual review.
QLR_RHlsVNSM8Aw,https://www.youtube.com/watch?v=RHlsVNSM8Aw,QUANTLENS_EMA20_50_RETEST_CRITICAL_INTAKE_REPORT,,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QUANTLENS_EMA20_50_RETEST_CRITICAL_INTAKE_REPORT.md,06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX_20260504_175614\corrected_intakes\CORRECTED_RHlsVNSM8Aw_QUANTLENS_EMA20_50_RETEST_CRITICAL_INTAKE_REPORT.md,MEDIUM_QUALITY_EDUCATIONAL,5,5,3,2,4,3,2,25.5,REJECT_LOW_QUALITY,REJECT_NO_TEST,No strategy backtests in this phase; needs isolated sandbox and visual review.
QLR_VKNEJA5r8zw,https://www.youtube.com/watch?v=VKNEJA5r8zw,+969% Return in 1 Year The Pullback Strategy of a Trading Champion,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\+969% Return in 1 Year The Pullback Strategy of a Trading Champion.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QUANTLENS_MARTIN_LUKE_PULLBACK_INTAKE_REPORT.md,,HIGH_QUALITY_TRADER_INTERVIEW,5,5,5,2,5,2,5,30.5,DUPLICATE_OR_MERGED,MERGE_WITH_CANONICAL_SOURCE_BEFORE_TESTING,No strategy backtests in this phase; needs isolated sandbox and visual review.
QLR_bRXO6F_vGjM,https://www.youtube.com/watch?v=bRXO6F_vGjM,QUANTLENS_TY_RAJNUS_MICROCAP_SHORT_INTAKE_REPORT,,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QUANTLENS_TY_RAJNUS_MICROCAP_SHORT_INTAKE_REPORT.md,06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX_20260504_175614\corrected_intakes\CORRECTED_bRXO6F_vGjM_QUANTLENS_TY_RAJNUS_MICROCAP_SHORT_INTAKE_REPORT.md,MEDIUM_QUALITY_EDUCATIONAL,5,5,3,2,3,2,2,23.5,DATA_BLOCKED,DO_NOT_TEST_UNTIL_SOURCE_FIXED,No strategy backtests in this phase; needs isolated sandbox and visual review.
QLR_VKNEJA5r8zw,https://www.youtube.com/watch?v=VKNEJA5r8zw,+969% Return in 1 Year The Pullback Strategy of a Trading Champion,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\+969% Return in 1 Year The Pullback Strategy of a Trading Champion.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\YT_VKNEJA5r8zw_Intake_Report_2026-05-03.md,,HIGH_QUALITY_TRADER_INTERVIEW,5,5,5,2,5,2,5,30.5,DUPLICATE_OR_MERGED,MERGE_WITH_CANONICAL_SOURCE_BEFORE_TESTING,No strategy backtests in this phase; needs isolated sandbox and visual review.
