candidate_id,source_url,source_title,transcript_path,intake_path,corrected_intake_path,strategy_class,native_market,native_timeframe,source_quality,rule_clarity,mechanical_testability,data_requirements,MTC_mapping,manual_visual_review_priority,final_action,reason
QLR_kTqKRi-j9kM,https://www.youtube.com/watch?v=kTqKRi-j9kM,The 5 Essential Sell Rules from a Market Wizard - Linda Bradford Raschke,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The 5 Essential Sell Rules from a Market Wizard - Linda Bradford Raschke.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_kTqKRi-j9kM_quantlens_linda_raschke_sell_rules_trade_management_intake.md,,EXIT_MODULE,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,MODULE_DEPENDS_ON_PARENT_STRATEGY,HIGH_QUALITY_TRADER_INTERVIEW,5,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=4.,2,SPEC_MODULE_FOR_LATER_SANDBOX_NO_BACKTEST_YET,Codex original classification=EXIT_MODULE.
QLR_O0GpSPtmCuM,https://www.youtube.com/watch?v=O0GpSPtmCuM,Stage Analysis Warnings for Current Markets - Exclusive Interview with Stan Weinstein,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\Stage Analysis Warnings for Current Markets - Exclusive Interview with Stan Weinstein.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_O0GpSPtmCuM_quantlens_stan_weinstein_stage_analysis_intake.md,,FILTER_MODULE,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,MODULE_DEPENDS_ON_PARENT_STRATEGY,MEDIUM_QUALITY_EDUCATIONAL,5,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=4.,2,SPEC_MODULE_FOR_LATER_SANDBOX_NO_BACKTEST_YET,Codex original classification=FILTER_MODULE.
QLR_UmLa9FAlMgw,https://www.youtube.com/watch?v=UmLa9FAlMgw,"The AVWAP Trading Indicator Secrets and Setups Brian Shannon, CMT","06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The AVWAP Trading Indicator Secrets and Setups Brian Shannon, CMT.md",06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_UmLa9FAlMgw_quantlens_brian_shannon_avwap_intake.md,,FILTER_MODULE,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,MODULE_DEPENDS_ON_PARENT_STRATEGY,HIGH_QUALITY_TRADER_INTERVIEW,5,4,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=4.,2,SPEC_MODULE_FOR_LATER_SANDBOX_NO_BACKTEST_YET,Codex original classification=FILTER_MODULE.
QLR_a55f696216,,The Reality of Relative Strength Based Trading with Linda Raschke,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The Reality of Relative Strength Based Trading with Linda Raschke.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_005_jD4nynuWfEU_raschke_relative_strength_janus_factor.md,,FILTER_MODULE,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,MODULE_DEPENDS_ON_PARENT_STRATEGY,HIGH_QUALITY_TRADER_INTERVIEW,5,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=4.,2,SPEC_MODULE_FOR_LATER_SANDBOX_NO_BACKTEST_YET,Codex original classification=FILTER_MODULE.
QLR_a4uJ3rHhbfA,https://www.youtube.com/watch?v=a4uJ3rHhbfA,The Art of Position Sizing with Anish Sikri  US Investing Championship Top Contender,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The Art of Position Sizing with Anish Sikri  US Investing Championship Top Contender.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_a4uJ3rHhbfA_anish_sikri_position_sizing.md,,SIZING_OR_RISK_MODULE,US_EQUITIES,MODULE_DEPENDS_ON_PARENT_STRATEGY,HIGH_QUALITY_TRADER_INTERVIEW,4,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=4.,2,SPEC_MODULE_FOR_LATER_SANDBOX_NO_BACKTEST_YET,Codex original classification=SIZING_OR_RISK_MODULE.
QLR_C9Pvd9UD0jM,https://www.youtube.com/watch?v=C9Pvd9UD0jM,Mark Minervini's #1 Risk Management Secret to Grow Your Trading Profit,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\Mark Minervini's #1 Risk Management Secret to Grow Your Trading Profit.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_C9Pvd9UD0jM_mark_minervini_progressive_exposure.md,,SIZING_OR_RISK_MODULE,US_EQUITIES,MODULE_DEPENDS_ON_PARENT_STRATEGY,MEDIUM_QUALITY_EDUCATIONAL,4,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=4.,2,SPEC_MODULE_FOR_LATER_SANDBOX_NO_BACKTEST_YET,Codex original classification=SIZING_OR_RISK_MODULE.
QLR_FiUGDA7eMyU,https://www.youtube.com/watch?v=FiUGDA7eMyU,CANSLIM Trading Strategy Beat 99% of Investors Using This Simple Strategy,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\CANSLIM Trading Strategy Beat 99% of Investors Using This Simple Strategy.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_FiUGDA7eMyU_canslim_ross_haber.md,,FILTER_MODULE,US_EQUITIES,MODULE_DEPENDS_ON_PARENT_STRATEGY,HIGH_QUALITY_TRADER_INTERVIEW,4,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=4.,2,SPEC_MODULE_FOR_LATER_SANDBOX_NO_BACKTEST_YET,Codex original classification=FILTER_MODULE.
QLR_FtAshnE3MwM,https://www.youtube.com/watch?v=FtAshnE3MwM,The Simple Stage Analysis Trading System - Exclusive Interview with Stan Weinstein,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The Simple Stage Analysis Trading System - Exclusive Interview with Stan Weinstein.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_FtAshnE3MwM_stan_weinstein_stage_analysis.md,,FILTER_MODULE,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,MODULE_DEPENDS_ON_PARENT_STRATEGY,MEDIUM_QUALITY_EDUCATIONAL,5,4,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=4.,2,SPEC_MODULE_FOR_LATER_SANDBOX_NO_BACKTEST_YET,Codex original classification=FILTER_MODULE.
QLR_hVCcVRxaxJY,https://www.youtube.com/watch?v=hVCcVRxaxJY,The Only Sell Rules You Need to Trade Ajay Jani,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The Only Sell Rules You Need to Trade Ajay Jani.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QL_INTAKE_006_hVCcVRxaxJY_ajay_jani_sell_rules.md,,EXIT_MODULE,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,MODULE_DEPENDS_ON_PARENT_STRATEGY,HIGH_QUALITY_TRADER_INTERVIEW,5,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=4.,2,SPEC_MODULE_FOR_LATER_SANDBOX_NO_BACKTEST_YET,Codex original classification=EXIT_MODULE.
QLR_UD7gipBWnuY,https://www.youtube.com/watch?v=UD7gipBWnuY,When To Take Trading Profits - Market Wizards Share Their Sell Rules,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\When To Take Trading Profits - Market Wizards Share Their Sell Rules.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QL_INTAKE_008_UD7gipBWnuY_market_wizards_sell_rules.md,,EXIT_MODULE,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,MODULE_DEPENDS_ON_PARENT_STRATEGY,HIGH_QUALITY_TRADER_INTERVIEW,5,4,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=4.,2,SPEC_MODULE_FOR_LATER_SANDBOX_NO_BACKTEST_YET,Codex original classification=EXIT_MODULE.
