candidate_id,source_url,source_title,transcript_path,intake_path,corrected_intake_path,strategy_class,native_market,native_timeframe,source_quality,rule_clarity,mechanical_testability,data_requirements,MTC_mapping,manual_visual_review_priority,final_action,reason
QLR_9ZJK8175drM,https://www.youtube.com/watch?v=9ZJK8175drM,2026-05-03_9ZJK8175drM_quantlens_canslim_detailed_intake,,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_9ZJK8175drM_quantlens_canslim_detailed_intake.md,06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_FINAL_CODEX_REPAIRED\corrected_intakes_final\FINAL_QLR_9ZJK8175drM.md,DATA_BLOCKED,US_EQUITIES,NOT_APPLICABLE_OR_UNKNOWN,MEDIUM_QUALITY_EDUCATIONAL,5,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=2.,2,DO_NOT_TEST_UNTIL_SOURCE_RESOLVED,Codex original classification=DATA_BLOCKED. Antigravity matching repair: MISSING_TRANSCRIPT remains blocked locally.
QLR_c7ZSb2wNcOc,https://www.youtube.com/watch?v=c7ZSb2wNcOc,2026-05-03_c7ZSb2wNcOc_quantlens_detailed_intake,,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_c7ZSb2wNcOc_quantlens_detailed_intake.md,06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_FINAL_CODEX_REPAIRED\corrected_intakes_final\FINAL_QLR_c7ZSb2wNcOc.md,DATA_BLOCKED,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,NOT_APPLICABLE_OR_UNKNOWN,MEDIUM_QUALITY_EDUCATIONAL,5,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=2.,2,DO_NOT_TEST_UNTIL_SOURCE_RESOLVED,Codex original classification=DATA_BLOCKED. Antigravity matching repair: MISSING_TRANSCRIPT remains blocked locally.
QLR_fYxSQvuwOQc,https://www.youtube.com/watch?v=fYxSQvuwOQc,2026-05-03_fYxSQvuwOQc_quantlens_oliver_kell_cycle_intake,,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_fYxSQvuwOQc_quantlens_oliver_kell_cycle_intake.md,06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_FINAL_CODEX_REPAIRED\corrected_intakes_final\FINAL_QLR_fYxSQvuwOQc.md,DATA_BLOCKED,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,NOT_APPLICABLE_OR_UNKNOWN,MEDIUM_QUALITY_EDUCATIONAL,5,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=2.,2,DO_NOT_TEST_UNTIL_SOURCE_RESOLVED,Codex original classification=DATA_BLOCKED. Antigravity matching repair: MISSING_TRANSCRIPT remains blocked locally.
QLR_Ne3X-l6W4CQ,https://www.youtube.com/watch?v=Ne3X-l6W4CQ,"""Process adherence, overtrading and behavior analytics playbook""",,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_Ne3X-l6W4CQ_quantlens_process_strategy_intake.md,06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_FINAL_CODEX_REPAIRED\corrected_intakes_final\FINAL_QLR_Ne3X-l6W4CQ.md,DATA_BLOCKED,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,NOT_APPLICABLE_OR_UNKNOWN,MEDIUM_QUALITY_EDUCATIONAL,5,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=2.,2,DO_NOT_TEST_UNTIL_SOURCE_RESOLVED,Codex original classification=DATA_BLOCKED. Antigravity matching repair: MISSING_TRANSCRIPT remains blocked locally.
QLR_XNZ4f-b3ED8,https://www.youtube.com/watch?v=XNZ4f-b3ED8,2026-05-03_XNZ4f-b3ED8_quantlens_intake_indicator_audit,,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_XNZ4f-b3ED8_quantlens_intake_indicator_audit.md,06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_FINAL_CODEX_REPAIRED\corrected_intakes_final\FINAL_QLR_XNZ4f-b3ED8.md,DATA_BLOCKED,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,NOT_APPLICABLE_OR_UNKNOWN,MEDIUM_QUALITY_EDUCATIONAL,5,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=2.,2,DO_NOT_TEST_UNTIL_SOURCE_RESOLVED,Codex original classification=DATA_BLOCKED. Antigravity matching repair: MISSING_TRANSCRIPT remains blocked locally.
QLR_Yb5lMegA5Hs,https://www.youtube.com/watch?v=Yb5lMegA5Hs,QUANTLENS_DAILY_EXTENSION_ANTI_CHASE_CRITICAL_REPORT,,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QUANTLENS_DAILY_EXTENSION_ANTI_CHASE_CRITICAL_REPORT.md,06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_FINAL_CODEX_REPAIRED\corrected_intakes_final\FINAL_QLR_Yb5lMegA5Hs.md,DATA_BLOCKED,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,NOT_APPLICABLE_OR_UNKNOWN,MEDIUM_QUALITY_EDUCATIONAL,4,4,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=2.,2,DO_NOT_TEST_UNTIL_SOURCE_RESOLVED,Codex original classification=DATA_BLOCKED. Antigravity matching repair: MISSING_TRANSCRIPT remains blocked locally.
QLR_RHlsVNSM8Aw,https://www.youtube.com/watch?v=RHlsVNSM8Aw,QUANTLENS_EMA20_50_RETEST_CRITICAL_INTAKE_REPORT,,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QUANTLENS_EMA20_50_RETEST_CRITICAL_INTAKE_REPORT.md,06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_FINAL_CODEX_REPAIRED\corrected_intakes_final\FINAL_QLR_RHlsVNSM8Aw.md,DATA_BLOCKED,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,NOT_APPLICABLE_OR_UNKNOWN,MEDIUM_QUALITY_EDUCATIONAL,5,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=3.,2,DO_NOT_TEST_UNTIL_SOURCE_RESOLVED,Codex original classification=REJECT_LOW_QUALITY. Antigravity matching repair: MISSING_TRANSCRIPT remains blocked locally.
QLR_bRXO6F_vGjM,https://www.youtube.com/watch?v=bRXO6F_vGjM,QUANTLENS_TY_RAJNUS_MICROCAP_SHORT_INTAKE_REPORT,,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QUANTLENS_TY_RAJNUS_MICROCAP_SHORT_INTAKE_REPORT.md,06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_FINAL_CODEX_REPAIRED\corrected_intakes_final\FINAL_QLR_bRXO6F_vGjM.md,DATA_BLOCKED,US_LOW_FLOAT_EQUITIES,NOT_APPLICABLE_OR_UNKNOWN,MEDIUM_QUALITY_EDUCATIONAL,5,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=2.,2,DO_NOT_TEST_UNTIL_SOURCE_RESOLVED,Codex original classification=DATA_BLOCKED. Antigravity matching repair: MISSING_TRANSCRIPT remains blocked locally.
QLR_esDKpwi1b2M,https://www.youtube.com/watch?v=esDKpwi1b2M,300% Return in the US Investing Championship Leos Mikulka's Winning Strategies.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\300% Return in the US Investing Championship  Leos Mikulka's Winning Strategies.md,,06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_FINAL_CODEX_REPAIRED\corrected_intakes_final\FINAL_QLR_esDKpwi1b2M.md,DATA_BLOCKED,UNKNOWN_REQUIRES_SOURCE_REPAIR,UNKNOWN_REQUIRES_SOURCE_REPAIR,UNKNOWN,0,0,Missing local transcript or missing local intake must be supplied before review.,Blocked; no MTC mapping.,0,DO_NOT_TEST_UNTIL_SOURCE_RESOLVED,Added from Antigravity matching finding: MISSING_INTAKE.
QLR_SMWMraeRDXs,https://www.youtube.com/watch?v=SMWMraeRDXs,The ULTIMATE Trading Risk Management Guide Market Wizard Tom Basso.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The ULTIMATE Trading Risk Management Guide  Market Wizard Tom Basso.md,,06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_FINAL_CODEX_REPAIRED\corrected_intakes_final\FINAL_QLR_SMWMraeRDXs.md,DATA_BLOCKED,UNKNOWN_REQUIRES_SOURCE_REPAIR,UNKNOWN_REQUIRES_SOURCE_REPAIR,UNKNOWN,0,0,Missing local transcript or missing local intake must be supplied before review.,Blocked; no MTC mapping.,0,DO_NOT_TEST_UNTIL_SOURCE_RESOLVED,Added from Antigravity matching finding: MISSING_INTAKE.
