trade_count,assets_tested,net_return_after_costs,profit_factor,win_rate,average_trade,median_trade,expectancy,average_winner,average_loser,max_drawdown,return_over_dd,exposure,average_hold_bars,best_asset,worst_asset,concentration_warning,candidate_id,asset
54,1,305.8205,1.8034,46.2963,5.2141,-2.8797,5.2141,25.2815,-12.0854,-83.8978,3.6452,11.5926,11.5926,ADAUSDT,ADAUSDT,True,SLINGSHOT,ADAUSDT
33,1,-44.0756,1.0935,33.3333,0.8066,-7.4437,0.8066,28.3049,-12.9426,-73.2584,-0.6016,9.9394,9.9394,APTUSDT,APTUSDT,False,SLINGSHOT,APTUSDT
21,1,86.5653,1.8779,38.0952,4.7715,-1.063,4.7715,26.7924,-8.7797,-53.1438,1.6289,11.8095,11.8095,ARBUSDT,ARBUSDT,True,SLINGSHOT,ARBUSDT
44,1,1526.8411,2.7504,56.8182,8.9637,5.9645,8.9637,24.7893,-11.8594,-41.9053,36.4355,12.8182,12.8182,AVAXUSDT,AVAXUSDT,True,SLINGSHOT,AVAXUSDT
69,1,365.7418,1.8144,55.0725,3.0431,2.4218,3.0431,12.3102,-8.3166,-47.9816,7.6225,11.971,11.971,BNBUSDT,BNBUSDT,True,SLINGSHOT,BNBUSDT
72,1,162.6642,1.5586,45.8333,2.2207,-1.6651,2.2207,13.519,-7.3395,-51.9569,3.1308,11.8611,11.8611,BTCUSDT,BTCUSDT,True,SLINGSHOT,BTCUSDT
43,1,1651.8204,2.8237,55.814,10.0099,5.1574,10.0099,27.7681,-12.4216,-64.1618,25.7446,11.1395,11.1395,DOGEUSDT,DOGEUSDT,True,SLINGSHOT,DOGEUSDT
46,1,41.4521,1.4053,43.4783,2.8098,-1.8396,2.8098,22.4085,-12.2662,-65.5889,0.632,11.413,11.413,DOTUSDT,DOTUSDT,True,SLINGSHOT,DOTUSDT
70,1,212.3865,1.5519,50.0,2.6468,0.1379,2.6468,14.8856,-9.5919,-48.778,4.3541,10.9857,10.9857,ETHUSDT,ETHUSDT,True,SLINGSHOT,ETHUSDT
62,1,26.7474,1.3515,48.3871,2.3659,-0.5201,2.3659,18.7998,-13.0409,-81.448,0.3284,11.4516,11.4516,LINKUSDT,LINKUSDT,True,SLINGSHOT,LINKUSDT
62,1,722.6814,2.0911,53.2258,4.8759,1.5218,4.8759,17.557,-9.5544,-67.9491,10.6356,11.4839,11.4839,LTCUSDT,LTCUSDT,True,SLINGSHOT,LTCUSDT
49,1,359.9358,1.8125,55.102,6.2054,1.8682,6.2054,25.1225,-17.0111,-66.9197,5.3786,10.8571,10.8571,NEARUSDT,NEARUSDT,True,SLINGSHOT,NEARUSDT
35,1,-37.0781,1.1339,37.1429,1.137,-8.9352,1.137,25.9207,-13.5079,-54.3136,-0.6827,11.4286,11.4286,OPUSDT,OPUSDT,False,SLINGSHOT,OPUSDT
5,1,46.5037,3.991,60.0,10.1605,0.0863,10.1605,22.5958,-8.4926,-16.2784,2.8568,12.8,12.8,POLUSDT,POLUSDT,True,SLINGSHOT,POLUSDT
58,1,4287.2193,2.6432,48.2759,10.8817,-0.6231,10.8817,36.2583,-12.8032,-57.3045,74.8147,11.0345,11.0345,SOLUSDT,SOLUSDT,True,SLINGSHOT,SOLUSDT
73,1,427.7842,2.0007,56.1644,3.3146,1.6911,3.3146,11.7991,-7.5561,-45.9685,9.306,12.137,12.137,TRXUSDT,TRXUSDT,True,SLINGSHOT,TRXUSDT
60,1,-62.9939,1.0361,35.0,0.2726,-6.2154,0.2726,22.346,-11.613,-77.2017,-0.816,9.9333,9.9333,XRPUSDT,XRPUSDT,False,SLINGSHOT,XRPUSDT
