trade_id,candidate_id,source_candidate_id,asset,timeframe,entry_time,exit_time,direction,entry_price,exit_price,exit_type,gross_return_pct,fee_pct,slippage_pct,net_return_pct,hold_bars,source_file
SLINGSHOT_00001,SLINGSHOT_EMA_PULLBACK,SLINGSHOT,BTCUSDT,1D,2020-01-07 00:00:00+00:00,2020-01-22 00:00:00+00:00,long,7757.74,8684.57,R_target,11.947165,0.06,0.06,11.827165,15,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\SLINGSHOT\trades.csv
SLINGSHOT_00002,SLINGSHOT_EMA_PULLBACK,SLINGSHOT,ETHUSDT,1D,2020-01-27 00:00:00+00:00,2020-02-05 00:00:00+00:00,long,167.98,204.76,R_target,21.895464,0.06,0.06,21.775464,9,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\SLINGSHOT\trades.csv
SLINGSHOT_00003,SLINGSHOT_EMA_PULLBACK,SLINGSHOT,BTCUSDT,1D,2020-01-28 00:00:00+00:00,2020-02-12 00:00:00+00:00,long,8913.61,10339.99,R_target,16.002271,0.06,0.06,15.882271,15,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\SLINGSHOT\trades.csv
SLINGSHOT_00004,SLINGSHOT_EMA_PULLBACK,SLINGSHOT,ETHUSDT,1D,2020-02-18 00:00:00+00:00,2020-02-26 00:00:00+00:00,long,267.99,217.32,R_target,-18.907422,0.06,0.06,-19.027422,8,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\SLINGSHOT\trades.csv
SLINGSHOT_00005,SLINGSHOT_EMA_PULLBACK,SLINGSHOT,ETHUSDT,1D,2020-03-07 00:00:00+00:00,2020-03-08 00:00:00+00:00,long,244.97,210.01,R_target,-14.271135,0.06,0.06,-14.391135,1,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\SLINGSHOT\trades.csv
SLINGSHOT_00006,SLINGSHOT_EMA_PULLBACK,SLINGSHOT,BNBUSDT,1D,2020-04-14 00:00:00+00:00,2020-04-29 00:00:00+00:00,long,15.001,17.333,R_target,15.54563,0.06,0.06,15.42563,15,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\SLINGSHOT\trades.csv
SLINGSHOT_00007,SLINGSHOT_EMA_PULLBACK,SLINGSHOT,BTCUSDT,1D,2020-04-17 00:00:00+00:00,2020-04-30 00:00:00+00:00,long,7098.15,8996.61,R_target,26.745842,0.06,0.06,26.625842,13,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\SLINGSHOT\trades.csv
SLINGSHOT_00008,SLINGSHOT_EMA_PULLBACK,SLINGSHOT,TRXUSDT,1D,2020-04-17 00:00:00+00:00,2020-04-30 00:00:00+00:00,long,0.01303,0.01672,R_target,28.319263,0.06,0.06,28.199263,13,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\SLINGSHOT\trades.csv
SLINGSHOT_00009,SLINGSHOT_EMA_PULLBACK,SLINGSHOT,LINKUSDT,1D,2020-04-17 00:00:00+00:00,2020-05-02 00:00:00+00:00,long,3.487,3.819,R_target,9.521078,0.06,0.06,9.401078,15,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\SLINGSHOT\trades.csv
SLINGSHOT_00010,SLINGSHOT_EMA_PULLBACK,SLINGSHOT,ETHUSDT,1D,2020-04-17 00:00:00+00:00,2020-05-02 00:00:00+00:00,long,172.31,213.99,R_target,24.188962,0.06,0.06,24.068962,15,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\SLINGSHOT\trades.csv
