trade_count,assets_tested,net_return_after_costs,profit_factor,win_rate,average_trade,median_trade,expectancy,average_winner,average_loser,max_drawdown,return_over_dd,exposure,average_hold_bars,best_asset,worst_asset,concentration_warning,candidate_id,asset
43,1,-66.2535,0.746,37.2093,-1.6665,-3.8083,-1.6665,13.1539,-10.449,-69.2926,-0.9561,9.1163,9.1163,ADAUSDT,ADAUSDT,False,BIGBELUGA,ADAUSDT
35,1,51.9025,1.6181,40.0,3.562,-5.1366,3.562,23.3115,-9.6043,-69.9936,0.7415,9.5714,9.5714,APTUSDT,APTUSDT,True,BIGBELUGA,APTUSDT
30,1,-1.7141,1.1839,36.6667,1.1136,-4.7654,1.1136,19.5523,-9.5615,-43.4837,-0.0394,9.0,9.0,ARBUSDT,ARBUSDT,False,BIGBELUGA,ARBUSDT
49,1,797.1329,2.5775,57.1429,8.5729,1.4489,8.5729,24.5131,-12.6807,-49.3679,16.1468,9.9796,9.9796,AVAXUSDT,AVAXUSDT,True,BIGBELUGA,AVAXUSDT
52,1,62.4239,1.488,48.0769,1.9362,-1.2379,1.9362,12.2792,-7.6406,-58.4747,1.0675,10.1923,10.1923,BNBUSDT,BNBUSDT,True,BIGBELUGA,BNBUSDT
52,1,291.3286,2.1968,46.1538,3.6216,-1.079,3.6216,14.4034,-5.6199,-47.5175,6.131,9.6538,9.6538,BTCUSDT,BTCUSDT,True,BIGBELUGA,BTCUSDT
41,1,875.7146,3.6475,43.9024,17.2223,-4.6669,17.2223,54.046,-11.5962,-69.9489,12.5193,9.5366,9.5366,DOGEUSDT,DOGEUSDT,True,BIGBELUGA,DOGEUSDT
48,1,-79.2669,0.5634,31.25,-2.6562,-5.3873,-2.6562,10.9692,-8.8495,-78.6792,-1.0075,9.125,9.125,DOTUSDT,DOTUSDT,False,BIGBELUGA,DOTUSDT
56,1,90.8769,1.5489,42.8571,2.6096,-2.9644,2.6096,17.183,-8.3204,-44.198,2.0561,9.4286,9.4286,ETHUSDT,ETHUSDT,True,BIGBELUGA,ETHUSDT
51,1,154.5332,1.7626,50.9804,3.281,0.1689,3.281,14.8752,-8.7769,-53.8556,2.8694,9.9216,9.9216,LINKUSDT,LINKUSDT,True,BIGBELUGA,LINKUSDT
53,1,1.1908,1.2034,43.3962,1.0114,-4.1509,1.0114,13.7867,-8.7831,-63.6269,0.0187,10.0189,10.0189,LTCUSDT,LTCUSDT,True,BIGBELUGA,LTCUSDT
38,1,208.6481,1.9297,52.6316,4.6412,0.6339,4.6412,18.3038,-10.5394,-31.7491,6.5718,10.3421,10.3421,NEARUSDT,NEARUSDT,True,BIGBELUGA,NEARUSDT
41,1,250.6091,1.9993,53.6585,5.7583,1.0349,5.7583,21.4701,-12.4343,-70.2222,3.5688,9.7805,9.7805,OPUSDT,OPUSDT,True,BIGBELUGA,OPUSDT
12,1,42.5792,1.9616,50.0,3.9983,1.0074,3.9983,16.3124,-8.3158,-34.4443,1.2362,8.4167,8.4167,POLUSDT,POLUSDT,True,BIGBELUGA,POLUSDT
46,1,276.1065,1.8383,50.0,4.5196,-0.3526,4.5196,19.8223,-10.783,-50.1058,5.5105,9.3261,9.3261,SOLUSDT,SOLUSDT,True,BIGBELUGA,SOLUSDT
43,1,15.3308,1.2733,48.8372,0.887,-0.12,0.887,8.4611,-6.3427,-41.1202,0.3728,9.907,9.907,TRXUSDT,TRXUSDT,True,BIGBELUGA,TRXUSDT
49,1,252.9079,2.049,40.8163,4.3934,-1.9391,4.3934,21.0244,-7.0763,-40.2946,6.2765,9.7551,9.7551,XRPUSDT,XRPUSDT,True,BIGBELUGA,XRPUSDT
