trade_id,candidate_id,source_candidate_id,asset,timeframe,entry_time,exit_time,direction,entry_price,exit_price,exit_type,gross_return_pct,fee_pct,slippage_pct,net_return_pct,hold_bars,source_file
BIGBELUGA_00001,BIGBELUGA_RSI_DIVERGENCE_CHOCH_ATR,BIGBELUGA,BTCUSDT,1D,2019-11-11 00:00:00+00:00,2019-11-23 00:00:00+00:00,short,9041.31,7305.99,combined,23.752017,0.06,0.06,23.632017,12,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\BIGBELUGA\trades.csv
BIGBELUGA_00002,BIGBELUGA_RSI_DIVERGENCE_CHOCH_ATR,BIGBELUGA,BTCUSDT,1D,2019-12-17 00:00:00+00:00,2019-12-18 00:00:00+00:00,short,6887.48,7440.27285714,combined,-7.429739,0.06,0.06,-7.549739,1,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\BIGBELUGA\trades.csv
BIGBELUGA_00003,BIGBELUGA_RSI_DIVERGENCE_CHOCH_ATR,BIGBELUGA,BTCUSDT,1D,2019-12-25 00:00:00+00:00,2020-01-06 00:00:00+00:00,long,7251.57,7757.39,combined,6.975317,0.06,0.06,6.855317,12,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\BIGBELUGA\trades.csv
BIGBELUGA_00004,BIGBELUGA_RSI_DIVERGENCE_CHOCH_ATR,BIGBELUGA,XRPUSDT,1D,2020-02-28 00:00:00+00:00,2020-03-11 00:00:00+00:00,short,0.2387,0.2084,combined,14.539347,0.06,0.06,14.419347,12,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\BIGBELUGA\trades.csv
BIGBELUGA_00005,BIGBELUGA_RSI_DIVERGENCE_CHOCH_ATR,BIGBELUGA,ETHUSDT,1D,2020-02-29 00:00:00+00:00,2020-03-12 00:00:00+00:00,short,227.04,106.71,combined,112.763565,0.06,0.06,112.643565,12,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\BIGBELUGA\trades.csv
BIGBELUGA_00006,BIGBELUGA_RSI_DIVERGENCE_CHOCH_ATR,BIGBELUGA,BTCUSDT,1D,2020-02-29 00:00:00+00:00,2020-03-12 00:00:00+00:00,short,8699.86,4764.65,combined,82.591796,0.06,0.06,82.471796,12,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\BIGBELUGA\trades.csv
BIGBELUGA_00007,BIGBELUGA_RSI_DIVERGENCE_CHOCH_ATR,BIGBELUGA,XRPUSDT,1D,2020-03-29 00:00:00+00:00,2020-04-10 00:00:00+00:00,long,0.1755,0.1876,combined,6.894587,0.06,0.06,6.774587,12,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\BIGBELUGA\trades.csv
BIGBELUGA_00008,BIGBELUGA_RSI_DIVERGENCE_CHOCH_ATR,BIGBELUGA,LTCUSDT,1D,2020-04-18 00:00:00+00:00,2020-04-29 00:00:00+00:00,short,42.16,47.58285714,combined,-11.396661,0.06,0.06,-11.516661,11,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\BIGBELUGA\trades.csv
BIGBELUGA_00009,BIGBELUGA_RSI_DIVERGENCE_CHOCH_ATR,BIGBELUGA,XRPUSDT,1D,2020-05-13 00:00:00+00:00,2020-05-25 00:00:00+00:00,short,0.1972,0.1961,combined,0.560938,0.06,0.06,0.440938,12,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\BIGBELUGA\trades.csv
BIGBELUGA_00010,BIGBELUGA_RSI_DIVERGENCE_CHOCH_ATR,BIGBELUGA,LTCUSDT,1D,2020-05-13 00:00:00+00:00,2020-05-25 00:00:00+00:00,short,42.2,42.97,combined,-1.791948,0.06,0.06,-1.911948,12,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\BIGBELUGA\trades.csv
