trade_count,assets_tested,net_return_after_costs,profit_factor,win_rate,average_trade,median_trade,expectancy,average_winner,average_loser,max_drawdown,return_over_dd,exposure,average_hold_bars,best_asset,worst_asset,concentration_warning,candidate_id,asset
15,1,126.0868,2.2132,40.0,9.3659,-10.5694,9.3659,42.7149,-12.8668,-36.536,3.451,10.3333,10.3333,ADAUSDT,ADAUSDT,True,MARTIN_LUKE,ADAUSDT
9,1,17.0022,1.499,44.4444,3.8734,-4.0971,3.8734,26.1813,-13.973,-36.6075,0.4644,14.4444,14.4444,APTUSDT,APTUSDT,True,MARTIN_LUKE,APTUSDT
9,1,-36.494,0.6872,11.1111,-2.9538,-10.9381,-2.9538,58.3934,-10.6222,-47.0592,-0.7755,9.8889,9.8889,ARBUSDT,ARBUSDT,False,MARTIN_LUKE,ARBUSDT
9,1,15.8343,1.5497,33.3333,3.9928,-7.4481,3.9928,33.7713,-10.8964,-44.4573,0.3562,10.0,10.0,AVAXUSDT,AVAXUSDT,True,MARTIN_LUKE,AVAXUSDT
31,1,604.1751,3.5277,54.8387,7.751,1.6247,7.751,19.7258,-6.7899,-27.7113,21.8025,14.0,14.0,BNBUSDT,BNBUSDT,True,MARTIN_LUKE,BNBUSDT
40,1,-22.6123,0.9887,37.5,-0.0529,-5.8582,-0.0529,12.3417,-7.4896,-48.9124,-0.4623,11.5,11.5,BTCUSDT,BTCUSDT,False,MARTIN_LUKE,BTCUSDT
15,1,22.5382,1.4458,46.6667,3.4394,-7.1448,3.4394,23.9027,-14.4661,-37.9476,0.5939,12.2,12.2,DOGEUSDT,DOGEUSDT,True,MARTIN_LUKE,DOGEUSDT
15,1,7.822,1.3396,33.3333,2.6645,-9.0867,2.6645,31.5342,-11.7704,-40.9577,0.191,10.4667,10.4667,DOTUSDT,DOTUSDT,True,MARTIN_LUKE,DOTUSDT
27,1,131.8574,1.8122,44.4444,4.5534,-5.5452,4.5534,22.8598,-10.0918,-57.1925,2.3055,12.3704,12.3704,ETHUSDT,ETHUSDT,True,MARTIN_LUKE,ETHUSDT
21,1,-1.1519,1.2181,42.8571,1.4979,-2.2892,1.4979,19.5227,-12.0207,-66.2189,-0.0174,15.381,15.381,LINKUSDT,LINKUSDT,False,MARTIN_LUKE,LINKUSDT
33,1,19.0593,1.332,36.3636,2.3569,-6.5853,2.3569,26.0065,-11.1571,-63.8472,0.2985,11.4242,11.4242,LTCUSDT,LTCUSDT,True,MARTIN_LUKE,LTCUSDT
9,1,133.6572,3.1751,66.6667,13.9905,4.8375,13.9905,30.6341,-19.2965,-33.963,3.9354,12.5556,12.5556,NEARUSDT,NEARUSDT,True,MARTIN_LUKE,NEARUSDT
8,1,-14.8305,1.0284,25.0,0.2574,-9.3807,0.2574,37.2803,-12.0835,-32.6419,-0.4543,13.125,13.125,OPUSDT,OPUSDT,False,MARTIN_LUKE,OPUSDT
2,1,-3.6418,0.8664,50.0,-0.9483,-0.9483,-0.9483,12.2963,-14.193,0.0,0.0,13.5,13.5,POLUSDT,POLUSDT,False,MARTIN_LUKE,POLUSDT
19,1,71.7905,1.7237,52.6316,5.4504,2.0227,5.4504,24.6658,-15.9001,-46.9837,1.528,11.8947,11.8947,SOLUSDT,SOLUSDT,True,MARTIN_LUKE,SOLUSDT
44,1,598.2377,2.8468,61.3636,5.6104,3.8159,5.6104,14.0935,-7.8628,-26.5957,22.4938,13.4545,13.4545,TRXUSDT,TRXUSDT,True,MARTIN_LUKE,TRXUSDT
20,1,-83.5734,0.3211,15.0,-7.5739,-9.768,-7.5739,23.8819,-13.1249,-87.9501,-0.9502,10.55,10.55,XRPUSDT,XRPUSDT,False,MARTIN_LUKE,XRPUSDT
