trade_id,candidate_id,source_candidate_id,asset,timeframe,entry_time,exit_time,direction,entry_price,exit_price,exit_type,gross_return_pct,fee_pct,slippage_pct,net_return_pct,hold_bars,source_file
MARTIN_LUKE_00001,MARTIN_LUKE_PULLBACK,MARTIN_LUKE,BTCUSDT,1D,2020-01-27 00:00:00+00:00,2020-02-16 00:00:00+00:00,long,8611.21,9921.86,ema_avwap_proxy,15.220277,0.06,0.06,15.100277,20,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\MARTIN_LUKE\trades.csv
MARTIN_LUKE_00002,MARTIN_LUKE_PULLBACK,MARTIN_LUKE,BTCUSDT,1D,2020-02-19 00:00:00+00:00,2020-02-19 00:00:00+00:00,long,10174.53,9312.06428571,ema_avwap_proxy,-8.476713,0.06,0.06,-8.596713,0,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\MARTIN_LUKE\trades.csv
MARTIN_LUKE_00003,MARTIN_LUKE_PULLBACK,MARTIN_LUKE,BTCUSDT,1D,2020-02-24 00:00:00+00:00,2020-02-26 00:00:00+00:00,long,9943.12,9031.17571429,ema_avwap_proxy,-9.171611,0.06,0.06,-9.291611,2,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\MARTIN_LUKE\trades.csv
MARTIN_LUKE_00004,MARTIN_LUKE_PULLBACK,MARTIN_LUKE,LINKUSDT,1D,2020-04-17 00:00:00+00:00,2020-05-07 00:00:00+00:00,long,3.487,3.764,ema_avwap_proxy,7.943791,0.06,0.06,7.823791,20,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\MARTIN_LUKE\trades.csv
MARTIN_LUKE_00005,MARTIN_LUKE_PULLBACK,MARTIN_LUKE,ETHUSDT,1D,2020-05-08 00:00:00+00:00,2020-05-10 00:00:00+00:00,long,212.25,186.53142857,ema_avwap_proxy,-12.117113,0.06,0.06,-12.237113,2,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\MARTIN_LUKE\trades.csv
MARTIN_LUKE_00006,MARTIN_LUKE_PULLBACK,MARTIN_LUKE,ETHUSDT,1D,2020-05-15 00:00:00+00:00,2020-06-04 00:00:00+00:00,long,203.1,243.28,ema_avwap_proxy,19.783358,0.06,0.06,19.663358,20,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\MARTIN_LUKE\trades.csv
MARTIN_LUKE_00007,MARTIN_LUKE_PULLBACK,MARTIN_LUKE,BNBUSDT,1D,2020-05-19 00:00:00+00:00,2020-06-08 00:00:00+00:00,long,16.64,17.453,ema_avwap_proxy,4.885817,0.06,0.06,4.765817,20,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\MARTIN_LUKE\trades.csv
MARTIN_LUKE_00008,MARTIN_LUKE_PULLBACK,MARTIN_LUKE,TRXUSDT,1D,2020-05-19 00:00:00+00:00,2020-06-08 00:00:00+00:00,long,0.01538,0.01795,ema_avwap_proxy,16.710013,0.06,0.06,16.590013,20,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\MARTIN_LUKE\trades.csv
MARTIN_LUKE_00009,MARTIN_LUKE_PULLBACK,MARTIN_LUKE,BTCUSDT,1D,2020-05-29 00:00:00+00:00,2020-06-18 00:00:00+00:00,long,9569.58,9381.59,ema_avwap_proxy,-1.964454,0.06,0.06,-2.084454,20,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\MARTIN_LUKE\trades.csv
MARTIN_LUKE_00010,MARTIN_LUKE_PULLBACK,MARTIN_LUKE,LINKUSDT,1D,2020-05-29 00:00:00+00:00,2020-06-18 00:00:00+00:00,long,4.045,4.136,ema_avwap_proxy,2.249691,0.06,0.06,2.129691,20,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\MARTIN_LUKE\trades.csv
MARTIN_LUKE_00011,MARTIN_LUKE_PULLBACK,MARTIN_LUKE,ADAUSDT,1D,2020-06-18 00:00:00+00:00,2020-07-07 00:00:00+00:00,long,0.08342,0.11630857,ema_avwap_proxy,39.425283,0.06,0.06,39.305283,19,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\MARTIN_LUKE\trades.csv
MARTIN_LUKE_00012,MARTIN_LUKE_PULLBACK,MARTIN_LUKE,LINKUSDT,1D,2020-06-23 00:00:00+00:00,2020-07-07 00:00:00+00:00,long,4.48,5.77814286,ema_avwap_proxy,28.976403,0.06,0.06,28.856403,14,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\MARTIN_LUKE\trades.csv
MARTIN_LUKE_00013,MARTIN_LUKE_PULLBACK,MARTIN_LUKE,TRXUSDT,1D,2020-07-02 00:00:00+00:00,2020-07-22 00:00:00+00:00,long,0.01687,0.01796,ema_avwap_proxy,6.461174,0.06,0.06,6.341174,20,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\MARTIN_LUKE\trades.csv
MARTIN_LUKE_00014,MARTIN_LUKE_PULLBACK,MARTIN_LUKE,ETHUSDT,1D,2020-07-13 00:00:00+00:00,2020-07-25 00:00:00+00:00,long,242.82,292.09714286,ema_avwap_proxy,20.293692,0.06,0.06,20.173692,12,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\MARTIN_LUKE\trades.csv
MARTIN_LUKE_00015,MARTIN_LUKE_PULLBACK,MARTIN_LUKE,XRPUSDT,1D,2020-07-19 00:00:00+00:00,2020-07-31 00:00:00+00:00,long,0.2,0.25987143,ema_avwap_proxy,29.935714,0.06,0.06,29.815714,12,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\MARTIN_LUKE\trades.csv
MARTIN_LUKE_00016,MARTIN_LUKE_PULLBACK,MARTIN_LUKE,BNBUSDT,1D,2020-07-20 00:00:00+00:00,2020-08-09 00:00:00+00:00,long,18.041,22.416,ema_avwap_proxy,24.250319,0.06,0.06,24.130319,20,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\MARTIN_LUKE\trades.csv
MARTIN_LUKE_00017,MARTIN_LUKE_PULLBACK,MARTIN_LUKE,BTCUSDT,1D,2020-07-23 00:00:00+00:00,2020-07-27 00:00:00+00:00,long,9518.25,10529.78571429,ema_avwap_proxy,10.627329,0.06,0.06,10.507329,4,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\MARTIN_LUKE\trades.csv
MARTIN_LUKE_00018,MARTIN_LUKE_PULLBACK,MARTIN_LUKE,LTCUSDT,1D,2020-07-26 00:00:00+00:00,2020-08-02 00:00:00+00:00,long,49.22,64.55,ema_avwap_proxy,31.145876,0.06,0.06,31.025876,7,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\MARTIN_LUKE\trades.csv
MARTIN_LUKE_00019,MARTIN_LUKE_PULLBACK,MARTIN_LUKE,TRXUSDT,1D,2020-08-02 00:00:00+00:00,2020-08-02 00:00:00+00:00,long,0.02051,0.01851143,ema_avwap_proxy,-9.744376,0.06,0.06,-9.864376,0,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\MARTIN_LUKE\trades.csv
MARTIN_LUKE_00020,MARTIN_LUKE_PULLBACK,MARTIN_LUKE,BTCUSDT,1D,2020-08-14 00:00:00+00:00,2020-09-03 00:00:00+00:00,long,11790.0,10565.7,ema_avwap_proxy,-10.384224,0.06,0.06,-10.504224,20,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\MARTIN_LUKE\trades.csv
MARTIN_LUKE_00021,MARTIN_LUKE_PULLBACK,MARTIN_LUKE,XRPUSDT,1D,2020-08-14 00:00:00+00:00,2020-09-03 00:00:00+00:00,long,0.2947,0.2438,ema_avwap_proxy,-17.271802,0.06,0.06,-17.391802,20,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\MARTIN_LUKE\trades.csv
MARTIN_LUKE_00022,MARTIN_LUKE_PULLBACK,MARTIN_LUKE,BNBUSDT,1D,2020-08-15 00:00:00+00:00,2020-09-03 00:00:00+00:00,long,23.141,20.00571429,ema_avwap_proxy,-13.548618,0.06,0.06,-13.668618,19,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\MARTIN_LUKE\trades.csv
MARTIN_LUKE_00023,MARTIN_LUKE_PULLBACK,MARTIN_LUKE,ADAUSDT,1D,2020-08-18 00:00:00+00:00,2020-08-21 00:00:00+00:00,long,0.14056,0.12184,ema_avwap_proxy,-13.318156,0.06,0.06,-13.438156,3,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\MARTIN_LUKE\trades.csv
MARTIN_LUKE_00024,MARTIN_LUKE_PULLBACK,MARTIN_LUKE,LTCUSDT,1D,2020-08-25 00:00:00+00:00,2020-09-03 00:00:00+00:00,long,62.1,52.16714286,ema_avwap_proxy,-15.994939,0.06,0.06,-16.114939,9,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\MARTIN_LUKE\trades.csv
MARTIN_LUKE_00025,MARTIN_LUKE_PULLBACK,MARTIN_LUKE,TRXUSDT,1D,2020-08-30 00:00:00+00:00,2020-09-03 00:00:00+00:00,long,0.02493,0.04145571,ema_avwap_proxy,66.288465,0.06,0.06,66.168465,4,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\MARTIN_LUKE\trades.csv
