trade_id,candidate_id,source_candidate_id,asset,timeframe,entry_time,exit_time,direction,entry_price,exit_price,exit_type,gross_return_pct,fee_pct,slippage_pct,net_return_pct,hold_bars,source_file
LINDA_5SMA_00001,LINDA_5SMA_PULLBACK,LINDA_5SMA,BTCUSDT,1D,2020-05-11 00:00:00+00:00,2020-05-13 00:00:00+00:00,long,8723.23,9305.91,snapback,6.679636,0.06,0.06,6.559636,2,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\LINDA_5SMA\trades.csv
LINDA_5SMA_00002,LINDA_5SMA_PULLBACK,LINDA_5SMA,BTCUSDT,1D,2020-05-21 00:00:00+00:00,2020-05-27 00:00:00+00:00,long,9508.0,9197.32,snapback,-3.267564,0.06,0.06,-3.387564,6,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\LINDA_5SMA\trades.csv
LINDA_5SMA_00003,LINDA_5SMA_PULLBACK,LINDA_5SMA,BTCUSDT,1D,2020-06-06 00:00:00+00:00,2020-06-07 00:00:00+00:00,long,9616.64,9743.92,snapback,1.323539,0.06,0.06,1.203539,1,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\LINDA_5SMA\trades.csv
LINDA_5SMA_00004,LINDA_5SMA_PULLBACK,LINDA_5SMA,BTCUSDT,1D,2020-06-12 00:00:00+00:00,2020-06-16 00:00:00+00:00,long,9277.72,9519.12,snapback,2.601932,0.06,0.06,2.481932,4,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\LINDA_5SMA\trades.csv
LINDA_5SMA_00005,LINDA_5SMA_PULLBACK,LINDA_5SMA,BTCUSDT,1D,2020-06-18 00:00:00+00:00,2020-06-22 00:00:00+00:00,long,9458.45,9686.99,snapback,2.416252,0.06,0.06,2.296252,4,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\LINDA_5SMA\trades.csv
LINDA_5SMA_00006,LINDA_5SMA_PULLBACK,LINDA_5SMA,ETHUSDT,1D,2020-06-26 00:00:00+00:00,2020-07-01 00:00:00+00:00,long,232.5,231.03,snapback,-0.632258,0.06,0.06,-0.752258,5,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\LINDA_5SMA\trades.csv
LINDA_5SMA_00007,LINDA_5SMA_PULLBACK,LINDA_5SMA,ETHUSDT,1D,2020-07-03 00:00:00+00:00,2020-07-04 00:00:00+00:00,long,226.54,229.2,snapback,1.174186,0.06,0.06,1.054186,1,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\LINDA_5SMA\trades.csv
LINDA_5SMA_00008,LINDA_5SMA_PULLBACK,LINDA_5SMA,ETHUSDT,1D,2020-07-14 00:00:00+00:00,2020-07-19 00:00:00+00:00,long,239.6,239.19,snapback,-0.171119,0.06,0.06,-0.291119,5,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\LINDA_5SMA\trades.csv
LINDA_5SMA_00009,LINDA_5SMA_PULLBACK,LINDA_5SMA,BTCUSDT,1D,2020-08-05 00:00:00+00:00,2020-08-06 00:00:00+00:00,long,11200.06,11770.56,snapback,5.093723,0.06,0.06,4.973723,1,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\LINDA_5SMA\trades.csv
LINDA_5SMA_00010,LINDA_5SMA_PULLBACK,LINDA_5SMA,LTCUSDT,1D,2020-08-08 00:00:00+00:00,2020-08-10 00:00:00+00:00,long,57.24,58.36,snapback,1.956674,0.06,0.06,1.836674,2,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\LINDA_5SMA\trades.csv
