strategy_id,train_start,train_end,test_start,test_end,selected_parameter_set,train_pf,test_pf,test_net_return_pct,test_trade_count,test_max_drawdown_pct
QL_CRABEL_RANGE_EXPANSION_STAGE2_v0,2024-01-01,2024-07-01,2024-07-01,2024-10-01,"{""atr_filter"": false, ""direction_mode"": ""long_only"", ""mult"": 0.5, ""trend_filter"": true}",1.7166034690482215,0.7703805013551416,-16.443367993214466,15,-22.21811203692837
QL_CRABEL_RANGE_EXPANSION_STAGE2_v0,2024-04-01,2024-10-01,2024-10-01,2025-01-01,"{""atr_filter"": true, ""direction_mode"": ""long_only"", ""mult"": 0.5, ""trend_filter"": false}",2.2830656635760604,5.8605873781082956,389.84754559372664,21,-27.22230858992074
QL_CRABEL_RANGE_EXPANSION_STAGE2_v0,2024-07-01,2025-01-01,2025-01-01,2025-04-01,"{""atr_filter"": true, ""direction_mode"": ""long_only"", ""mult"": 0.5, ""trend_filter"": false}",5.243639049099988,0.4020912471535674,-64.42583971707401,28,-68.03246567576477
QL_CRABEL_RANGE_EXPANSION_STAGE2_v0,2024-10-01,2025-04-01,2025-04-01,2025-07-01,"{""atr_filter"": true, ""direction_mode"": ""short_only"", ""mult"": 0.5, ""trend_filter"": true}",3.89093083648612,0.9246405994718329,-7.5217924777167156,6,-28.958767617809812
QL_CRABEL_RANGE_EXPANSION_STAGE2_v0,2025-01-01,2025-07-01,2025-07-01,2025-10-01,"{""atr_filter"": true, ""direction_mode"": ""short_only"", ""mult"": 0.6, ""trend_filter"": true}",4.9291022291088336,0.0,-14.526324155330228,2,-5.7045143055004965
QL_CRABEL_RANGE_EXPANSION_STAGE2_v0,2025-04-01,2025-10-01,2025-10-01,2026-01-01,"{""atr_filter"": true, ""direction_mode"": ""long_only"", ""mult"": 0.5, ""trend_filter"": false}",4.244626164059213,0.0,-76.89208699999381,27,-76.03891142115347
QL_CRABEL_RANGE_EXPANSION_STAGE2_v0,2025-07-01,2026-01-01,2026-01-01,2026-04-01,"{""atr_filter"": true, ""direction_mode"": ""long_only"", ""mult"": 0.5, ""trend_filter"": true}",1.6253751224159225,0.0,0.0,0,0.0
QL_LINDA_5SMA_RS_PULLBACK_v0,2024-01-01,2024-07-01,2024-07-01,2024-10-01,"{""stop_mode"": ""none""}",1.3234387502313216,0.5638366326866633,-27.374397429173392,20,-38.86587176518061
QL_LINDA_5SMA_RS_PULLBACK_v0,2024-04-01,2024-10-01,2024-10-01,2025-01-01,"{""stop_mode"": ""none""}",0.44435576063179755,2.271772706812866,71.18351667491925,35,-13.513933645158316
QL_LINDA_5SMA_RS_PULLBACK_v0,2024-07-01,2025-01-01,2025-01-01,2025-04-01,"{""stop_mode"": ""none""}",1.29544682645913,0.6205495500566405,-19.475389808163214,16,-22.74832645662359
QL_LINDA_5SMA_RS_PULLBACK_v0,2024-10-01,2025-04-01,2025-04-01,2025-07-01,"{""stop_mode"": ""none""}",1.4567770531618043,2.058370524067169,11.211687319665176,21,-4.461913666497718
QL_LINDA_5SMA_RS_PULLBACK_v0,2025-01-01,2025-07-01,2025-07-01,2025-10-01,"{""stop_mode"": ""none""}",0.8881584262316324,2.2158991014504594,63.97814873026888,43,-14.894420923163388
QL_LINDA_5SMA_RS_PULLBACK_v0,2025-04-01,2025-10-01,2025-10-01,2026-01-01,"{""stop_mode"": ""none""}",2.1861895009224424,0.6589391842832844,-14.931794018936738,10,-19.146636470501598
QL_LINDA_5SMA_RS_PULLBACK_v0,2025-07-01,2026-01-01,2026-01-01,2026-04-01,"{""stop_mode"": ""none""}",1.4994099774149796,0.14586586571288676,-4.264732629013168,2,-4.951183408081605
QL_BIGBELUGA_RSI_DIVERGENCE_CHOCH_ATR_v0,2024-01-01,2024-07-01,2024-07-01,2024-10-01,"{""atr_mult"": 3.0, ""pivot"": 7}",1.802585876239305,1.0941459104362743,-0.9098602772943831,21,-21.08287813143327
QL_BIGBELUGA_RSI_DIVERGENCE_CHOCH_ATR_v0,2024-04-01,2024-10-01,2024-10-01,2025-01-01,"{""atr_mult"": 3.0, ""pivot"": 10}",2.9667244418148533,3.8070487589467903,86.85963916091903,21,-9.248628033020045
QL_BIGBELUGA_RSI_DIVERGENCE_CHOCH_ATR_v0,2024-07-01,2025-01-01,2025-01-01,2025-04-01,"{""atr_mult"": 3.0, ""pivot"": 10}",2.814612273857975,1.6279513861341088,24.018935243593642,20,-30.80544383812841
QL_BIGBELUGA_RSI_DIVERGENCE_CHOCH_ATR_v0,2024-10-01,2025-04-01,2025-04-01,2025-07-01,"{""atr_mult"": 3.0, ""pivot"": 10}",2.402187030422881,8.624724601340988,77.10862567646642,12,-4.165016629805152
QL_BIGBELUGA_RSI_DIVERGENCE_CHOCH_ATR_v0,2025-01-01,2025-07-01,2025-07-01,2025-10-01,"{""atr_mult"": 3.0, ""pivot"": 10}",2.7184532872948126,1.6401439514225091,12.116043975340407,8,-20.078326108866605
QL_BIGBELUGA_RSI_DIVERGENCE_CHOCH_ATR_v0,2025-04-01,2025-10-01,2025-10-01,2026-01-01,"{""atr_mult"": 3.0, ""pivot"": 10}",3.419905292545011,1.0551187676478115,-0.4181246719631604,11,-15.634574042346506
QL_BIGBELUGA_RSI_DIVERGENCE_CHOCH_ATR_v0,2025-07-01,2026-01-01,2026-01-01,2026-04-01,"{""atr_mult"": 5.0, ""pivot"": 10}",1.3376985656662113,2.275574130573351,56.23407145829782,14,-21.87909908768172
