asset,timeframe,exists,path,bar_count,first_ts,last_ts,duplicate_count,missing_count,quality
BTCUSDT,1D,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\BTCUSDT\1D\BINANCE_FUTURES_BTCUSDT_1D_20190908_20260413.csv,2410,2019-09-08 00:00:00+00:00,2026-04-13 00:00:00+00:00,0,0,PASS
ETHUSDT,1D,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\ETHUSDT\1D\BINANCE_FUTURES_ETHUSDT_1D_20191127_20260427.csv,2344,2019-11-27 00:00:00+00:00,2026-04-27 00:00:00+00:00,0,0,PASS
SOLUSDT,1D,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\SOLUSDT\1D\BINANCE_FUTURES_SOLUSDT_1D_20200914_20260427.csv,2052,2020-09-14 00:00:00+00:00,2026-04-27 00:00:00+00:00,0,0,PASS
BNBUSDT,1D,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\BNBUSDT\1D\BINANCE_FUTURES_BNBUSDT_1D_20200210_20260427.csv,2269,2020-02-10 00:00:00+00:00,2026-04-27 00:00:00+00:00,0,0,PASS
XRPUSDT,1D,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\XRPUSDT\1D\BINANCE_FUTURES_XRPUSDT_1D_20200106_20260427.csv,2304,2020-01-06 00:00:00+00:00,2026-04-27 00:00:00+00:00,0,0,PASS
ADAUSDT,1D,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\ADAUSDT\1D\BINANCE_FUTURES_ADAUSDT_1D_20200131_20260427.csv,2279,2020-01-31 00:00:00+00:00,2026-04-27 00:00:00+00:00,0,0,PASS
DOGEUSDT,1D,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\DOGEUSDT\1D\BINANCE_FUTURES_DOGEUSDT_1D_20200710_20260427.csv,2118,2020-07-10 00:00:00+00:00,2026-04-27 00:00:00+00:00,0,0,PASS
AVAXUSDT,1D,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\AVAXUSDT\1D\BINANCE_FUTURES_AVAXUSDT_1D_20200923_20260427.csv,2043,2020-09-23 00:00:00+00:00,2026-04-27 00:00:00+00:00,0,0,PASS
LINKUSDT,1D,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\LINKUSDT\1D\BINANCE_FUTURES_LINKUSDT_1D_20200117_20260427.csv,2293,2020-01-17 00:00:00+00:00,2026-04-27 00:00:00+00:00,0,0,PASS
DOTUSDT,1D,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\DOTUSDT\1D\BINANCE_FUTURES_DOTUSDT_1D_20200822_20260427.csv,2075,2020-08-22 00:00:00+00:00,2026-04-27 00:00:00+00:00,0,0,PASS
