cost_mult,profit_factor,net_return_after_costs,max_drawdown,candidate_id
1,3.5956,74.7425,-7.3131,KELL_WEDGE
2,3.3993,71.3163,-7.6549,KELL_WEDGE
3,3.2195,67.9534,-7.9958,KELL_WEDGE
5,2.9015,61.4131,-8.6753,KELL_WEDGE
1,1.7495,24710806516.3563,-99.9692,SLINGSHOT
2,1.7205,8888905768.5997,-99.9777,SLINGSHOT
3,1.6922,3193460998.5506,-99.9838,SLINGSHOT
5,1.6372,410618400.444,-99.9915,SLINGSHOT
1,1.7727,1.2424102257232847e+23,-90.0656,CRABEL
2,1.609,1.0887320647895998e+19,-91.6371,CRABEL
3,1.4623,943446619625357.6,-92.9614,CRABEL
5,1.2128,6849799.6075,-99.1113,CRABEL
1,1.7252,6748588.8632,-99.9616,BIGBELUGA
2,1.6919,2781840.993,-99.9687,BIGBELUGA
3,1.6594,1145423.884,-99.9744,BIGBELUGA
5,1.5967,193495.4168,-99.983,BIGBELUGA
1,1.3557,6732.5051,-98.3383,LINDA_5SMA
2,1.3108,2287.8794,-98.6486,LINDA_5SMA
3,1.2671,733.4625,-98.9013,LINDA_5SMA
5,1.1829,1.1466,-99.2743,LINDA_5SMA
1,1.5289,14344.6541,-99.3507,MARTIN_LUKE
2,1.504,9663.7671,-99.4041,MARTIN_LUKE
3,1.4797,6496.5534,-99.4532,MARTIN_LUKE
5,1.4326,2906.6472,-99.5398,MARTIN_LUKE
1,0.8687,-100.0,-100.0,LBR_COIL
2,0.5618,-100.0,-100.0,LBR_COIL
3,0.3696,-100.0,-100.0,LBR_COIL
5,0.1661,-100.0,-100.0,LBR_COIL
1,1.4648,81.6414,-15.5149,HIGHBETA_PROXY
2,1.0183,0.6822,-27.2622,HIGHBETA_PROXY
3,0.7196,-44.2323,-51.3534,HIGHBETA_PROXY
5,0.3821,-82.9267,-82.8523,HIGHBETA_PROXY
1,0.7414,-100.0,-100.0,ORB_8AM
2,0.533,-100.0,-100.0,ORB_8AM
3,0.3887,-100.0,-100.0,ORB_8AM
5,0.2169,-100.0,-100.0,ORB_8AM
