trade_count,assets_tested,net_return_after_costs,profit_factor,win_rate,average_trade,median_trade,expectancy,average_winner,average_loser,max_drawdown,return_over_dd,exposure,average_hold_bars,best_asset,worst_asset,concentration_warning,candidate_id,parameter_set,timeframe
17,17,74.7425,3.5956,47.0588,3.602,-1.8541,3.602,10.6031,-2.6212,-8.861,8.435,11.2941,11.2941,TRXUSDT,BTCUSDT,True,KELL_WEDGE,"{""base_lb"": 8, ""exit"": ""ema20"", ""fast"": 10, ""hold"": 20, ""max_base"": 5, ""regime"": ""ema200"", ""slow"": 20}",1D
22,17,106.7105,3.5849,45.4545,3.6205,-1.7871,3.6205,11.0465,-2.5678,-10.4286,10.2325,11.4091,11.4091,TRXUSDT,BTCUSDT,True,KELL_WEDGE,"{""base_lb"": 8, ""exit"": ""ema20"", ""fast"": 10, ""hold"": 20, ""max_base"": 5, ""regime"": ""none"", ""slow"": 20}",1D
33,17,216.1716,3.5842,42.4242,3.9551,-1.9957,3.9551,12.9303,-2.6582,-11.1528,19.3827,11.1515,11.1515,BTCUSDT,BNBUSDT,False,KELL_WEDGE,"{""base_lb"": 5, ""exit"": ""ema20"", ""fast"": 10, ""hold"": 20, ""max_base"": 5, ""regime"": ""ema200"", ""slow"": 20}",1D
19,17,63.0093,3.3636,52.6316,2.8061,1.7032,2.8061,7.5874,-2.5064,-4.7325,13.3142,6.3158,6.3158,TRXUSDT,BTCUSDT,True,KELL_WEDGE,"{""base_lb"": 8, ""exit"": ""ema20"", ""fast"": 10, ""hold"": 10, ""max_base"": 5, ""regime"": ""ema200"", ""slow"": 20}",1D
24,17,76.1543,3.2804,54.1667,2.5589,1.8189,2.5589,6.7958,-2.4483,-5.6131,13.5673,6.5,6.5,TRXUSDT,BTCUSDT,True,KELL_WEDGE,"{""base_lb"": 8, ""exit"": ""ema20"", ""fast"": 10, ""hold"": 10, ""max_base"": 5, ""regime"": ""none"", ""slow"": 20}",1D
63,17,1017.3876,3.2656,42.8571,4.6792,-2.009,4.6792,15.7373,-3.6144,-15.2258,66.8198,10.8095,10.8095,TRXUSDT,LTCUSDT,False,KELL_WEDGE,"{""base_lb"": 8, ""exit"": ""ema20"", ""fast"": 10, ""hold"": 20, ""max_base"": 8, ""regime"": ""ema200"", ""slow"": 20}",1D
36,17,138.5287,3.0949,47.2222,2.6867,-0.8056,2.6867,8.4053,-2.43,-8.8145,15.7161,6.5556,6.5556,TRXUSDT,BNBUSDT,False,KELL_WEDGE,"{""base_lb"": 5, ""exit"": ""ema20"", ""fast"": 10, ""hold"": 10, ""max_base"": 5, ""regime"": ""ema200"", ""slow"": 20}",1D
66,17,961.5657,3.079,37.8788,4.5548,-2.318,4.5548,17.8086,-3.5268,-22.4583,42.8156,9.8788,9.8788,TRXUSDT,LTCUSDT,False,KELL_WEDGE,"{""base_lb"": 3, ""exit"": ""ema20"", ""fast"": 10, ""hold"": 20, ""max_base"": 5, ""regime"": ""ema200"", ""slow"": 20}",1D
47,17,340.0647,3.0569,38.2979,3.6252,-2.009,3.6252,14.0678,-2.8564,-19.0602,17.8416,10.5106,10.5106,BTCUSDT,LTCUSDT,False,KELL_WEDGE,"{""base_lb"": 5, ""exit"": ""ema20"", ""fast"": 10, ""hold"": 20, ""max_base"": 5, ""regime"": ""none"", ""slow"": 20}",1D
50,17,237.5345,2.9177,44.0,2.776,-1.3359,2.776,9.5991,-2.585,-14.1166,16.8266,6.34,6.34,TRXUSDT,BNBUSDT,False,KELL_WEDGE,"{""base_lb"": 5, ""exit"": ""ema20"", ""fast"": 10, ""hold"": 10, ""max_base"": 5, ""regime"": ""none"", ""slow"": 20}",1D
86,17,1157.9585,2.6423,37.2093,3.6974,-2.2708,3.6974,15.9871,-3.5854,-24.8678,46.5645,9.8605,9.8605,TRXUSDT,LTCUSDT,False,KELL_WEDGE,"{""base_lb"": 8, ""exit"": ""ema20"", ""fast"": 10, ""hold"": 20, ""max_base"": 8, ""regime"": ""none"", ""slow"": 20}",1D
74,17,469.0693,2.508,39.1892,3.0955,-1.9888,3.0955,13.1368,-3.3756,-25.6896,18.2591,5.6622,5.6622,DOGEUSDT,LTCUSDT,False,KELL_WEDGE,"{""base_lb"": 3, ""exit"": ""ema20"", ""fast"": 10, ""hold"": 10, ""max_base"": 5, ""regime"": ""ema200"", ""slow"": 20}",1D
70,17,381.1298,2.4707,41.4286,2.7261,-1.4483,2.7261,11.0546,-3.1647,-15.2258,25.0318,6.4571,6.4571,TRXUSDT,LTCUSDT,False,KELL_WEDGE,"{""base_lb"": 8, ""exit"": ""ema20"", ""fast"": 10, ""hold"": 10, ""max_base"": 8, ""regime"": ""ema200"", ""slow"": 20}",1D
96,17,1256.9397,2.4357,34.375,3.5238,-2.4617,3.5238,17.3909,-3.74,-31.8374,39.48,10.0938,10.0938,TRXUSDT,XRPUSDT,False,KELL_WEDGE,"{""base_lb"": 3, ""exit"": ""ema20"", ""fast"": 10, ""hold"": 20, ""max_base"": 5, ""regime"": ""none"", ""slow"": 20}",1D
108,17,1754.0124,2.3962,37.963,3.4382,-2.6361,3.4382,15.5431,-3.9694,-50.8471,34.4958,10.5278,10.5278,TRXUSDT,LTCUSDT,False,KELL_WEDGE,"{""base_lb"": 5, ""exit"": ""ema20"", ""fast"": 10, ""hold"": 20, ""max_base"": 8, ""regime"": ""ema200"", ""slow"": 20}",1D
106,17,802.9523,2.2824,36.7925,2.7173,-2.0024,2.7173,13.1447,-3.3523,-26.9283,29.8181,5.9057,5.9057,DOGEUSDT,XRPUSDT,False,KELL_WEDGE,"{""base_lb"": 3, ""exit"": ""ema20"", ""fast"": 10, ""hold"": 10, ""max_base"": 5, ""regime"": ""none"", ""slow"": 20}",1D
293,17,527125.8733,2.2821,32.7645,5.5122,-4.5994,5.5122,29.9457,-6.3944,-68.613,7682.5924,10.3379,10.3379,ETHUSDT,LTCUSDT,False,KELL_WEDGE,"{""base_lb"": 3, ""exit"": ""ema20"", ""fast"": 10, ""hold"": 20, ""max_base"": 12, ""regime"": ""ema200"", ""slow"": 20}",1D
214,17,15632.5346,2.1856,34.1121,4.2824,-3.5776,4.2824,23.142,-5.4818,-77.7365,201.0964,10.472,10.472,ETHUSDT,DOGEUSDT,False,KELL_WEDGE,"{""base_lb"": 5, ""exit"": ""ema20"", ""fast"": 10, ""hold"": 20, ""max_base"": 12, ""regime"": ""ema200"", ""slow"": 20}",1D
94,17,447.4387,2.1514,37.234,2.2914,-1.7229,2.2914,11.4985,-3.1705,-27.6296,16.1942,6.0532,6.0532,TRXUSDT,SOLUSDT,False,KELL_WEDGE,"{""base_lb"": 8, ""exit"": ""ema20"", ""fast"": 10, ""hold"": 10, ""max_base"": 8, ""regime"": ""none"", ""slow"": 20}",1D
142,17,3216.0439,2.1152,33.8028,3.5391,-3.1345,3.5391,19.8581,-4.794,-53.5018,60.1109,10.4437,10.4437,TRXUSDT,LTCUSDT,False,KELL_WEDGE,"{""base_lb"": 8, ""exit"": ""ema20"", ""fast"": 10, ""hold"": 20, ""max_base"": 12, ""regime"": ""ema200"", ""slow"": 20}",1D
124,17,938.1815,2.082,41.129,2.38,-1.918,2.38,11.1349,-3.7364,-34.9777,26.8223,6.2258,6.2258,ETHUSDT,LTCUSDT,False,KELL_WEDGE,"{""base_lb"": 5, ""exit"": ""ema20"", ""fast"": 10, ""hold"": 10, ""max_base"": 8, ""regime"": ""ema200"", ""slow"": 20}",1D
152,17,2024.8981,2.014,32.8947,2.6829,-2.8776,2.6829,16.1989,-3.9426,-45.6184,44.3878,9.9408,9.9408,TRXUSDT,AVAXUSDT,False,KELL_WEDGE,"{""base_lb"": 5, ""exit"": ""ema20"", ""fast"": 10, ""hold"": 20, ""max_base"": 8, ""regime"": ""none"", ""slow"": 20}",1D
172,17,1515.031,1.9263,38.9535,2.0671,-2.0024,2.0671,11.0354,-3.6556,-40.1589,37.7259,6.0233,6.0233,LINKUSDT,BNBUSDT,False,KELL_WEDGE,"{""base_lb"": 5, ""exit"": ""ema20"", ""fast"": 10, ""hold"": 10, ""max_base"": 8, ""regime"": ""none"", ""slow"": 20}",1D
165,17,2592.3506,1.8707,33.9394,2.9424,-3.253,2.9424,18.6265,-5.1155,-52.538,49.3424,9.7273,9.7273,ETHUSDT,LTCUSDT,False,KELL_WEDGE,"{""base_lb"": 3, ""exit"": ""ema20"", ""fast"": 10, ""hold"": 20, ""max_base"": 8, ""regime"": ""ema200"", ""slow"": 20}",1D
