trade_count,assets_tested,net_return_after_costs,profit_factor,win_rate,average_trade,median_trade,expectancy,average_winner,average_loser,max_drawdown,return_over_dd,exposure,average_hold_bars,best_asset,worst_asset,concentration_warning,candidate_id,parameter_set,timeframe
7822,17,1.2424102257232975e+23,1.7727,51.841,0.7366,0.093,0.7366,3.2598,-1.9794,-47.0784,2.639025664407287e+21,0.0,0.0,DOGEUSDT,POLUSDT,False,CRABEL,"{""direction"": ""long"", ""exit"": ""close_exit"", ""range_mult"": 0.7}",1D
6733,17,2.77110870104679e+18,1.6956,51.2105,0.6831,0.0619,0.6831,3.2514,-2.0127,-59.1068,4.6883099995470376e+16,0.0,0.0,XRPUSDT,POLUSDT,False,CRABEL,"{""direction"": ""long"", ""exit"": ""close_exit"", ""range_mult"": 0.8}",1D
5770,17,1997858089898683.5,1.658,50.6239,0.6579,0.0323,0.6579,3.2748,-2.0251,-56.4583,35386409800272.734,0.0,0.0,XRPUSDT,POLUSDT,False,CRABEL,"{""direction"": ""long"", ""exit"": ""close_exit"", ""range_mult"": 0.9}",1D
4987,17,1203792522721.1445,1.5789,50.1103,0.5992,0.0014,0.5992,3.2615,-2.0749,-56.7,21230907889.1213,0.0,0.0,XRPUSDT,POLUSDT,False,CRABEL,"{""direction"": ""long"", ""exit"": ""close_exit"", ""range_mult"": 1.0}",1D
3617,17,6391045011312937.0,1.5365,50.0415,1.5832,0.0023,1.5832,9.0612,-5.9071,-95.3126,67053518099759.18,2.9997,2.9997,DOGEUSDT,POLUSDT,True,CRABEL,"{""direction"": ""long"", ""exit"": ""time3"", ""range_mult"": 1.2}",1D
5770,17,3.2938493275208585e+24,1.5338,50.9879,1.5187,0.1287,1.5187,8.558,-5.8044,-98.5429,3.342554751104609e+22,2.9998,2.9998,DOGEUSDT,LTCUSDT,True,CRABEL,"{""direction"": ""long"", ""exit"": ""time3"", ""range_mult"": 0.9}",1D
4987,17,5.008300640170794e+20,1.5216,50.4111,1.5073,0.0589,1.5073,8.7227,-5.8277,-98.2746,5.096229034116754e+18,2.9998,2.9998,DOGEUSDT,LTCUSDT,True,CRABEL,"{""direction"": ""long"", ""exit"": ""time3"", ""range_mult"": 1.0}",1D
7822,17,5.471367372285273e+31,1.5207,50.652,1.4596,0.1103,1.4596,8.4151,-5.6798,-98.0493,5.58021933016064e+29,2.9997,2.9997,DOGEUSDT,APTUSDT,True,CRABEL,"{""direction"": ""long"", ""exit"": ""time3"", ""range_mult"": 0.7}",1D
4282,17,7.165181847747438e+17,1.5194,49.6263,1.5209,-0.0609,1.5209,8.9653,-5.8132,-93.2918,7680397393283625.0,2.9998,2.9998,DOGEUSDT,ARBUSDT,True,CRABEL,"{""direction"": ""long"", ""exit"": ""time3"", ""range_mult"": 1.1}",1D
3617,17,273062987.5707,1.5164,49.4332,0.5688,-0.0303,0.5688,3.3787,-2.1781,-59.8461,4562749.4757,0.0,0.0,DOGEUSDT,POLUSDT,False,CRABEL,"{""direction"": ""long"", ""exit"": ""close_exit"", ""range_mult"": 1.2}",1D
6733,17,6.502786562923581e+26,1.5085,50.7946,1.4511,0.1303,1.4511,8.4744,-5.799,-98.4816,6.603044574265199e+24,2.9997,2.9997,DOGEUSDT,ARBUSDT,True,CRABEL,"{""direction"": ""long"", ""exit"": ""time3"", ""range_mult"": 0.8}",1D
4282,17,2291442315.4048,1.4983,48.879,0.5422,-0.0488,0.5422,3.3355,-2.1286,-66.4214,34498574.202,0.0,0.0,DOGEUSDT,POLUSDT,False,CRABEL,"{""direction"": ""long"", ""exit"": ""close_exit"", ""range_mult"": 1.1}",1D
16167,17,7.081135761646305e+27,1.4382,48.6794,0.4735,-0.0702,0.4735,3.1926,-2.1057,-77.8576,9.094979115116763e+25,0.0,0.0,ETHUSDT,POLUSDT,False,CRABEL,"{""direction"": ""both"", ""exit"": ""close_exit"", ""range_mult"": 0.7}",1D
13920,17,7.411026643762464e+18,1.3428,47.852,0.3893,-0.1135,0.3893,3.1863,-2.1774,-76.7459,9.656581893893731e+16,0.0,0.0,ETHUSDT,DOTUSDT,False,CRABEL,"{""direction"": ""both"", ""exit"": ""close_exit"", ""range_mult"": 0.8}",1D
16167,17,8.920934223446759e+28,1.3083,49.4835,0.9212,-0.0909,0.9212,7.9012,-5.916,-98.0309,9.100124217563665e+26,2.9998,2.9998,SOLUSDT,LTCUSDT,False,CRABEL,"{""direction"": ""both"", ""exit"": ""time3"", ""range_mult"": 0.7}",1D
11942,17,41119997600932.59,1.2905,47.1948,0.3391,-0.1442,0.3391,3.1918,-2.2105,-88.4798,464738743312.6498,0.0,0.0,ETHUSDT,DOTUSDT,False,CRABEL,"{""direction"": ""both"", ""exit"": ""close_exit"", ""range_mult"": 0.9}",1D
13920,17,3.8813762696839855e+21,1.2871,49.2026,0.8697,-0.1216,0.8697,7.9234,-5.9625,-99.7659,3.890482880495539e+19,2.9998,2.9998,AVAXUSDT,LTCUSDT,True,CRABEL,"{""direction"": ""both"", ""exit"": ""time3"", ""range_mult"": 0.8}",1D
11942,17,6.300961821238682e+16,1.2734,49.2129,0.8385,-0.1127,0.8385,7.9353,-6.0383,-99.8994,630730750339870.0,2.9998,2.9998,AVAXUSDT,LTCUSDT,False,CRABEL,"{""direction"": ""both"", ""exit"": ""time3"", ""range_mult"": 0.9}",1D
10237,17,19675751763767.54,1.2662,48.6471,0.8245,-0.2034,0.8245,8.063,-6.0326,-99.9688,196819012485.2995,2.9998,2.9998,AVAXUSDT,LTCUSDT,True,CRABEL,"{""direction"": ""both"", ""exit"": ""time3"", ""range_mult"": 1.0}",1D
7822,17,1150217814459786.8,1.2612,50.6392,0.7665,0.1103,0.7665,7.308,-5.9445,-99.0485,11612670563300.781,2.6732,2.6732,BNBUSDT,APTUSDT,False,CRABEL,"{""direction"": ""long"", ""exit"": ""atr"", ""range_mult"": 0.7}",1D
16167,17,1.0089388273328614e+27,1.2566,49.7557,0.7748,-0.0407,0.7748,7.6249,-6.0088,-96.8425,1.041834474949827e+25,2.6885,2.6885,ADAUSDT,APTUSDT,False,CRABEL,"{""direction"": ""both"", ""exit"": ""atr"", ""range_mult"": 0.7}",1D
8345,17,87717197095011.94,1.2526,48.9275,0.7825,-0.1959,0.7825,7.9323,-6.067,-99.2108,884149814061.9427,2.7028,2.7028,DOTUSDT,TRXUSDT,False,CRABEL,"{""direction"": ""short"", ""exit"": ""atr"", ""range_mult"": 0.7}",1D
8771,17,375906356.0333,1.2379,47.7825,0.7507,-0.3525,0.7507,8.1762,-6.0441,-99.9734,3760062.3343,2.9999,2.9999,DOGEUSDT,LINKUSDT,True,CRABEL,"{""direction"": ""both"", ""exit"": ""time3"", ""range_mult"": 1.1}",1D
5770,17,6143599381.2843,1.2325,50.6239,0.7006,0.0997,0.7006,7.3364,-6.103,-99.1519,61961473.8265,2.6438,2.6438,ETHUSDT,DOTUSDT,False,CRABEL,"{""direction"": ""long"", ""exit"": ""atr"", ""range_mult"": 0.9}",1D
10237,17,992352437.5035,1.2296,46.498,0.2791,-0.1793,0.2791,3.2143,-2.2718,-88.3608,11230681.0232,0.0,0.0,ETHUSDT,DOTUSDT,False,CRABEL,"{""direction"": ""both"", ""exit"": ""close_exit"", ""range_mult"": 1.0}",1D
7436,17,2192874.2718,1.2294,47.7945,0.7299,-0.37,0.7299,8.185,-6.0953,-99.9905,21930.8303,2.9999,2.9999,AVAXUSDT,LINKUSDT,True,CRABEL,"{""direction"": ""both"", ""exit"": ""time3"", ""range_mult"": 1.2}",1D
6733,17,11105218816.1406,1.2195,50.5124,0.6646,0.092,0.6646,7.3101,-6.1186,-99.1155,112043178.8877,2.6525,2.6525,BNBUSDT,OPUSDT,False,CRABEL,"{""direction"": ""long"", ""exit"": ""atr"", ""range_mult"": 0.8}",1D
13920,17,3.5130209748522624e+16,1.2147,49.3463,0.6652,-0.1035,0.6652,7.6268,-6.1168,-98.15,357923786614832.4,2.6763,2.6763,SOLUSDT,XRPUSDT,False,CRABEL,"{""direction"": ""both"", ""exit"": ""atr"", ""range_mult"": 0.8}",1D
7187,17,316339541.8729,1.2104,48.2538,0.6657,-0.2863,0.6657,7.9374,-6.1152,-99.4737,3180133.6023,2.6986,2.6986,APTUSDT,BNBUSDT,False,CRABEL,"{""direction"": ""short"", ""exit"": ""atr"", ""range_mult"": 0.8}",1D
