trade_count,assets_tested,net_return_after_costs,profit_factor,win_rate,average_trade,median_trade,expectancy,average_winner,average_loser,max_drawdown,return_over_dd,exposure,average_hold_bars,best_asset,worst_asset,concentration_warning,candidate_id,asset
26,1,5.8216,2.4283,65.3846,0.2203,0.1855,0.2203,0.5729,-0.4456,-2.1342,2.7277,6.0,6.0,ADAUSDT,ADAUSDT,True,HIGHBETA_PROXY,ADAUSDT
24,1,5.7611,1.6996,41.6667,0.2412,-0.1565,0.2412,1.4061,-0.5909,-2.7911,2.0641,6.0,6.0,APTUSDT,APTUSDT,True,HIGHBETA_PROXY,APTUSDT
27,1,1.8465,1.1911,51.8519,0.0732,0.008,0.0732,0.8804,-0.796,-4.7609,0.3878,6.0,6.0,ARBUSDT,ARBUSDT,True,HIGHBETA_PROXY,ARBUSDT
29,1,-1.042,0.9187,37.931,-0.0318,-0.2146,-0.0318,0.9465,-0.6296,-4.4387,-0.2348,5.7241,5.7241,AVAXUSDT,AVAXUSDT,False,HIGHBETA_PROXY,AVAXUSDT
35,1,-0.1535,0.9858,42.8571,-0.003,-0.0801,-0.003,0.4859,-0.3697,-2.3175,-0.0662,5.9143,5.9143,BNBUSDT,BNBUSDT,False,HIGHBETA_PROXY,BNBUSDT
29,1,0.5797,1.1479,48.2759,0.0207,-0.0037,0.0207,0.3336,-0.2712,-1.9177,0.3023,6.0,6.0,BTCUSDT,BTCUSDT,True,HIGHBETA_PROXY,BTCUSDT
26,1,10.452,2.7496,53.8462,0.3898,0.0699,0.3898,1.1377,-0.4827,-2.4572,4.2537,6.0,6.0,DOGEUSDT,DOGEUSDT,True,HIGHBETA_PROXY,DOGEUSDT
26,1,3.3947,1.5358,53.8462,0.1322,0.0299,0.1322,0.7037,-0.5345,-2.6018,1.3047,6.0,6.0,DOTUSDT,DOTUSDT,True,HIGHBETA_PROXY,DOTUSDT
31,1,-1.7298,0.7704,48.3871,-0.0548,-0.0106,-0.0548,0.3803,-0.4628,-3.1154,-0.5553,6.0,6.0,ETHUSDT,ETHUSDT,False,HIGHBETA_PROXY,ETHUSDT
32,1,3.4362,1.3634,53.125,0.1113,0.062,0.1113,0.7863,-0.6536,-2.956,1.1624,6.0,6.0,LINKUSDT,LINKUSDT,True,HIGHBETA_PROXY,LINKUSDT
34,1,2.9197,1.3733,55.8824,0.0878,0.0788,0.0878,0.578,-0.5331,-3.2718,0.8924,6.0,6.0,LTCUSDT,LTCUSDT,True,HIGHBETA_PROXY,LTCUSDT
26,1,6.6633,1.7061,50.0,0.2569,-0.0076,0.2569,1.2416,-0.7277,-5.0293,1.3249,6.0,6.0,NEARUSDT,NEARUSDT,True,HIGHBETA_PROXY,NEARUSDT
34,1,4.8542,1.3432,47.0588,0.1499,-0.1294,0.1499,1.2469,-0.8252,-4.492,1.0806,6.0,6.0,OPUSDT,OPUSDT,True,HIGHBETA_PROXY,OPUSDT
26,1,14.7487,4.7479,69.2308,0.5373,0.3272,0.5373,0.9831,-0.4659,-0.8398,17.5625,6.0,6.0,POLUSDT,POLUSDT,True,HIGHBETA_PROXY,POLUSDT
22,1,4.9623,2.1744,59.0909,0.2232,0.2679,0.2232,0.6995,-0.4647,-1.3336,3.721,6.0,6.0,SOLUSDT,SOLUSDT,True,HIGHBETA_PROXY,SOLUSDT
30,1,-3.4951,0.6427,46.6667,-0.1146,-0.0131,-0.1146,0.4416,-0.6012,-5.3099,-0.6582,5.9667,5.9667,TRXUSDT,TRXUSDT,False,HIGHBETA_PROXY,TRXUSDT
35,1,3.2471,1.3786,57.1429,0.0954,0.133,0.0954,0.6081,-0.5882,-3.8063,0.8531,6.0,6.0,XRPUSDT,XRPUSDT,True,HIGHBETA_PROXY,XRPUSDT
