trade_count,assets_tested,net_return_after_costs,profit_factor,win_rate,average_trade,median_trade,expectancy,average_winner,average_loser,max_drawdown,return_over_dd,exposure,average_hold_bars,best_asset,worst_asset,concentration_warning,candidate_id,asset
29836,1,-99.9998,0.8671,42.2878,-0.0409,-0.1709,-0.0409,0.6309,-0.5331,-99.9998,-1.0,8.2791,8.2791,ADAUSDT,ADAUSDT,False,LBR_COIL,ADAUSDT
25568,1,-99.6896,0.9439,43.8517,-0.0192,-0.1681,-0.0192,0.735,-0.6081,-99.7015,-0.9999,8.2197,8.2197,APTUSDT,APTUSDT,False,LBR_COIL,APTUSDT
29995,1,-99.9572,0.9313,43.5839,-0.0227,-0.1616,-0.0227,0.706,-0.5857,-99.9624,-0.9999,8.334,8.334,ARBUSDT,ARBUSDT,False,LBR_COIL,ARBUSDT
25631,1,-99.17,0.9476,44.0287,-0.016,-0.1418,-0.016,0.655,-0.5437,-99.3294,-0.9984,8.234,8.234,AVAXUSDT,AVAXUSDT,False,LBR_COIL,AVAXUSDT
25458,1,-100.0,0.7013,40.1524,-0.0627,-0.1401,-0.0627,0.3666,-0.3507,-100.0,-1.0,8.1253,8.1253,BNBUSDT,BNBUSDT,False,LBR_COIL,BNBUSDT
25528,1,-100.0,0.6268,38.3736,-0.0714,-0.1293,-0.0714,0.3126,-0.3105,-100.0,-1.0,8.1628,8.1628,BTCUSDT,BTCUSDT,False,LBR_COIL,BTCUSDT
26327,1,-99.3141,0.9497,43.4535,-0.0157,-0.142,-0.0157,0.6804,-0.5505,-99.486,-0.9983,8.3207,8.3207,DOGEUSDT,DOGEUSDT,False,LBR_COIL,DOGEUSDT
31377,1,-99.9996,0.8746,42.6395,-0.0372,-0.1667,-0.0372,0.6088,-0.5174,-99.9997,-1.0,8.3142,8.3142,DOTUSDT,DOTUSDT,False,LBR_COIL,DOTUSDT
25332,1,-99.9999,0.775,40.9127,-0.0544,-0.1424,-0.0544,0.4581,-0.4093,-99.9999,-1.0,8.2988,8.2988,ETHUSDT,ETHUSDT,False,LBR_COIL,ETHUSDT
26216,1,-99.9852,0.8984,43.4239,-0.031,-0.1659,-0.031,0.6308,-0.5389,-99.9878,-1.0,8.192,8.192,LINKUSDT,LINKUSDT,False,LBR_COIL,LINKUSDT
28437,1,-99.9999,0.8177,41.4038,-0.0489,-0.1689,-0.0489,0.5299,-0.4579,-100.0,-1.0,8.1913,8.1913,LTCUSDT,LTCUSDT,False,LBR_COIL,LTCUSDT
31905,1,-99.9622,0.9405,43.6515,-0.0211,-0.1845,-0.0211,0.7639,-0.6292,-99.981,-0.9998,8.344,8.344,NEARUSDT,NEARUSDT,False,LBR_COIL,NEARUSDT
27845,1,-97.6477,0.9715,44.033,-0.0099,-0.1663,-0.0099,0.7636,-0.6184,-98.7445,-0.9889,8.2733,8.2733,OPUSDT,OPUSDT,False,LBR_COIL,OPUSDT
18093,1,-99.545,0.9097,43.2046,-0.0271,-0.1711,-0.0271,0.6327,-0.5291,-99.5342,-1.0001,8.0481,8.0481,POLUSDT,POLUSDT,False,LBR_COIL,POLUSDT
25807,1,-99.9994,0.8547,42.6551,-0.0442,-0.1661,-0.0442,0.6093,-0.5302,-99.9994,-1.0,8.2528,8.2528,SOLUSDT,SOLUSDT,False,LBR_COIL,SOLUSDT
26587,1,-100.0,0.5523,37.1911,-0.0688,-0.1137,-0.0688,0.2284,-0.2449,-100.0,-1.0,7.7656,7.7656,TRXUSDT,TRXUSDT,False,LBR_COIL,TRXUSDT
27652,1,-100.0,0.8137,41.1905,-0.0508,-0.1586,-0.0508,0.5391,-0.4641,-100.0,-1.0,8.2978,8.2978,XRPUSDT,XRPUSDT,False,LBR_COIL,XRPUSDT
