trade_count,assets_tested,net_return_after_costs,profit_factor,win_rate,average_trade,median_trade,expectancy,average_winner,average_loser,max_drawdown,return_over_dd,exposure,average_hold_bars,best_asset,worst_asset,concentration_warning,candidate_id,parameter_set,timeframe
457594,17,-100.0,0.8687,42.1415,-0.0376,-0.1514,-0.0376,0.59,-0.4947,-100.0,-1.0,8.2221,8.2221,OPUSDT,TRXUSDT,False,LBR_COIL,"{""atr_stop"": 1.5, ""hold"": 12, ""inside"": false, ""nr"": 7, ""target_r"": 2.0}",5m
183538,17,-100.0,0.8559,41.9248,-0.0399,-0.1457,-0.0399,0.5651,-0.4766,-100.0,-1.0,8.1662,8.1662,DOGEUSDT,TRXUSDT,False,LBR_COIL,"{""atr_stop"": 1.5, ""hold"": 12, ""inside"": true, ""nr"": 7, ""target_r"": 2.0}",5m
706241,17,-100.0,0.8527,41.692,-0.0429,-0.1682,-0.0429,0.596,-0.4998,-100.0,-1.0,8.0729,8.0729,OPUSDT,BTCUSDT,False,LBR_COIL,"{""atr_stop"": 1.5, ""hold"": 12, ""inside"": false, ""nr"": 4, ""target_r"": 2.0}",5m
263704,17,-100.0,0.8435,41.558,-0.0441,-0.1602,-0.0441,0.5721,-0.4823,-100.0,-1.0,8.0482,8.0482,DOGEUSDT,TRXUSDT,False,LBR_COIL,"{""atr_stop"": 1.5, ""hold"": 12, ""inside"": true, ""nr"": 4, ""target_r"": 2.0}",5m
457594,17,-100.0,0.834,41.7464,-0.0411,-0.2252,-0.0411,0.4949,-0.4253,-100.0,-1.0,5.4888,5.4888,OPUSDT,TRXUSDT,False,LBR_COIL,"{""atr_stop"": 1.0, ""hold"": 12, ""inside"": false, ""nr"": 7, ""target_r"": 2.0}",5m
457594,17,-100.0,0.8266,53.3892,-0.0421,0.0513,-0.0421,0.3763,-0.5214,-100.0,-1.0,5.5968,5.5968,OPUSDT,TRXUSDT,False,LBR_COIL,"{""atr_stop"": 1.5, ""hold"": 12, ""inside"": false, ""nr"": 7, ""target_r"": 1.0}",5m
457606,17,-100.0,0.8237,42.0888,-0.04,-0.0834,-0.04,0.4436,-0.3915,-100.0,-1.0,5.119,5.119,OPUSDT,TRXUSDT,False,LBR_COIL,"{""atr_stop"": 1.5, ""hold"": 6, ""inside"": false, ""nr"": 7, ""target_r"": 2.0}",5m
183538,17,-100.0,0.8229,41.7314,-0.0423,-0.2144,-0.0423,0.4709,-0.4098,-100.0,-1.0,5.4229,5.4229,AVAXUSDT,TRXUSDT,False,LBR_COIL,"{""atr_stop"": 1.0, ""hold"": 12, ""inside"": true, ""nr"": 7, ""target_r"": 2.0}",5m
183538,17,-100.0,0.8163,53.1884,-0.0429,0.0456,-0.0429,0.3583,-0.4987,-100.0,-1.0,5.4927,5.4927,APTUSDT,TRXUSDT,False,LBR_COIL,"{""atr_stop"": 1.5, ""hold"": 12, ""inside"": true, ""nr"": 7, ""target_r"": 1.0}",5m
183546,17,-100.0,0.8162,41.8734,-0.0402,-0.0817,-0.0402,0.4265,-0.3765,-100.0,-1.0,5.0973,5.0973,APTUSDT,TRXUSDT,False,LBR_COIL,"{""atr_stop"": 1.5, ""hold"": 6, ""inside"": true, ""nr"": 7, ""target_r"": 2.0}",5m
706241,17,-100.0,0.8145,41.1467,-0.0466,-0.2343,-0.0466,0.497,-0.4266,-100.0,-1.0,5.3213,5.3213,POLUSDT,TRXUSDT,False,LBR_COIL,"{""atr_stop"": 1.0, ""hold"": 12, ""inside"": false, ""nr"": 4, ""target_r"": 2.0}",5m
263704,17,-100.0,0.8108,41.2883,-0.0458,-0.2215,-0.0458,0.4751,-0.4121,-100.0,-1.0,5.2956,5.2956,APTUSDT,TRXUSDT,False,LBR_COIL,"{""atr_stop"": 1.0, ""hold"": 12, ""inside"": true, ""nr"": 4, ""target_r"": 2.0}",5m
706241,17,-100.0,0.8089,53.0255,-0.0472,0.0468,-0.0472,0.3767,-0.5257,-100.0,-1.0,5.4694,5.4694,OPUSDT,TRXUSDT,False,LBR_COIL,"{""atr_stop"": 1.5, ""hold"": 12, ""inside"": false, ""nr"": 4, ""target_r"": 1.0}",5m
457606,17,-100.0,0.8072,41.7418,-0.0409,-0.12,-0.0409,0.4106,-0.3645,-100.0,-1.0,4.0395,4.0395,OPUSDT,TRXUSDT,False,LBR_COIL,"{""atr_stop"": 1.0, ""hold"": 6, ""inside"": false, ""nr"": 7, ""target_r"": 2.0}",5m
706256,17,-100.0,0.8056,41.575,-0.0452,-0.0903,-0.0452,0.4502,-0.3977,-100.0,-1.0,5.0595,5.0595,OPUSDT,BTCUSDT,False,LBR_COIL,"{""atr_stop"": 1.5, ""hold"": 6, ""inside"": false, ""nr"": 4, ""target_r"": 2.0}",5m
263704,17,-100.0,0.8043,52.9385,-0.0464,0.0426,-0.0464,0.3603,-0.5039,-100.0,-1.0,5.3944,5.3944,APTUSDT,TRXUSDT,False,LBR_COIL,"{""atr_stop"": 1.5, ""hold"": 12, ""inside"": true, ""nr"": 4, ""target_r"": 1.0}",5m
263714,17,-100.0,0.8029,41.4779,-0.0442,-0.0869,-0.0442,0.4335,-0.3827,-100.0,-1.0,5.05,5.05,APTUSDT,TRXUSDT,False,LBR_COIL,"{""atr_stop"": 1.5, ""hold"": 6, ""inside"": true, ""nr"": 4, ""target_r"": 2.0}",5m
183546,17,-100.0,0.7989,41.6016,-0.0412,-0.1185,-0.0412,0.3932,-0.3507,-100.0,-1.0,4.0061,4.0061,APTUSDT,TRXUSDT,False,LBR_COIL,"{""atr_stop"": 1.0, ""hold"": 6, ""inside"": true, ""nr"": 7, ""target_r"": 2.0}",5m
457606,17,-100.0,0.7952,48.9008,-0.0428,-0.0131,-0.0428,0.3394,-0.4085,-100.0,-1.0,4.0681,4.0681,OPUSDT,TRXUSDT,False,LBR_COIL,"{""atr_stop"": 1.5, ""hold"": 6, ""inside"": false, ""nr"": 7, ""target_r"": 1.0}",5m
183546,17,-100.0,0.789,48.785,-0.0423,-0.0137,-0.0423,0.3241,-0.3913,-100.0,-1.0,4.0111,4.0111,APTUSDT,TRXUSDT,False,LBR_COIL,"{""atr_stop"": 1.5, ""hold"": 6, ""inside"": true, ""nr"": 7, ""target_r"": 1.0}",5m
706256,17,-100.0,0.7846,41.0692,-0.0468,-0.1325,-0.0468,0.4147,-0.3684,-100.0,-1.0,3.9472,3.9472,POLUSDT,TRXUSDT,False,LBR_COIL,"{""atr_stop"": 1.0, ""hold"": 6, ""inside"": false, ""nr"": 4, ""target_r"": 2.0}",5m
263714,17,-100.0,0.7842,41.1214,-0.0451,-0.12,-0.0451,0.3984,-0.3548,-100.0,-1.0,3.9364,3.9364,APTUSDT,TRXUSDT,False,LBR_COIL,"{""atr_stop"": 1.0, ""hold"": 6, ""inside"": true, ""nr"": 4, ""target_r"": 2.0}",5m
