trade_count,assets_tested,net_return_after_costs,profit_factor,win_rate,average_trade,median_trade,expectancy,average_winner,average_loser,max_drawdown,return_over_dd,exposure,average_hold_bars,best_asset,worst_asset,concentration_warning,candidate_id,asset
53,1,535.9523,2.8022,69.8113,4.0629,3.3691,4.0629,9.0493,-7.468,-36.9638,14.4994,3.9623,3.9623,ADAUSDT,ADAUSDT,True,LINDA_5SMA,ADAUSDT
23,1,9.1452,1.3487,82.6087,1.3384,4.1294,1.3384,6.2666,-22.0706,-56.2973,0.1624,3.7391,3.7391,APTUSDT,APTUSDT,True,LINDA_5SMA,APTUSDT
22,1,66.5726,2.0441,68.1818,2.909,3.2427,2.909,8.3529,-8.7565,-29.841,2.2309,3.8182,3.8182,ARBUSDT,ARBUSDT,True,LINDA_5SMA,ARBUSDT
46,1,245.9305,2.0268,58.6957,3.521,3.1132,3.521,11.841,-8.3021,-49.3966,4.9787,4.3696,4.3696,AVAXUSDT,AVAXUSDT,True,LINDA_5SMA,AVAXUSDT
78,1,114.9176,1.7685,69.2308,1.3936,1.9199,1.3936,4.6324,-5.8937,-48.5385,2.3676,4.0256,4.0256,BNBUSDT,BNBUSDT,True,LINDA_5SMA,BNBUSDT
80,1,28.7162,1.2743,62.5,0.4022,1.3593,0.4022,2.989,-3.9093,-22.5365,1.2742,4.2375,4.2375,BTCUSDT,BTCUSDT,True,LINDA_5SMA,BTCUSDT
45,1,-72.2594,0.6212,55.5556,-2.0637,1.4365,-2.0637,6.0909,-12.2569,-81.7913,-0.8835,4.7111,4.7111,DOGEUSDT,DOGEUSDT,False,LINDA_5SMA,DOGEUSDT
29,1,-64.3513,0.6044,51.7241,-2.5424,0.8784,-2.5424,7.5094,-13.3121,-66.2765,-0.971,5.3448,5.3448,DOTUSDT,DOTUSDT,False,LINDA_5SMA,DOTUSDT
84,1,516.7908,2.6893,72.619,2.4448,2.1792,2.4448,5.3595,-5.2856,-28.8923,17.8868,3.3929,3.3929,ETHUSDT,ETHUSDT,True,LINDA_5SMA,ETHUSDT
69,1,-37.1218,1.0209,66.6667,0.081,1.8981,0.081,5.9265,-11.6099,-81.8183,-0.4537,4.087,4.087,LINKUSDT,LINKUSDT,False,LINDA_5SMA,LINKUSDT
55,1,38.2173,1.4657,69.0909,1.3421,2.9926,1.3421,6.1139,-9.3242,-67.5678,0.5656,4.2182,4.2182,LTCUSDT,LTCUSDT,True,LINDA_5SMA,LTCUSDT
45,1,6.044,1.232,66.6667,1.0098,4.4326,1.0098,8.0448,-13.0602,-50.9327,0.1187,3.9556,3.9556,NEARUSDT,NEARUSDT,True,LINDA_5SMA,NEARUSDT
23,1,7.6448,1.2739,69.5652,1.3833,3.0884,1.3833,9.2479,-16.5927,-40.7938,0.1874,4.1304,4.1304,OPUSDT,OPUSDT,True,LINDA_5SMA,OPUSDT
6,1,14.0864,1.8494,83.3333,2.8952,5.0025,2.8952,7.5647,-20.4522,-20.4522,0.6887,3.8333,3.8333,POLUSDT,POLUSDT,True,LINDA_5SMA,POLUSDT
51,1,66.5771,1.5542,66.6667,1.3621,2.8954,1.3621,5.7299,-7.3734,-43.539,1.5291,4.549,4.549,SOLUSDT,SOLUSDT,True,LINDA_5SMA,SOLUSDT
99,1,4.731,1.2035,69.697,0.4979,1.4642,0.4979,4.2241,-8.0723,-53.4052,0.0886,3.7071,3.7071,TRXUSDT,TRXUSDT,True,LINDA_5SMA,TRXUSDT
66,1,-48.727,0.8868,59.0909,-0.3793,0.8968,-0.3793,5.0259,-8.1867,-66.2189,-0.7358,4.8939,4.8939,XRPUSDT,XRPUSDT,False,LINDA_5SMA,XRPUSDT
