trade_count,assets_tested,net_return_after_costs,profit_factor,win_rate,average_trade,median_trade,expectancy,average_winner,average_loser,max_drawdown,return_over_dd,exposure,average_hold_bars,best_asset,worst_asset,concentration_warning,candidate_id,asset
851,1,-64.8296,0.7346,41.9506,-0.1164,-0.1604,-0.1164,0.7678,-0.7554,-65.0943,-0.9959,12.0,12.0,ADAUSDT,ADAUSDT,False,ORB_8AM,ADAUSDT
851,1,-72.5834,0.7145,43.1257,-0.1449,-0.194,-0.1449,0.8408,-0.8923,-73.3986,-0.9889,12.0,12.0,APTUSDT,APTUSDT,False,ORB_8AM,APTUSDT
849,1,-50.9534,0.8401,44.7585,-0.0763,-0.12,-0.0763,0.8949,-0.8631,-56.7157,-0.8984,12.0,12.0,ARBUSDT,ARBUSDT,False,ORB_8AM,ARBUSDT
849,1,-50.5946,0.8232,41.225,-0.0767,-0.171,-0.0767,0.8659,-0.7378,-52.3605,-0.9663,12.0,12.0,AVAXUSDT,AVAXUSDT,False,ORB_8AM,AVAXUSDT
850,1,-66.1762,0.5925,36.7059,-0.1249,-0.1631,-0.1249,0.4948,-0.4843,-67.5236,-0.98,12.0,12.0,BNBUSDT,BNBUSDT,False,ORB_8AM,BNBUSDT
850,1,-63.3289,0.5775,37.0588,-0.1161,-0.1416,-0.1161,0.4284,-0.4367,-63.4234,-0.9985,12.0,12.0,BTCUSDT,BTCUSDT,False,ORB_8AM,BTCUSDT
848,1,-54.1073,0.8003,43.0425,-0.0858,-0.12,-0.0858,0.7988,-0.7542,-57.1346,-0.947,12.0,12.0,DOGEUSDT,DOGEUSDT,False,ORB_8AM,DOGEUSDT
853,1,-61.7875,0.7464,41.8523,-0.1069,-0.1428,-0.1069,0.7518,-0.725,-62.5889,-0.9872,12.0,12.0,DOTUSDT,DOTUSDT,False,ORB_8AM,DOTUSDT
850,1,-67.1613,0.6467,38.8235,-0.1274,-0.1619,-0.1274,0.6007,-0.5895,-67.3207,-0.9976,12.0,12.0,ETHUSDT,ETHUSDT,False,ORB_8AM,ETHUSDT
850,1,-64.1383,0.7466,42.5882,-0.1141,-0.1504,-0.1141,0.7895,-0.7845,-67.4482,-0.9509,12.0,12.0,LINKUSDT,LINKUSDT,False,ORB_8AM,LINKUSDT
850,1,-74.6947,0.6129,39.7647,-0.1571,-0.1333,-0.1571,0.6254,-0.6736,-74.5502,-1.0019,12.0,12.0,LTCUSDT,LTCUSDT,False,ORB_8AM,LTCUSDT
853,1,-58.1361,0.8173,44.3142,-0.0935,-0.1769,-0.0935,0.9434,-0.9185,-59.8905,-0.9707,12.0,12.0,NEARUSDT,NEARUSDT,False,ORB_8AM,NEARUSDT
851,1,-45.5827,0.8645,44.8884,-0.0639,-0.14,-0.0639,0.9076,-0.8551,-56.0643,-0.813,12.0,12.0,OPUSDT,OPUSDT,False,ORB_8AM,OPUSDT
596,1,-35.6726,0.8455,42.1141,-0.067,-0.174,-0.067,0.87,-0.7487,-35.3308,-1.0097,12.0,12.0,POLUSDT,POLUSDT,False,ORB_8AM,POLUSDT
853,1,-65.2853,0.7298,40.4455,-0.1183,-0.1622,-0.1183,0.79,-0.7351,-66.4379,-0.9827,12.0,12.0,SOLUSDT,SOLUSDT,False,ORB_8AM,SOLUSDT
847,1,-54.8403,0.5666,34.9469,-0.0925,-0.1129,-0.0925,0.3461,-0.3281,-55.6835,-0.9849,12.0,12.0,TRXUSDT,TRXUSDT,False,ORB_8AM,TRXUSDT
851,1,-59.5286,0.7276,42.4207,-0.1007,-0.1165,-0.1007,0.6337,-0.6417,-59.3767,-1.0026,12.0,12.0,XRPUSDT,XRPUSDT,False,ORB_8AM,XRPUSDT
