trade_count,assets_tested,net_return_after_costs,profit_factor,win_rate,average_trade,median_trade,expectancy,average_winner,average_loser,max_drawdown,return_over_dd,exposure,average_hold_bars,best_asset,worst_asset,concentration_warning,candidate_id,parameter_set,timeframe
856,17,24710806516.3562,1.7495,48.4813,4.2649,-0.7397,4.2649,20.5342,-11.0453,-83.8978,294534481.7611,11.4007,11.4007,SOLUSDT,XRPUSDT,False,SLINGSHOT,"{""ema_high"": 8, ""exit"": ""R_target"", ""hold"": 15, ""pb_lb"": 8, ""r_mult"": 3}",1D
919,17,15267342809.3882,1.7134,47.9869,4.2951,-0.9224,4.2951,21.497,-11.5752,-91.5306,166800382.7861,11.5375,11.5375,NEARUSDT,OPUSDT,False,SLINGSHOT,"{""ema_high"": 3, ""exit"": ""R_target"", ""hold"": 15, ""pb_lb"": 8, ""r_mult"": 3}",1D
929,17,3137218587.5929,1.6588,45.9634,3.7665,-1.5199,3.7665,20.633,-10.5801,-90.274,34752171.0114,10.7191,10.7191,SOLUSDT,APTUSDT,False,SLINGSHOT,"{""ema_high"": 5, ""exit"": ""R_target"", ""hold"": 15, ""pb_lb"": 5, ""r_mult"": 3}",1D
884,17,1572072625.4401,1.6489,46.7195,3.5869,-1.3298,3.5869,19.5086,-10.3741,-92.6973,16959207.1001,10.5769,10.5769,SOLUSDT,OPUSDT,False,SLINGSHOT,"{""ema_high"": 8, ""exit"": ""R_target"", ""hold"": 15, ""pb_lb"": 5, ""r_mult"": 3}",1D
951,17,2246242213.4549,1.6401,46.2671,3.7317,-1.4723,3.7317,20.6665,-10.8501,-89.4575,25109591.1431,10.8013,10.8013,NEARUSDT,OPUSDT,False,SLINGSHOT,"{""ema_high"": 3, ""exit"": ""R_target"", ""hold"": 15, ""pb_lb"": 5, ""r_mult"": 3}",1D
904,17,406667599.5966,1.63,47.1239,3.8442,-1.3755,3.8442,21.107,-11.5407,-93.0621,4369853.6763,11.4381,11.4381,AVAXUSDT,OPUSDT,False,SLINGSHOT,"{""ema_high"": 5, ""exit"": ""R_target"", ""hold"": 15, ""pb_lb"": 8, ""r_mult"": 3}",1D
882,17,1267413433.2145,1.6291,49.6599,3.5401,-0.1906,3.5401,18.4597,-11.1779,-83.6592,15149724.098,10.5227,10.5227,NEARUSDT,XRPUSDT,False,SLINGSHOT,"{""ema_high"": 8, ""exit"": ""R_target"", ""hold"": 15, ""pb_lb"": 8, ""r_mult"": 2}",1D
922,17,112417712.1615,1.5979,46.7462,3.7794,-1.6094,3.7794,21.6067,-11.8693,-94.6764,1187389.0476,11.449,11.449,SOLUSDT,OPUSDT,False,SLINGSHOT,"{""ema_high"": 4, ""exit"": ""R_target"", ""hold"": 15, ""pb_lb"": 8, ""r_mult"": 3}",1D
958,17,753421861.53,1.597,49.0605,3.5435,-0.5499,3.5435,19.3213,-11.6524,-91.7005,8216119.2969,10.7328,10.7328,NEARUSDT,APTUSDT,False,SLINGSHOT,"{""ema_high"": 3, ""exit"": ""R_target"", ""hold"": 15, ""pb_lb"": 8, ""r_mult"": 2}",1D
953,17,224868737.9062,1.5865,45.4355,3.5263,-2.4236,3.5263,20.9946,-11.0195,-91.6221,2454307.1762,10.6422,10.6422,BNBUSDT,OPUSDT,False,SLINGSHOT,"{""ema_high"": 4, ""exit"": ""R_target"", ""hold"": 15, ""pb_lb"": 5, ""r_mult"": 3}",1D
988,17,181354391.2693,1.5626,44.332,3.1808,-3.3654,3.1808,19.9276,-10.1558,-91.7403,1976823.8769,9.7966,9.7966,NEARUSDT,APTUSDT,False,SLINGSHOT,"{""ema_high"": 3, ""exit"": ""R_target"", ""hold"": 15, ""pb_lb"": 3, ""r_mult"": 3}",1D
926,17,140930629.4565,1.5592,44.1685,3.0173,-3.2535,3.0173,19.0473,-9.6641,-93.1949,1512214.7738,9.473,9.473,DOGEUSDT,APTUSDT,False,SLINGSHOT,"{""ema_high"": 8, ""exit"": ""R_target"", ""hold"": 15, ""pb_lb"": 3, ""r_mult"": 3}",1D
995,17,391606348.0757,1.5582,48.5427,3.152,-0.9222,3.152,18.1262,-10.9741,-90.5869,4322990.4363,9.8503,9.8503,NEARUSDT,APTUSDT,False,SLINGSHOT,"{""ema_high"": 3, ""exit"": ""R_target"", ""hold"": 15, ""pb_lb"": 5, ""r_mult"": 2}",1D
942,17,25153609.2276,1.5239,48.0892,3.1498,-0.961,3.1498,19.0515,-11.5812,-93.4044,269297.9296,10.69,10.69,NEARUSDT,OPUSDT,False,SLINGSHOT,"{""ema_high"": 5, ""exit"": ""R_target"", ""hold"": 15, ""pb_lb"": 8, ""r_mult"": 2}",1D
1044,17,141565870.9952,1.5105,47.4138,2.783,-1.4414,2.783,17.3667,-10.3661,-91.8413,1541419.2078,8.7366,8.7366,SOLUSDT,APTUSDT,False,SLINGSHOT,"{""ema_high"": 3, ""exit"": ""R_target"", ""hold"": 15, ""pb_lb"": 3, ""r_mult"": 2}",1D
921,17,14029526.9735,1.4885,48.2085,2.6609,-0.9294,2.6609,16.8191,-10.5177,-94.5314,148411.2283,9.5668,9.5668,DOGEUSDT,OPUSDT,False,SLINGSHOT,"{""ema_high"": 8, ""exit"": ""R_target"", ""hold"": 15, ""pb_lb"": 5, ""r_mult"": 2}",1D
984,17,9103431.7921,1.4796,43.1911,2.7395,-3.91,2.7395,19.5679,-10.055,-95.0119,95813.6301,9.5427,9.5427,SOLUSDT,OPUSDT,False,SLINGSHOT,"{""ema_high"": 5, ""exit"": ""R_target"", ""hold"": 15, ""pb_lb"": 3, ""r_mult"": 3}",1D
996,17,2822817.5202,1.4654,43.2731,2.7209,-4.0698,2.7209,19.798,-10.3061,-96.4885,29255.4951,9.6265,9.6265,SOLUSDT,OPUSDT,False,SLINGSHOT,"{""ema_high"": 4, ""exit"": ""R_target"", ""hold"": 15, ""pb_lb"": 3, ""r_mult"": 3}",1D
961,17,1934501.5643,1.465,47.6587,2.9238,-1.2597,2.9238,19.3271,-12.012,-95.5734,20241.0125,10.6337,10.6337,AVAXUSDT,APTUSDT,False,SLINGSHOT,"{""ema_high"": 4, ""exit"": ""R_target"", ""hold"": 15, ""pb_lb"": 8, ""r_mult"": 2}",1D
997,17,2121444.3169,1.4396,47.2417,2.5567,-1.3113,2.5567,17.722,-11.0229,-96.0455,22087.9048,9.8636,9.8636,AVAXUSDT,APTUSDT,False,SLINGSHOT,"{""ema_high"": 4, ""exit"": ""R_target"", ""hold"": 15, ""pb_lb"": 5, ""r_mult"": 2}",1D
979,17,1562064.5481,1.43,46.9867,2.4564,-1.3934,2.4564,17.3872,-10.777,-95.231,16402.8987,9.8754,9.8754,AVAXUSDT,APTUSDT,False,SLINGSHOT,"{""ema_high"": 5, ""exit"": ""R_target"", ""hold"": 15, ""pb_lb"": 5, ""r_mult"": 2}",1D
973,17,1576936.9761,1.4109,46.0432,2.1612,-2.4803,2.1612,16.117,-9.7477,-94.5662,16675.4878,8.3155,8.3155,DOGEUSDT,APTUSDT,False,SLINGSHOT,"{""ema_high"": 8, ""exit"": ""R_target"", ""hold"": 15, ""pb_lb"": 3, ""r_mult"": 2}",1D
1054,17,303175.6497,1.3749,46.2049,2.1039,-2.69,2.1039,16.6979,-10.431,-96.5008,3141.6912,8.5911,8.5911,NEARUSDT,OPUSDT,False,SLINGSHOT,"{""ema_high"": 4, ""exit"": ""R_target"", ""hold"": 15, ""pb_lb"": 3, ""r_mult"": 2}",1D
1041,17,385728.5798,1.37,45.9174,2.0442,-2.6624,2.0442,16.4841,-10.2156,-97.643,3950.395,8.4659,8.4659,TRXUSDT,OPUSDT,False,SLINGSHOT,"{""ema_high"": 5, ""exit"": ""R_target"", ""hold"": 15, ""pb_lb"": 3, ""r_mult"": 2}",1D
