trade_count,assets_tested,net_return_after_costs,profit_factor,win_rate,average_trade,median_trade,expectancy,average_winner,average_loser,max_drawdown,return_over_dd,exposure,average_hold_bars,best_asset,worst_asset,concentration_warning,candidate_id,split
10,3,27.8465,2.6696,40.0,2.7401,-2.318,2.7401,10.9533,-2.7353,-7.3131,3.8078,10.8,10.8,TRXUSDT,BNBUSDT,True,KELL_WEDGE,train
3,2,24.5197,9.3212,66.6667,7.9136,8.9917,7.9136,13.297,-2.8531,-2.8531,8.5941,15.0,15.0,BNBUSDT,BTCUSDT,True,KELL_WEDGE,validation
4,2,9.767,3.3326,50.0,2.5229,0.1177,2.5229,7.209,-2.1632,-4.2805,2.2817,9.75,9.75,BNBUSDT,TRXUSDT,True,KELL_WEDGE,test
513,16,16341048221.5975,2.0823,50.6823,6.1449,0.6246,6.1449,23.3273,-11.5128,-99.9692,163460837.4502,11.3899,11.3899,SOLUSDT,XRPUSDT,False,SLINGSHOT,train
171,17,7535.6311,1.7937,47.9532,4.2611,-0.3168,4.2611,20.0813,-10.3149,-98.9635,76.1456,11.7368,11.7368,DOGEUSDT,APTUSDT,False,SLINGSHOT,validation
172,17,-98.0196,0.7786,42.4419,-1.3388,-4.4308,-1.3388,11.0947,-10.507,-98.9446,-0.9907,11.0988,11.0988,ARBUSDT,ADAUSDT,True,SLINGSHOT,test
4693,16,1.118826681675278e+17,1.8869,52.6103,0.8859,0.1293,0.8859,3.5823,-2.1076,-63.8004,1753636967713143.8,0.0,0.0,DOGEUSDT,ARBUSDT,False,CRABEL,train
1564,17,249650.5998,1.6246,50.9591,0.5858,0.0638,0.5858,2.99,-1.9125,-90.0656,2771.8744,0.0,0.0,TRXUSDT,APTUSDT,False,CRABEL,validation
1565,17,44362.6827,1.5286,50.4153,0.4399,0.0188,0.4399,2.523,-1.6782,-66.8832,663.2856,0.0,0.0,DOGEUSDT,LTCUSDT,False,CRABEL,test
443,16,161227203.9194,2.3414,49.8871,6.0588,-0.12,6.0588,21.1992,-9.0134,-93.9039,1716938.5755,10.2573,10.2573,DOGEUSDT,ARBUSDT,False,BIGBELUGA,train
148,17,-88.4754,0.9581,34.4595,-0.2631,-7.2088,-0.2631,17.4785,-9.5911,-97.501,-0.9074,8.223,8.223,XRPUSDT,APTUSDT,True,BIGBELUGA,validation
148,17,-63.6793,1.0241,43.2432,0.1205,-2.2864,0.1205,11.8513,-8.8172,-99.3676,-0.6408,9.3176,9.3176,ARBUSDT,ADAUSDT,False,BIGBELUGA,test
524,16,9654.7933,1.5393,69.084,1.529,2.411,1.529,6.3174,-9.1709,-98.3383,98.1794,3.8855,3.8855,ADAUSDT,XRPUSDT,False,LINDA_5SMA,train
175,16,32.269,1.1884,61.7143,0.5466,1.2742,0.5466,5.5858,-7.5763,-90.6863,0.3558,4.4457,4.4457,APTUSDT,OPUSDT,False,LINDA_5SMA,validation
175,17,-47.0454,1.0382,62.8571,0.1293,1.5981,0.1293,5.5867,-9.1062,-91.8515,-0.5122,4.5943,4.5943,LINKUSDT,APTUSDT,False,LINDA_5SMA,test
195,16,5591.6139,1.6357,42.5641,4.1468,-5.7101,4.1468,25.0678,-11.3572,-99.3507,56.2816,12.1385,12.1385,TRXUSDT,XRPUSDT,False,MARTIN_LUKE,train
65,16,1342.6634,2.109,55.3846,5.8799,4.2672,5.8799,20.1896,-11.8838,-78.958,17.0048,12.5692,12.5692,DOGEUSDT,ARBUSDT,False,MARTIN_LUKE,validation
66,17,-82.4083,0.7089,31.8182,-1.8062,-5.54,-1.8062,13.8243,-9.1005,-88.3936,-0.9323,12.4545,12.4545,BNBUSDT,LTCUSDT,False,MARTIN_LUKE,test
274556,17,-100.0,0.9005,42.6933,-0.0297,-0.1485,-0.0297,0.6288,-0.5202,-100.0,-1.0,8.2585,8.2585,OPUSDT,BTCUSDT,True,LBR_COIL,train
91519,17,-100.0,0.8441,41.8798,-0.0442,-0.1618,-0.0442,0.5712,-0.4876,-100.0,-1.0,8.1996,8.1996,OPUSDT,TRXUSDT,False,LBR_COIL,validation
91519,17,-100.0,0.7842,40.7478,-0.0547,-0.1457,-0.0547,0.4876,-0.4277,-100.0,-1.0,8.1354,8.1354,POLUSDT,DOTUSDT,False,LBR_COIL,test
295,17,40.4781,1.4322,52.8814,0.1199,0.0453,0.1199,0.7513,-0.5888,-15.5915,2.5962,5.9695,5.9695,DOGEUSDT,ETHUSDT,False,HIGHBETA_PROXY,train
98,17,2.2292,1.0945,45.9184,0.0262,-0.0716,0.0262,0.6606,-0.5125,-9.7424,0.2288,5.9694,5.9694,ARBUSDT,TRXUSDT,False,HIGHBETA_PROXY,validation
99,17,26.4827,1.9843,53.5354,0.2436,0.0493,0.2436,0.9174,-0.5327,-8.016,3.3037,6.0,6.0,POLUSDT,ARBUSDT,False,HIGHBETA_PROXY,test
8521,17,-99.9948,0.744,41.92,-0.1095,-0.1441,-0.1095,0.7594,-0.7367,-99.9959,-1.0,12.0,12.0,POLUSDT,LTCUSDT,False,ORB_8AM,train
2840,17,-86.8074,0.8121,40.9507,-0.067,-0.1338,-0.067,0.7073,-0.604,-92.9073,-0.9343,12.0,12.0,NEARUSDT,LINKUSDT,True,ORB_8AM,validation
2841,17,-97.9441,0.6697,39.1059,-0.132,-0.1545,-0.132,0.6846,-0.6564,-97.956,-0.9999,12.0,12.0,OPUSDT,APTUSDT,True,ORB_8AM,test
