trade_count,assets_tested,net_return_after_costs,profit_factor,win_rate,average_trade,median_trade,expectancy,average_winner,average_loser,max_drawdown,return_over_dd,exposure,average_hold_bars,best_asset,worst_asset,concentration_warning,candidate_id,year
3,2,7.0492,2.4232,33.3333,2.5576,-2.3511,2.5576,13.064,-2.6957,-2.3511,2.9983,7.6667,7.6667,TRXUSDT,BTCUSDT,True,KELL_WEDGE,2023
5,2,12.6428,2.7813,40.0,2.6713,-2.285,2.6713,10.4275,-2.4995,-4.6829,2.6998,12.8,12.8,TRXUSDT,BNBUSDT,True,KELL_WEDGE,2024
8,3,41.9484,4.5616,50.0,4.7644,3.5688,4.7644,12.2041,-2.6754,-4.2805,9.7999,10.875,10.875,BNBUSDT,TRXUSDT,True,KELL_WEDGE,2025
1,1,2.0896,999.0,100.0,2.0896,2.0896,2.0896,2.0896,0.0,0.0,0.0,18.0,18.0,TRXUSDT,TRXUSDT,True,KELL_WEDGE,2026
102,13,145840.5802,3.2882,60.7843,9.6555,4.9207,9.6555,22.8269,-10.7601,-53.1548,2743.6979,11.451,11.451,ADAUSDT,XRPUSDT,False,SLINGSHOT,2020
148,13,20054082.6364,2.9197,58.1081,12.7184,8.0162,12.7184,33.2891,-15.8151,-93.643,214154.7288,11.3716,11.3716,SOLUSDT,DOTUSDT,False,SLINGSHOT,2021
92,14,-99.0044,0.5295,32.6087,-3.8768,-7.4865,-3.8768,13.3818,-12.2278,-98.8422,-1.0016,10.1413,10.1413,DOTUSDT,LINKUSDT,False,SLINGSHOT,2022
175,16,4606.3321,1.8107,47.4286,3.5822,-0.9224,3.5822,16.8698,-8.4055,-98.8466,46.6008,12.0457,12.0457,SOLUSDT,LTCUSDT,False,SLINGSHOT,2023
169,17,7494.5961,1.8023,47.929,4.2986,-0.3168,4.2986,20.1481,-10.2901,-99.0319,75.6786,11.6923,11.6923,DOGEUSDT,APTUSDT,False,SLINGSHOT,2024
129,17,-90.957,0.8817,42.6357,-0.7531,-4.8636,-0.7531,13.1685,-11.1003,-95.1302,-0.9561,11.2326,11.2326,ARBUSDT,ADAUSDT,False,SLINGSHOT,2025
41,16,-73.7615,0.4247,43.9024,-2.8293,-0.6821,-2.8293,4.7582,-8.7674,-84.6826,-0.871,10.7805,10.7805,ETHUSDT,APTUSDT,False,SLINGSHOT,2026
16,2,31.6192,4.2206,68.75,1.8126,1.1415,1.8126,3.4552,-1.801,-4.7313,6.683,0.0,0.0,BTCUSDT,ETHUSDT,True,CRABEL,2019
776,13,342353.2154,2.3889,58.5052,1.1472,0.5037,1.1472,3.3726,-1.9906,-45.6192,7504.5803,0.0,0.0,ETHUSDT,AVAXUSDT,False,CRABEL,2020
1203,13,820431211.5921,2.3896,55.8603,1.6692,0.3849,1.6692,5.1384,-2.7213,-56.0985,14624823.7392,0.0,0.0,DOGEUSDT,LTCUSDT,True,CRABEL,2021
1017,15,2389.977,1.338,51.7207,0.3921,0.0757,0.3921,3.0012,-2.403,-63.8004,37.4602,0.0,0.0,OPUSDT,TRXUSDT,False,CRABEL,2022
1408,16,41080.7164,1.5965,46.733,0.5042,-0.1284,0.5042,2.8874,-1.5868,-55.1089,745.4456,0.0,0.0,SOLUSDT,DOGEUSDT,False,CRABEL,2023
1430,17,244700.2551,1.7392,52.3776,0.6176,0.1369,0.6176,2.7742,-1.7544,-69.3114,3530.4471,0.0,0.0,TRXUSDT,ADAUSDT,False,CRABEL,2024
1490,17,22550.3083,1.4644,50.604,0.4286,0.0387,0.4286,2.6707,-1.8683,-90.0656,250.3764,0.0,0.0,DOGEUSDT,LTCUSDT,False,CRABEL,2025
482,17,490.918,1.4845,47.9253,0.4239,-0.1646,0.4239,2.7104,-1.6803,-59.7246,8.2197,0.0,0.0,DOTUSDT,OPUSDT,False,CRABEL,2026
3,1,22.1336,4.0382,66.6667,7.6459,6.8553,7.6459,15.2437,-7.5497,-7.5497,2.9317,8.3333,8.3333,BTCUSDT,BTCUSDT,True,BIGBELUGA,2019
39,12,1019.93,3.2853,51.2821,9.3826,0.4409,9.3826,26.302,-8.4273,-43.2706,23.571,9.4103,9.4103,BTCUSDT,NEARUSDT,False,BIGBELUGA,2020
102,13,102387.9149,3.3857,49.0196,14.4681,-1.6127,14.4681,41.8866,-11.8959,-76.7067,1334.7968,10.8431,10.8431,DOGEUSDT,ADAUSDT,True,BIGBELUGA,2021
136,15,-35.3042,1.1443,45.5882,0.6761,-2.1877,0.6761,11.7616,-8.6117,-83.0715,-0.425,10.125,10.125,OPUSDT,DOGEUSDT,True,BIGBELUGA,2022
110,16,8635.1538,2.727,54.5455,5.5088,1.424,5.5088,15.9476,-7.0177,-60.4047,142.9551,10.1636,10.1636,SOLUSDT,ARBUSDT,False,BIGBELUGA,2023
133,17,679.6774,1.6177,45.1128,2.7656,-2.4639,2.7656,16.0552,-8.1573,-84.6151,8.0326,9.7143,9.7143,XRPUSDT,LTCUSDT,False,BIGBELUGA,2024
160,17,-99.9588,0.4705,28.125,-4.0219,-8.4098,-4.0219,12.7063,-10.5676,-99.9616,-1.0,7.8375,7.8375,NEARUSDT,OPUSDT,False,BIGBELUGA,2025
56,17,2551.0141,5.3332,66.0714,6.716,3.2827,6.716,12.5105,-4.5681,-24.9642,102.1869,10.7321,10.7321,ARBUSDT,DOTUSDT,False,BIGBELUGA,2026
79,8,78.1908,1.5436,67.0886,1.3156,2.4353,1.3156,5.5682,-7.3534,-60.0521,1.302,3.8354,3.8354,ETHUSDT,XRPUSDT,False,LINDA_5SMA,2020
208,13,3695.9217,1.8241,70.1923,2.7087,3.4688,2.7087,8.5418,-11.0273,-95.3061,38.7795,3.601,3.601,ADAUSDT,LTCUSDT,False,LINDA_5SMA,2021
29,8,-93.321,0.2527,41.3793,-7.5837,-3.3369,-7.5837,6.1962,-17.3107,-94.0731,-0.992,6.1379,6.1379,XRPUSDT,LINKUSDT,True,LINDA_5SMA,2022
205,16,2273.9853,2.1815,73.6585,1.771,2.0724,1.771,4.4392,-5.6902,-76.7284,29.6368,3.8585,3.8585,ETHUSDT,XRPUSDT,False,LINDA_5SMA,2023
219,16,3.7211,1.1427,61.6438,0.4451,1.2845,0.4451,5.7812,-8.1309,-90.4395,0.0411,4.4932,4.4932,XRPUSDT,NEARUSDT,False,LINDA_5SMA,2024
129,17,-37.9896,1.0295,62.0155,0.0964,1.571,0.0964,5.4259,-8.6047,-91.6122,-0.4147,4.6357,4.6357,LINKUSDT,APTUSDT,False,LINDA_5SMA,2025
5,2,-0.9504,0.7876,60.0,-0.1765,0.3321,-0.1765,1.0906,-2.0771,-1.3007,-0.7307,3.0,3.0,TRXUSDT,BNBUSDT,True,LINDA_5SMA,2026
45,10,2644.675,2.989,60.0,9.6515,7.8238,9.6515,24.173,-12.1308,-58.2264,45.4206,12.5556,12.5556,ETHUSDT,XRPUSDT,False,MARTIN_LUKE,2020
57,13,355.3641,1.7088,47.3684,5.9126,-6.2022,5.9126,30.092,-15.8489,-77.5409,4.5829,12.2807,12.2807,ADAUSDT,XRPUSDT,False,MARTIN_LUKE,2021
15,8,-75.3079,0.1742,6.6667,-8.4045,-10.5141,-8.4045,26.5846,-10.9037,-70.0833,-1.0745,8.4667,8.4667,LTCUSDT,XRPUSDT,True,MARTIN_LUKE,2022
74,16,191.4872,1.5385,37.8378,2.7855,-5.4539,2.7855,21.0318,-8.3209,-91.1766,2.1002,12.9054,12.9054,TRXUSDT,LTCUSDT,False,MARTIN_LUKE,2023
74,16,508.4122,1.6973,51.3514,4.1259,1.7971,4.1259,19.5569,-12.1622,-78.958,6.439,12.1351,12.1351,DOGEUSDT,ARBUSDT,False,MARTIN_LUKE,2024
57,16,-72.6337,0.7671,29.8246,-1.434,-5.7243,-1.434,15.8341,-8.7729,-82.9574,-0.8756,12.4737,12.4737,BNBUSDT,LTCUSDT,False,MARTIN_LUKE,2025
4,2,-3.558,0.5876,50.0,-0.8417,-0.2066,-0.8417,2.3982,-4.0817,-2.5027,-1.4217,12.5,12.5,TRXUSDT,NEARUSDT,False,MARTIN_LUKE,2026
190795,17,-100.0,0.8891,42.3743,-0.0324,-0.1462,-0.0324,0.6129,-0.5069,-100.0,-1.0,8.2765,8.2765,OPUSDT,TRXUSDT,False,LBR_COIL,2024
194458,17,-100.0,0.8764,42.4688,-0.036,-0.1572,-0.036,0.6007,-0.506,-100.0,-1.0,8.2006,8.2006,OPUSDT,BTCUSDT,False,LBR_COIL,2025
72341,17,-100.0,0.7844,40.6478,-0.0556,-0.1497,-0.0556,0.4974,-0.4343,-100.0,-1.0,8.1365,8.1365,POLUSDT,NEARUSDT,False,LBR_COIL,2026
184,17,36.3692,1.6945,55.4348,0.1736,0.0599,0.1736,0.7641,-0.5609,-14.8322,2.452,5.9511,5.9511,NEARUSDT,ETHUSDT,False,HIGHBETA_PROXY,2024
235,17,33.6447,1.4493,50.6383,0.1283,0.0299,0.1283,0.8173,-0.5785,-15.5149,2.1685,5.9872,5.9872,DOTUSDT,TRXUSDT,False,HIGHBETA_PROXY,2025
