entry_time,exit_time,entry,stop,exit,reason,ret_net_pct,R
2020-02-01T20:00:00+0000,2020-02-05T15:00:00+0000,0.0561,0.05402,0.06026,target,7.3353,2.0
2020-02-06T04:00:00+0000,2020-02-06T13:00:00+0000,0.06084,0.059,0.059,stop,-3.1043,-1.0
2020-02-11T22:00:00+0000,2020-02-11T22:00:00+0000,0.0632,0.06237,0.06237,stop,-1.3933,-1.0
2020-02-12T00:00:00+0000,2020-02-12T07:00:00+0000,0.06352,0.06232,0.06592,target,3.6983,2.0
2020-02-12T12:00:00+0000,2020-02-13T06:00:00+0000,0.06702,0.06428,0.0725,target,8.0967,2.0
2020-04-02T11:00:00+0000,2020-04-02T13:00:00+0000,0.03146,0.03118,0.03118,stop,-0.97,-1.0
2020-04-02T15:00:00+0000,2020-04-02T17:00:00+0000,0.03189,0.03109,0.03349,target,4.9372,2.0
2020-04-06T13:00:00+0000,2020-04-06T23:00:00+0000,0.03423,0.03357,0.03555,target,3.7763,2.0
2020-04-18T13:00:00+0000,2020-04-18T19:00:00+0000,0.03529,0.03482,0.03623,target,2.5836,2.0
2020-04-23T02:00:00+0000,2020-04-23T14:00:00+0000,0.03764,0.03648,0.03996,target,6.0837,2.0
2020-04-24T01:00:00+0000,2020-04-27T02:00:00+0000,0.04259,0.04038,0.04701,target,10.298,2.0
2020-04-29T10:00:00+0000,2020-04-29T11:00:00+0000,0.04848,0.04779,0.04986,target,2.7665,2.0
2020-04-29T13:00:00+0000,2020-04-30T02:00:00+0000,0.05073,0.04938,0.05343,target,5.2423,2.0
2020-04-30T04:00:00+0000,2020-04-30T07:00:00+0000,0.05412,0.05277,0.05277,stop,-2.5745,-1.0
2020-05-18T03:00:00+0000,2020-05-20T08:00:00+0000,0.05357,0.05157,0.05757,target,7.3869,2.0
2020-05-28T18:00:00+0000,2020-05-28T23:00:00+0000,0.06096,0.05861,0.06566,target,7.63,2.0
2020-05-30T05:00:00+0000,2020-05-31T05:00:00+0000,0.06962,0.06451,0.07984,target,14.5997,2.0
2020-05-31T08:00:00+0000,2020-05-31T14:00:00+0000,0.08372,0.07885,0.07885,stop,-5.897,-1.0
2020-06-04T02:00:00+0000,2020-06-04T11:00:00+0000,0.0889,0.08433,0.08433,stop,-5.2206,-1.0
2020-06-24T03:00:00+0000,2020-06-24T10:00:00+0000,0.08534,0.08294,0.08294,stop,-2.8923,-1.0
2020-07-01T14:00:00+0000,2020-07-01T23:00:00+0000,0.08816,0.08444,0.0956,target,8.3592,2.0
2020-07-03T14:00:00+0000,2020-07-05T12:00:00+0000,0.09798,0.09401,0.09401,stop,-4.1318,-1.0
2020-07-07T06:00:00+0000,2020-07-07T16:00:00+0000,0.10757,0.10403,0.11465,target,6.5018,2.0
2020-07-07T23:00:00+0000,2020-07-08T01:00:00+0000,0.11813,0.11345,0.12749,target,7.8435,2.0
2020-07-08T03:00:00+0000,2020-07-09T02:00:00+0000,0.12917,0.11905,0.11905,stop,-7.9146,-1.0
2020-07-25T03:00:00+0000,2020-07-25T22:00:00+0000,0.13045,0.12466,0.14203,target,8.797,2.0
2020-07-26T04:00:00+0000,2020-07-26T10:00:00+0000,0.14877,0.1432,0.1432,stop,-3.824,-1.0
2020-08-09T02:00:00+0000,2020-08-09T09:00:00+0000,0.1501,0.1455,0.1455,stop,-3.1446,-1.0
2020-09-01T22:00:00+0000,2020-09-01T23:00:00+0000,0.1273,0.12436,0.12436,stop,-2.3895,-1.0
2020-09-25T15:00:00+0000,2020-09-27T16:00:00+0000,0.09497,0.09176,0.10139,target,6.68,2.0
2020-09-28T01:00:00+0000,2020-09-28T23:00:00+0000,0.10342,0.10013,0.10013,stop,-3.2612,-1.0
2020-10-10T01:00:00+0000,2020-10-10T12:00:00+0000,0.10389,0.10125,0.10917,target,5.0023,2.0
2020-11-06T02:00:00+0000,2020-11-06T18:00:00+0000,0.10142,0.09707,0.11012,target,8.4982,2.0
2020-11-07T02:00:00+0000,2020-11-07T13:00:00+0000,0.1118,0.10908,0.10908,stop,-2.5129,-1.0
2020-11-17T11:00:00+0000,2020-11-17T11:00:00+0000,0.10976,0.10828,0.11272,target,2.6168,2.0
2020-11-20T21:00:00+0000,2020-11-21T06:00:00+0000,0.1152,0.11125,0.1231,target,6.7776,2.0
2020-11-21T09:00:00+0000,2020-11-22T00:00:00+0000,0.1265,0.12204,0.13542,target,6.9714,2.0
2020-11-22T20:00:00+0000,2020-11-24T00:00:00+0000,0.1455,0.13623,0.16404,target,12.6623,2.0
2020-11-24T05:00:00+0000,2020-11-24T06:00:00+0000,0.1813,0.1679,0.1679,stop,-7.4711,-1.0
2020-12-16T15:00:00+0000,2020-12-20T15:00:00+0000,0.16368,0.15182,0.1667,time,1.7651,0.2546
2020-12-28T18:00:00+0000,2020-12-29T00:00:00+0000,0.17203,0.16373,0.18863,target,9.5695,2.0
2020-12-29T13:00:00+0000,2020-12-29T16:00:00+0000,0.19637,0.18214,0.18214,stop,-7.3265,-1.0
2021-01-04T01:00:00+0000,2021-01-04T09:00:00+0000,0.21591,0.20121,0.20121,stop,-6.8884,-1.0
2021-01-05T16:00:00+0000,2021-01-06T11:00:00+0000,0.24604,0.22391,0.2903,target,17.9089,2.0
2021-01-16T12:00:00+0000,2021-01-20T12:00:00+0000,0.3551,0.32898,0.34449,time,-3.0679,-0.4062
2021-01-30T17:00:00+0000,2021-01-31T15:00:00+0000,0.37795,0.3475,0.3475,stop,-8.1366,-1.0
2021-02-01T22:00:00+0000,2021-02-01T22:00:00+0000,0.38324,0.36183,0.42606,target,11.0932,2.0
2021-02-02T14:00:00+0000,2021-02-02T20:00:00+0000,0.4464,0.41557,0.41557,stop,-6.9864,-1.0
2021-02-05T01:00:00+0000,2021-02-05T06:00:00+0000,0.45826,0.43703,0.50072,target,9.1855,2.0
2021-02-05T20:00:00+0000,2021-02-06T18:00:00+0000,0.5356,0.50597,0.59486,target,10.9842,2.0
