entry_time,exit_time,entry,stop,exit,reason,ret_net_pct,R
2020-01-22T00:00:00+0000,2020-01-22T02:00:00+0000,2.675,2.627,2.66,trail,-0.6407,-0.3125
2020-02-05T09:00:00+0000,2020-02-05T18:00:00+0000,2.782,2.773,2.849,trail,2.3283,7.4444
2020-02-06T07:00:00+0000,2020-02-06T08:00:00+0000,2.869,2.855,2.855,stop,-0.568,-1.0
2020-02-10T02:00:00+0000,2020-02-10T03:00:00+0000,3.443,3.4,3.4,stop,-1.3289,-1.0
2020-02-15T21:00:00+0000,2020-02-15T23:00:00+0000,4.466,4.05,4.327,trail,-3.1924,-0.3341
2020-03-08T21:00:00+0000,2020-03-08T21:00:00+0000,4.245,4.229,4.229,stop,-0.4569,-1.0
2020-03-10T14:00:00+0000,2020-03-10T14:00:00+0000,4.078,4.054,4.054,stop,-0.6685,-1.0
2020-03-16T15:00:00+0000,2020-03-16T16:00:00+0000,1.79,1.556,1.76,trail,-1.756,-0.1282
2020-03-19T19:00:00+0000,2020-03-19T23:00:00+0000,2.225,2.151,2.241,trail,0.6391,0.2162
2020-03-20T12:00:00+0000,2020-03-20T12:00:00+0000,2.473,2.41,2.41,stop,-2.6275,-1.0
2020-03-28T22:00:00+0000,2020-03-29T01:00:00+0000,2.118,2.09,2.11,trail,-0.4577,-0.2857
2020-04-09T16:00:00+0000,2020-04-09T16:00:00+0000,3.396,3.317,3.363,trail,-1.0517,-0.4177
2020-04-12T01:00:00+0000,2020-04-12T02:00:00+0000,3.264,3.204,3.227,trail,-1.2136,-0.6167
2020-04-15T20:00:00+0000,2020-04-15T22:00:00+0000,3.213,3.152,3.184,trail,-0.9826,-0.4754
2020-04-25T08:00:00+0000,2020-04-25T08:00:00+0000,3.823,3.801,3.801,stop,-0.6555,-1.0
2020-04-28T01:00:00+0000,2020-04-28T01:00:00+0000,3.624,3.554,3.583,trail,-1.2113,-0.5857
2020-04-28T14:00:00+0000,2020-04-28T14:00:00+0000,3.692,3.669,3.669,stop,-0.703,-1.0
2020-05-08T19:00:00+0000,2020-05-08T22:00:00+0000,3.796,3.743,3.793,trail,-0.159,-0.0566
2020-05-13T23:00:00+0000,2020-05-14T03:00:00+0000,3.767,3.716,3.745,trail,-0.664,-0.4314
2020-05-14T11:00:00+0000,2020-05-14T12:00:00+0000,3.798,3.73,3.779,trail,-0.5803,-0.2794
2020-05-19T08:00:00+0000,2020-05-19T12:00:00+0000,3.847,3.817,3.836,trail,-0.3659,-0.3667
2020-05-31T01:00:00+0000,2020-05-31T01:00:00+0000,4.147,4.087,4.117,trail,-0.8034,-0.5
2020-05-31T09:00:00+0000,2020-05-31T14:00:00+0000,4.112,4.069,4.145,trail,0.7225,0.7674
2020-06-02T12:00:00+0000,2020-06-02T14:00:00+0000,4.558,4.539,4.539,stop,-0.4968,-1.0
2020-06-07T05:00:00+0000,2020-06-07T05:00:00+0000,4.379,4.365,4.373,trail,-0.217,-0.4286
2020-06-18T09:00:00+0000,2020-06-18T09:00:00+0000,4.174,4.154,4.154,stop,-0.5592,-1.0
2020-06-22T19:00:00+0000,2020-06-23T23:00:00+0000,4.389,4.356,4.805,trail,9.3982,12.6061
2020-06-24T07:00:00+0000,2020-06-24T07:00:00+0000,4.862,4.789,4.789,stop,-1.5814,-1.0
2020-06-29T03:00:00+0000,2020-06-29T03:00:00+0000,4.589,4.554,4.565,trail,-0.603,-0.6857
2020-07-01T11:00:00+0000,2020-07-02T05:00:00+0000,4.594,4.536,4.748,trail,3.2722,2.6552
2020-07-04T21:00:00+0000,2020-07-04T21:00:00+0000,4.826,4.799,4.799,stop,-0.6395,-1.0
2020-07-07T20:00:00+0000,2020-07-07T20:00:00+0000,5.721,5.621,5.621,stop,-1.8279,-1.0
2020-07-10T18:00:00+0000,2020-07-11T06:00:00+0000,5.999,5.813,6.119,trail,1.9203,0.6452
2020-07-26T08:00:00+0000,2020-07-26T08:00:00+0000,7.824,7.804,7.804,stop,-0.3356,-1.0
2020-07-29T03:00:00+0000,2020-07-29T03:00:00+0000,7.336,7.212,7.212,stop,-1.7703,-1.0
2020-08-05T01:00:00+0000,2020-08-05T01:00:00+0000,9.715,9.616,9.616,stop,-1.099,-1.0
2020-08-07T03:00:00+0000,2020-08-07T03:00:00+0000,9.971,9.842,9.877,trail,-1.0227,-0.7287
2020-08-07T23:00:00+0000,2020-08-09T00:00:00+0000,9.933,9.64,12.349,trail,24.243,8.2457
2020-08-13T09:00:00+0000,2020-08-13T09:00:00+0000,16.729,16.144,16.144,stop,-3.5769,-1.0
2020-08-28T13:00:00+0000,2020-08-28T14:00:00+0000,15.027,14.728,14.902,trail,-0.9118,-0.4181
2020-08-30T04:00:00+0000,2020-08-30T08:00:00+0000,17.119,16.713,16.945,trail,-1.0964,-0.4286
2020-09-01T09:00:00+0000,2020-09-01T11:00:00+0000,16.226,15.893,15.976,trail,-1.6207,-0.7508
2020-09-04T12:00:00+0000,2020-09-04T12:00:00+0000,12.365,12.074,12.074,stop,-2.4334,-1.0
2020-09-17T03:00:00+0000,2020-09-17T03:00:00+0000,10.994,10.55,10.943,trail,-0.5439,-0.1149
2020-09-19T13:00:00+0000,2020-09-19T14:00:00+0000,10.348,10.223,10.223,stop,-1.288,-1.0
2020-09-24T04:00:00+0000,2020-09-25T04:00:00+0000,8.158,7.76,9.725,trail,19.1281,3.9372
2020-10-05T18:00:00+0000,2020-10-06T00:00:00+0000,9.494,9.421,9.554,trail,0.552,0.8219
2020-10-16T14:00:00+0000,2020-10-16T20:00:00+0000,10.606,10.496,10.659,trail,0.4197,0.4818
2020-10-18T09:00:00+0000,2020-10-18T09:00:00+0000,10.81,10.7,10.742,trail,-0.709,-0.6182
2020-11-06T13:00:00+0000,2020-11-06T15:00:00+0000,11.512,11.273,11.506,trail,-0.1321,-0.0251
2020-11-09T13:00:00+0000,2020-11-09T13:00:00+0000,12.6,12.433,12.433,stop,-1.4054,-1.0
2020-11-10T11:00:00+0000,2020-11-10T11:00:00+0000,12.878,12.793,12.793,stop,-0.74,-1.0
2020-11-13T11:00:00+0000,2020-11-13T15:00:00+0000,12.754,12.429,12.763,trail,-0.0094,0.0277
2020-11-21T10:00:00+0000,2020-11-21T11:00:00+0000,14.263,14.117,14.117,stop,-1.1036,-1.0
2020-11-29T12:00:00+0000,2020-11-29T12:00:00+0000,13.203,13.135,13.135,stop,-0.595,-1.0
2020-12-06T03:00:00+0000,2020-12-06T03:00:00+0000,13.317,13.176,13.176,stop,-1.1388,-1.0
2020-12-17T14:00:00+0000,2020-12-17T17:00:00+0000,13.876,13.746,13.8,trail,-0.6277,-0.5846
2020-12-22T15:00:00+0000,2020-12-23T01:00:00+0000,12.431,12.216,12.607,trail,1.3358,0.8186
2020-12-24T15:00:00+0000,2020-12-25T03:00:00+0000,10.881,10.511,11.226,trail,3.0907,0.9324
2020-12-27T22:00:00+0000,2020-12-27T23:00:00+0000,12.267,11.863,12.172,trail,-0.8544,-0.2351
2021-01-17T23:00:00+0000,2021-01-18T02:00:00+0000,22.668,22.4,22.849,trail,0.7185,0.6754
2021-01-19T10:00:00+0000,2021-01-19T12:00:00+0000,22.285,21.65,21.65,stop,-2.9295,-1.0
2021-01-22T05:00:00+0000,2021-01-22T22:00:00+0000,19.443,18.285,21.741,trail,11.7392,1.9845
2021-02-01T19:00:00+0000,2021-02-02T10:00:00+0000,22.295,21.964,23.295,trail,4.4053,3.0211
2021-02-03T17:00:00+0000,2021-02-03T19:00:00+0000,24.949,24.763,24.763,stop,-0.8255,-1.0
2021-02-09T21:00:00+0000,2021-02-09T21:00:00+0000,26.293,26.241,26.241,stop,-0.2778,-1.0
2021-02-18T04:00:00+0000,2021-02-18T07:00:00+0000,33.131,32.798,32.798,stop,-1.0851,-1.0
2021-02-24T19:00:00+0000,2021-02-24T19:00:00+0000,28.508,28.163,28.163,stop,-1.2902,-1.0
2021-03-08T03:00:00+0000,2021-03-08T07:00:00+0000,28.635,28.32,28.32,stop,-1.1801,-1.0
2021-03-27T19:00:00+0000,2021-03-28T06:00:00+0000,26.756,26.51,27.281,trail,1.8822,2.1341
2021-03-29T19:00:00+0000,2021-03-29T21:00:00+0000,28.183,27.793,27.987,trail,-0.7755,-0.5026
2021-04-01T10:00:00+0000,2021-04-01T11:00:00+0000,30.135,29.501,29.864,trail,-0.9793,-0.4274
2021-04-02T18:00:00+0000,2021-04-02T19:00:00+0000,31.202,30.84,30.84,stop,-1.2402,-1.0
2021-04-06T15:00:00+0000,2021-04-07T05:00:00+0000,32.777,31.511,34.458,trail,5.0486,1.3278
2021-04-13T19:00:00+0000,2021-04-14T08:00:00+0000,34.783,34.408,36.552,trail,5.0058,4.7173
2021-04-14T18:00:00+0000,2021-04-15T10:00:00+0000,37.26,35.555,40.207,trail,7.8293,1.7284
2021-04-15T17:00:00+0000,2021-04-15T19:00:00+0000,42.801,42.129,42.578,trail,-0.601,-0.3318
2021-04-16T18:00:00+0000,2021-04-16T19:00:00+0000,41.825,40.221,41.245,trail,-1.4667,-0.3616
2021-04-27T01:00:00+0000,2021-04-27T13:00:00+0000,34.729,33.785,35.977,trail,3.5135,1.322
2021-05-09T12:00:00+0000,2021-05-09T12:00:00+0000,48.773,47.96,47.96,stop,-1.7469,-1.0
2021-05-17T21:00:00+0000,2021-05-17T21:00:00+0000,38.485,35.905,36.666,trail,-4.8065,-0.705
2021-05-18T23:00:00+0000,2021-05-18T23:00:00+0000,42.188,42.06,42.06,stop,-0.3834,-1.0
2021-05-27T01:00:00+0000,2021-05-27T01:00:00+0000,32.505,31.489,31.489,stop,-3.2057,-1.0
