entry_time,exit_time,entry,stop,exit,reason,ret_net_pct,R
2020-01-10T11:00:00+0000,2020-01-10T12:00:00+0000,44.58,43.8,46.14,target,3.4193,2.0
2020-01-13T17:00:00+0000,2020-01-14T01:00:00+0000,49.74,48.9,51.42,target,3.2976,2.0
2020-01-15T07:00:00+0000,2020-01-16T01:00:00+0000,57.8,55.36,55.36,stop,-4.3015,-1.0
2020-01-17T16:00:00+0000,2020-01-18T16:00:00+0000,59.97,58.14,58.14,stop,-3.1315,-1.0
2020-01-18T20:00:00+0000,2020-01-19T11:00:00+0000,59.76,57.96,57.96,stop,-3.092,-1.0
2020-01-19T22:00:00+0000,2020-01-23T12:00:00+0000,56.98,55.65,55.65,stop,-2.4142,-1.0
2020-01-23T22:00:00+0000,2020-01-24T02:00:00+0000,54.33,52.14,52.14,stop,-4.1109,-1.0
2020-01-24T12:00:00+0000,2020-01-28T01:00:00+0000,53.89,50.68,60.31,target,11.8332,2.0
2020-01-29T17:00:00+0000,2020-01-30T00:00:00+0000,60.56,59.48,59.48,stop,-1.8634,-1.0
2020-01-31T16:00:00+0000,2020-02-04T16:00:00+0000,68.15,65.41,68.19,time,-0.0213,0.0146
2020-02-06T02:00:00+0000,2020-02-06T03:00:00+0000,72.04,71.02,74.08,target,2.7518,2.0
2020-02-06T15:00:00+0000,2020-02-10T15:00:00+0000,73.97,71.05,74.36,time,0.4472,0.1336
2020-02-10T21:00:00+0000,2020-02-11T00:00:00+0000,74.07,73.5,73.5,stop,-0.8495,-1.0
2020-02-11T09:00:00+0000,2020-02-11T16:00:00+0000,74.2,72.79,77.02,target,3.7205,2.0
2020-02-13T13:00:00+0000,2020-02-15T17:00:00+0000,80.74,75.24,75.24,stop,-6.892,-1.0
2020-02-16T01:00:00+0000,2020-02-16T13:00:00+0000,78.36,75.83,75.83,stop,-3.3087,-1.0
2020-02-16T23:00:00+0000,2020-02-17T03:00:00+0000,73.79,70.63,70.63,stop,-4.3624,-1.0
2020-02-17T06:00:00+0000,2020-02-17T11:00:00+0000,71.6,69.09,69.09,stop,-3.5856,-1.0
2020-02-17T15:00:00+0000,2020-02-18T20:00:00+0000,71.95,68.58,78.69,target,9.2876,2.0
2020-02-20T17:00:00+0000,2020-02-22T12:00:00+0000,69.63,66.15,76.59,target,9.9157,2.0
2020-02-23T01:00:00+0000,2020-02-23T06:00:00+0000,75.86,74.43,78.72,target,3.6901,2.0
2020-02-24T20:00:00+0000,2020-02-25T14:00:00+0000,74.48,71.69,71.69,stop,-3.826,-1.0
2020-02-25T22:00:00+0000,2020-02-26T01:00:00+0000,71.72,69.46,69.46,stop,-3.2311,-1.0
2020-02-26T06:00:00+0000,2020-02-26T08:00:00+0000,69.52,66.85,66.85,stop,-3.9206,-1.0
2020-02-26T13:00:00+0000,2020-02-26T14:00:00+0000,67.56,64.29,64.29,stop,-4.9201,-1.0
2020-02-27T23:00:00+0000,2020-02-28T06:00:00+0000,62.45,60.58,60.58,stop,-3.0744,-1.0
2020-02-28T14:00:00+0000,2020-03-01T18:00:00+0000,59.55,56.56,56.56,stop,-5.101,-1.0
2020-03-03T03:00:00+0000,2020-03-03T10:00:00+0000,60.82,60.13,62.2,target,2.189,2.0
2020-03-04T14:00:00+0000,2020-03-04T15:00:00+0000,60.62,59.8,59.8,stop,-1.4327,-1.0
2020-03-08T09:00:00+0000,2020-03-08T12:00:00+0000,59.11,58.14,58.14,stop,-1.721,-1.0
2020-03-09T09:00:00+0000,2020-03-09T15:00:00+0000,50.81,46.99,46.99,stop,-7.5982,-1.0
2020-03-09T20:00:00+0000,2020-03-11T17:00:00+0000,48.89,46.63,46.63,stop,-4.7026,-1.0
