op_id	kind	run_when	expect_rc	cwd	stdin_file	stdin_sha256	argv	purpose
01	ssh_stdin	sequence_ok	0	C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\11_TRIAGE\WPI_BLOCKS_DRAFT	PREREG:remote_setup_wpi.sh	<PIN-AT-FREEZE>	ssh -F none -i C:\HyperV\GATEA-STAGING\ssh\gatea_ed25519 -o BatchMode=yes -o StrictHostKeyChecking=yes -o IdentitiesOnly=yes -o ConnectTimeout=20 -o UserKnownHostsFile=C:\HyperV\GATEA-STAGING\ssh\wpi_known_hosts -o GlobalKnownHostsFile=C:\HyperV\GATEA-STAGING\ssh\wpi_known_hosts_global -o ProxyCommand=none -o ControlMaster=no -o ControlPath=none -o PermitLocalCommand=no -o ForwardAgent=no -o ForwardX11=no -o ClearAllForwardings=yes gatea@172.24.55.233 /usr/bin/env -i PATH=/usr/bin:/bin LC_ALL=C HOME=/home/gatea /usr/bin/bash --noprofile --norc -s -- /home/gatea/wpi_staging_<ALLOCATE-AT-DISPATCH>	allocate the create-once WP-I remote base evidence runkit kit and run-owned work directories
02	scp_up	sequence_ok	0	C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\11_TRIAGE\WPI_BLOCKS_DRAFT\01_RUNKIT	-	-	scp -F none -i C:\HyperV\GATEA-STAGING\ssh\gatea_ed25519 -o BatchMode=yes -o StrictHostKeyChecking=yes -o IdentitiesOnly=yes -o ConnectTimeout=20 -o UserKnownHostsFile=C:\HyperV\GATEA-STAGING\ssh\wpi_known_hosts -o GlobalKnownHostsFile=C:\HyperV\GATEA-STAGING\ssh\wpi_known_hosts_global -o ProxyCommand=none -o ControlMaster=no -o ControlPath=none -o PermitLocalCommand=no -o ForwardAgent=no -o ForwardX11=no -o ClearAllForwardings=yes runkit.tar gatea@172.24.55.233:/home/gatea/wpi_staging_<ALLOCATE-AT-DISPATCH>/kit/runkit.tar	upload the frozen WP-I runkit archive
03	ssh_stdin	sequence_ok	0	C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\11_TRIAGE\WPI_BLOCKS_DRAFT	PREREG:remote_extract_verify_wpi.sh	<PIN-AT-FREEZE>	ssh -F none -i C:\HyperV\GATEA-STAGING\ssh\gatea_ed25519 -o BatchMode=yes -o StrictHostKeyChecking=yes -o IdentitiesOnly=yes -o ConnectTimeout=20 -o UserKnownHostsFile=C:\HyperV\GATEA-STAGING\ssh\wpi_known_hosts -o GlobalKnownHostsFile=C:\HyperV\GATEA-STAGING\ssh\wpi_known_hosts_global -o ProxyCommand=none -o ControlMaster=no -o ControlPath=none -o PermitLocalCommand=no -o ForwardAgent=no -o ForwardX11=no -o ClearAllForwardings=yes gatea@172.24.55.233 /usr/bin/env -i PATH=/usr/bin:/bin LC_ALL=C HOME=/home/gatea /usr/bin/bash --noprofile --norc -s -- /home/gatea/wpi_staging_<ALLOCATE-AT-DISPATCH>/kit/runkit.tar /home/gatea/wpi_staging_<ALLOCATE-AT-DISPATCH>/kit/extracted <PIN-AT-FREEZE>	verify the WP-I archive member set and hashes then extract read-only without executing a block
04	ssh_stdin	sequence_ok	0	C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\11_TRIAGE\WPI_BLOCKS_DRAFT	PREREG:run_p0.sh	<PIN-AT-FREEZE>	ssh -F none -i C:\HyperV\GATEA-STAGING\ssh\gatea_ed25519 -o BatchMode=yes -o StrictHostKeyChecking=yes -o IdentitiesOnly=yes -o ConnectTimeout=20 -o UserKnownHostsFile=C:\HyperV\GATEA-STAGING\ssh\wpi_known_hosts -o GlobalKnownHostsFile=C:\HyperV\GATEA-STAGING\ssh\wpi_known_hosts_global -o ProxyCommand=none -o ControlMaster=no -o ControlPath=none -o PermitLocalCommand=no -o ForwardAgent=no -o ForwardX11=no -o ClearAllForwardings=yes gatea@172.24.55.233 /usr/bin/env -i PATH=/usr/bin:/bin LC_ALL=C HOME=/home/gatea /usr/bin/bash --noprofile --norc -s --	run the one-use P0 premise stage
05	ssh_stdin	sequence_ok	0	C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\11_TRIAGE\WPI_BLOCKS_DRAFT	PREREG:run_ro.sh	<PIN-AT-FREEZE>	ssh -F none -i C:\HyperV\GATEA-STAGING\ssh\gatea_ed25519 -o BatchMode=yes -o StrictHostKeyChecking=yes -o IdentitiesOnly=yes -o ConnectTimeout=20 -o UserKnownHostsFile=C:\HyperV\GATEA-STAGING\ssh\wpi_known_hosts -o GlobalKnownHostsFile=C:\HyperV\GATEA-STAGING\ssh\wpi_known_hosts_global -o ProxyCommand=none -o ControlMaster=no -o ControlPath=none -o PermitLocalCommand=no -o ForwardAgent=no -o ForwardX11=no -o ClearAllForwardings=yes gatea@172.24.55.233 /usr/bin/env -i PATH=/usr/bin:/bin LC_ALL=C HOME=/home/gatea /usr/bin/bash --noprofile --norc -s --	run the one-use WP-I read-only stage only after every prior sequence operation matched
06	tcp_probe	sequence_ok	0	C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\11_TRIAGE\WPI_BLOCKS_DRAFT	-	-	tcp_probe 172.24.55.233 8790 20000	operator-side bounded TCP connect classification with no payload
07	ssh_stdin	always	0	C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\11_TRIAGE\WPI_BLOCKS_DRAFT	PREREG:remote_close_tree_wpi.sh	<PIN-AT-FREEZE>	ssh -F none -i C:\HyperV\GATEA-STAGING\ssh\gatea_ed25519 -o BatchMode=yes -o StrictHostKeyChecking=yes -o IdentitiesOnly=yes -o ConnectTimeout=20 -o UserKnownHostsFile=C:\HyperV\GATEA-STAGING\ssh\wpi_known_hosts -o GlobalKnownHostsFile=C:\HyperV\GATEA-STAGING\ssh\wpi_known_hosts_global -o ProxyCommand=none -o ControlMaster=no -o ControlPath=none -o PermitLocalCommand=no -o ForwardAgent=no -o ForwardX11=no -o ClearAllForwardings=yes gatea@172.24.55.233 /usr/bin/env -i PATH=/usr/bin:/bin LC_ALL=C HOME=/home/gatea /usr/bin/bash --noprofile --norc -s -- /home/gatea/wpi_staging_<ALLOCATE-AT-DISPATCH>/evidence/runkit/<ALLOCATE-AT-DISPATCH>-P0 <ALLOCATE-AT-DISPATCH>-P0 /home/gatea/wpi_staging_<ALLOCATE-AT-DISPATCH>/work	close and hash the P0 evidence tree after the stage connection has returned using the run-owned work root allocated by op 01
08	ssh_stdin	always	0	C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\11_TRIAGE\WPI_BLOCKS_DRAFT	PREREG:remote_close_tree_wpi.sh	<PIN-AT-FREEZE>	ssh -F none -i C:\HyperV\GATEA-STAGING\ssh\gatea_ed25519 -o BatchMode=yes -o StrictHostKeyChecking=yes -o IdentitiesOnly=yes -o ConnectTimeout=20 -o UserKnownHostsFile=C:\HyperV\GATEA-STAGING\ssh\wpi_known_hosts -o GlobalKnownHostsFile=C:\HyperV\GATEA-STAGING\ssh\wpi_known_hosts_global -o ProxyCommand=none -o ControlMaster=no -o ControlPath=none -o PermitLocalCommand=no -o ForwardAgent=no -o ForwardX11=no -o ClearAllForwardings=yes gatea@172.24.55.233 /usr/bin/env -i PATH=/usr/bin:/bin LC_ALL=C HOME=/home/gatea /usr/bin/bash --noprofile --norc -s -- /home/gatea/wpi_staging_<ALLOCATE-AT-DISPATCH>/evidence/runkit/<ALLOCATE-AT-DISPATCH>-RO <ALLOCATE-AT-DISPATCH>-RO /home/gatea/wpi_staging_<ALLOCATE-AT-DISPATCH>/work	close and hash the RO evidence tree after the stage connection has returned using the run-owned work root allocated by op 01
09	scp_down	always	0	C:\WPI_ARTIFACTS\WPI_TRANSPORT_<ALLOCATE-AT-DISPATCH>\evidence	-	-	scp -F none -i C:\HyperV\GATEA-STAGING\ssh\gatea_ed25519 -o BatchMode=yes -o StrictHostKeyChecking=yes -o IdentitiesOnly=yes -o ConnectTimeout=20 -o UserKnownHostsFile=C:\HyperV\GATEA-STAGING\ssh\wpi_known_hosts -o GlobalKnownHostsFile=C:\HyperV\GATEA-STAGING\ssh\wpi_known_hosts_global -o ProxyCommand=none -o ControlMaster=no -o ControlPath=none -o PermitLocalCommand=no -o ForwardAgent=no -o ForwardX11=no -o ClearAllForwardings=yes -r gatea@172.24.55.233:/home/gatea/wpi_staging_<ALLOCATE-AT-DISPATCH>/evidence/runkit/<ALLOCATE-AT-DISPATCH>-P0 .	retrieve the closed P0 evidence tree
10	scp_down	always	0	C:\WPI_ARTIFACTS\WPI_TRANSPORT_<ALLOCATE-AT-DISPATCH>\evidence	-	-	scp -F none -i C:\HyperV\GATEA-STAGING\ssh\gatea_ed25519 -o BatchMode=yes -o StrictHostKeyChecking=yes -o IdentitiesOnly=yes -o ConnectTimeout=20 -o UserKnownHostsFile=C:\HyperV\GATEA-STAGING\ssh\wpi_known_hosts -o GlobalKnownHostsFile=C:\HyperV\GATEA-STAGING\ssh\wpi_known_hosts_global -o ProxyCommand=none -o ControlMaster=no -o ControlPath=none -o PermitLocalCommand=no -o ForwardAgent=no -o ForwardX11=no -o ClearAllForwardings=yes -r gatea@172.24.55.233:/home/gatea/wpi_staging_<ALLOCATE-AT-DISPATCH>/evidence/runkit/<ALLOCATE-AT-DISPATCH>-RO .	retrieve the closed RO evidence tree
