op_id	kind	run_when	expect_rc	cwd	stdin_file	stdin_sha256	argv	purpose
01	ssh_stdin	sequence_ok	0	C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\11_TRIAGE\WPL_P2_STAGING_WPLP2-20260809T125940Z-8dc78f08\02_PREREG	remote_setup.sh	faee3725325d7155a6309e2371b85a4facba1980f0169c8268e47a75902821b5	ssh -i C:\HyperV\GATEA-STAGING\ssh\gatea_ed25519 -o BatchMode=yes -o StrictHostKeyChecking=yes -o IdentitiesOnly=yes -o ConnectTimeout=20 gatea@172.24.55.233 bash -s -- /home/gatea/wpl_p2_staging_WPLP2-20260809T125940Z-8dc78f08	allocate the four create-once remote directories; no runkit exists on the host yet
02	scp_up	sequence_ok	0	C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\11_TRIAGE\WPL_P2_STAGING_WPLP2-20260809T125940Z-8dc78f08\01_RUNKIT	-	-	scp -i C:\HyperV\GATEA-STAGING\ssh\gatea_ed25519 -o BatchMode=yes -o StrictHostKeyChecking=yes -o IdentitiesOnly=yes -o ConnectTimeout=20 runkit.tar gatea@172.24.55.233:/home/gatea/wpl_p2_staging_WPLP2-20260809T125940Z-8dc78f08/kit/runkit.tar	upload the frozen Stage 1 archive; hashes are verified remotely in op 04, never here
03	scp_up	sequence_ok	0	C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\11_TRIAGE\WPL_P2_STAGING_WPLP2-20260809T125940Z-8dc78f08\02_PREREG	-	-	scp -i C:\HyperV\GATEA-STAGING\ssh\gatea_ed25519 -o BatchMode=yes -o StrictHostKeyChecking=yes -o IdentitiesOnly=yes -o ConnectTimeout=20 R4_5_runner.py gatea@172.24.55.233:/home/gatea/wpl_p2_staging_WPLP2-20260809T125940Z-8dc78f08/R4_5_runner.py	upload the R4-5 runner; its bytes are re-verified against a pinned hash inside op 07
04	ssh_stdin	sequence_ok	0	C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\11_TRIAGE\WPL_P2_STAGING_WPLP2-20260809T125940Z-8dc78f08\02_PREREG	remote_extract_verify.sh	ba0bef0ef6ceb91c445e1d74e2c8d3b6fa7ac01e7e4e10216139b96b28c93db3	ssh -i C:\HyperV\GATEA-STAGING\ssh\gatea_ed25519 -o BatchMode=yes -o StrictHostKeyChecking=yes -o IdentitiesOnly=yes -o ConnectTimeout=20 gatea@172.24.55.233 bash -s -- /home/gatea/wpl_p2_staging_WPLP2-20260809T125940Z-8dc78f08/kit/runkit.tar /home/gatea/wpl_p2_staging_WPLP2-20260809T125940Z-8dc78f08/kit/extracted 618f7640fcb99a42abbe3d440710829e7be61f986050eb330035e46b3e11ac53	re-hash the archive, refuse any unexpected member, extract read-only, verify the nine block hashes; executes no block
05	ssh_stdin	sequence_ok	0	C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\11_TRIAGE\WPL_P2_STAGING_WPLP2-20260809T125940Z-8dc78f08\02_PREREG	run_b3.sh	0e54b0bf08d620035c98986a8fc4872dc7cc59d31788d608028b0c91751aa782	ssh -i C:\HyperV\GATEA-STAGING\ssh\gatea_ed25519 -o BatchMode=yes -o StrictHostKeyChecking=yes -o IdentitiesOnly=yes -o ConnectTimeout=20 gatea@172.24.55.233 bash -s --	B3 read-only permissions/ownership admission, the first proposal check of the run
06	ssh_stdin	always	0	C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\11_TRIAGE\WPL_P2_STAGING_WPLP2-20260809T125940Z-8dc78f08\02_PREREG	remote_close_tree.sh	87157f0ea454df7c1f826a8c76a38f3045dd38efdd8fa347644f79251d3f3f0e	ssh -i C:\HyperV\GATEA-STAGING\ssh\gatea_ed25519 -o BatchMode=yes -o StrictHostKeyChecking=yes -o IdentitiesOnly=yes -o ConnectTimeout=20 gatea@172.24.55.233 bash -s -- /home/gatea/wpl_p2_staging_WPLP2-20260809T125940Z-8dc78f08/evidence/runkit/WPLP2-20260809T125940Z-8dc78f08-B3 WPLP2-20260809T125940Z-8dc78f08-B3	hash the CLOSED B3 evidence tree remote-side; runs even after a B3 FAIL because a failed stage is exactly when its evidence must be bound
07	ssh_stdin	sequence_ok	0	C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\11_TRIAGE\WPL_P2_STAGING_WPLP2-20260809T125940Z-8dc78f08\02_PREREG	run_r45.sh	4b9e5e68cc5959bfdefc2b9996556a986e4004e553b410dc2cfcf65e50c44a7b	ssh -i C:\HyperV\GATEA-STAGING\ssh\gatea_ed25519 -o BatchMode=yes -o StrictHostKeyChecking=yes -o IdentitiesOnly=yes -o ConnectTimeout=20 gatea@172.24.55.233 bash -s --	Linux-only R4-5 RED/GREEN falsification of the RP4-C3 restore_into symlink guard
08	ssh_stdin	always	0	C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\11_TRIAGE\WPL_P2_STAGING_WPLP2-20260809T125940Z-8dc78f08\02_PREREG	remote_close_tree.sh	87157f0ea454df7c1f826a8c76a38f3045dd38efdd8fa347644f79251d3f3f0e	ssh -i C:\HyperV\GATEA-STAGING\ssh\gatea_ed25519 -o BatchMode=yes -o StrictHostKeyChecking=yes -o IdentitiesOnly=yes -o ConnectTimeout=20 gatea@172.24.55.233 bash -s -- /home/gatea/wpl_p2_staging_WPLP2-20260809T125940Z-8dc78f08/evidence/runkit/WPLP2-20260809T125940Z-8dc78f08-R45 WPLP2-20260809T125940Z-8dc78f08-R45	hash the CLOSED R4-5 evidence tree remote-side
09	scp_down	always	0	C:\WPI_ARTIFACTS\WPLP2_TRANSPORT_WPLP2-20260809T125940Z-8dc78f08\evidence	-	-	scp -i C:\HyperV\GATEA-STAGING\ssh\gatea_ed25519 -o BatchMode=yes -o StrictHostKeyChecking=yes -o IdentitiesOnly=yes -o ConnectTimeout=20 -r gatea@172.24.55.233:/home/gatea/wpl_p2_staging_WPLP2-20260809T125940Z-8dc78f08/evidence/runkit/WPLP2-20260809T125940Z-8dc78f08-B3 .	retrieve the closed B3 evidence tree for the local half of the binding
10	scp_down	always	0	C:\WPI_ARTIFACTS\WPLP2_TRANSPORT_WPLP2-20260809T125940Z-8dc78f08\evidence	-	-	scp -i C:\HyperV\GATEA-STAGING\ssh\gatea_ed25519 -o BatchMode=yes -o StrictHostKeyChecking=yes -o IdentitiesOnly=yes -o ConnectTimeout=20 -r gatea@172.24.55.233:/home/gatea/wpl_p2_staging_WPLP2-20260809T125940Z-8dc78f08/evidence/runkit/WPLP2-20260809T125940Z-8dc78f08-R45 .	retrieve the closed R4-5 evidence tree for the local half of the binding
