path,size_bytes,last_commit_iso,referenced_by_count
.chatgpt-instructions.md,192,2026-05-31T17:52:41+03:00,11
.claude/skills/mtc-repo-guard/SKILL.md,1782,2026-06-22T10:26:15+03:00,11
.cursorrules,192,2026-05-31T17:52:41+03:00,11
.gitattributes,66,2026-05-31T17:52:41+03:00,70
.gitignore,7800,2026-07-31T09:09:45+03:00,45
_deepseek_driver/board_example.json,614,2026-06-23T12:11:54+03:00,3
_deepseek_driver/board_runner.py,9944,2026-06-23T12:11:54+03:00,9
_deepseek_driver/ds_agent.py,14735,2026-06-22T20:13:46+03:00,29
_deepseek_driver/mock_provider.py,1597,2026-06-22T20:13:46+03:00,6
_deepseek_driver/provider.py,2808,2026-06-22T20:13:46+03:00,15
_deepseek_driver/README.md,3821,2026-06-06T23:22:12+03:00,169
_deepseek_driver/tests/conftest.py,249,2026-06-22T20:13:46+03:00,7
_deepseek_driver/tests/test_board_phase2.py,4976,2026-06-23T12:11:54+03:00,2
_deepseek_driver/tests/test_board_runner.py,4094,2026-06-22T20:13:46+03:00,2
_deepseek_driver/tests/test_mock_provider.py,1313,2026-06-22T20:13:46+03:00,2
_deepseek_driver/tests/test_provider.py,2975,2026-06-22T20:13:46+03:00,2
AGENTS.md,30610,2026-08-10T11:35:30+03:00,205
apply_migration.py,25703,2026-05-31T17:52:41+03:00,5
CLAUDE.md,518,2026-08-02T11:05:54+03:00,39
docs/ACTIVE_FILES.md,40953,2026-06-21T12:03:53+03:00,50
docs/AI_MEMORY_DRAFT.md,4339,2026-05-31T17:52:41+03:00,5
docs/DECISION_REQUESTS.md,21343,2026-05-31T17:52:41+03:00,5
docs/DECISIONS.md,2136,2026-05-31T17:52:41+03:00,80
docs/DEPENDENCY_AND_PATH_AUDIT.md,5989396,2026-05-31T17:52:41+03:00,5
docs/DEPRECATED_FILES.md,55447,2026-05-31T17:52:41+03:00,6
docs/EXCLUDED_PROJECTS.md,55447,2026-05-31T17:52:41+03:00,6
docs/INVENTORY_REPORT.md,135976,2026-05-31T17:52:41+03:00,5
docs/migration_manifests/copy_manifest.csv,4842095,2026-05-31T17:52:41+03:00,8
docs/migration_manifests/deduplication_manifest.csv,664041,2026-05-31T17:52:41+03:00,6
docs/migration_manifests/excluded_manifest.csv,25753,2026-05-31T17:52:41+03:00,5
docs/migration_manifests/LEGACY_FREEZE_POLICY.md,4399,2026-05-31T19:34:34+03:00,3
docs/migration_manifests/legacy_git_status_after_verify.txt,228,2026-05-31T17:52:41+03:00,6
docs/migration_manifests/legacy_git_status_before.txt,224,2026-05-31T17:52:41+03:00,6
docs/migration_manifests/mtc_command_center_sha256_manifest.csv,137736,2026-05-31T17:52:41+03:00,7
docs/migration_manifests/PATH_REWRITE_POLICY.md,5391,2026-05-31T19:36:16+03:00,3
docs/migration_manifests/phase1_apply_summary.json,372,2026-05-31T17:52:41+03:00,6
docs/migration_manifests/phase1_residual_inventory.csv,15192,2026-05-31T17:52:41+03:00,4
docs/migration_manifests/phase2_path_rewrite.diff,8817,2026-05-31T17:52:41+03:00,3
docs/migration_manifests/phase2_quantlens_06_quantlens_lab_hits.csv,21431,2026-05-31T17:52:41+03:00,6
docs/migration_manifests/phase2_smoke_case_110.log,1916,2026-05-31T17:52:41+03:00,3
docs/migration_manifests/phase2b_smoke_case_candidates.csv,892,2026-05-31T17:52:41+03:00,5
docs/migration_manifests/phase2b_smoke_case_diagnostic.json,8300,2026-05-31T17:52:41+03:00,4
docs/migration_manifests/phase2b_smoke_case_diagnostic.md,2372,2026-05-31T17:52:41+03:00,4
docs/migration_manifests/phase2c_outcome.json,1944,2026-05-31T17:59:21+03:00,2
docs/migration_manifests/phase2c_outcome.md,1582,2026-05-31T17:59:21+03:00,1
docs/migration_manifests/phase2c_path_state_before_smoke.json,1367,2026-05-31T17:52:41+03:00,5
docs/migration_manifests/phase2c_pine_only_sha256_after_smoke.csv,5647,2026-05-31T17:52:41+03:00,3
docs/migration_manifests/phase2c_pine_only_sha256_compare.json,576,2026-05-31T17:52:41+03:00,3
docs/migration_manifests/phase2c_pine_sha256_after_smoke.csv,2861010,2026-05-31T17:52:41+03:00,2
docs/migration_manifests/phase2c_pine_sha256_before_smoke.csv,2857381,2026-05-31T17:52:41+03:00,3
docs/migration_manifests/phase2c_pine_sha256_compare.json,9044,2026-05-31T17:52:41+03:00,1
docs/migration_manifests/phase2c_smoke_AUTO_061.log,3306,2026-05-31T17:52:41+03:00,6
docs/migration_manifests/phase2c_smoke_AUTO_061_summary.json,484,2026-05-31T17:52:41+03:00,5
docs/migration_manifests/phase2d_outcome.json,1445,2026-05-31T17:59:21+03:00,2
docs/migration_manifests/phase2d_outcome.md,2101,2026-05-31T17:59:21+03:00,1
docs/migration_manifests/phase2d_pine_only_sha256_after_smoke.csv,5647,2026-05-31T17:59:21+03:00,2
docs/migration_manifests/phase2d_pine_only_sha256_compare.json,481,2026-05-31T17:59:21+03:00,2
docs/migration_manifests/phase2d_pine_trades_py_candidates.json,538,2026-05-31T17:59:21+03:00,3
docs/migration_manifests/phase2d_pinets_restore_manifest.csv,152556,2026-05-31T17:59:21+03:00,3
docs/migration_manifests/phase2d_pinets_restore_summary.json,614,2026-05-31T17:59:21+03:00,3
docs/migration_manifests/phase2d_pinets_source_candidates.json,2378,2026-05-31T17:59:21+03:00,2
docs/migration_manifests/phase2d_smoke_AUTO_061.log,1003,2026-05-31T17:59:21+03:00,4
docs/migration_manifests/phase2d_smoke_AUTO_061_summary.json,485,2026-05-31T17:59:21+03:00,2
docs/migration_manifests/phase2e_outcome.json,1589,2026-05-31T18:11:58+03:00,2
docs/migration_manifests/phase2e_outcome.md,1688,2026-05-31T18:11:58+03:00,1
docs/migration_manifests/phase2e_pine_only_sha256_after_smoke.csv,5647,2026-05-31T18:11:58+03:00,3
docs/migration_manifests/phase2e_pine_only_sha256_compare.json,481,2026-05-31T18:11:58+03:00,2
docs/migration_manifests/phase2e_pine_trades_restore_summary.json,629,2026-05-31T18:11:58+03:00,3
docs/migration_manifests/phase2e_smoke_AUTO_061.log,3812,2026-05-31T18:11:58+03:00,4
docs/migration_manifests/phase2e_smoke_AUTO_061_summary.json,486,2026-05-31T18:11:58+03:00,2
docs/migration_manifests/phase3_archive_summary.json,2486,2026-05-31T17:52:41+03:00,5
docs/migration_manifests/phase3_cwd_lockers.csv,2555,2026-05-31T17:52:41+03:00,3
docs/migration_manifests/phase3_handle_locks.err.txt,0,2026-05-31T17:52:41+03:00,3
docs/migration_manifests/phase3_handle_locks.txt,506,2026-05-31T17:52:41+03:00,4
docs/migration_manifests/phase3_handle_locks_retry.err.txt,0,2026-05-31T17:52:41+03:00,3
docs/migration_manifests/phase3_handle_locks_retry.txt,27,2026-05-31T17:52:41+03:00,4
docs/migration_manifests/phase3_killed_cwd_lockers.csv,2792,2026-05-31T17:52:41+03:00,4
docs/migration_manifests/phase3_missing_cwd_lockers.csv,3,2026-05-31T17:52:41+03:00,4
docs/migration_manifests/phase3_readonly_errors.csv,169,2026-05-31T17:52:41+03:00,4
docs/migration_manifests/phase3_spotcheck.json,40881,2026-05-31T17:52:41+03:00,3
docs/migration_manifests/phase4_late_root_scripts_restore.csv,2248,2026-05-31T19:13:59+03:00,3
docs/migration_manifests/phase4_smoke_AUTO_002.log,2575,2026-05-31T17:59:21+03:00,1
docs/migration_manifests/phase4_smoke_AUTO_002_retry.log,7589,2026-05-31T17:59:21+03:00,1
docs/migration_manifests/phase5_path_rewrite_smoke_AUTO_002.log,7385,2026-05-31T18:22:07+03:00,2
docs/migration_manifests/phase6_audit_report.md,7344,2026-05-31T19:06:50+03:00,2
docs/migration_manifests/phase6_pine_recheck.csv,6156,2026-05-31T19:06:50+03:00,2
docs/migration_manifests/phase6_smoke_AUTO_002.log,3563,2026-05-31T19:06:50+03:00,2
docs/migration_manifests/phase6_smoke_AUTO_002_post_check8_fix.log,3463,2026-05-31T19:14:20+03:00,1
docs/migration_manifests/pine_sha256_manifest.csv,4764,2026-05-31T17:52:41+03:00,10
docs/migration_manifests/verify_migration_result.json,439,2026-05-31T17:52:41+03:00,6
