status	tag	target_sha	target_description
CREATED	legacy/master-freeze/2026-08-25	0aa57ef66aa66999b6cac8e368095ca51a3d1d18	current local master (refs/heads/master); subject: merge: WP-P0-15 branch-freshness guard + clean-worktree procedure (lane B, closure PASS-WITH-NITS 2026-08-24)
CREATED	legacy/pine-controller/2026-08-25	77a10e6573d93f8aaf777010ea507bbec0a7668b	Pine controller path HEAD: MTC_COMMAND_CENTER/01_MTC_PROJECT/01_PINE/MTC_V2.pine; subject: init: migrated from tradingview-lab archive 2026-05-31
CREATED	legacy/mtc-v2-kernel/2026-08-25	77a10e6573d93f8aaf777010ea507bbec0a7668b	MTC_V2 Python kernel core path HEAD: MTC_COMMAND_CENTER/01_MTC_PROJECT/00_PYTHON/mtc_v2/core; subject: init: migrated from tradingview-lab archive 2026-05-31
CREATED	legacy/02-mtc-backtest/2026-08-25	b5ed1afadcff09b69e36b72affeb23de51d84c14	02_MTC_BACKTEST tree path HEAD: MTC_COMMAND_CENTER/02_MTC_BACKTEST; subject: Complete S1-S7 parallel sprint: dashboard features, metadata extraction, YAML fixes, pipeline tools
CREATED	legacy/parity-oracles/2026-08-25	544c4e233097b1f2960287cab7a7c077e4dde2fe	historical parity oracle set path HEAD: MTC_COMMAND_CENTER/12_PARITY_PINETS; subject: fix(mcc): audit 2026-07-05 quick wins — nested-run discovery, heartbeat path, registry/status refresh, parity migration
CREATED	legacy/bridge-v1-accepted/2026-08-25	be007fd802bbfd2eb181d66038c374865d1562ee	accepted and deployed Bridge V1 release; recorded SHA be007fd802bbfd2eb181d66038c374865d1562ee; subject: fix(bridge): UFW trailing-comment normalization + fixtures
CREATED	legacy/evbr/chore--repo-housekeeping-2026-07-15/2026-08-25	72befbe9f910df7a9be0c7c4d4f7e7c038ff6d95	evidence-bearing branch chore/repo-housekeeping-2026-07-15; source ref refs/heads/chore/repo-housekeeping-2026-07-15; tip drift since WP-P0-01: no; subject: chore(repo): gitignore run artifacts + site build residue; preserve Codex prompt docs
CREATED	legacy/evbr/codex--50h-wpl-verification/2026-08-25	d9d38d9b8e658d5853903cfc7779bc5ba56bfea2	evidence-bearing branch codex/50h-wpl-verification; source ref refs/heads/codex/50h-wpl-verification; tip drift since WP-P0-01: no; subject: docs(wpi): bind candidate artifact evidence
CREATED	legacy/evbr/codex--bridge-suite-anomaly-repairs-20260815/2026-08-25	7d4e9a96e07b34a0c3d92315912d7818168b830b	evidence-bearing branch codex/bridge-suite-anomaly-repairs-20260815; source ref refs/heads/codex/bridge-suite-anomaly-repairs-20260815; tip drift since WP-P0-01: no; subject: audit(bridge): T1 cross-model audit of the suite anomaly repairs
CREATED	legacy/evbr/codex--g1-wayfinder-r1-20260824/2026-08-25	abd1f6b32119142c762bfb8a2687a7e19269f1b8	evidence-bearing branch codex/g1-wayfinder-r1-20260824; source ref refs/heads/codex/g1-wayfinder-r1-20260824; tip drift since WP-P0-01: no; subject: docs(planning): record fresh G1 acceptance for a00446a6 (status only)
CREATED	legacy/evbr/codex--gate-a-3b-shm-validation/2026-08-25	20de117f4a7d57e131803a195627e2af9c208cd9	evidence-bearing branch codex/gate-a-3b-shm-validation; source ref refs/heads/codex/gate-a-3b-shm-validation; tip drift since WP-P0-01: no; subject: docs(gate-a): accept 3b under owner waiver
CREATED	legacy/evbr/codex--gate-a-build-determinism/2026-08-25	0bdf8cf44941501180c319886701abfeddd8f952	evidence-bearing branch codex/gate-a-build-determinism; source ref refs/heads/codex/gate-a-build-determinism; tip drift since WP-P0-01: no; subject: docs(gate-a): accept build repair under owner waiver
