video_id,url,group_verdict,stg_code,candidate_id,title,coverage_status,audit_status,blocked_reason,next_step,source_quality,duplicate_of
kTqKRi-j9kM,https://www.youtube.com/watch?v=kTqKRi-j9kM,INTENTIONAL_SPLIT_OR_MODULES,Stg056,QLR_kTqKRi-j9kM,The 5 Essential Sell Rules from a Market Wizard - Linda Bradford Raschke,HAS_BOTH,CANONICAL,,Review,REJECTED,
kTqKRi-j9kM,https://www.youtube.com/watch?v=kTqKRi-j9kM,INTENTIONAL_SPLIT_OR_MODULES,Stg125,QL_LBR_ADTR_POSITION_SIZING_v0,QL_LBR_ADTR_POSITION_SIZING_v0,HAS_URL_NO_TRANSCRIPT,SPLIT_REQUIRED,needs indicator split,Split into indicator cases,HIGH,
kTqKRi-j9kM,https://www.youtube.com/watch?v=kTqKRi-j9kM,INTENTIONAL_SPLIT_OR_MODULES,Stg126,QL_LBR_ATR_VOLATILITY_EXIT_OVERLAY_v0,QL_LBR_ATR_VOLATILITY_EXIT_OVERLAY_v0,HAS_URL_NO_TRANSCRIPT,SPLIT_REQUIRED,needs indicator split,Split into indicator cases,HIGH,
kTqKRi-j9kM,https://www.youtube.com/watch?v=kTqKRi-j9kM,INTENTIONAL_SPLIT_OR_MODULES,Stg127,QL_LBR_BOX_MIDPOINT_RECLAIM_v0,QL_LBR_BOX_MIDPOINT_RECLAIM_v0,HAS_URL_NO_TRANSCRIPT,SPLIT_REQUIRED,needs indicator split,Split into indicator cases,HIGH,
kTqKRi-j9kM,https://www.youtube.com/watch?v=kTqKRi-j9kM,INTENTIONAL_SPLIT_OR_MODULES,Stg128,QL_LBR_COIL_BREAKOUT_RANGE_EXPANSION_v0,QL_LBR_COIL_BREAKOUT_RANGE_EXPANSION_v0,HAS_URL_NO_TRANSCRIPT,SPLIT_REQUIRED,needs indicator split,Split into indicator cases,HIGH,
kTqKRi-j9kM,https://www.youtube.com/watch?v=kTqKRi-j9kM,INTENTIONAL_SPLIT_OR_MODULES,Stg129,QL_LBR_EQUITY_CURVE_RISK_THROTTLE_v0,QL_LBR_EQUITY_CURVE_RISK_THROTTLE_v0,HAS_URL_NO_TRANSCRIPT,SPLIT_REQUIRED,needs indicator split,Split into indicator cases,HIGH,
kTqKRi-j9kM,https://www.youtube.com/watch?v=kTqKRi-j9kM,INTENTIONAL_SPLIT_OR_MODULES,Stg130,QL_LBR_PREV_DAY_HIGH_LOW_TAYLOR_RHYTHM_v0,QL_LBR_PREV_DAY_HIGH_LOW_TAYLOR_RHYTHM_v0,HAS_URL_NO_TRANSCRIPT,SPLIT_REQUIRED,needs indicator split,Split into indicator cases,HIGH,
kTqKRi-j9kM,https://www.youtube.com/watch?v=kTqKRi-j9kM,INTENTIONAL_SPLIT_OR_MODULES,Stg131,QL_LBR_ROC2_REVERSAL_v0,QL_LBR_ROC2_REVERSAL_v0,HAS_URL_NO_TRANSCRIPT,SPLIT_REQUIRED,needs indicator split,Split into indicator cases,HIGH,
kTqKRi-j9kM,https://www.youtube.com/watch?v=kTqKRi-j9kM,INTENTIONAL_SPLIT_OR_MODULES,Stg132,QL_LBR_THREE_BAR_BREAKOUT_v0,QL_LBR_THREE_BAR_BREAKOUT_v0,HAS_URL_NO_TRANSCRIPT,SPLIT_REQUIRED,needs indicator split,Split into indicator cases,HIGH,
-JyH5PAJ4-Y,https://www.youtube.com/watch?v=-JyH5PAJ4-Y,SOURCE_PARENT_PLUS_EXTRACTED_CANDIDATES,Stg009,QLR_-JyH5PAJ4-Y,I Stopped Trading So Much and My Profits Skyrocketed,HAS_BOTH,BLOCKED,wiki-only source,Source audit / park,REJECTED,
-JyH5PAJ4-Y,https://www.youtube.com/watch?v=-JyH5PAJ4-Y,SOURCE_PARENT_PLUS_EXTRACTED_CANDIDATES,Stg136,QL_NICK_10W_30W_RESPECT_ENTRY_001,QL_NICK_10W_30W_RESPECT_ENTRY_001,HAS_URL_NO_TRANSCRIPT,CANONICAL,,Review,HIGH,
-JyH5PAJ4-Y,https://www.youtube.com/watch?v=-JyH5PAJ4-Y,SOURCE_PARENT_PLUS_EXTRACTED_CANDIDATES,Stg138,QL_NICK_CONTROLLED_WEAKNESS_BASE_RETEST_001,QL_NICK_CONTROLLED_WEAKNESS_BASE_RETEST_001,HAS_URL_NO_TRANSCRIPT,CANONICAL,,Review,HIGH,
-JyH5PAJ4-Y,https://www.youtube.com/watch?v=-JyH5PAJ4-Y,SOURCE_PARENT_PLUS_EXTRACTED_CANDIDATES,Stg139,QL_NICK_EARNINGS_CUSHION_RULE_001,QL_NICK_EARNINGS_CUSHION_RULE_001,HAS_URL_NO_TRANSCRIPT,CANONICAL,,Review,HIGH,
