case_no,case_name,phase,title,description,prev_case_diff,folder,status,export_file,enable_long,enable_short,allow_flip,regime_lock,max_entries,cooldown_bars,risk_per_long_pct,risk_per_short_pct,fallback_size_pct,max_leverage_cap,signal_mode,st_atr_len,st_factor,st_use_wicks,st_use_ha,use_ma_filter,ma_type,ma_length,use_ma_mtf,ma_htf_timeframe,use_htf_trend_filter,htf_trend_timeframe,htf_trend_ma_type,htf_trend_ma_len,htf_trend_buffer_pct,use_ma_slope_filter,ma_slope_len,ma_slope_min_pct,use_mcginley_filter,mcginley_length,mcginley_use_higher_timeframe,mcginley_htf_timeframe,use_volume_filter,vol_sma_length,vol_sma_mult,use_adx_filter,adx_length,adx_threshold,adx_use_higher_timeframe,adx_htf_timeframe,use_chop_filter,chop_length,chop_threshold,chop_use_higher_timeframe,chop_htf_timeframe,use_atr_vol_floor,atr_vol_floor_fast_len,atr_vol_floor_baseline_len,atr_vol_floor_mult,use_macd_regime_filter,use_macd_cross_filter,use_macd_hist_filter,macd_hist_mode,use_macd_zero_dist_filter,macd_zero_dist_min,macd_fast_len,macd_slow_len,macd_sig_len,macd_source,use_macd_htf_bias,macd_htf_timeframe,use_momentum_filter,momentum_mode,momentum_atr_len,momentum_atr_mult,momentum_roc_min_pct,use_session_filter,session_name,session_custom_string,sl_mode,sl_atr_len,sl_atr_mult,sl_pct,sl_swing_basis,sl_swing_lookback,sl_swing_atr_len,sl_swing_atr_mult,tp_mode,tp_atr_len,tp_atr_mult,tp_percent,tp_r_multiple,tp1_r_multiple,tp1_close_pct,tp2_r_multiple,use_break_even,be_trigger_r,be_buffer_r,use_trailing,trail_atr_len,trail_start_r,trail_distance_atr_mult,exit_on_opposite_signal,exit_on_ma_block,exit_on_ma_slope_block,exit_on_mcginley_block,exit_on_htf_trend_block,exit_on_vol_block,exit_on_atr_vol_block,exit_on_range_block,exit_on_candle_pattern_block,exit_on_level_prox_block,use_candle_pattern_gate,candle_pattern_lookback,use_level_proximity_gate,level_proximity_threshold_pct,level_proximity_lookback,use_time_stop,time_stop_bars,time_stop_condition,time_stop_eod,time_stop_eow,use_daily_loss_limit,max_daily_loss_pct,use_max_trades_per_day,max_trades_per_day,use_max_drawdown_guard,max_drawdown_pct,use_consecutive_loss_halt,max_consecutive_losses,use_equity_curve_filter,equity_ma_length,use_mae_guard,max_mae_pct,use_guard_recovery,guard_recovery_mode,guard_recovery_bars,guard_recovery_signals,use_trade_cooldown,cooldown_bars_after_exit,use_confirm_transform,confirm_bars,confirm_close_crosses,require_raw_still_true,refresh_on_new_raw,use_level_retest,retest_timeout_bars,retest_buffer_pct
case_001,case_001,Baseline,Baseline,Baseline export-faithful case,Baseline,01_MASTER TEMPLATE_V2\05_PARITY\TW_EXPORT_CASES_V2\case_001,READY,MTC_V2_BINANCE_BTCUSDT.P_2026-04-03_827c5.xlsx,True,True,False,False,1,0,1.0,1.0,10.0,1.0,Supertrend,21,4.0,False,False,False,EMA,200,False,60,False,240,EMA,100,0.1,False,200,0.005,False,200,False,240,False,20,1.0,False,14,25.0,False,240,False,14,61.8,False,240,False,14,100,0.5,False,False,False,POSITIVE,False,0.0,12,26,9,close,False,240,False,ATR_BODY,14,0.3,0.15,False,New York,0930-1600:America/New_York,None,14,2.0,1.0,Wick,20,14,0.5,None,14,3.0,3.0,2.0,3.0,50.0,5.5,False,1.0,0.1,False,14,2.0,1.0,True,False,False,False,False,False,False,False,False,False,False,5,False,0.5,50,False,50,Always,False,False,False,2.0,False,3,False,10.0,False,3,False,20,False,2.0,False,Bars,20,2,False,5,False,1,False,False,False,False,50,0.1
case_002,case_002,Single-setting coverage,enable_long,enable_long: TRUE -> FALSE,vs case_001: enable_long: TRUE -> FALSE,01_MASTER TEMPLATE_V2\05_PARITY\TW_EXPORT_CASES_V2\case_002,READY,MTC_V2_BINANCE_BTCUSDT.P_2026-04-03_55ac3.xlsx,False,True,False,False,1,0,1.0,1.0,10.0,1.0,Supertrend,21,4.0,False,False,False,EMA,200,False,60,False,240,EMA,100,0.1,False,200,0.005,False,200,False,240,False,20,1.0,False,14,25.0,False,240,False,14,61.8,False,240,False,14,100,0.5,False,False,False,POSITIVE,False,0.0,12,26,9,close,False,240,False,ATR_BODY,14,0.3,0.15,False,New York,0930-1600:America/New_York,None,14,2.0,1.0,Wick,20,14,0.5,None,14,3.0,3.0,2.0,3.0,50.0,5.5,False,1.0,0.1,False,14,2.0,1.0,True,False,False,False,False,False,False,False,False,False,False,5,False,0.5,50,False,50,Always,False,False,False,2.0,False,3,False,10.0,False,3,False,20,False,2.0,False,Bars,20,2,False,5,False,1,False,False,False,False,50,0.1
case_003,case_003,Single-setting coverage,enable_short,enable_short: TRUE -> FALSE,vs case_002: enable_long: FALSE -> TRUE; enable_short: TRUE -> FALSE,01_MASTER TEMPLATE_V2\05_PARITY\TW_EXPORT_CASES_V2\case_003,READY,MTC_V2_BINANCE_BTCUSDT.P_2026-04-03_4f588.xlsx,True,False,False,False,1,0,1.0,1.0,10.0,1.0,Supertrend,21,4.0,False,False,False,EMA,200,False,60,False,240,EMA,100,0.1,False,200,0.005,False,200,False,240,False,20,1.0,False,14,25.0,False,240,False,14,61.8,False,240,False,14,100,0.5,False,False,False,POSITIVE,False,0.0,12,26,9,close,False,240,False,ATR_BODY,14,0.3,0.15,False,New York,0930-1600:America/New_York,None,14,2.0,1.0,Wick,20,14,0.5,None,14,3.0,3.0,2.0,3.0,50.0,5.5,False,1.0,0.1,False,14,2.0,1.0,True,False,False,False,False,False,False,False,False,False,False,5,False,0.5,50,False,50,Always,False,False,False,2.0,False,3,False,10.0,False,3,False,20,False,2.0,False,Bars,20,2,False,5,False,1,False,False,False,False,50,0.1
case_004,case_004,Single-setting coverage,allow_flip,allow_flip: FALSE -> TRUE,vs case_003: enable_short: FALSE -> TRUE; allow_flip: FALSE -> TRUE,01_MASTER TEMPLATE_V2\05_PARITY\TW_EXPORT_CASES_V2\case_004,READY,MTC_V2_BINANCE_BTCUSDT.P_2026-04-03_4ed2e.xlsx,True,True,True,False,1,0,1.0,1.0,10.0,1.0,Supertrend,21,4.0,False,False,False,EMA,200,False,60,False,240,EMA,100,0.1,False,200,0.005,False,200,False,240,False,20,1.0,False,14,25.0,False,240,False,14,61.8,False,240,False,14,100,0.5,False,False,False,POSITIVE,False,0.0,12,26,9,close,False,240,False,ATR_BODY,14,0.3,0.15,False,New York,0930-1600:America/New_York,None,14,2.0,1.0,Wick,20,14,0.5,None,14,3.0,3.0,2.0,3.0,50.0,5.5,False,1.0,0.1,False,14,2.0,1.0,True,False,False,False,False,False,False,False,False,False,False,5,False,0.5,50,False,50,Always,False,False,False,2.0,False,3,False,10.0,False,3,False,20,False,2.0,False,Bars,20,2,False,5,False,1,False,False,False,False,50,0.1
case_005,case_005,Single-setting coverage,regime_lock,regime_lock: FALSE -> TRUE; sl_mode: None -> ATR; risk_per_long/short_pct: 1.0 -> 0.1,vs case_004: allow_flip: TRUE -> FALSE; regime_lock: FALSE -> TRUE; risk_per_long_pct: 1 -> 0.1; risk_per_short_pct: 1 -> 0.1; sl_mode: None -> ATR,01_MASTER TEMPLATE_V2\05_PARITY\TW_EXPORT_CASES_V2\case_005,READY,MTC_V2_BINANCE_BTCUSDT.P_2026-04-03_e1f32.xlsx,True,True,False,True,1,0,0.1,0.1,10.0,1.0,Supertrend,21,4.0,False,False,False,EMA,200,False,60,False,240,EMA,100,0.1,False,200,0.005,False,200,False,240,False,20,1.0,False,14,25.0,False,240,False,14,61.8,False,240,False,14,100,0.5,False,False,False,POSITIVE,False,0.0,12,26,9,close,False,240,False,ATR_BODY,14,0.3,0.15,False,New York,0930-1600:America/New_York,ATR,14,2.0,1.0,Wick,20,14,0.5,None,14,3.0,3.0,2.0,3.0,50.0,5.5,False,1.0,0.1,False,14,2.0,1.0,True,False,False,False,False,False,False,False,False,False,False,5,False,0.5,50,False,50,Always,False,False,False,2.0,False,3,False,10.0,False,3,False,20,False,2.0,False,Bars,20,2,False,5,False,1,False,False,False,False,50,0.1
case_006,case_006,Single-setting coverage,max_entries,max_entries: 1 -> 2,vs case_005: regime_lock: TRUE -> FALSE; max_entries: 1 -> 2; risk_per_long_pct: 0.1 -> 1; risk_per_short_pct: 0.1 -> 1; sl_mode: ATR -> None,01_MASTER TEMPLATE_V2\05_PARITY\TW_EXPORT_CASES_V2\case_006,READY,MTC_V2_BINANCE_BTCUSDT.P_2026-04-03_30bb0.xlsx,True,True,False,False,2,0,1.0,1.0,10.0,1.0,Supertrend,21,4.0,False,False,False,EMA,200,False,60,False,240,EMA,100,0.1,False,200,0.005,False,200,False,240,False,20,1.0,False,14,25.0,False,240,False,14,61.8,False,240,False,14,100,0.5,False,False,False,POSITIVE,False,0.0,12,26,9,close,False,240,False,ATR_BODY,14,0.3,0.15,False,New York,0930-1600:America/New_York,None,14,2.0,1.0,Wick,20,14,0.5,None,14,3.0,3.0,2.0,3.0,50.0,5.5,False,1.0,0.1,False,14,2.0,1.0,True,False,False,False,False,False,False,False,False,False,False,5,False,0.5,50,False,50,Always,False,False,False,2.0,False,3,False,10.0,False,3,False,20,False,2.0,False,Bars,20,2,False,5,False,1,False,False,False,False,50,0.1
case_007,case_007,Single-setting coverage,cooldown_bars,cooldown_bars: 0 -> 2 (paired with max_entries=2 for stateful entry-spacing check),vs case_006: cooldown_bars: 0 -> 2,01_MASTER TEMPLATE_V2\05_PARITY\TW_EXPORT_CASES_V2\case_007,DEFERRED,,True,True,False,False,2,2,1.0,1.0,10.0,1.0,Supertrend,21,4.0,False,False,False,EMA,200,False,60,False,240,EMA,100,0.1,False,200,0.005,False,200,False,240,False,20,1.0,False,14,25.0,False,240,False,14,61.8,False,240,False,14,100,0.5,False,False,False,POSITIVE,False,0.0,12,26,9,close,False,240,False,ATR_BODY,14,0.3,0.15,False,New York,0930-1600:America/New_York,None,14,2.0,1.0,Wick,20,14,0.5,None,14,3.0,3.0,2.0,3.0,50.0,5.5,False,1.0,0.1,False,14,2.0,1.0,True,False,False,False,False,False,False,False,False,False,False,5,False,0.5,50,False,50,Always,False,False,False,2.0,False,3,False,10.0,False,3,False,20,False,2.0,False,Bars,20,2,False,5,False,1,False,False,False,False,50,0.1
case_008,case_008,Single-setting coverage,risk_per_long_pct,bootstrap to ATR-stop 5x profile; risk_per_long_pct: 1 -> 2,vs case_007: max_entries: 2 -> 1; cooldown_bars: 2 -> 0; sl_mode: None -> ATR; max_leverage_cap: 1 -> 5; risk_per_long_pct: 1 -> 2,01_MASTER TEMPLATE_V2\05_PARITY\TW_EXPORT_CASES_V2\case_008,READY,MTC_V2_BINANCE_BTCUSDT.P_2026-04-04_1ea1f.xlsx,True,True,False,False,1,0,2.0,1.0,10.0,5.0,Supertrend,21,4.0,False,False,False,EMA,200,False,60,False,240,EMA,100,0.1,False,200,0.005,False,200,False,240,False,20,1.0,False,14,25.0,False,240,False,14,61.8,False,240,False,14,100,0.5,False,False,False,POSITIVE,False,0.0,12,26,9,close,False,240,False,ATR_BODY,14,0.3,0.15,False,New York,0930-1600:America/New_York,ATR,14,2.0,1.0,Wick,20,14,0.5,None,14,3.0,3.0,2.0,3.0,50.0,5.5,False,1.0,0.1,False,14,2.0,1.0,True,False,False,False,False,False,False,False,False,False,False,5,False,0.5,50,False,50,Always,False,False,False,2.0,False,3,False,10.0,False,3,False,20,False,2.0,False,Bars,20,2,False,5,False,1,False,False,False,False,50,0.1
case_009,case_009,Single-setting coverage,risk_per_short_pct,risk_per_long_pct: 2 -> 1; risk_per_short_pct: 1 -> 2,vs case_008: risk_per_long_pct: 2 -> 1; risk_per_short_pct: 1 -> 2,01_MASTER TEMPLATE_V2\05_PARITY\TW_EXPORT_CASES_V2\case_009,READY,MTC_V2_BINANCE_BTCUSDT.P_2026-04-04_2a7b4.xlsx,True,True,False,False,1,0,1.0,2.0,10.0,5.0,Supertrend,21,4.0,False,False,False,EMA,200,False,60,False,240,EMA,100,0.1,False,200,0.005,False,200,False,240,False,20,1.0,False,14,25.0,False,240,False,14,61.8,False,240,False,14,100,0.5,False,False,False,POSITIVE,False,0.0,12,26,9,close,False,240,False,ATR_BODY,14,0.3,0.15,False,New York,0930-1600:America/New_York,ATR,14,2.0,1.0,Wick,20,14,0.5,None,14,3.0,3.0,2.0,3.0,50.0,5.5,False,1.0,0.1,False,14,2.0,1.0,True,False,False,False,False,False,False,False,False,False,False,5,False,0.5,50,False,50,Always,False,False,False,2.0,False,3,False,10.0,False,3,False,20,False,2.0,False,Bars,20,2,False,5,False,1,False,False,False,False,50,0.1
case_010,case_010,Single-setting coverage,fallback_size_pct,risk_per_short_pct: 2 -> 1; fallback_size_pct: 10 -> 15,vs case_009: risk_per_short_pct: 2 -> 1; fallback_size_pct: 10 -> 15,01_MASTER TEMPLATE_V2\05_PARITY\TW_EXPORT_CASES_V2\case_010,READY,MTC_V2_BINANCE_BTCUSDT.P_2026-04-04_1ce7c.xlsx,True,True,False,False,1,0,1.0,1.0,15.0,5.0,Supertrend,21,4.0,False,False,False,EMA,200,False,60,False,240,EMA,100,0.1,False,200,0.005,False,200,False,240,False,20,1.0,False,14,25.0,False,240,False,14,61.8,False,240,False,14,100,0.5,False,False,False,POSITIVE,False,0.0,12,26,9,close,False,240,False,ATR_BODY,14,0.3,0.15,False,New York,0930-1600:America/New_York,ATR,14,2.0,1.0,Wick,20,14,0.5,None,14,3.0,3.0,2.0,3.0,50.0,5.5,False,1.0,0.1,False,14,2.0,1.0,True,False,False,False,False,False,False,False,False,False,False,5,False,0.5,50,False,50,Always,False,False,False,2.0,False,3,False,10.0,False,3,False,20,False,2.0,False,Bars,20,2,False,5,False,1,False,False,False,False,50,0.1
