source,target,bytes,source_sha256,target_sha256,classification,note
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\.gitignore,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\.gitignore,453,29f4fcc2a35c9f9ac239fe1ee46b6e3b90051b5b6fb055aef38d17a51e8b15a7,29f4fcc2a35c9f9ac239fe1ee46b6e3b90051b5b6fb055aef38d17a51e8b15a7,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\AI_OPERATING_RULES.md,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\AI_OPERATING_RULES.md,1329,f7aa9731cb935c7d1c79f1b6bd7587945be04a6c90af7ab01978bfc11d967ed8,f7aa9731cb935c7d1c79f1b6bd7587945be04a6c90af7ab01978bfc11d967ed8,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\CHANGELOG.md,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\CHANGELOG.md,7993,3b368d2f08c7e996c19a183cd17ec33c1a86c7d357472106ef4a648ec732ad06,3b368d2f08c7e996c19a183cd17ec33c1a86c7d357472106ef4a648ec732ad06,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\CURRENT_STATUS.md,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\CURRENT_STATUS.md,3947,ae03478098ce9c59922b71b1eaff4068b4fc6f50ca52f4d79b96870f97e955b6,ae03478098ce9c59922b71b1eaff4068b4fc6f50ca52f4d79b96870f97e955b6,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\MTC Command Center ARCHITECTURE.md,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\MTC Command Center ARCHITECTURE.md,56383,04c98655307d07dd1b391eba9066c6854aec27cb6c3bd93e26a84e26b44bfbb1,04c98655307d07dd1b391eba9066c6854aec27cb6c3bd93e26a84e26b44bfbb1,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\PROJECT_HANDOFF.md,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\PROJECT_HANDOFF.md,18877,ce7ac5e34d4102c764dd38b37412deddce6be0b8da1e5e6696314a6a93d115cb,ce7ac5e34d4102c764dd38b37412deddce6be0b8da1e5e6696314a6a93d115cb,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\README.md,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\README.md,1923,86bd591c6e3299068a7b1a36130d22e0c385b80a84a3746232c54367b785bbee,86bd591c6e3299068a7b1a36130d22e0c385b80a84a3746232c54367b785bbee,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\START_HERE_FOR_AI.md,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\START_HERE_FOR_AI.md,608,8139d180703f4f57b953832d2e9718b3da467de8c90cfc0d9ccaaf5404bc2dde,8139d180703f4f57b953832d2e9718b3da467de8c90cfc0d9ccaaf5404bc2dde,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\00_CONFIG\ai_roles.json,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\00_CONFIG\ai_roles.json,688,9ba914159356d3ed89e334e411abfad6a15b8c433f887c6ff645a64224a95482,9ba914159356d3ed89e334e411abfad6a15b8c433f887c6ff645a64224a95482,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\00_CONFIG\dashboard_config.example.json,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\00_CONFIG\dashboard_config.example.json,449,f40080b7f96de217a616214f8584b6dd66e2938ba2a297b3f8e868531fe5038a,f40080b7f96de217a616214f8584b6dd66e2938ba2a297b3f8e868531fe5038a,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\00_CONFIG\paths.example.json,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\00_CONFIG\paths.example.json,430,6dfa9322ab80b97f2111a790c73ef1994ca1bd021e4456f13d3b4e520be0f5eb,6dfa9322ab80b97f2111a790c73ef1994ca1bd021e4456f13d3b4e520be0f5eb,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\00_CONFIG\paths.local.example.json,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\00_CONFIG\paths.local.example.json,430,6dfa9322ab80b97f2111a790c73ef1994ca1bd021e4456f13d3b4e520be0f5eb,6dfa9322ab80b97f2111a790c73ef1994ca1bd021e4456f13d3b4e520be0f5eb,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\00_CONFIG\PATHS_RESOLUTION.md,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\00_CONFIG\PATHS_RESOLUTION.md,601,1402c4da87780df3c3a01cb3218356595ecc2f533b391110d4be9319d15d5f40,1402c4da87780df3c3a01cb3218356595ecc2f533b391110d4be9319d15d5f40,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\00_CONFIG\secrets.example.env,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\00_CONFIG\secrets.example.env,92,43a621fb3f5d5f287ce88c07c903d193fc41966107e994e0ec748dfff60e31ae,43a621fb3f5d5f287ce88c07c903d193fc41966107e994e0ec748dfff60e31ae,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\00_CONFIG\status_schema_notes.md,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\00_CONFIG\status_schema_notes.md,723,5beddd1eb6a9e2c07f907382044a852735109046451824438beed42b35ba9ea7,5beddd1eb6a9e2c07f907382044a852735109046451824438beed42b35ba9ea7,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\00_INBOX\from_user\.gitkeep,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\00_INBOX\from_user\.gitkeep,5,f660a7996deacfbc7560e4240054a8ad82eb02fe25a95064257e07084bcacb85,f660a7996deacfbc7560e4240054a8ad82eb02fe25a95064257e07084bcacb85,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\01_PROMPTS\CLAUDE_CONTINUATION_2026-05-31.md,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\01_PROMPTS\CLAUDE_CONTINUATION_2026-05-31.md,14023,285259d7b236fb5a52a493c177171a8c40659c85137d771a113ca3cfcf598fe2,285259d7b236fb5a52a493c177171a8c40659c85137d771a113ca3cfcf598fe2,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\01_PROMPTS\CODEX_CONTINUATION_2026-05-30.md,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\01_PROMPTS\CODEX_CONTINUATION_2026-05-30.md,6803,c5a76995ee69e4a3abb89be52c4504c5e3d7e589d97145393577e962d5615d01,c5a76995ee69e4a3abb89be52c4504c5e3d7e589d97145393577e962d5615d01,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\01_PROMPTS\CLAUDE\PINE_BUILDER_TASK.md,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\01_PROMPTS\CLAUDE\PINE_BUILDER_TASK.md,551,be2db1f7a39e83104c72082a3666aba38a4dc39182ce68c266bb8c450c95b203,be2db1f7a39e83104c72082a3666aba38a4dc39182ce68c266bb8c450c95b203,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\01_PROMPTS\CLAUDE\PINE_DEBUG_TASK.md,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\01_PROMPTS\CLAUDE\PINE_DEBUG_TASK.md,578,f9c8f954b5cc923a18b1e7e58c2bb0104a44088924c9db9f92f0b508da93ddec,f9c8f954b5cc923a18b1e7e58c2bb0104a44088924c9db9f92f0b508da93ddec,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\01_PROMPTS\CLAUDE\PINE_MCP_USAGE_RULES.md,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\01_PROMPTS\CLAUDE\PINE_MCP_USAGE_RULES.md,609,f30f6affde5ec907eab6a807dd9ce140eaa2f463f35c1941e33529a374836180,f30f6affde5ec907eab6a807dd9ce140eaa2f463f35c1941e33529a374836180,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\01_PROMPTS\CLAUDE\REVIEW_PINE_DRAFT.md,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\01_PROMPTS\CLAUDE\REVIEW_PINE_DRAFT.md,465,c0cd7ce5e1735371d97eced183e3c0dca7ab131bd1414193c1cb59d171944611,c0cd7ce5e1735371d97eced183e3c0dca7ab131bd1414193c1cb59d171944611,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\01_PROMPTS\CLAUDE\START_HERE_FOR_CLAUDE.md,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\01_PROMPTS\CLAUDE\START_HERE_FOR_CLAUDE.md,495,5e027127cb52548a86126f4db3434a87ad691f263b719287e1a648bc32cecc29,5e027127cb52548a86126f4db3434a87ad691f263b719287e1a648bc32cecc29,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\01_PROMPTS\CODEX\BOOTSTRAP_FOLDER_STRUCTURE.md,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\01_PROMPTS\CODEX\BOOTSTRAP_FOLDER_STRUCTURE.md,661,5580382daf56d16d2a32b26b022f6ff27d23029487132b7221379fc234ab143a,5580382daf56d16d2a32b26b022f6ff27d23029487132b7221379fc234ab143a,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\01_PROMPTS\CODEX\DIAGNOSE_PARITY_FAILURE.md,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\01_PROMPTS\CODEX\DIAGNOSE_PARITY_FAILURE.md,616,28bc1df14bf5ceb6a98322e7e94c9af475252a54d057e6af03f48045086c597e,28bc1df14bf5ceb6a98322e7e94c9af475252a54d057e6af03f48045086c597e,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\01_PROMPTS\CODEX\RUN_BACKTEST_TASK.md,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\01_PROMPTS\CODEX\RUN_BACKTEST_TASK.md,678,e7950c8a44326bf8287be26f488bf5538c0c5ccc1ad318055592e7d4a6073062,e7950c8a44326bf8287be26f488bf5538c0c5ccc1ad318055592e7d4a6073062,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\01_PROMPTS\CODEX\RUN_PARITY_TASK.md,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\01_PROMPTS\CODEX\RUN_PARITY_TASK.md,742,ecfa89936566946d7628900162c80ebef56f9fc007c016b9084ba2427129b33b,ecfa89936566946d7628900162c80ebef56f9fc007c016b9084ba2427129b33b,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\01_PROMPTS\CODEX\START_HERE_FOR_CODEX.md,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\01_PROMPTS\CODEX\START_HERE_FOR_CODEX.md,571,af68e8fde3886159f62ae74062dfdd39687bbd92721a7cf36aca083c3b3fc5ab,af68e8fde3886159f62ae74062dfdd39687bbd92721a7cf36aca083c3b3fc5ab,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\01_PROMPTS\CODEX\UPDATE_STATUS_FILES.md,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\01_PROMPTS\CODEX\UPDATE_STATUS_FILES.md,617,197e315d7e9190e7345076b36302a8f0a6a2ae4c72020949c68c0de9563731c9,197e315d7e9190e7345076b36302a8f0a6a2ae4c72020949c68c0de9563731c9,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
